time, timezone, temperature, strength
2020/01/15 12:46 +0100, GMT+2, 6.6, 
2020/01/15 13:06 +0100, GMT+2, 7.1, 
2020/01/15 13:26 +0100, GMT+2, 7.2, 
2020/01/15 13:46 +0100, GMT+2, 7.5, 
2020/01/15 14:06 +0100, GMT+2, 7.8, 
2020/01/15 14:26 +0100, GMT+2, 8.1, 
2020/01/15 14:46 +0100, GMT+2, 8.3, 
2020/01/15 15:06 +0100, GMT+2, 8.6, 
2020/01/15 15:26 +0100, GMT+2, 8.4, 
2020/01/15 15:46 +0100, GMT+2, 8.7, 
2020/01/15 16:06 +0100, GMT+2, 8.8, 
2020/01/15 16:26 +0100, GMT+2, 8.4, 
2020/01/15 16:46 +0100, GMT+2, 8.3, 
2020/01/15 17:06 +0100, GMT+2, 8.3, 
2020/01/15 17:26 +0100, GMT+2, 7.9, 
2020/01/15 17:46 +0100, GMT+2, 7.1, 
2020/01/15 18:06 +0100, GMT+2, 14.1, 0
2020/01/15 18:26 +0100, GMT+2, 13.7, 0
2020/01/15 18:46 +0100, GMT+2, 13.3, 0
2020/01/15 19:06 +0100, GMT+2, 12.9, 0
2020/01/15 19:26 +0100, GMT+2, 12.6, 0
2020/01/15 19:46 +0100, GMT+2, 12.4, 0.00002
2020/01/15 20:06 +0100, GMT+2, 12.1, 0.00016
2020/01/15 20:26 +0100, GMT+2, 11.9, 0.00064
2020/01/15 20:46 +0100, GMT+2, 11.7, 0.00192
2020/01/15 21:06 +0100, GMT+2, 11.6, 0.0046
2020/01/15 21:26 +0100, GMT+2, 11.5, 0.00946
2020/01/15 21:46 +0100, GMT+2, 11.4, 0.01733
2020/01/15 22:06 +0100, GMT+2, 11.4, 0.02909
2020/01/15 22:26 +0100, GMT+2, 11.3, 0.04556
2020/01/15 22:46 +0100, GMT+2, 11.3, 0.06747
2020/01/15 23:06 +0100, GMT+2, 11.3, 0.09555
2020/01/15 23:26 +0100, GMT+2, 11.4, 0.13051
2020/01/15 23:46 +0100, GMT+2, 11.5, 0.17308
2020/01/16 00:06 +0100, GMT+2, 11.5, 0.22356
2020/01/16 00:26 +0100, GMT+2, 11.6, 0.28229
2020/01/16 00:46 +0100, GMT+2, 11.7, 0.34974
2020/01/16 01:06 +0100, GMT+2, 11.8, 0.42616
2020/01/16 01:26 +0100, GMT+2, 12, 0.51201
2020/01/16 01:46 +0100, GMT+2, 12.1, 0.60745
2020/01/16 02:06 +0100, GMT+2, 12.3, 0.71257
2020/01/16 02:26 +0100, GMT+2, 12.5, 0.82785
2020/01/16 02:46 +0100, GMT+2, 12.6, 0.95288
2020/01/16 03:06 +0100, GMT+2, 12.8, 1.08761
2020/01/16 03:26 +0100, GMT+2, 13, 1.23241
2020/01/16 03:46 +0100, GMT+2, 13.2, 1.38723
2020/01/16 04:06 +0100, GMT+2, 13.4, 1.55195
2020/01/16 04:26 +0100, GMT+2, 13.6, 1.72642
2020/01/16 04:46 +0100, GMT+2, 13.9, 1.91111
2020/01/16 05:06 +0100, GMT+2, 14.1, 2.10588
2020/01/16 05:26 +0100, GMT+2, 14.3, 2.3099
2020/01/16 05:46 +0100, GMT+2, 14.5, 2.5229
2020/01/16 06:06 +0100, GMT+2, 14.7, 2.74463
2020/01/16 06:26 +0100, GMT+2, 14.8, 2.97404
2020/01/16 06:46 +0100, GMT+2, 15.1, 3.21155
2020/01/16 07:06 +0100, GMT+2, 15.2, 3.45688
2020/01/16 07:26 +0100, GMT+2, 15.4, 3.7089
2020/01/16 07:46 +0100, GMT+2, 15.6, 3.96808
2020/01/16 08:06 +0100, GMT+2, 15.8, 4.23413
2020/01/16 08:26 +0100, GMT+2, 16, 4.50673
2020/01/16 08:46 +0100, GMT+2, 16.2, 4.78558
2020/01/16 09:06 +0100, GMT+2, 16.3, 5.06949
2020/01/16 09:26 +0100, GMT+2, 16.5, 5.35812
2020/01/16 09:46 +0100, GMT+2, 16.6, 5.65116
2020/01/16 10:06 +0100, GMT+2, 16.6, 5.94647
2020/01/16 10:26 +0100, GMT+2, 16.7, 6.24374
2020/01/16 10:46 +0100, GMT+2, 16.8, 6.54357
2020/01/16 11:06 +0100, GMT+2, 16.8, 6.84476
2020/01/16 11:26 +0100, GMT+2, 16.8, 7.14614
2020/01/16 11:46 +0100, GMT+2, 16.8, 7.44744
2020/01/16 12:06 +0100, GMT+2, 16.8, 7.74844
2020/01/16 12:26 +0100, GMT+2, 16.8, 8.04894
2020/01/16 12:46 +0100, GMT+2, 16.8, 8.34874
2020/01/16 13:06 +0100, GMT+2, 16.7, 8.64677
2020/01/16 13:26 +0100, GMT+2, 16.6, 8.94198
2020/01/16 13:46 +0100, GMT+2, 16.6, 9.23514
2020/01/16 14:06 +0100, GMT+2, 16.6, 9.52706
2020/01/16 14:26 +0100, GMT+2, 16.5, 9.81671
2020/01/16 14:46 +0100, GMT+2, 16.5, 10.10402
2020/01/16 15:06 +0100, GMT+2, 16.4, 10.38892
2020/01/16 15:26 +0100, GMT+2, 16.3, 10.67047
2020/01/16 15:46 +0100, GMT+2, 16.3, 10.94949
2020/01/16 16:06 +0100, GMT+2, 16.3, 11.22681
2020/01/16 16:26 +0100, GMT+2, 16.3, 11.50235
2020/01/16 16:46 +0100, GMT+2, 16.3, 11.77608
2020/01/16 17:06 +0100, GMT+2, 16.3, 12.04796
2020/01/16 17:26 +0100, GMT+2, 16.3, 12.31793
2020/01/16 17:46 +0100, GMT+2, 16.3, 12.58598
2020/01/16 18:06 +0100, GMT+2, 16.2, 12.85124
2020/01/16 18:26 +0100, GMT+2, 16.1, 13.11292
2020/01/16 18:46 +0100, GMT+2, 16, 13.37101
2020/01/16 19:06 +0100, GMT+2, 15.9, 13.62557
2020/01/16 19:26 +0100, GMT+2, 15.8, 13.8766
2020/01/16 19:46 +0100, GMT+2, 15.7, 14.12414
2020/01/16 20:06 +0100, GMT+2, 15.6, 14.36823
2020/01/16 20:26 +0100, GMT+2, 15.6, 14.60966
2020/01/16 20:46 +0100, GMT+2, 15.6, 14.8492
2020/01/16 21:06 +0100, GMT+2, 15.5, 15.0861
