time, timezone, temperature, strength
2020/02/05 10:37 +0100, GMT+2, 5, 
2020/02/05 10:57 +0100, GMT+2, 4.8, 
2020/02/05 11:17 +0100, GMT+2, 5.1, 
2020/02/05 11:37 +0100, GMT+2, 15.9, 0
2020/02/05 11:57 +0100, GMT+2, 15.3, 0
2020/02/05 12:17 +0100, GMT+2, 15.1, 0
2020/02/05 12:37 +0100, GMT+2, 15, 0
2020/02/05 12:57 +0100, GMT+2, 14.9, 0.00001
2020/02/05 13:17 +0100, GMT+2, 14.8, 0.0001
2020/02/05 13:37 +0100, GMT+2, 14.6, 0.0006
2020/02/05 13:57 +0100, GMT+2, 14.5, 0.00222
2020/02/05 14:17 +0100, GMT+2, 14.5, 0.00611
2020/02/05 14:37 +0100, GMT+2, 14.5, 0.01378
2020/02/05 14:57 +0100, GMT+2, 14.4, 0.02686
2020/02/05 15:17 +0100, GMT+2, 14.3, 0.04684
2020/02/05 15:37 +0100, GMT+2, 14, 0.07485
2020/02/05 15:57 +0100, GMT+2, 14, 0.11188
2020/02/05 16:17 +0100, GMT+2, 13.8, 0.15874
2020/02/05 16:37 +0100, GMT+2, 13.8, 0.2159
2020/02/05 16:57 +0100, GMT+2, 13.9, 0.28432
2020/02/05 17:17 +0100, GMT+2, 14, 0.36463
2020/02/05 17:37 +0100, GMT+2, 14.1, 0.45713
2020/02/05 17:57 +0100, GMT+2, 14.3, 0.56231
2020/02/05 18:17 +0100, GMT+2, 14.4, 0.6803
2020/02/05 18:37 +0100, GMT+2, 14.6, 0.81108
2020/02/05 18:57 +0100, GMT+2, 14.7, 0.95457
2020/02/05 19:17 +0100, GMT+2, 14.9, 1.11056
2020/02/05 19:37 +0100, GMT+2, 15.1, 1.27936
2020/02/05 19:57 +0100, GMT+2, 15.5, 1.46193
2020/02/05 20:17 +0100, GMT+2, 15.7, 1.65821
2020/02/05 20:37 +0100, GMT+2, 15.9, 1.86671
2020/02/05 20:57 +0100, GMT+2, 16.2, 2.08774
2020/02/05 21:17 +0100, GMT+2, 16.4, 2.32097
2020/02/05 21:37 +0100, GMT+2, 16.6, 2.56526
2020/02/05 21:57 +0100, GMT+2, 16.8, 2.82015
2020/02/05 22:17 +0100, GMT+2, 17, 3.08515
2020/02/05 22:37 +0100, GMT+2, 17.1, 3.35891
2020/02/05 22:57 +0100, GMT+2, 17.3, 3.64089
2020/02/05 23:17 +0100, GMT+2, 17.5, 3.93142
2020/02/05 23:37 +0100, GMT+2, 17.7, 4.23002
2020/02/05 23:57 +0100, GMT+2, 18, 4.53712
2020/02/06 00:17 +0100, GMT+2, 18.1, 4.85138
2020/02/06 00:37 +0100, GMT+2, 18.3, 5.17137
2020/02/06 00:57 +0100, GMT+2, 18.6, 5.49854
2020/02/06 01:17 +0100, GMT+2, 18.8, 5.83247
2020/02/06 01:37 +0100, GMT+2, 19, 6.17178
2020/02/06 01:57 +0100, GMT+2, 19, 6.5141
2020/02/06 02:17 +0100, GMT+2, 19.1, 6.85802
2020/02/06 02:37 +0100, GMT+2, 19.2, 7.20412
2020/02/06 02:57 +0100, GMT+2, 19.3, 7.55204
2020/02/06 03:17 +0100, GMT+2, 19.3, 7.90045
2020/02/06 03:37 +0100, GMT+2, 19.2, 8.24707
2020/02/06 03:57 +0100, GMT+2, 19.1, 8.59066
2020/02/06 04:17 +0100, GMT+2, 18.8, 8.92906
2020/02/06 04:37 +0100, GMT+2, 18.8, 9.2631
2020/02/06 04:57 +0100, GMT+2, 18.8, 9.59549
2020/02/06 05:17 +0100, GMT+2, 18.7, 9.92512
2020/02/06 05:37 +0100, GMT+2, 18.5, 10.25
2020/02/06 05:57 +0100, GMT+2, 18.2, 10.56821
2020/02/06 06:17 +0100, GMT+2, 18, 10.87978
2020/02/06 06:37 +0100, GMT+2, 17.8, 11.18563
2020/02/06 06:57 +0100, GMT+2, 17.6, 11.48578
2020/02/06 07:17 +0100, GMT+2, 17.4, 11.78027
2020/02/06 07:37 +0100, GMT+2, 17.2, 12.06915
2020/02/06 07:57 +0100, GMT+2, 17, 12.35245
2020/02/06 08:17 +0100, GMT+2, 16.8, 12.63025
2020/02/06 08:37 +0100, GMT+2, 16.6, 12.90261
2020/02/06 08:57 +0100, GMT+2, 16.5, 13.17041
2020/02/06 09:17 +0100, GMT+2, 16.3, 13.43372
2020/02/06 09:37 +0100, GMT+2, 16.1, 13.69177
2020/02/06 09:57 +0100, GMT+2, 16, 13.94543
2020/02/06 10:17 +0100, GMT+2, 15.8, 14.19478
2020/02/06 10:37 +0100, GMT+2, 15.8, 14.44062
2020/02/06 10:57 +0100, GMT+2, 15.8, 14.68454
2020/02/06 11:17 +0100, GMT+2, 16, 14.92803
2020/02/06 11:37 +0100, GMT+2, 16.1, 15.17183
2020/02/06 11:57 +0100, GMT+2, 16.1, 15.41437
2020/02/06 12:17 +0100, GMT+2, 16, 15.65417
2020/02/06 12:37 +0100, GMT+2, 16, 15.89123
2020/02/06 12:57 +0100, GMT+2, 16.1, 16.12705
2020/02/06 13:17 +0100, GMT+2, 16.1, 16.36162
2020/02/06 13:37 +0100, GMT+2, 16.1, 16.5942
2020/02/06 13:57 +0100, GMT+2, 16, 16.82409
2020/02/06 14:17 +0100, GMT+2, 16, 17.05131
2020/02/06 14:37 +0100, GMT+2, 16, 17.27661
2020/02/06 14:57 +0100, GMT+2, 16, 17.49998
2020/02/06 15:17 +0100, GMT+2, 15.8, 17.72007
2020/02/06 15:37 +0100, GMT+2, 15.8, 17.93692
2020/02/06 15:57 +0100, GMT+2, 15.8, 18.15194
2020/02/06 16:17 +0100, GMT+2, 15.8, 18.36513
2020/02/06 16:37 +0100, GMT+2, 15.8, 18.57652
2020/02/06 16:57 +0100, GMT+2, 15.9, 18.78676
2020/02/06 17:17 +0100, GMT+2, 15.9, 18.99586
2020/02/06 17:37 +0100, GMT+2, 15.9, 19.20318
2020/02/06 17:57 +0100, GMT+2, 15.8, 19.40808
2020/02/06 18:17 +0100, GMT+2, 15.8, 19.61059
2020/02/06 18:37 +0100, GMT+2, 15.8, 19.81139
2020/02/06 18:57 +0100, GMT+2, 15.8, 20.01048
2020/02/06 19:17 +0100, GMT+2, 15.7, 20.20726
2020/02/06 19:37 +0100, GMT+2, 15.6, 20.40115
2020/02/06 19:57 +0100, GMT+2, 15.6, 20.59281
2020/02/06 20:17 +0100, GMT+2, 15.5, 20.78227
2020/02/06 20:37 +0100, GMT+2, 15.4, 20.96897
2020/02/06 20:57 +0100, GMT+2, 15.3, 21.15296
2020/02/06 21:17 +0100, GMT+2, 15.2, 21.33428
2020/02/06 21:37 +0100, GMT+2, 15.1, 21.51298
2020/02/06 21:57 +0100, GMT+2, 15, 21.68911
2020/02/06 22:17 +0100, GMT+2, 14.8, 21.86215
2020/02/06 22:37 +0100, GMT+2, 14.7, 22.03217
2020/02/06 22:57 +0100, GMT+2, 14.6, 22.19976
2020/02/06 23:17 +0100, GMT+2, 14.5, 22.36498
2020/02/06 23:37 +0100, GMT+2, 14.3, 22.52733
2020/02/06 23:57 +0100, GMT+2, 14.3, 22.68739
2020/02/07 00:17 +0100, GMT+2, 14.2, 22.84572
2020/02/07 00:37 +0100, GMT+2, 14.1, 23.00183
2020/02/07 00:57 +0100, GMT+2, 14, 23.15576
2020/02/07 01:17 +0100, GMT+2, 13.8, 23.30704
2020/02/07 01:37 +0100, GMT+2, 13.7, 23.45572
2020/02/07 01:57 +0100, GMT+2, 13.6, 23.60234
2020/02/07 02:17 +0100, GMT+2, 13.5, 23.74695
2020/02/07 02:37 +0100, GMT+2, 13.4, 23.88957
2020/02/07 02:57 +0100, GMT+2, 13.2, 24.02975
2020/02/07 03:17 +0100, GMT+2, 13.1, 24.16756
2020/02/07 03:37 +0100, GMT+2, 13, 24.30348
2020/02/07 03:57 +0100, GMT+2, 13, 24.43803
2020/02/07 04:17 +0100, GMT+2, 12.8, 24.57076
2020/02/07 04:37 +0100, GMT+2, 12.7, 24.70124
2020/02/07 04:57 +0100, GMT+2, 12.6, 24.82996
2020/02/07 05:17 +0100, GMT+2, 12.5, 24.95696
2020/02/07 05:37 +0100, GMT+2, 12.3, 25.08182
2020/02/07 05:57 +0100, GMT+2, 12.2, 25.20459
2020/02/07 06:17 +0100, GMT+2, 12.1, 25.32572
2020/02/07 06:37 +0100, GMT+2, 12, 25.44525
