time, timezone, temperature, strength
2020/02/19 11:40 +0100, GMT+2, 6, 
2020/02/19 12:00 +0100, GMT+2, 5.7, 
2020/02/19 12:20 +0100, GMT+2, 5.1, 
2020/02/19 12:40 +0100, GMT+2, 5, 
2020/02/19 13:00 +0100, GMT+2, 5.1, 
2020/02/19 13:20 +0100, GMT+2, 5, 
2020/02/19 13:40 +0100, GMT+2, 5, 
2020/02/19 14:00 +0100, GMT+2, 5.2, 
2020/02/19 14:20 +0100, GMT+2, 5.3, 
2020/02/19 14:40 +0100, GMT+2, 5.5, 
2020/02/19 15:00 +0100, GMT+2, 5.5, 
2020/02/19 15:20 +0100, GMT+2, 5.6, 
2020/02/19 15:40 +0100, GMT+2, 5.8, 
2020/02/19 16:00 +0100, GMT+2, 6.1, 
2020/02/19 16:20 +0100, GMT+2, 6.3, 
2020/02/19 16:40 +0100, GMT+2, 6.5, 
2020/02/19 17:00 +0100, GMT+2, 6.5, 
2020/02/19 17:20 +0100, GMT+2, 6.4, 
2020/02/19 17:40 +0100, GMT+2, 6.5, 
2020/02/19 18:00 +0100, GMT+2, 6.6, 
2020/02/19 18:20 +0100, GMT+2, 6.6, 
2020/02/19 18:40 +0100, GMT+2, 6.7, 
2020/02/19 19:00 +0100, GMT+2, 6.8, 
2020/02/19 19:20 +0100, GMT+2, 7, 
2020/02/19 19:40 +0100, GMT+2, 7.1, 
2020/02/19 20:00 +0100, GMT+2, 7.3, 
2020/02/19 20:20 +0100, GMT+2, 17.1, 0
2020/02/19 20:40 +0100, GMT+2, 17, 0
2020/02/19 21:00 +0100, GMT+2, 16.7, 0
2020/02/19 21:20 +0100, GMT+2, 16.4, 0
2020/02/19 21:40 +0100, GMT+2, 16.1, 0.00002
2020/02/19 22:00 +0100, GMT+2, 16, 0.00026
2020/02/19 22:20 +0100, GMT+2, 15.8, 0.00131
2020/02/19 22:40 +0100, GMT+2, 15.6, 0.00437
2020/02/19 23:00 +0100, GMT+2, 15.5, 0.0111
2020/02/19 23:20 +0100, GMT+2, 15.4, 0.02343
2020/02/19 23:40 +0100, GMT+2, 15.3, 0.04324
2020/02/20 00:00 +0100, GMT+2, 15.3, 0.07232
2020/02/20 00:20 +0100, GMT+2, 15.3, 0.11225
2020/02/20 00:40 +0100, GMT+2, 15.3, 0.16426
2020/02/20 01:00 +0100, GMT+2, 15.3, 0.22921
2020/02/20 01:20 +0100, GMT+2, 15.5, 0.30818
2020/02/20 01:40 +0100, GMT+2, 15.6, 0.402
2020/02/20 02:00 +0100, GMT+2, 15.7, 0.51073
2020/02/20 02:20 +0100, GMT+2, 15.8, 0.63439
2020/02/20 02:40 +0100, GMT+2, 16, 0.77333
2020/02/20 03:00 +0100, GMT+2, 16.2, 0.92788
2020/02/20 03:20 +0100, GMT+2, 16.4, 1.09789
2020/02/20 03:40 +0100, GMT+2, 16.6, 1.28308
2020/02/20 04:00 +0100, GMT+2, 16.8, 1.48309
2020/02/20 04:20 +0100, GMT+2, 17.1, 1.69814
2020/02/20 04:40 +0100, GMT+2, 17.2, 1.92713
2020/02/20 05:00 +0100, GMT+2, 17.3, 2.16801
2020/02/20 05:20 +0100, GMT+2, 17.5, 2.42077
2020/02/20 05:40 +0100, GMT+2, 17.6, 2.68473
2020/02/20 06:00 +0100, GMT+2, 17.8, 2.95921
2020/02/20 06:20 +0100, GMT+2, 18, 3.24436
