time, timezone, temperature, strength
2020/02/18 13:54 +0100, GMT+2, 9, 
2020/02/18 14:14 +0100, GMT+2, 9, 
2020/02/18 14:34 +0100, GMT+2, 8.3, 
2020/02/18 14:54 +0100, GMT+2, 8.1, 
2020/02/18 15:14 +0100, GMT+2, 7.9, 
2020/02/18 15:34 +0100, GMT+2, 7.8, 
2020/02/18 15:54 +0100, GMT+2, 8.2, 
2020/02/18 16:14 +0100, GMT+2, 8.5, 
2020/02/18 16:34 +0100, GMT+2, 8.2, 
2020/02/18 16:54 +0100, GMT+2, 7.7, 
2020/02/18 17:14 +0100, GMT+2, 7.8, 
2020/02/18 17:34 +0100, GMT+2, 7.8, 
2020/02/18 17:54 +0100, GMT+2, 7.8, 
2020/02/18 18:14 +0100, GMT+2, 8, 
2020/02/18 18:34 +0100, GMT+2, 13.2, 
2020/02/18 18:54 +0100, GMT+2, 11.1, 
2020/02/18 19:14 +0100, GMT+2, 9.8, 
2020/02/18 19:34 +0100, GMT+2, 6.7, 
2020/02/18 19:54 +0100, GMT+2, 8.3, 
2020/02/18 20:14 +0100, GMT+2, 9.3, 0
2020/02/18 20:34 +0100, GMT+2, 9.5, 0
2020/02/18 20:54 +0100, GMT+2, 9.7, 0
2020/02/18 21:14 +0100, GMT+2, 10, 0
2020/02/18 21:34 +0100, GMT+2, 10.2, 0
2020/02/18 21:54 +0100, GMT+2, 10.3, 0
2020/02/18 22:14 +0100, GMT+2, 10.5, 0.00001
2020/02/18 22:34 +0100, GMT+2, 10.5, 0.00008
2020/02/18 22:54 +0100, GMT+2, 10.6, 0.00033
2020/02/18 23:14 +0100, GMT+2, 10.6, 0.00104
2020/02/18 23:34 +0100, GMT+2, 10.8, 0.00263
2020/02/18 23:54 +0100, GMT+2, 11, 0.00573
2020/02/19 00:14 +0100, GMT+2, 11.3, 0.01118
2020/02/19 00:34 +0100, GMT+2, 11.6, 0.01999
2020/02/19 00:54 +0100, GMT+2, 12, 0.03337
2020/02/19 01:14 +0100, GMT+2, 12.3, 0.05261
2020/02/19 01:34 +0100, GMT+2, 12.7, 0.07908
2020/02/19 01:54 +0100, GMT+2, 13.2, 0.11442
2020/02/19 02:14 +0100, GMT+2, 13.7, 0.16034
2020/02/19 02:34 +0100, GMT+2, 14.3, 0.21868
2020/02/19 02:54 +0100, GMT+2, 14.8, 0.29115
2020/02/19 03:14 +0100, GMT+2, 15.3, 0.37906
2020/02/19 03:34 +0100, GMT+2, 15.6, 0.48308
2020/02/19 03:54 +0100, GMT+2, 15.9, 0.60334
2020/02/19 04:14 +0100, GMT+2, 16.3, 0.74074
2020/02/19 04:34 +0100, GMT+2, 16.7, 0.89621
2020/02/19 04:54 +0100, GMT+2, 17.5, 1.07236
2020/02/19 05:14 +0100, GMT+2, 18.6, 1.2743
2020/02/19 05:34 +0100, GMT+2, 19.6, 1.50516
2020/02/19 05:54 +0100, GMT+2, 20.2, 1.76314
2020/02/19 06:14 +0100, GMT+2, 20.8, 2.04584
2020/02/19 06:34 +0100, GMT+2, 21, 2.34986
2020/02/19 06:54 +0100, GMT+2, 21.2, 2.67091
2020/02/19 07:14 +0100, GMT+2, 21.2, 3.00588
2020/02/19 07:34 +0100, GMT+2, 21.3, 3.3524
2020/02/19 07:54 +0100, GMT+2, 21.6, 3.71195
2020/02/19 08:14 +0100, GMT+2, 22.1, 4.08737
2020/02/19 08:34 +0100, GMT+2, 22.3, 4.47682
2020/02/19 08:54 +0100, GMT+2, 22.4, 4.87519
2020/02/19 09:14 +0100, GMT+2, 22.6, 5.2814
2020/02/19 09:34 +0100, GMT+2, 22.7, 5.69441
2020/02/19 09:54 +0100, GMT+2, 22.7, 6.11113
2020/02/19 10:14 +0100, GMT+2, 22.9, 6.53174
2020/02/19 10:34 +0100, GMT+2, 23.2, 6.95871
2020/02/19 10:54 +0100, GMT+2, 23.3, 7.39023
2020/02/19 11:14 +0100, GMT+2, 23.4, 7.82342
2020/02/19 11:34 +0100, GMT+2, 23.5, 8.25767
2020/02/19 11:54 +0100, GMT+2, 23.6, 8.6924
2020/02/19 12:14 +0100, GMT+2, 23.3, 9.12275
2020/02/19 12:34 +0100, GMT+2, 22.3, 9.53657
2020/02/19 12:54 +0100, GMT+2, 22, 9.93403
2020/02/19 13:14 +0100, GMT+2, 21.8, 10.32353
2020/02/19 13:34 +0100, GMT+2, 21.3, 10.70299
2020/02/19 13:54 +0100, GMT+2, 21, 11.07147
2020/02/19 14:14 +0100, GMT+2, 20.6, 11.4301
2020/02/19 14:34 +0100, GMT+2, 20.2, 11.77803
2020/02/19 14:54 +0100, GMT+2, 19.8, 12.11545
2020/02/19 15:14 +0100, GMT+2, 19.8, 12.44625
2020/02/19 15:34 +0100, GMT+2, 19.8, 12.77411
2020/02/19 15:54 +0100, GMT+2, 19.8, 13.09899
2020/02/19 16:14 +0100, GMT+2, 19.8, 13.42085
2020/02/19 16:34 +0100, GMT+2, 19.8, 13.73966
2020/02/19 16:54 +0100, GMT+2, 19.7, 14.05451
2020/02/19 17:14 +0100, GMT+2, 19.6, 14.36455
2020/02/19 17:34 +0100, GMT+2, 19.6, 14.67069
2020/02/19 17:54 +0100, GMT+2, 19.5, 14.97293
2020/02/19 18:14 +0100, GMT+2, 19.3, 15.26964
2020/02/19 18:34 +0100, GMT+2, 19.2, 15.5609
2020/02/19 18:54 +0100, GMT+2, 19.1, 15.84762
2020/02/19 19:14 +0100, GMT+2, 19.1, 16.13066
2020/02/19 19:34 +0100, GMT+2, 19.2, 16.41165
2020/02/19 19:54 +0100, GMT+2, 19.3, 16.69136
2020/02/19 20:14 +0100, GMT+2, 19.4, 16.96976
2020/02/19 20:34 +0100, GMT+2, 19.5, 17.24684
2020/02/19 20:54 +0100, GMT+2, 19.5, 17.52178
2020/02/19 21:14 +0100, GMT+2, 19.5, 17.79384
2020/02/19 21:34 +0100, GMT+2, 19.5, 18.06304
2020/02/19 21:54 +0100, GMT+2, 19.6, 18.33014
2020/02/19 22:14 +0100, GMT+2, 19.7, 18.59588
2020/02/19 22:34 +0100, GMT+2, 19.7, 18.85953
2020/02/19 22:54 +0100, GMT+2, 19.7, 19.12036
2020/02/19 23:14 +0100, GMT+2, 19.6, 19.37767
2020/02/19 23:34 +0100, GMT+2, 19.6, 19.63153
2020/02/19 23:54 +0100, GMT+2, 19.5, 19.88199
2020/02/20 00:14 +0100, GMT+2, 19.4, 20.1284
2020/02/20 00:34 +0100, GMT+2, 19.3, 20.37085
2020/02/20 00:54 +0100, GMT+2, 19.3, 20.61009
2020/02/20 01:14 +0100, GMT+2, 19.1, 20.84551
2020/02/20 01:34 +0100, GMT+2, 19.1, 21.07717
2020/02/20 01:54 +0100, GMT+2, 19.1, 21.30645
2020/02/20 02:14 +0100, GMT+2, 19.1, 21.53339
2020/02/20 02:34 +0100, GMT+2, 19.1, 21.758
2020/02/20 02:54 +0100, GMT+2, 19.1, 21.98032
2020/02/20 03:14 +0100, GMT+2, 19, 22.19975
2020/02/20 03:34 +0100, GMT+2, 19.1, 22.41696
2020/02/20 03:54 +0100, GMT+2, 19.4, 22.63442
2020/02/20 04:14 +0100, GMT+2, 19.2, 22.85028
2020/02/20 04:34 +0100, GMT+2, 19, 23.06153
2020/02/20 04:54 +0100, GMT+2, 18.8, 23.2683
2020/02/20 05:14 +0100, GMT+2, 18.6, 23.47069
2020/02/20 05:34 +0100, GMT+2, 18.6, 23.66996
2020/02/20 05:54 +0100, GMT+2, 18.5, 23.86673
2020/02/20 06:14 +0100, GMT+2, 18.5, 24.06105
2020/02/20 06:34 +0100, GMT+2, 18.5, 24.25351
2020/02/20 06:54 +0100, GMT+2, 18.5, 24.44414
2020/02/20 07:14 +0100, GMT+2, 18.6, 24.63351
2020/02/20 07:34 +0100, GMT+2, 18.6, 24.82162
2020/02/20 07:54 +0100, GMT+2, 18.6, 25.00794
2020/02/20 08:14 +0100, GMT+2, 18.6, 25.1925
2020/02/20 08:34 +0100, GMT+2, 18.6, 25.37533
2020/02/20 08:54 +0100, GMT+2, 18.6, 25.55644
2020/02/20 09:14 +0100, GMT+2, 18.4, 25.73482
2020/02/20 09:34 +0100, GMT+2, 18, 25.90851
2020/02/20 09:54 +0100, GMT+2, 17.8, 26.07763
2020/02/20 10:14 +0100, GMT+2, 17.1, 26.24084
2020/02/20 10:34 +0100, GMT+2, 16.7, 26.3974
2020/02/20 10:54 +0100, GMT+2, 16.5, 26.54985
2020/02/20 11:14 +0100, GMT+2, 16.4, 26.69967
2020/02/20 11:34 +0100, GMT+2, 16.5, 26.84829
2020/02/20 11:54 +0100, GMT+2, 16, 26.99392
2020/02/20 12:14 +0100, GMT+2, 15.1, 27.13222
2020/02/20 12:34 +0100, GMT+2, 14.7, 27.2639
2020/02/20 12:54 +0100, GMT+2, 14.5, 27.39212
2020/02/20 13:14 +0100, GMT+2, 14.5, 27.51861
2020/02/20 13:34 +0100, GMT+2, 14.5, 27.64422
2020/02/20 13:54 +0100, GMT+2, 14.4, 27.76855
2020/02/20 14:14 +0100, GMT+2, 14.5, 27.89203
2020/02/20 14:34 +0100, GMT+2, 14.8, 28.01626
2020/02/20 14:54 +0100, GMT+2, 14.1, 28.13803
2020/02/20 15:14 +0100, GMT+2, 13.6, 28.25427
2020/02/20 15:34 +0100, GMT+2, 13.3, 28.36668
2020/02/20 15:54 +0100, GMT+2, 12.8, 28.47538
2020/02/20 16:14 +0100, GMT+2, 12.4, 28.58009
2020/02/20 16:34 +0100, GMT+2, 12.1, 28.68165
2020/02/20 16:54 +0100, GMT+2, 12.1, 28.78156
2020/02/20 17:14 +0100, GMT+2, 12, 28.88055
2020/02/20 17:34 +0100, GMT+2, 11.7, 28.97757
2020/02/20 17:54 +0100, GMT+2, 11.5, 29.07233
2020/02/20 18:14 +0100, GMT+2, 11.4, 29.16556
2020/02/20 18:34 +0100, GMT+2, 11.3, 29.25761
2020/02/20 18:54 +0100, GMT+2, 11.1, 29.34817
2020/02/20 19:14 +0100, GMT+2, 11, 29.43726
2020/02/20 19:34 +0100, GMT+2, 11.1, 29.52588
2020/02/20 19:54 +0100, GMT+2, 11.1, 29.61437
2020/02/20 20:14 +0100, GMT+2, 11, 29.70208
2020/02/20 20:34 +0100, GMT+2, 11.1, 29.78933
2020/02/20 20:54 +0100, GMT+2, 11.3, 29.8771
2020/02/20 21:14 +0100, GMT+2, 11.3, 29.96505
2020/02/20 21:34 +0100, GMT+2, 11.3, 30.05253
2020/02/20 21:54 +0100, GMT+2, 11.1, 30.13893
2020/02/20 22:14 +0100, GMT+2, 11.1, 30.22426
2020/02/20 22:34 +0100, GMT+2, 11.1, 30.30914
2020/02/20 22:54 +0100, GMT+2, 11.1, 30.3936
2020/02/20 23:14 +0100, GMT+2, 11.1, 30.47762
2020/02/20 23:34 +0100, GMT+2, 11.1, 30.56121
2020/02/20 23:54 +0100, GMT+2, 11.1, 30.64439
2020/02/21 00:14 +0100, GMT+2, 11.1, 30.72714
2020/02/21 00:34 +0100, GMT+2, 11.3, 30.81008
2020/02/21 00:54 +0100, GMT+2, 11.5, 30.89382
2020/02/21 01:14 +0100, GMT+2, 11.5, 30.97774
2020/02/21 01:34 +0100, GMT+2, 11.4, 31.06092
2020/02/21 01:54 +0100, GMT+2, 11.3, 31.14307
2020/02/21 02:14 +0100, GMT+2, 11.2, 31.22422
2020/02/21 02:34 +0100, GMT+2, 11.1, 31.30436
2020/02/21 02:54 +0100, GMT+2, 11, 31.38353
2020/02/21 03:14 +0100, GMT+2, 11.1, 31.4623
2020/02/21 03:34 +0100, GMT+2, 11.1, 31.54097
