time, timezone, temperature, strength
2020/02/11 09:39 +0100, GMT+2, 2.7, 
2020/02/11 09:59 +0100, GMT+2, 3.8, 
2020/02/11 10:19 +0100, GMT+2, 2.5, 
2020/02/11 10:39 +0100, GMT+2, 3.5, 
2020/02/11 10:59 +0100, GMT+2, 2.9, 
2020/02/11 11:19 +0100, GMT+2, 3.1, 
2020/02/11 11:39 +0100, GMT+2, 3.6, 
2020/02/11 11:59 +0100, GMT+2, 4.1, 
2020/02/11 12:19 +0100, GMT+2, 3.5, 
2020/02/11 12:39 +0100, GMT+2, 5, 
2020/02/11 12:59 +0100, GMT+2, 6, 
2020/02/11 13:19 +0100, GMT+2, 5.8, 
2020/02/11 13:39 +0100, GMT+2, 3.6, 
2020/02/11 13:59 +0100, GMT+2, 3.5, 
2020/02/11 14:19 +0100, GMT+2, 5.6, 
2020/02/11 14:39 +0100, GMT+2, 3.3, 
2020/02/11 14:59 +0100, GMT+2, 4.5, 
2020/02/11 15:19 +0100, GMT+2, 5.5, 
2020/02/11 15:39 +0100, GMT+2, 15.8, 0
2020/02/11 15:59 +0100, GMT+2, 15.6, 0
2020/02/11 16:19 +0100, GMT+2, 15.1, 0
2020/02/11 16:39 +0100, GMT+2, 14.6, 0
2020/02/11 16:59 +0100, GMT+2, 14, 0.00001
2020/02/11 17:19 +0100, GMT+2, 13.5, 0.00008
2020/02/11 17:39 +0100, GMT+2, 13.1, 0.00044
2020/02/11 17:59 +0100, GMT+2, 12.6, 0.00154
2020/02/11 18:19 +0100, GMT+2, 12.3, 0.00403
2020/02/11 18:39 +0100, GMT+2, 12, 0.00872
2020/02/11 18:59 +0100, GMT+2, 11.6, 0.0164
2020/02/11 19:19 +0100, GMT+2, 11.4, 0.02784
2020/02/11 19:39 +0100, GMT+2, 11.2, 0.04377
2020/02/11 19:59 +0100, GMT+2, 11, 0.06477
2020/02/11 20:19 +0100, GMT+2, 10.9, 0.09136
2020/02/11 20:39 +0100, GMT+2, 10.8, 0.12403
2020/02/11 20:59 +0100, GMT+2, 10.6, 0.1629
2020/02/11 21:19 +0100, GMT+2, 10.6, 0.20825
2020/02/11 21:39 +0100, GMT+2, 10.5, 0.26035
2020/02/11 21:59 +0100, GMT+2, 10.5, 0.31928
2020/02/11 22:19 +0100, GMT+2, 10.5, 0.38526
2020/02/11 22:39 +0100, GMT+2, 10.5, 0.45832
2020/02/11 22:59 +0100, GMT+2, 10.4, 0.53806
2020/02/11 23:19 +0100, GMT+2, 10.4, 0.62432
2020/02/11 23:39 +0100, GMT+2, 10.5, 0.71761
2020/02/11 23:59 +0100, GMT+2, 10.5, 0.81783
2020/02/12 00:19 +0100, GMT+2, 10.5, 0.92445
2020/02/12 00:39 +0100, GMT+2, 10.6, 1.03768
2020/02/12 00:59 +0100, GMT+2, 10.7, 1.15782
2020/02/12 01:19 +0100, GMT+2, 10.8, 1.28475
2020/02/12 01:39 +0100, GMT+2, 10.9, 1.41834
2020/02/12 01:59 +0100, GMT+2, 11, 1.55844
2020/02/12 02:19 +0100, GMT+2, 11.1, 1.70489
2020/02/12 02:39 +0100, GMT+2, 11.2, 1.85751
2020/02/12 02:59 +0100, GMT+2, 11.3, 2.01613
2020/02/12 03:19 +0100, GMT+2, 11.4, 2.18055
2020/02/12 03:39 +0100, GMT+2, 11.5, 2.35059
2020/02/12 03:59 +0100, GMT+2, 11.6, 2.52605
2020/02/12 04:19 +0100, GMT+2, 11.8, 2.70739
2020/02/12 04:39 +0100, GMT+2, 11.9, 2.89446
2020/02/12 04:59 +0100, GMT+2, 12.1, 3.0871
2020/02/12 05:19 +0100, GMT+2, 12.3, 3.28586
2020/02/12 05:39 +0100, GMT+2, 12.5, 3.4906
2020/02/12 05:59 +0100, GMT+2, 12.6, 3.70046
2020/02/12 06:19 +0100, GMT+2, 12.8, 3.91525
2020/02/12 06:39 +0100, GMT+2, 13, 4.13557
2020/02/12 06:59 +0100, GMT+2, 13, 4.35972
2020/02/12 07:19 +0100, GMT+2, 13, 4.58592
2020/02/12 07:39 +0100, GMT+2, 13.1, 4.81471
2020/02/12 07:59 +0100, GMT+2, 13.3, 5.04748
2020/02/12 08:19 +0100, GMT+2, 13.3, 5.28326
2020/02/12 08:39 +0100, GMT+2, 13.2, 5.51944
2020/02/12 08:59 +0100, GMT+2, 13.2, 5.7558
2020/02/12 09:19 +0100, GMT+2, 13.3, 5.99379
2020/02/12 09:39 +0100, GMT+2, 13.3, 6.23323
2020/02/12 09:59 +0100, GMT+2, 13.5, 6.4748
2020/02/12 10:19 +0100, GMT+2, 13.6, 6.71917
2020/02/12 10:39 +0100, GMT+2, 13.6, 6.96456
2020/02/12 10:59 +0100, GMT+2, 13.7, 7.21084
2020/02/12 11:19 +0100, GMT+2, 13.7, 7.45786
2020/02/12 11:39 +0100, GMT+2, 13.6, 7.70384
2020/02/12 11:59 +0100, GMT+2, 13.7, 7.94951
2020/02/12 12:19 +0100, GMT+2, 13.8, 8.19641
2020/02/12 12:39 +0100, GMT+2, 13.8, 8.44361
2020/02/12 12:59 +0100, GMT+2, 13.8, 8.69018
2020/02/12 13:19 +0100, GMT+2, 13.7, 8.93522
2020/02/12 13:39 +0100, GMT+2, 13.7, 9.17866
2020/02/12 13:59 +0100, GMT+2, 13.6, 9.42043
2020/02/12 14:19 +0100, GMT+2, 13.4, 9.65887
2020/02/12 14:39 +0100, GMT+2, 13.3, 9.89395
2020/02/12 14:59 +0100, GMT+2, 13.3, 10.12726
2020/02/12 15:19 +0100, GMT+2, 13.2, 10.35875
2020/02/12 15:39 +0100, GMT+2, 13.1, 10.58762
2020/02/12 15:59 +0100, GMT+2, 13, 10.81385
2020/02/12 16:19 +0100, GMT+2, 12.9, 11.03743
2020/02/12 16:39 +0100, GMT+2, 12.6, 11.25685
2020/02/12 16:59 +0100, GMT+2, 12.5, 11.47213
2020/02/12 17:19 +0100, GMT+2, 12.3, 11.68407
2020/02/12 17:39 +0100, GMT+2, 12, 11.89121
2020/02/12 17:59 +0100, GMT+2, 11.8, 12.09364
2020/02/12 18:19 +0100, GMT+2, 11.6, 12.29215
2020/02/12 18:39 +0100, GMT+2, 11.3, 12.48607
2020/02/12 18:59 +0100, GMT+2, 11.1, 12.67549
2020/02/12 19:19 +0100, GMT+2, 10.9, 12.86116
2020/02/12 19:39 +0100, GMT+2, 10.7, 13.04315
2020/02/12 19:59 +0100, GMT+2, 10.5, 13.2215
2020/02/12 20:19 +0100, GMT+2, 10.3, 13.39628
2020/02/12 20:39 +0100, GMT+2, 10.1, 13.56754
2020/02/12 20:59 +0100, GMT+2, 10, 13.73598
2020/02/12 21:19 +0100, GMT+2, 9.8, 13.90163
2020/02/12 21:39 +0100, GMT+2, 9.6, 14.06391
2020/02/12 21:59 +0100, GMT+2, 9.5, 14.2235
2020/02/12 22:19 +0100, GMT+2, 9.3, 14.38043
2020/02/12 22:39 +0100, GMT+2, 9.1, 14.53412
2020/02/12 22:59 +0100, GMT+2, 8.9, 14.68465
2020/02/12 23:19 +0100, GMT+2, 8.8, 14.83264
2020/02/12 23:39 +0100, GMT+2, 8.6, 14.97814
2020/02/12 23:59 +0100, GMT+2, 8.5, 15.12119
2020/02/13 00:19 +0100, GMT+2, 8.3, 15.26182
2020/02/13 00:39 +0100, GMT+2, 8.2, 15.40007
