time, timezone, temperature, strength
2020/02/21 09:58 +0100, GMT+2, 5.9, 
2020/02/21 10:18 +0100, GMT+2, 6.3, 
2020/02/21 10:38 +0100, GMT+2, 6.7, 
2020/02/21 10:58 +0100, GMT+2, 7, 
2020/02/21 11:18 +0100, GMT+2, 7.5, 
2020/02/21 11:38 +0100, GMT+2, 7.6, 
2020/02/21 11:58 +0100, GMT+2, 7.3, 
2020/02/21 12:18 +0100, GMT+2, 7.8, 
2020/02/21 12:38 +0100, GMT+2, 16.6, 0
2020/02/21 12:58 +0100, GMT+2, 16.6, 0
2020/02/21 13:18 +0100, GMT+2, 16.5, 0
2020/02/21 13:38 +0100, GMT+2, 16.3, 0
2020/02/21 13:58 +0100, GMT+2, 16.1, 0.00002
2020/02/21 14:18 +0100, GMT+2, 15.9, 0.00023
2020/02/21 14:38 +0100, GMT+2, 15.8, 0.00119
2020/02/21 14:58 +0100, GMT+2, 15.6, 0.00407
2020/02/21 15:18 +0100, GMT+2, 15.5, 0.01048
2020/02/21 15:38 +0100, GMT+2, 15.4, 0.02235
2020/02/21 15:58 +0100, GMT+2, 15.3, 0.04157
2020/02/21 16:18 +0100, GMT+2, 15.3, 0.06994
2020/02/21 16:38 +0100, GMT+2, 15.3, 0.10908
2020/02/21 16:58 +0100, GMT+2, 15.3, 0.16021
2020/02/21 17:18 +0100, GMT+2, 15.3, 0.22423
2020/02/21 17:38 +0100, GMT+2, 15.5, 0.30224
2020/02/21 17:58 +0100, GMT+2, 15.6, 0.39509
2020/02/21 18:18 +0100, GMT+2, 15.8, 0.5032
2020/02/21 18:38 +0100, GMT+2, 16, 0.62718
2020/02/21 18:58 +0100, GMT+2, 16.1, 0.76672
2020/02/21 19:18 +0100, GMT+2, 16.4, 0.92217
2020/02/21 19:38 +0100, GMT+2, 16.6, 1.0939
2020/02/21 19:58 +0100, GMT+2, 16.8, 1.28117
2020/02/21 20:18 +0100, GMT+2, 17.1, 1.48422
2020/02/21 20:38 +0100, GMT+2, 17.3, 1.7027
2020/02/21 20:58 +0100, GMT+2, 17.5, 1.93546
2020/02/21 21:18 +0100, GMT+2, 17.7, 2.1819
2020/02/21 21:38 +0100, GMT+2, 18, 2.44218
2020/02/21 21:58 +0100, GMT+2, 18.1, 2.71492
2020/02/21 22:18 +0100, GMT+2, 18.4, 2.99943
