time, timezone, temperature, strength
2020/03/16 17:57 +0100, GMT+2, 9.5, 
2020/03/16 18:17 +0100, GMT+2, 9.1, 
2020/03/16 18:37 +0100, GMT+2, 9, 
2020/03/16 18:57 +0100, GMT+2, 8.9, 
2020/03/16 19:17 +0100, GMT+2, 8.7, 
2020/03/16 19:37 +0100, GMT+2, 8.6, 
2020/03/16 19:57 +0100, GMT+2, 8.4, 
2020/03/16 20:17 +0100, GMT+2, 8.2, 
2020/03/16 20:37 +0100, GMT+2, 7.9, 
2020/03/16 20:57 +0100, GMT+2, 8.3, 
2020/03/16 21:17 +0100, GMT+2, 8.4, 
2020/03/16 21:37 +0100, GMT+2, 8.3, 
2020/03/16 21:57 +0100, GMT+2, 8.3, 
2020/03/16 22:17 +0100, GMT+2, 8.2, 
2020/03/16 22:37 +0100, GMT+2, 8.1, 
2020/03/16 22:57 +0100, GMT+2, 8, 
2020/03/16 23:17 +0100, GMT+2, 7.8, 
2020/03/16 23:37 +0100, GMT+2, 7.9, 
2020/03/16 23:57 +0100, GMT+2, 8, 
2020/03/17 00:17 +0100, GMT+2, 7.9, 
2020/03/17 00:37 +0100, GMT+2, 8, 
2020/03/17 00:57 +0100, GMT+2, 8, 
2020/03/17 01:17 +0100, GMT+2, 7.9, 
2020/03/17 01:37 +0100, GMT+2, 8, 
2020/03/17 01:57 +0100, GMT+2, 8, 
2020/03/17 02:17 +0100, GMT+2, 8.1, 
2020/03/17 02:37 +0100, GMT+2, 8.1, 
2020/03/17 02:57 +0100, GMT+2, 8.2, 
2020/03/17 03:17 +0100, GMT+2, 8.2, 
2020/03/17 03:37 +0100, GMT+2, 8.1, 
2020/03/17 03:57 +0100, GMT+2, 8.2, 
2020/03/17 04:17 +0100, GMT+2, 8, 
2020/03/17 04:37 +0100, GMT+2, 7.7, 
2020/03/17 04:57 +0100, GMT+2, 8, 
2020/03/17 05:17 +0100, GMT+2, 8.2, 
2020/03/17 05:37 +0100, GMT+2, 8.3, 
2020/03/17 05:57 +0100, GMT+2, 8.4, 
2020/03/17 06:17 +0100, GMT+2, 8.5, 
2020/03/17 06:37 +0100, GMT+2, 8.4, 
2020/03/17 06:57 +0100, GMT+2, 8.5, 
2020/03/17 07:17 +0100, GMT+2, 8.5, 
2020/03/17 07:37 +0100, GMT+2, 8.5, 
2020/03/17 07:57 +0100, GMT+2, 8.7, 
2020/03/17 08:17 +0100, GMT+2, 9, 
2020/03/17 08:37 +0100, GMT+2, 9.6, 
2020/03/17 08:57 +0100, GMT+2, 10, 
2020/03/17 09:17 +0100, GMT+2, 10.7, 
2020/03/17 09:37 +0100, GMT+2, 14.5, 
2020/03/17 09:57 +0100, GMT+2, 17.8, 
2020/03/17 10:17 +0100, GMT+2, 14.6, 
2020/03/17 10:37 +0100, GMT+2, 14.3, 
2020/03/17 10:57 +0100, GMT+2, 12.1, 
2020/03/17 11:17 +0100, GMT+2, 11.9, 
2020/03/17 11:37 +0100, GMT+2, 12.4, 
2020/03/17 11:57 +0100, GMT+2, 13.6, 
2020/03/17 12:17 +0100, GMT+2, 16.8, 
2020/03/17 12:37 +0100, GMT+2, 18, 
2020/03/17 12:57 +0100, GMT+2, 19.2, 
2020/03/17 13:17 +0100, GMT+2, 16.5, 
2020/03/17 13:37 +0100, GMT+2, 14.9, 
2020/03/17 13:57 +0100, GMT+2, 14.8, 
2020/03/17 14:17 +0100, GMT+2, 15.6, 
2020/03/17 14:37 +0100, GMT+2, 16, 
2020/03/17 14:57 +0100, GMT+2, 16.3, 
2020/03/17 15:17 +0100, GMT+2, 15.8, 
2020/03/17 15:37 +0100, GMT+2, 14.7, 
2020/03/17 15:57 +0100, GMT+2, 14.3, 
2020/03/17 16:17 +0100, GMT+2, 15, 
2020/03/17 16:37 +0100, GMT+2, 15.3, 
2020/03/17 16:57 +0100, GMT+2, 15.4, 
2020/03/17 17:17 +0100, GMT+2, 14.1, 
2020/03/17 17:37 +0100, GMT+2, 14.1, 
2020/03/17 17:57 +0100, GMT+2, 14.1, 
2020/03/17 18:17 +0100, GMT+2, 13.9, 
2020/03/17 18:37 +0100, GMT+2, 13.6, 
2020/03/17 18:57 +0100, GMT+2, 13, 
2020/03/17 19:17 +0100, GMT+2, 12.7, 
2020/03/17 19:37 +0100, GMT+2, 12.6, 
2020/03/17 19:57 +0100, GMT+2, 12.3, 
2020/03/17 20:17 +0100, GMT+2, 12, 
2020/03/17 20:37 +0100, GMT+2, 12, 
2020/03/17 20:57 +0100, GMT+2, 12, 
2020/03/17 21:17 +0100, GMT+2, 12, 
2020/03/17 21:37 +0100, GMT+2, 12.1, 
2020/03/17 21:57 +0100, GMT+2, 12.1, 
2020/03/17 22:17 +0100, GMT+2, 12.1, 
2020/03/17 22:37 +0100, GMT+2, 12.1, 
2020/03/17 22:57 +0100, GMT+2, 12, 
2020/03/17 23:17 +0100, GMT+2, 12, 
2020/03/17 23:37 +0100, GMT+2, 12, 
2020/03/17 23:57 +0100, GMT+2, 11.7, 
2020/03/18 00:17 +0100, GMT+2, 11, 
2020/03/18 00:37 +0100, GMT+2, 10.9, 
2020/03/18 00:57 +0100, GMT+2, 11, 
2020/03/18 01:17 +0100, GMT+2, 10.7, 
2020/03/18 01:37 +0100, GMT+2, 10.7, 
2020/03/18 01:57 +0100, GMT+2, 10.6, 
2020/03/18 02:17 +0100, GMT+2, 10.6, 
2020/03/18 02:37 +0100, GMT+2, 10.5, 
2020/03/18 02:57 +0100, GMT+2, 10.3, 
2020/03/18 03:17 +0100, GMT+2, 9.7, 
2020/03/18 03:37 +0100, GMT+2, 9.3, 
2020/03/18 03:57 +0100, GMT+2, 8.6, 
2020/03/18 04:17 +0100, GMT+2, 8.3, 
2020/03/18 04:37 +0100, GMT+2, 8, 
2020/03/18 04:57 +0100, GMT+2, 7.8, 
2020/03/18 05:17 +0100, GMT+2, 7.6, 
2020/03/18 05:37 +0100, GMT+2, 7.5, 
2020/03/18 05:57 +0100, GMT+2, 7.4, 
2020/03/18 06:17 +0100, GMT+2, 7.2, 
2020/03/18 06:37 +0100, GMT+2, 7.1, 
2020/03/18 06:57 +0100, GMT+2, 7, 
2020/03/18 07:17 +0100, GMT+2, 6.6, 
2020/03/18 07:37 +0100, GMT+2, 6, 
2020/03/18 07:57 +0100, GMT+2, 6.3, 
2020/03/18 08:17 +0100, GMT+2, 6.1, 
2020/03/18 08:37 +0100, GMT+2, 6, 
2020/03/18 08:57 +0100, GMT+2, 6.2, 
2020/03/18 09:17 +0100, GMT+2, 6.7, 
2020/03/18 09:37 +0100, GMT+2, 6.7, 
2020/03/18 09:57 +0100, GMT+2, 6.7, 
2020/03/18 10:17 +0100, GMT+2, 6.9, 
2020/03/18 10:37 +0100, GMT+2, 7.6, 
2020/03/18 10:57 +0100, GMT+2, 7.1, 
2020/03/18 11:17 +0100, GMT+2, 7.4, 
2020/03/18 11:37 +0100, GMT+2, 8.5, 
2020/03/18 11:57 +0100, GMT+2, 8.1, 
2020/03/18 12:17 +0100, GMT+2, 8.3, 
2020/03/18 12:37 +0100, GMT+2, 8.5, 
2020/03/18 12:57 +0100, GMT+2, 8.7, 
2020/03/18 13:17 +0100, GMT+2, 16.8, 0
2020/03/18 13:37 +0100, GMT+2, 16.9, 0
2020/03/18 13:57 +0100, GMT+2, 16.8, 0
2020/03/18 14:17 +0100, GMT+2, 16.5, 0
2020/03/18 14:37 +0100, GMT+2, 16.3, 0.00002
2020/03/18 14:57 +0100, GMT+2, 16.1, 0.00026
2020/03/18 15:17 +0100, GMT+2, 15.9, 0.00134
2020/03/18 15:37 +0100, GMT+2, 15.8, 0.0045
2020/03/18 15:57 +0100, GMT+2, 15.7, 0.01149
2020/03/18 16:17 +0100, GMT+2, 15.7, 0.02435
2020/03/18 16:37 +0100, GMT+2, 15.7, 0.04522
2020/03/18 16:57 +0100, GMT+2, 15.7, 0.07603
2020/03/18 17:17 +0100, GMT+2, 15.8, 0.11857
2020/03/18 17:37 +0100, GMT+2, 15.9, 0.17442
2020/03/18 17:57 +0100, GMT+2, 16, 0.24476
2020/03/18 18:17 +0100, GMT+2, 16.1, 0.33038
2020/03/18 18:37 +0100, GMT+2, 16.2, 0.4318
2020/03/18 18:57 +0100, GMT+2, 16.4, 0.5496
2020/03/18 19:17 +0100, GMT+2, 16.6, 0.68434
2020/03/18 19:37 +0100, GMT+2, 16.8, 0.83608
2020/03/18 19:57 +0100, GMT+2, 17, 1.00469
2020/03/18 20:17 +0100, GMT+2, 17.3, 1.19046
2020/03/18 20:37 +0100, GMT+2, 17.5, 1.39314
2020/03/18 20:57 +0100, GMT+2, 17.8, 1.61233
2020/03/18 21:17 +0100, GMT+2, 18, 1.84756
2020/03/18 21:37 +0100, GMT+2, 18.3, 2.09828
2020/03/18 21:57 +0100, GMT+2, 18.6, 2.36467
2020/03/18 22:17 +0100, GMT+2, 18.8, 2.64537
2020/03/18 22:37 +0100, GMT+2, 19.1, 2.93967
2020/03/18 22:57 +0100, GMT+2, 19.4, 3.24777
2020/03/18 23:17 +0100, GMT+2, 19.6, 3.56809
2020/03/18 23:37 +0100, GMT+2, 19.9, 3.89992
2020/03/18 23:57 +0100, GMT+2, 20.2, 4.24349
2020/03/19 00:17 +0100, GMT+2, 20.5, 4.59814
2020/03/19 00:37 +0100, GMT+2, 20.7, 4.96221
2020/03/19 00:57 +0100, GMT+2, 21, 5.33498
2020/03/19 01:17 +0100, GMT+2, 21.1, 5.71477
2020/03/19 01:37 +0100, GMT+2, 21.3, 6.09984
2020/03/19 01:57 +0100, GMT+2, 21.5, 6.49057
2020/03/19 02:17 +0100, GMT+2, 21.7, 6.88635
2020/03/19 02:37 +0100, GMT+2, 21.9, 7.2866
2020/03/19 02:57 +0100, GMT+2, 22, 7.68972
2020/03/19 03:17 +0100, GMT+2, 22.1, 8.09412
2020/03/19 03:37 +0100, GMT+2, 22.1, 8.49828
2020/03/19 03:57 +0100, GMT+2, 22.2, 8.90177
2020/03/19 04:17 +0100, GMT+2, 22.2, 9.30422
2020/03/19 04:37 +0100, GMT+2, 22.2, 9.70425
2020/03/19 04:57 +0100, GMT+2, 22.1, 10.10055
2020/03/19 05:17 +0100, GMT+2, 22.1, 10.4929
2020/03/19 05:37 +0100, GMT+2, 22, 10.88113
2020/03/19 05:57 +0100, GMT+2, 21.9, 11.26407
2020/03/19 06:17 +0100, GMT+2, 21.8, 11.64165
2020/03/19 06:37 +0100, GMT+2, 21.6, 12.01282
2020/03/19 06:57 +0100, GMT+2, 21.4, 12.3766
2020/03/19 07:17 +0100, GMT+2, 21.3, 12.73401
2020/03/19 07:37 +0100, GMT+2, 21.1, 13.08506
2020/03/19 07:57 +0100, GMT+2, 20.9, 13.42889
2020/03/19 08:17 +0100, GMT+2, 20.7, 13.76558
2020/03/19 08:37 +0100, GMT+2, 20.5, 14.09524
2020/03/19 08:57 +0100, GMT+2, 20.3, 14.41799
2020/03/19 09:17 +0100, GMT+2, 20.1, 14.73392
2020/03/19 09:37 +0100, GMT+2, 20, 15.04404
2020/03/19 09:57 +0100, GMT+2, 19.8, 15.34841
2020/03/19 10:17 +0100, GMT+2, 19.7, 15.64715
2020/03/19 10:37 +0100, GMT+2, 19.6, 15.94115
2020/03/19 10:57 +0100, GMT+2, 19.5, 16.23049
2020/03/19 11:17 +0100, GMT+2, 19.4, 16.51524
2020/03/19 11:37 +0100, GMT+2, 19.3, 16.79546
2020/03/19 11:57 +0100, GMT+2, 19.2, 17.07123
2020/03/19 12:17 +0100, GMT+2, 19.1, 17.34262
2020/03/19 12:37 +0100, GMT+2, 19, 17.6097
2020/03/19 12:57 +0100, GMT+2, 19, 17.87328
2020/03/19 13:17 +0100, GMT+2, 19, 18.13417
2020/03/19 13:37 +0100, GMT+2, 18.9, 18.39165
2020/03/19 13:57 +0100, GMT+2, 18.9, 18.64576
2020/03/19 14:17 +0100, GMT+2, 18.8, 18.89656
2020/03/19 14:37 +0100, GMT+2, 18.7, 19.14338
2020/03/19 14:57 +0100, GMT+2, 18.6, 19.38631
2020/03/19 15:17 +0100, GMT+2, 18.5, 19.6254
2020/03/19 15:37 +0100, GMT+2, 18.4, 19.86073
2020/03/19 15:57 +0100, GMT+2, 18.3, 20.09237
2020/03/19 16:17 +0100, GMT+2, 18.1, 20.31974
2020/03/19 16:37 +0100, GMT+2, 18, 20.54291
2020/03/19 16:57 +0100, GMT+2, 17.8, 20.76199
2020/03/19 17:17 +0100, GMT+2, 17.7, 20.97705
2020/03/19 17:37 +0100, GMT+2, 17.5, 21.18819
2020/03/19 17:57 +0100, GMT+2, 17.5, 21.3961
2020/03/19 18:17 +0100, GMT+2, 17.3, 21.60085
2020/03/19 18:37 +0100, GMT+2, 17.1, 21.8013
2020/03/19 18:57 +0100, GMT+2, 17, 21.99813
2020/03/19 19:17 +0100, GMT+2, 16.9, 22.19201
2020/03/19 19:37 +0100, GMT+2, 16.8, 22.38299
2020/03/19 19:57 +0100, GMT+2, 16.6, 22.57057
2020/03/19 20:17 +0100, GMT+2, 16.4, 22.75423
2020/03/19 20:37 +0100, GMT+2, 16.3, 22.93464
2020/03/19 20:57 +0100, GMT+2, 16.1, 23.11185
2020/03/19 21:17 +0100, GMT+2, 16, 23.28594
