time, timezone, temperature, strength
2020/07/14 09:32 +0200, GMT+2, 14, 
2020/07/14 09:52 +0200, GMT+2, 14.2, 
2020/07/14 10:12 +0200, GMT+2, 14.5, 
2020/07/14 10:32 +0200, GMT+2, 14.4, 
2020/07/14 10:52 +0200, GMT+2, 14.6, 
2020/07/14 11:12 +0200, GMT+2, 15, 
2020/07/14 11:32 +0200, GMT+2, 15.8, 
2020/07/14 11:52 +0200, GMT+2, 15, 
2020/07/14 12:12 +0200, GMT+2, 15.3, 
2020/07/14 12:32 +0200, GMT+2, 15.2, 
2020/07/14 12:52 +0200, GMT+2, 15, 
2020/07/14 13:12 +0200, GMT+2, 15.2, 
2020/07/14 13:32 +0200, GMT+2, 14.9, 
2020/07/14 13:52 +0200, GMT+2, 15, 
2020/07/14 14:12 +0200, GMT+2, 14.5, 
2020/07/14 14:32 +0200, GMT+2, 14.5, 
2020/07/14 14:52 +0200, GMT+2, 14.4, 
2020/07/14 15:12 +0200, GMT+2, 13.8, 
2020/07/14 15:32 +0200, GMT+2, 14.4, 
2020/07/14 15:52 +0200, GMT+2, 24.6, 0
2020/07/14 16:12 +0200, GMT+2, 23.6, 0
2020/07/14 16:32 +0200, GMT+2, 22.6, 0
2020/07/14 16:52 +0200, GMT+2, 22, 0.00006
2020/07/14 17:12 +0200, GMT+2, 21.5, 0.00087
2020/07/14 17:32 +0200, GMT+2, 21.1, 0.00485
2020/07/14 17:52 +0200, GMT+2, 21, 0.01622
2020/07/14 18:12 +0200, GMT+2, 20.8, 0.04003
2020/07/14 18:32 +0200, GMT+2, 20.8, 0.08108
2020/07/14 18:52 +0200, GMT+2, 20.9, 0.14365
2020/07/14 19:12 +0200, GMT+2, 21.1, 0.23132
2020/07/14 19:32 +0200, GMT+2, 21.4, 0.347
2020/07/14 19:52 +0200, GMT+2, 21.7, 0.49277
2020/07/14 20:12 +0200, GMT+2, 22.1, 0.67011
2020/07/14 20:32 +0200, GMT+2, 22.6, 0.88061
2020/07/14 20:52 +0200, GMT+2, 23.3, 1.1265
2020/07/14 21:12 +0200, GMT+2, 24.1, 1.41037
2020/07/14 21:32 +0200, GMT+2, 25, 1.73433
2020/07/14 21:52 +0200, GMT+2, 26, 2.10056
2020/07/14 22:12 +0200, GMT+2, 26.8, 2.50828
2020/07/14 22:32 +0200, GMT+2, 27.5, 2.95378
2020/07/14 22:52 +0200, GMT+2, 27.8, 3.42998
2020/07/14 23:12 +0200, GMT+2, 28.2, 3.93091
2020/07/14 23:32 +0200, GMT+2, 28.5, 4.45372
2020/07/14 23:52 +0200, GMT+2, 28.7, 4.99329
2020/07/15 00:12 +0200, GMT+2, 28.9, 5.54572
2020/07/15 00:32 +0200, GMT+2, 29.1, 6.10856
2020/07/15 00:52 +0200, GMT+2, 29.4, 6.68089
2020/07/15 01:12 +0200, GMT+2, 29.6, 7.26076
2020/07/15 01:32 +0200, GMT+2, 29.7, 7.84388
2020/07/15 01:52 +0200, GMT+2, 29.8, 8.42742
2020/07/15 02:12 +0200, GMT+2, 29.9, 9.01007
2020/07/15 02:32 +0200, GMT+2, 30, 9.5907
2020/07/15 02:52 +0200, GMT+2, 30.1, 10.16834
2020/07/15 03:12 +0200, GMT+2, 30.2, 10.74217
2020/07/15 03:32 +0200, GMT+2, 30.3, 11.31151
2020/07/15 03:52 +0200, GMT+2, 30.3, 11.87457
2020/07/15 04:12 +0200, GMT+2, 30.3, 12.42972
2020/07/15 04:32 +0200, GMT+2, 30.3, 12.97669
2020/07/15 04:52 +0200, GMT+2, 30.3, 13.51524
2020/07/15 05:12 +0200, GMT+2, 30.3, 14.04523
2020/07/15 05:32 +0200, GMT+2, 30.4, 14.56769
2020/07/15 05:52 +0200, GMT+2, 30.4, 15.08251
2020/07/15 06:12 +0200, GMT+2, 30.4, 15.58855
2020/07/15 06:32 +0200, GMT+2, 30.4, 16.08583
2020/07/15 06:52 +0200, GMT+2, 30.4, 16.5744
2020/07/15 07:12 +0200, GMT+2, 30.4, 17.05434
2020/07/15 07:32 +0200, GMT+2, 30.4, 17.52574
2020/07/15 07:52 +0200, GMT+2, 30.3, 17.98772
2020/07/15 08:12 +0200, GMT+2, 30.3, 18.44046
2020/07/15 08:32 +0200, GMT+2, 30.1, 18.88318
2020/07/15 08:52 +0200, GMT+2, 30, 19.3152
2020/07/15 09:12 +0200, GMT+2, 29.7, 19.73591
2020/07/15 09:32 +0200, GMT+2, 29.1, 20.14121
2020/07/15 09:52 +0200, GMT+2, 28.6, 20.53002
2020/07/15 10:12 +0200, GMT+2, 28.1, 20.90391
2020/07/15 10:32 +0200, GMT+2, 27.6, 21.26349
2020/07/15 10:52 +0200, GMT+2, 27.1, 21.60938
2020/07/15 11:12 +0200, GMT+2, 26.7, 21.9429
2020/07/15 11:32 +0200, GMT+2, 26.6, 22.26758
2020/07/15 11:52 +0200, GMT+2, 26.5, 22.58592
2020/07/15 12:12 +0200, GMT+2, 26.5, 22.8988
2020/07/15 12:32 +0200, GMT+2, 26.4, 23.20636
2020/07/15 12:52 +0200, GMT+2, 26.3, 23.50801
2020/07/15 13:12 +0200, GMT+2, 26.1, 23.80319
2020/07/15 13:32 +0200, GMT+2, 26, 24.0921
2020/07/15 13:52 +0200, GMT+2, 25.8, 24.3749
2020/07/15 14:12 +0200, GMT+2, 25.4, 24.6498
2020/07/15 14:32 +0200, GMT+2, 24.9, 24.91512
2020/07/15 14:52 +0200, GMT+2, 24.5, 25.17125
2020/07/15 15:12 +0200, GMT+2, 24.1, 25.41913
2020/07/15 15:32 +0200, GMT+2, 23.9, 25.66025
2020/07/15 15:52 +0200, GMT+2, 23.6, 25.89542
2020/07/15 16:12 +0200, GMT+2, 23.5, 26.1254
2020/07/15 16:32 +0200, GMT+2, 23.5, 26.35203
2020/07/15 16:52 +0200, GMT+2, 23.4, 26.57539
2020/07/15 17:12 +0200, GMT+2, 23.3, 26.79499
2020/07/15 17:32 +0200, GMT+2, 23.2, 27.01091
2020/07/15 17:52 +0200, GMT+2, 23.1, 27.22323
2020/07/15 18:12 +0200, GMT+2, 23.1, 27.43258
2020/07/15 18:32 +0200, GMT+2, 23, 27.63901
2020/07/15 18:52 +0200, GMT+2, 22.9, 27.84205
2020/07/15 19:12 +0200, GMT+2, 22.8, 28.04179
2020/07/15 19:32 +0200, GMT+2, 22.7, 28.23829
2020/07/15 19:52 +0200, GMT+2, 22.6, 28.43164
2020/07/15 20:12 +0200, GMT+2, 22.5, 28.6219
2020/07/15 20:32 +0200, GMT+2, 22.4, 28.80913
2020/07/15 20:52 +0200, GMT+2, 22.3, 28.9934
2020/07/15 21:12 +0200, GMT+2, 22.1, 29.17431
2020/07/15 21:32 +0200, GMT+2, 22.1, 29.3524
2020/07/15 21:52 +0200, GMT+2, 22, 29.52819
2020/07/15 22:12 +0200, GMT+2, 21.9, 29.70126
2020/07/15 22:32 +0200, GMT+2, 21.8, 29.87168
2020/07/15 22:52 +0200, GMT+2, 21.8, 30.03995
2020/07/15 23:12 +0200, GMT+2, 21.7, 30.20609
2020/07/15 23:32 +0200, GMT+2, 21.6, 30.36972
2020/07/15 23:52 +0200, GMT+2, 21.5, 30.5309
2020/07/16 00:12 +0200, GMT+2, 21.5, 30.69008
2020/07/16 00:32 +0200, GMT+2, 21.4, 30.84731
2020/07/16 00:52 +0200, GMT+2, 21.3, 31.00221
2020/07/16 01:12 +0200, GMT+2, 21.2, 31.15483
2020/07/16 01:32 +0200, GMT+2, 21.1, 31.30521
2020/07/16 01:52 +0200, GMT+2, 21.1, 31.45379
2020/07/16 02:12 +0200, GMT+2, 21, 31.60061
2020/07/16 02:32 +0200, GMT+2, 21, 31.74569
2020/07/16 02:52 +0200, GMT+2, 20.9, 31.88907
2020/07/16 03:12 +0200, GMT+2, 20.8, 32.03039
2020/07/16 03:32 +0200, GMT+2, 20.7, 32.1697
2020/07/16 03:52 +0200, GMT+2, 20.6, 32.30702
2020/07/16 04:12 +0200, GMT+2, 20.5, 32.44241
2020/07/16 04:32 +0200, GMT+2, 20.5, 32.57625
2020/07/16 04:52 +0200, GMT+2, 20.3, 32.70822
2020/07/16 05:12 +0200, GMT+2, 20.3, 32.83835
2020/07/16 05:32 +0200, GMT+2, 20.1, 32.96667
2020/07/16 05:52 +0200, GMT+2, 20.1, 33.09322
2020/07/16 06:12 +0200, GMT+2, 20, 33.21838
2020/07/16 06:32 +0200, GMT+2, 19.9, 33.34182
2020/07/16 06:52 +0200, GMT+2, 19.8, 33.46358
2020/07/16 07:12 +0200, GMT+2, 19.6, 33.58336
2020/07/16 07:32 +0200, GMT+2, 19.6, 33.70152
2020/07/16 07:52 +0200, GMT+2, 19.6, 33.81875
2020/07/16 08:12 +0200, GMT+2, 19.5, 33.93473
2020/07/16 08:32 +0200, GMT+2, 19.5, 34.04948
2020/07/16 08:52 +0200, GMT+2, 19.4, 34.16303
2020/07/16 09:12 +0200, GMT+2, 19.4, 34.27539
2020/07/16 09:32 +0200, GMT+2, 19.3, 34.38657
2020/07/16 09:52 +0200, GMT+2, 19.3, 34.4966
2020/07/16 10:12 +0200, GMT+2, 19.3, 34.6058
2020/07/16 10:32 +0200, GMT+2, 19.2, 34.71388
2020/07/16 10:52 +0200, GMT+2, 19.2, 34.82085
2020/07/16 11:12 +0200, GMT+2, 19.2, 34.92702
2020/07/16 11:32 +0200, GMT+2, 19.2, 35.03241
2020/07/16 11:52 +0200, GMT+2, 19.1, 35.13673
