time, timezone, temperature, strength
2020/06/25 08:11 +0200, GMT+2, 27.9, 
2020/06/25 08:31 +0200, GMT+2, 28, 0
2020/06/25 08:51 +0200, GMT+2, 27.8, 0
2020/06/25 09:11 +0200, GMT+2, 27.6, 0.00001
2020/06/25 09:31 +0200, GMT+2, 27.3, 0.00054
2020/06/25 09:51 +0200, GMT+2, 27.2, 0.00578
2020/06/25 10:11 +0200, GMT+2, 27.3, 0.0261
2020/06/25 10:31 +0200, GMT+2, 27.5, 0.07521
2020/06/25 10:51 +0200, GMT+2, 27.9, 0.16618
2020/06/25 11:11 +0200, GMT+2, 28.4, 0.30954
2020/06/25 11:31 +0200, GMT+2, 28.9, 0.51213
2020/06/25 11:51 +0200, GMT+2, 29.6, 0.77822
2020/06/25 12:11 +0200, GMT+2, 30.6, 1.11241
2020/06/25 12:31 +0200, GMT+2, 31.8, 1.51947
2020/06/25 12:51 +0200, GMT+2, 33.1, 2.00243
2020/06/25 13:11 +0200, GMT+2, 34.5, 2.56266
2020/06/25 13:31 +0200, GMT+2, 36.1, 3.20193
2020/06/25 13:51 +0200, GMT+2, 37.4, 3.91604
2020/06/25 14:11 +0200, GMT+2, 38, 4.68587
2020/06/25 14:31 +0200, GMT+2, 38.3, 5.48932
2020/06/25 14:51 +0200, GMT+2, 38.4, 6.31097
2020/06/25 15:11 +0200, GMT+2, 38.4, 7.13936
2020/06/25 15:31 +0200, GMT+2, 38.3, 7.96582
2020/06/25 15:51 +0200, GMT+2, 38.3, 8.786
2020/06/25 16:11 +0200, GMT+2, 38.3, 9.59806
2020/06/25 16:31 +0200, GMT+2, 38.4, 10.4009
2020/06/25 16:51 +0200, GMT+2, 38.6, 11.19541
2020/06/25 17:11 +0200, GMT+2, 38.8, 11.98136
2020/06/25 17:31 +0200, GMT+2, 39.1, 12.75879
2020/06/25 17:51 +0200, GMT+2, 39.4, 13.52794
2020/06/25 18:11 +0200, GMT+2, 39.6, 14.28648
2020/06/25 18:31 +0200, GMT+2, 39.9, 15.03371
2020/06/25 18:51 +0200, GMT+2, 40.1, 15.76911
2020/06/25 19:11 +0200, GMT+2, 40.2, 16.48976
2020/06/25 19:31 +0200, GMT+2, 40.3, 17.19434
2020/06/25 19:51 +0200, GMT+2, 40.3, 17.88175
