time, timezone, temperature, strength
2020/08/11 14:29 +0200, GMT+2, 31.6, 
2020/08/11 14:49 +0200, GMT+2, 31.6, 
2020/08/11 15:09 +0200, GMT+2, 32, 
2020/08/11 15:29 +0200, GMT+2, 32.2, 
2020/08/11 15:49 +0200, GMT+2, 32.4, 
2020/08/11 16:09 +0200, GMT+2, 32.6, 
2020/08/11 16:29 +0200, GMT+2, 32.9, 
2020/08/11 16:49 +0200, GMT+2, 33.5, 
2020/08/11 17:09 +0200, GMT+2, 34.3, 0
2020/08/11 17:29 +0200, GMT+2, 35.3, 0
2020/08/11 17:49 +0200, GMT+2, 36.5, 0.00025
2020/08/11 18:09 +0200, GMT+2, 38.3, 0.00944
2020/08/11 18:29 +0200, GMT+2, 41, 0.07075
2020/08/11 18:49 +0200, GMT+2, 43.3, 0.25937
2020/08/11 19:09 +0200, GMT+2, 44.6, 0.63442
2020/08/11 19:29 +0200, GMT+2, 45.6, 1.20896
2020/08/11 19:49 +0200, GMT+2, 46.5, 1.96612
2020/08/11 20:09 +0200, GMT+2, 47.1, 2.87225
2020/08/11 20:29 +0200, GMT+2, 47.8, 3.89165
2020/08/11 20:49 +0200, GMT+2, 48.5, 4.99588
2020/08/11 21:09 +0200, GMT+2, 49, 6.15599
2020/08/11 21:29 +0200, GMT+2, 49.5, 7.34751
2020/08/11 21:49 +0200, GMT+2, 49.8, 8.55044
2020/08/11 22:09 +0200, GMT+2, 50.3, 9.75245
2020/08/11 22:29 +0200, GMT+2, 50.7, 10.94621
2020/08/11 22:49 +0200, GMT+2, 51, 12.1215
2020/08/11 23:09 +0200, GMT+2, 51.4, 13.27371
2020/08/11 23:29 +0200, GMT+2, 51.6, 14.39809
2020/08/11 23:49 +0200, GMT+2, 51.9, 15.49118
2020/08/12 00:09 +0200, GMT+2, 52.1, 16.5521
2020/08/12 00:29 +0200, GMT+2, 52.1, 17.57616
2020/08/12 00:49 +0200, GMT+2, 52.3, 18.56401
2020/08/12 01:09 +0200, GMT+2, 52.3, 19.51658
2020/08/12 01:29 +0200, GMT+2, 52.3, 20.43238
2020/08/12 01:49 +0200, GMT+2, 52, 21.30914
2020/08/12 02:09 +0200, GMT+2, 51.3, 22.1404
2020/08/12 02:29 +0200, GMT+2, 50.3, 22.92109
2020/08/12 02:49 +0200, GMT+2, 49.3, 23.65172
2020/08/12 03:09 +0200, GMT+2, 48.6, 24.3393
2020/08/12 03:29 +0200, GMT+2, 47.8, 24.98897
2020/08/12 03:49 +0200, GMT+2, 47.3, 25.60527
2020/08/12 04:09 +0200, GMT+2, 46.9, 26.19407
2020/08/12 04:29 +0200, GMT+2, 46.6, 26.75877
2020/08/12 04:49 +0200, GMT+2, 46.4, 27.30243
