time, timezone, temperature, strength
2020/07/03 18:40 +0200, GMT+2, 16, 
2020/07/03 19:00 +0200, GMT+2, 16.1, 
2020/07/03 19:20 +0200, GMT+2, 16.3, 0
2020/07/03 19:40 +0200, GMT+2, 26, 0
2020/07/03 20:00 +0200, GMT+2, 26.1, 0
2020/07/03 20:20 +0200, GMT+2, 26, 0.00012
2020/07/03 20:40 +0200, GMT+2, 25.8, 0.00209
2020/07/03 21:00 +0200, GMT+2, 25.8, 0.01209
2020/07/03 21:20 +0200, GMT+2, 25.8, 0.04032
2020/07/03 21:40 +0200, GMT+2, 26.1, 0.09789
2020/07/03 22:00 +0200, GMT+2, 26.4, 0.19471
2020/07/03 22:20 +0200, GMT+2, 27, 0.33881
2020/07/03 22:40 +0200, GMT+2, 27.6, 0.53648
2020/07/03 23:00 +0200, GMT+2, 28.4, 0.79209
2020/07/03 23:20 +0200, GMT+2, 29.5, 1.11094
2020/07/03 23:40 +0200, GMT+2, 30.6, 1.49699
2020/07/04 00:00 +0200, GMT+2, 31.8, 1.95175
2020/07/04 00:20 +0200, GMT+2, 33.2, 2.4778
2020/07/04 00:40 +0200, GMT+2, 34.7, 3.07747
2020/07/04 01:00 +0200, GMT+2, 36.1, 3.74878
2020/07/04 01:20 +0200, GMT+2, 37.3, 4.48416
2020/07/04 01:40 +0200, GMT+2, 38, 5.26835
2020/07/04 02:00 +0200, GMT+2, 38.5, 6.08441
2020/07/04 02:20 +0200, GMT+2, 39, 6.92269
2020/07/04 02:40 +0200, GMT+2, 39.2, 7.77267
2020/07/04 03:00 +0200, GMT+2, 39.4, 8.62472
2020/07/04 03:20 +0200, GMT+2, 39.4, 9.47171
2020/07/04 03:40 +0200, GMT+2, 39.3, 10.30602
2020/07/04 04:00 +0200, GMT+2, 39.2, 11.124
2020/07/04 04:20 +0200, GMT+2, 39.1, 11.92418
2020/07/04 04:40 +0200, GMT+2, 39, 12.70559
2020/07/04 05:00 +0200, GMT+2, 39, 13.46903
2020/07/04 05:20 +0200, GMT+2, 38.9, 14.21412
2020/07/04 05:40 +0200, GMT+2, 38.8, 14.9394
2020/07/04 06:00 +0200, GMT+2, 38.8, 15.64625
2020/07/04 06:20 +0200, GMT+2, 38.7, 16.33483
2020/07/04 06:40 +0200, GMT+2, 38.6, 17.00419
2020/07/04 07:00 +0200, GMT+2, 38.6, 17.65591
2020/07/04 07:20 +0200, GMT+2, 38.5, 18.29038
2020/07/04 07:40 +0200, GMT+2, 38.4, 18.9069
2020/07/04 08:00 +0200, GMT+2, 38.3, 19.50599
2020/07/04 08:20 +0200, GMT+2, 38.2, 20.08821
2020/07/04 08:40 +0200, GMT+2, 38.1, 20.6541
2020/07/04 09:00 +0200, GMT+2, 38, 21.2042
2020/07/04 09:20 +0200, GMT+2, 37.9, 21.73905
2020/07/04 09:40 +0200, GMT+2, 37.8, 22.25918
2020/07/04 10:00 +0200, GMT+2, 37.6, 22.76417
2020/07/04 10:20 +0200, GMT+2, 37.6, 23.25551
2020/07/04 10:40 +0200, GMT+2, 37.4, 23.73369
2020/07/04 11:00 +0200, GMT+2, 37.3, 24.1983
2020/07/04 11:20 +0200, GMT+2, 37.1, 24.64986
2020/07/04 11:40 +0200, GMT+2, 37, 25.08888
2020/07/04 12:00 +0200, GMT+2, 36.8, 25.51582
2020/07/04 12:20 +0200, GMT+2, 36.6, 25.93037
2020/07/04 12:40 +0200, GMT+2, 36.5, 26.33376
2020/07/04 13:00 +0200, GMT+2, 36.4, 26.72717
2020/07/04 13:20 +0200, GMT+2, 36.3, 27.11092
2020/07/04 13:40 +0200, GMT+2, 36.1, 27.48466
2020/07/04 14:00 +0200, GMT+2, 35.9, 27.84805
2020/07/04 14:20 +0200, GMT+2, 35.6, 28.20081
2020/07/04 14:40 +0200, GMT+2, 35.2, 28.54204
2020/07/04 15:00 +0200, GMT+2, 34.9, 28.87224
2020/07/04 15:20 +0200, GMT+2, 34.6, 29.1925
2020/07/04 15:40 +0200, GMT+2, 34.3, 29.50321
2020/07/04 16:00 +0200, GMT+2, 34.1, 29.80534
2020/07/04 16:20 +0200, GMT+2, 33.8, 30.09922
2020/07/04 16:40 +0200, GMT+2, 33.6, 30.38514
2020/07/04 17:00 +0200, GMT+2, 33.3, 30.66339
2020/07/04 17:20 +0200, GMT+2, 33.1, 30.93426
2020/07/04 17:40 +0200, GMT+2, 32.9, 31.19854
2020/07/04 18:00 +0200, GMT+2, 32.7, 31.45645
2020/07/04 18:20 +0200, GMT+2, 32.5, 31.7082
2020/07/04 18:40 +0200, GMT+2, 32.3, 31.95399
2020/07/04 19:00 +0200, GMT+2, 32.1, 32.19402
2020/07/04 19:20 +0200, GMT+2, 32, 32.42895
2020/07/04 19:40 +0200, GMT+2, 31.9, 32.65942
2020/07/04 20:00 +0200, GMT+2, 31.8, 32.88554
2020/07/04 20:20 +0200, GMT+2, 31.6, 33.10697
2020/07/04 20:40 +0200, GMT+2, 31.6, 33.32431
2020/07/04 21:00 +0200, GMT+2, 31.5, 33.53811
2020/07/04 21:20 +0200, GMT+2, 31.4, 33.74801
2020/07/04 21:40 +0200, GMT+2, 31.3, 33.95412
2020/07/04 22:00 +0200, GMT+2, 31.1, 34.15612
2020/07/04 22:20 +0200, GMT+2, 31, 34.35411
2020/07/04 22:40 +0200, GMT+2, 31, 34.54903
2020/07/04 23:00 +0200, GMT+2, 30.8, 34.74054
2020/07/04 23:20 +0200, GMT+2, 30.6, 34.92794
2020/07/04 23:40 +0200, GMT+2, 30.5, 35.11174
2020/07/05 00:00 +0200, GMT+2, 30.4, 35.29241
2020/07/05 00:20 +0200, GMT+2, 30.3, 35.47003
2020/07/05 00:40 +0200, GMT+2, 30.1, 35.64431
2020/07/05 01:00 +0200, GMT+2, 30, 35.81533
2020/07/05 01:20 +0200, GMT+2, 29.7, 35.98281
2020/07/05 01:40 +0200, GMT+2, 29.5, 36.14649
2020/07/05 02:00 +0200, GMT+2, 29.3, 36.30683
2020/07/05 02:20 +0200, GMT+2, 29.1, 36.46392
2020/07/05 02:40 +0200, GMT+2, 28.9, 36.61785
2020/07/05 03:00 +0200, GMT+2, 28.8, 36.76904
2020/07/05 03:20 +0200, GMT+2, 28.6, 36.91755
2020/07/05 03:40 +0200, GMT+2, 28.5, 37.06345
2020/07/05 04:00 +0200, GMT+2, 28.3, 37.2068
2020/07/05 04:20 +0200, GMT+2, 28.2, 37.34766
2020/07/05 04:40 +0200, GMT+2, 28.1, 37.4864
