time, timezone, temperature, strength
2020/05/22 10:58 +0200, GMT+2, 19.3, 0
2020/05/22 11:18 +0200, GMT+2, 19.4, 0
2020/05/22 11:38 +0200, GMT+2, 19.5, 0
2020/05/22 11:58 +0200, GMT+2, 19.7, 0.00001
2020/05/22 12:18 +0200, GMT+2, 20, 0.00016
2020/05/22 12:38 +0200, GMT+2, 20.3, 0.0014
2020/05/22 12:58 +0200, GMT+2, 20.6, 0.00636
2020/05/22 13:18 +0200, GMT+2, 21, 0.01958
2020/05/22 13:38 +0200, GMT+2, 21.3, 0.0468
2020/05/22 13:58 +0200, GMT+2, 21.6, 0.09387
2020/05/22 14:18 +0200, GMT+2, 21.9, 0.166
2020/05/22 14:38 +0200, GMT+2, 22.3, 0.26761
2020/05/22 14:58 +0200, GMT+2, 22.6, 0.40181
2020/05/22 15:18 +0200, GMT+2, 23.1, 0.571
2020/05/22 15:38 +0200, GMT+2, 23.6, 0.77742
2020/05/22 15:58 +0200, GMT+2, 24.1, 1.02176
2020/05/22 16:18 +0200, GMT+2, 24.7, 1.30468
2020/05/22 16:38 +0200, GMT+2, 25.4, 1.62732
2020/05/22 16:58 +0200, GMT+2, 26.1, 1.98997
2020/05/22 17:18 +0200, GMT+2, 26.8, 2.39173
2020/05/22 17:38 +0200, GMT+2, 27.5, 2.83124
2020/05/22 17:58 +0200, GMT+2, 28.2, 3.30682
2020/05/22 18:18 +0200, GMT+2, 29, 3.81764
2020/05/22 18:38 +0200, GMT+2, 29.8, 4.3629
2020/05/22 18:58 +0200, GMT+2, 30.6, 4.94049
2020/05/22 19:18 +0200, GMT+2, 31.1, 5.54425
2020/05/22 19:38 +0200, GMT+2, 31.6, 6.16763
2020/05/22 19:58 +0200, GMT+2, 32, 6.80661
2020/05/22 20:18 +0200, GMT+2, 32.2, 7.45464
2020/05/22 20:38 +0200, GMT+2, 32.4, 8.10666
2020/05/22 20:58 +0200, GMT+2, 32.6, 8.76065
2020/05/22 21:18 +0200, GMT+2, 32.7, 9.41351
2020/05/22 21:38 +0200, GMT+2, 32.8, 10.06246
2020/05/22 21:58 +0200, GMT+2, 32.8, 10.705
2020/05/22 22:18 +0200, GMT+2, 32.8, 11.33891
2020/05/22 22:38 +0200, GMT+2, 32.8, 11.96352
2020/05/22 22:58 +0200, GMT+2, 32.8, 12.57831
2020/05/22 23:18 +0200, GMT+2, 32.7, 13.18169
2020/05/22 23:38 +0200, GMT+2, 32.6, 13.77224
2020/05/22 23:58 +0200, GMT+2, 32.5, 14.34994
