time, timezone, temperature, strength
2020/07/06 12:18 +0200, GMT+2, 14.9, 
2020/07/06 12:38 +0200, GMT+2, 15.1, 
2020/07/06 12:58 +0200, GMT+2, 15.5, 
2020/07/06 13:18 +0200, GMT+2, 15.6, 
2020/07/06 13:38 +0200, GMT+2, 14.8, 
2020/07/06 13:58 +0200, GMT+2, 15.3, 
2020/07/06 14:18 +0200, GMT+2, 16, 
2020/07/06 14:38 +0200, GMT+2, 16, 
2020/07/06 14:58 +0200, GMT+2, 16.1, 
2020/07/06 15:18 +0200, GMT+2, 16.6, 
2020/07/06 15:38 +0200, GMT+2, 16.7, 
2020/07/06 15:58 +0200, GMT+2, 16, 
2020/07/06 16:18 +0200, GMT+2, 15.8, 
2020/07/06 16:38 +0200, GMT+2, 16.2, 
2020/07/06 16:58 +0200, GMT+2, 16.1, 
2020/07/06 17:18 +0200, GMT+2, 16.1, 
2020/07/06 17:38 +0200, GMT+2, 16.1, 
2020/07/06 17:58 +0200, GMT+2, 16.2, 
2020/07/06 18:18 +0200, GMT+2, 15.8, 
2020/07/06 18:38 +0200, GMT+2, 16.2, 
2020/07/06 18:58 +0200, GMT+2, 16, 
2020/07/06 19:18 +0200, GMT+2, 15.9, 
2020/07/06 19:38 +0200, GMT+2, 15.7, 
2020/07/06 19:58 +0200, GMT+2, 15.7, 
2020/07/06 20:18 +0200, GMT+2, 15.3, 
2020/07/06 20:38 +0200, GMT+2, 15.4, 
2020/07/06 20:58 +0200, GMT+2, 15, 
2020/07/06 21:18 +0200, GMT+2, 14.5, 
2020/07/06 21:38 +0200, GMT+2, 14.2, 
2020/07/06 21:58 +0200, GMT+2, 13.9, 
2020/07/06 22:18 +0200, GMT+2, 13.6, 
2020/07/06 22:38 +0200, GMT+2, 13.4, 
2020/07/06 22:58 +0200, GMT+2, 13.5, 
2020/07/06 23:18 +0200, GMT+2, 13.5, 
2020/07/06 23:38 +0200, GMT+2, 13.5, 
2020/07/06 23:58 +0200, GMT+2, 13.5, 
2020/07/07 00:18 +0200, GMT+2, 13.5, 
2020/07/07 00:38 +0200, GMT+2, 13.3, 
2020/07/07 00:58 +0200, GMT+2, 13.1, 
2020/07/07 01:18 +0200, GMT+2, 13.1, 
2020/07/07 01:38 +0200, GMT+2, 13, 
2020/07/07 01:58 +0200, GMT+2, 13.1, 
2020/07/07 02:18 +0200, GMT+2, 13.1, 
2020/07/07 02:38 +0200, GMT+2, 12.9, 
2020/07/07 02:58 +0200, GMT+2, 12.9, 
2020/07/07 03:18 +0200, GMT+2, 12.9, 
2020/07/07 03:38 +0200, GMT+2, 12.8, 
2020/07/07 03:58 +0200, GMT+2, 12.8, 
2020/07/07 04:18 +0200, GMT+2, 12.8, 
2020/07/07 04:38 +0200, GMT+2, 12.8, 
2020/07/07 04:58 +0200, GMT+2, 12.8, 
2020/07/07 05:18 +0200, GMT+2, 12.8, 
2020/07/07 05:38 +0200, GMT+2, 12.6, 
2020/07/07 05:58 +0200, GMT+2, 12.5, 
2020/07/07 06:18 +0200, GMT+2, 12.6, 
2020/07/07 06:38 +0200, GMT+2, 12.6, 
2020/07/07 06:58 +0200, GMT+2, 12.8, 
2020/07/07 07:18 +0200, GMT+2, 13, 
2020/07/07 07:38 +0200, GMT+2, 13.1, 
2020/07/07 07:58 +0200, GMT+2, 13.3, 
2020/07/07 08:18 +0200, GMT+2, 13.8, 
2020/07/07 08:38 +0200, GMT+2, 14.3, 
2020/07/07 08:58 +0200, GMT+2, 14.8, 
2020/07/07 09:18 +0200, GMT+2, 13, 
2020/07/07 09:38 +0200, GMT+2, 12.9, 
2020/07/07 09:58 +0200, GMT+2, 13.3, 
2020/07/07 10:18 +0200, GMT+2, 13.9, 
2020/07/07 10:38 +0200, GMT+2, 13.5, 
2020/07/07 10:58 +0200, GMT+2, 13.5, 
2020/07/07 11:18 +0200, GMT+2, 13.3, 
2020/07/07 11:38 +0200, GMT+2, 22, 0
2020/07/07 11:58 +0200, GMT+2, 22, 0
2020/07/07 12:18 +0200, GMT+2, 22, 0
2020/07/07 12:38 +0200, GMT+2, 22, 0.00003
2020/07/07 12:58 +0200, GMT+2, 22.1, 0.00059
2020/07/07 13:18 +0200, GMT+2, 22.1, 0.00398
2020/07/07 13:38 +0200, GMT+2, 22.3, 0.015
2020/07/07 13:58 +0200, GMT+2, 22.5, 0.04029
2020/07/07 14:18 +0200, GMT+2, 22.7, 0.08674
2020/07/07 14:38 +0200, GMT+2, 23, 0.16056
2020/07/07 14:58 +0200, GMT+2, 23.5, 0.26739
2020/07/07 15:18 +0200, GMT+2, 23.9, 0.4115
2020/07/07 15:38 +0200, GMT+2, 24.5, 0.59602
2020/07/07 15:58 +0200, GMT+2, 25, 0.82314
2020/07/07 16:18 +0200, GMT+2, 25.6, 1.09353
2020/07/07 16:38 +0200, GMT+2, 26.3, 1.40845
2020/07/07 16:58 +0200, GMT+2, 27.1, 1.76907
2020/07/07 17:18 +0200, GMT+2, 28.1, 2.17747
2020/07/07 17:38 +0200, GMT+2, 29.3, 2.63709
2020/07/07 17:58 +0200, GMT+2, 30.8, 3.15308
2020/07/07 18:18 +0200, GMT+2, 32.1, 3.7264
2020/07/07 18:38 +0200, GMT+2, 33.1, 4.34957
2020/07/07 18:58 +0200, GMT+2, 33.8, 5.01186
2020/07/07 19:18 +0200, GMT+2, 34.3, 5.70255
2020/07/07 19:38 +0200, GMT+2, 34.8, 6.41469
2020/07/07 19:58 +0200, GMT+2, 35.3, 7.14436
2020/07/07 20:18 +0200, GMT+2, 35.6, 7.88512
2020/07/07 20:38 +0200, GMT+2, 36, 8.63236
2020/07/07 20:58 +0200, GMT+2, 36.3, 9.38333
2020/07/07 21:18 +0200, GMT+2, 36.5, 10.13281
2020/07/07 21:38 +0200, GMT+2, 36.6, 10.87607
2020/07/07 21:58 +0200, GMT+2, 36.7, 11.61022
2020/07/07 22:18 +0200, GMT+2, 36.7, 12.33281
2020/07/07 22:38 +0200, GMT+2, 36.7, 13.04172
2020/07/07 22:58 +0200, GMT+2, 36.6, 13.73519
2020/07/07 23:18 +0200, GMT+2, 36.5, 14.41173
2020/07/07 23:38 +0200, GMT+2, 36.4, 15.07136
2020/07/07 23:58 +0200, GMT+2, 36.2, 15.71301
2020/07/08 00:18 +0200, GMT+2, 36, 16.3358
2020/07/08 00:38 +0200, GMT+2, 35.8, 16.94019
2020/07/08 00:58 +0200, GMT+2, 35.5, 17.52557
2020/07/08 01:18 +0200, GMT+2, 35.3, 18.09253
2020/07/08 01:38 +0200, GMT+2, 35, 18.6417
2020/07/08 01:58 +0200, GMT+2, 34.8, 19.1737
2020/07/08 02:18 +0200, GMT+2, 34.5, 19.68913
2020/07/08 02:38 +0200, GMT+2, 34.2, 20.18764
2020/07/08 02:58 +0200, GMT+2, 34, 20.67082
2020/07/08 03:18 +0200, GMT+2, 33.6, 21.13833
2020/07/08 03:38 +0200, GMT+2, 33.3, 21.58988
2020/07/08 03:58 +0200, GMT+2, 33, 22.02701
2020/07/08 04:18 +0200, GMT+2, 32.6, 22.44944
2020/07/08 04:38 +0200, GMT+2, 32.3, 22.85778
2020/07/08 04:58 +0200, GMT+2, 32, 23.25342
2020/07/08 05:18 +0200, GMT+2, 31.7, 23.63685
2020/07/08 05:38 +0200, GMT+2, 31.4, 24.00856
2020/07/08 05:58 +0200, GMT+2, 31, 24.36824
2020/07/08 06:18 +0200, GMT+2, 30.7, 24.71637
2020/07/08 06:38 +0200, GMT+2, 30.4, 25.05412
2020/07/08 06:58 +0200, GMT+2, 30.1, 25.3819
2020/07/08 07:18 +0200, GMT+2, 29.8, 25.70007
2020/07/08 07:38 +0200, GMT+2, 29.5, 26.00899
2020/07/08 07:58 +0200, GMT+2, 29.1, 26.30833
2020/07/08 08:18 +0200, GMT+2, 28.8, 26.59847
2020/07/08 08:38 +0200, GMT+2, 28.5, 26.88038
2020/07/08 08:58 +0200, GMT+2, 28.1, 27.15373
2020/07/08 09:18 +0200, GMT+2, 27.8, 27.41883
2020/07/08 09:38 +0200, GMT+2, 27.5, 27.67659
2020/07/08 09:58 +0200, GMT+2, 27.2, 27.92723
2020/07/08 10:18 +0200, GMT+2, 27, 28.17158
2020/07/08 10:38 +0200, GMT+2, 26.6, 28.40927
2020/07/08 10:58 +0200, GMT+2, 26.3, 28.64
2020/07/08 11:18 +0200, GMT+2, 26.1, 28.86505
2020/07/08 11:38 +0200, GMT+2, 25.8, 29.08461
2020/07/08 11:58 +0200, GMT+2, 25.5, 29.29833
2020/07/08 12:18 +0200, GMT+2, 25.3, 29.50689
2020/07/08 12:38 +0200, GMT+2, 25, 29.71046
2020/07/08 12:58 +0200, GMT+2, 24.8, 29.90917
2020/07/08 13:18 +0200, GMT+2, 24.5, 30.10318
2020/07/08 13:38 +0200, GMT+2, 24.3, 30.29261
2020/07/08 13:58 +0200, GMT+2, 24.1, 30.47807
2020/07/08 14:18 +0200, GMT+2, 23.9, 30.65964
2020/07/08 14:38 +0200, GMT+2, 23.7, 30.83745
2020/07/08 14:58 +0200, GMT+2, 23.5, 31.01157
2020/07/08 15:18 +0200, GMT+2, 23.3, 31.18212
2020/07/08 15:38 +0200, GMT+2, 23.1, 31.34918
2020/07/08 15:58 +0200, GMT+2, 22.9, 31.51285
2020/07/08 16:18 +0200, GMT+2, 22.7, 31.6732
2020/07/08 16:38 +0200, GMT+2, 22.5, 31.83032
2020/07/08 16:58 +0200, GMT+2, 22.3, 31.98429
2020/07/08 17:18 +0200, GMT+2, 22.2, 32.13559
2020/07/08 17:38 +0200, GMT+2, 22, 32.28426
2020/07/08 17:58 +0200, GMT+2, 21.8, 32.43
2020/07/08 18:18 +0200, GMT+2, 21.6, 32.57286
2020/07/08 18:38 +0200, GMT+2, 21.5, 32.71329
2020/07/08 18:58 +0200, GMT+2, 21.3, 32.85134
2020/07/08 19:18 +0200, GMT+2, 21.1, 32.98671
2020/07/08 19:38 +0200, GMT+2, 21, 33.1198
2020/07/08 19:58 +0200, GMT+2, 20.8, 33.25068
2020/07/08 20:18 +0200, GMT+2, 20.6, 33.37903
2020/07/08 20:38 +0200, GMT+2, 20.5, 33.50526
2020/07/08 20:58 +0200, GMT+2, 20.3, 33.62941
2020/07/08 21:18 +0200, GMT+2, 20.1, 33.7512
2020/07/08 21:38 +0200, GMT+2, 20, 33.87099
2020/07/08 21:58 +0200, GMT+2, 19.9, 33.98917
2020/07/08 22:18 +0200, GMT+2, 19.8, 34.10576
2020/07/08 22:38 +0200, GMT+2, 19.6, 34.22047
2020/07/08 22:58 +0200, GMT+2, 19.5, 34.33333
2020/07/08 23:18 +0200, GMT+2, 19.4, 34.4447
2020/07/08 23:38 +0200, GMT+2, 19.3, 34.55461
2020/07/08 23:58 +0200, GMT+2, 19.1, 34.66276
2020/07/09 00:18 +0200, GMT+2, 19.1, 34.7695
2020/07/09 00:38 +0200, GMT+2, 19, 34.87515
2020/07/09 00:58 +0200, GMT+2, 18.8, 34.97913
2020/07/09 01:18 +0200, GMT+2, 18.7, 35.08148
2020/07/09 01:38 +0200, GMT+2, 18.6, 35.18252
2020/07/09 01:58 +0200, GMT+2, 18.5, 35.28226
2020/07/09 02:18 +0200, GMT+2, 18.4, 35.38074
2020/07/09 02:38 +0200, GMT+2, 18.3, 35.47796
2020/07/09 02:58 +0200, GMT+2, 18.1, 35.57368
2020/07/09 03:18 +0200, GMT+2, 18.1, 35.66819
2020/07/09 03:38 +0200, GMT+2, 18, 35.76179
2020/07/09 03:58 +0200, GMT+2, 17.8, 35.85395
2020/07/09 04:18 +0200, GMT+2, 17.8, 35.94496
2020/07/09 04:38 +0200, GMT+2, 17.6, 36.03485
2020/07/09 04:58 +0200, GMT+2, 17.6, 36.12362
2020/07/09 05:18 +0200, GMT+2, 17.5, 36.21156
2020/07/09 05:38 +0200, GMT+2, 17.4, 36.29842
2020/07/09 05:58 +0200, GMT+2, 17.3, 36.38422
2020/07/09 06:18 +0200, GMT+2, 17.2, 36.46897
2020/07/09 06:38 +0200, GMT+2, 17.1, 36.55269
2020/07/09 06:58 +0200, GMT+2, 17, 36.6354
2020/07/09 07:18 +0200, GMT+2, 16.9, 36.71711
2020/07/09 07:38 +0200, GMT+2, 16.8, 36.79783
2020/07/09 07:58 +0200, GMT+2, 16.7, 36.87758
2020/07/09 08:18 +0200, GMT+2, 16.6, 36.95638
2020/07/09 08:38 +0200, GMT+2, 16.5, 37.03424
2020/07/09 08:58 +0200, GMT+2, 16.4, 37.11117
2020/07/09 09:18 +0200, GMT+2, 16.3, 37.18719
2020/07/09 09:38 +0200, GMT+2, 16.3, 37.26254
2020/07/09 09:58 +0200, GMT+2, 16.1, 37.337
2020/07/09 10:18 +0200, GMT+2, 16.1, 37.41059
