time, timezone, temperature, strength
2020/06/26 10:37 +0200, GMT+2, 23.7, 
2020/06/26 10:57 +0200, GMT+2, 27.4, 
2020/06/26 11:17 +0200, GMT+2, 26, 
2020/06/26 11:37 +0200, GMT+2, 23.5, 
2020/06/26 11:57 +0200, GMT+2, 19.4, 
2020/06/26 12:17 +0200, GMT+2, 20.4, 
2020/06/26 12:37 +0200, GMT+2, 21.3, 
2020/06/26 12:57 +0200, GMT+2, 19.3, 
2020/06/26 13:17 +0200, GMT+2, 25.3, 
2020/06/26 13:37 +0200, GMT+2, 30.6, 
2020/06/26 13:57 +0200, GMT+2, 31.8, 
2020/06/26 14:17 +0200, GMT+2, 37.1, 
2020/06/26 14:37 +0200, GMT+2, 34.1, 
2020/06/26 14:57 +0200, GMT+2, 36.3, 
2020/06/26 15:17 +0200, GMT+2, 33.8, 
2020/06/26 15:37 +0200, GMT+2, 30.6, 0
2020/06/26 15:57 +0200, GMT+2, 31, 0
2020/06/26 16:17 +0200, GMT+2, 31.6, 0.00004
2020/06/26 16:37 +0200, GMT+2, 32.5, 0.00226
2020/06/26 16:57 +0200, GMT+2, 33.3, 0.02071
2020/06/26 17:17 +0200, GMT+2, 34.6, 0.08545
2020/06/26 17:37 +0200, GMT+2, 36, 0.23269
2020/06/26 17:57 +0200, GMT+2, 37.6, 0.49379
2020/06/26 18:17 +0200, GMT+2, 39.1, 0.88914
2020/06/26 18:37 +0200, GMT+2, 40.4, 1.42373
2020/06/26 18:57 +0200, GMT+2, 42, 2.09527
2020/06/26 19:17 +0200, GMT+2, 43.6, 2.8985
2020/06/26 19:37 +0200, GMT+2, 44.6, 3.81166
2020/06/26 19:57 +0200, GMT+2, 45, 4.79826
2020/06/26 20:17 +0200, GMT+2, 45, 5.82282
2020/06/26 20:37 +0200, GMT+2, 45, 6.86216
2020/06/26 20:57 +0200, GMT+2, 44.9, 7.902
2020/06/26 21:17 +0200, GMT+2, 44.8, 8.93146
2020/06/26 21:37 +0200, GMT+2, 44.7, 9.94406
2020/06/26 21:57 +0200, GMT+2, 44.5, 10.9337
2020/06/26 22:17 +0200, GMT+2, 44.3, 11.89595
2020/06/26 22:37 +0200, GMT+2, 44.1, 12.82918
2020/06/26 22:57 +0200, GMT+2, 44, 13.73408
2020/06/26 23:17 +0200, GMT+2, 43.8, 14.61034
2020/06/26 23:37 +0200, GMT+2, 43.6, 15.45663
2020/06/26 23:57 +0200, GMT+2, 43.5, 16.27484
2020/06/27 00:17 +0200, GMT+2, 43.2, 17.06425
2020/06/27 00:37 +0200, GMT+2, 43, 17.82447
2020/06/27 00:57 +0200, GMT+2, 42.8, 18.55778
2020/06/27 01:17 +0200, GMT+2, 42.5, 19.264
2020/06/27 01:37 +0200, GMT+2, 42.3, 19.94425
2020/06/27 01:57 +0200, GMT+2, 42, 20.59964
2020/06/27 02:17 +0200, GMT+2, 41.8, 21.23127
2020/06/27 02:37 +0200, GMT+2, 41.5, 21.84021
2020/06/27 02:57 +0200, GMT+2, 41.3, 22.42749
2020/06/27 03:17 +0200, GMT+2, 41, 22.99409
2020/06/27 03:37 +0200, GMT+2, 40.7, 23.54001
2020/06/27 03:57 +0200, GMT+2, 40.4, 24.06624
2020/06/27 04:17 +0200, GMT+2, 40.1, 24.57371
2020/06/27 04:37 +0200, GMT+2, 39.8, 25.0633
2020/06/27 04:57 +0200, GMT+2, 39.5, 25.53585
2020/06/27 05:17 +0200, GMT+2, 39.1, 25.99133
2020/06/27 05:37 +0200, GMT+2, 38.6, 26.42899
2020/06/27 05:57 +0200, GMT+2, 38.2, 26.84971
2020/06/27 06:17 +0200, GMT+2, 37.7, 27.25434
2020/06/27 06:37 +0200, GMT+2, 36.8, 27.64007
2020/06/27 06:57 +0200, GMT+2, 35.8, 28.00448
2020/06/27 07:17 +0200, GMT+2, 34.9, 28.34883
2020/06/27 07:37 +0200, GMT+2, 34.1, 28.67559
2020/06/27 07:57 +0200, GMT+2, 33.4, 28.98696
2020/06/27 08:17 +0200, GMT+2, 32.8, 29.28493
2020/06/27 08:37 +0200, GMT+2, 32.1, 29.57015
2020/06/27 08:57 +0200, GMT+2, 31.6, 29.84381
2020/06/27 09:17 +0200, GMT+2, 31.1, 30.10752
2020/06/27 09:37 +0200, GMT+2, 30.6, 30.3617
2020/06/27 09:57 +0200, GMT+2, 30.1, 30.60676
2020/06/27 10:17 +0200, GMT+2, 29.5, 30.84256
2020/06/27 10:37 +0200, GMT+2, 29.2, 31.07047
2020/06/27 10:57 +0200, GMT+2, 28.8, 31.29179
2020/06/27 11:17 +0200, GMT+2, 28.5, 31.50673
2020/06/27 11:37 +0200, GMT+2, 28.2, 31.71599
2020/06/27 11:57 +0200, GMT+2, 27.8, 31.9193
2020/06/27 12:17 +0200, GMT+2, 27.3, 32.11596
2020/06/27 12:37 +0200, GMT+2, 27.3, 32.30796
2020/06/27 12:57 +0200, GMT+2, 27.4, 32.49806
2020/06/27 13:17 +0200, GMT+2, 27.2, 32.68541
2020/06/27 13:37 +0200, GMT+2, 26.7, 32.86755
2020/06/27 13:57 +0200, GMT+2, 26.1, 33.04298
2020/06/27 14:17 +0200, GMT+2, 26.1, 33.21398
2020/06/27 14:37 +0200, GMT+2, 26.1, 33.38306
2020/06/27 14:57 +0200, GMT+2, 26.7, 33.55264
2020/06/27 15:17 +0200, GMT+2, 27.2, 33.72467
2020/06/27 15:37 +0200, GMT+2, 27.6, 33.8983
2020/06/27 15:57 +0200, GMT+2, 27.6, 34.07148
2020/06/27 16:17 +0200, GMT+2, 27.7, 34.24303
2020/06/27 16:37 +0200, GMT+2, 27.5, 34.41221
2020/06/27 16:57 +0200, GMT+2, 27.3, 34.57791
2020/06/27 17:17 +0200, GMT+2, 26.7, 34.73875
2020/06/27 17:37 +0200, GMT+2, 25.8, 34.89234
2020/06/27 17:57 +0200, GMT+2, 25, 35.03827
2020/06/27 18:17 +0200, GMT+2, 24.9, 35.17962
2020/06/27 18:37 +0200, GMT+2, 24.7, 35.31855
2020/06/27 18:57 +0200, GMT+2, 24.4, 35.45445
2020/06/27 19:17 +0200, GMT+2, 24, 35.58674
2020/06/27 19:37 +0200, GMT+2, 23.6, 35.71522
2020/06/27 19:57 +0200, GMT+2, 23.3, 35.84029
2020/06/27 20:17 +0200, GMT+2, 23, 35.96238
2020/06/27 20:37 +0200, GMT+2, 22.5, 36.08095
2020/06/27 20:57 +0200, GMT+2, 22.1, 36.1958
2020/06/27 21:17 +0200, GMT+2, 21.8, 36.30763
2020/06/27 21:37 +0200, GMT+2, 21.3, 36.41624
2020/06/27 21:57 +0200, GMT+2, 20.8, 36.52114
2020/06/27 22:17 +0200, GMT+2, 20.4, 36.62273
2020/06/27 22:37 +0200, GMT+2, 20, 36.72139
2020/06/27 22:57 +0200, GMT+2, 19.6, 36.81717
2020/06/27 23:17 +0200, GMT+2, 19.3, 36.91044
2020/06/27 23:37 +0200, GMT+2, 19, 37.0015
2020/06/27 23:57 +0200, GMT+2, 18.6, 37.09015
2020/06/28 00:17 +0200, GMT+2, 18.3, 37.17647
2020/06/28 00:37 +0200, GMT+2, 18, 37.26074
2020/06/28 00:57 +0200, GMT+2, 17.8, 37.34325
2020/06/28 01:17 +0200, GMT+2, 17.6, 37.4243
2020/06/28 01:37 +0200, GMT+2, 17.3, 37.50365
2020/06/28 01:57 +0200, GMT+2, 17.1, 37.58136
2020/06/28 02:17 +0200, GMT+2, 16.9, 37.65768
2020/06/28 02:37 +0200, GMT+2, 16.7, 37.73265
2020/06/28 02:57 +0200, GMT+2, 16.5, 37.80628
2020/06/28 03:17 +0200, GMT+2, 16.4, 37.87882
2020/06/28 03:37 +0200, GMT+2, 16.2, 37.95029
2020/06/28 03:57 +0200, GMT+2, 16, 38.0205
2020/06/28 04:17 +0200, GMT+2, 15.8, 38.08946
2020/06/28 04:37 +0200, GMT+2, 15.6, 38.15719
2020/06/28 04:57 +0200, GMT+2, 15.4, 38.22372
2020/06/28 05:17 +0200, GMT+2, 15.3, 38.28928
2020/06/28 05:37 +0200, GMT+2, 15.1, 38.35388
2020/06/28 05:57 +0200, GMT+2, 15, 38.41755
2020/06/28 06:17 +0200, GMT+2, 14.8, 38.48028
2020/06/28 06:37 +0200, GMT+2, 14.8, 38.5423
2020/06/28 06:57 +0200, GMT+2, 14.6, 38.60362
2020/06/28 07:17 +0200, GMT+2, 14.6, 38.66424
2020/06/28 07:37 +0200, GMT+2, 14.5, 38.72438
2020/06/28 07:57 +0200, GMT+2, 14.5, 38.78403
2020/06/28 08:17 +0200, GMT+2, 14.5, 38.8434
2020/06/28 08:37 +0200, GMT+2, 14.6, 38.90269
2020/06/28 08:57 +0200, GMT+2, 14.6, 38.96188
2020/06/28 09:17 +0200, GMT+2, 14.6, 39.0208
2020/06/28 09:37 +0200, GMT+2, 14.7, 39.07963
2020/06/28 09:57 +0200, GMT+2, 14.8, 39.13856
2020/06/28 10:17 +0200, GMT+2, 15, 39.19778
2020/06/28 10:37 +0200, GMT+2, 15.2, 39.25748
2020/06/28 10:57 +0200, GMT+2, 15.5, 39.31785
2020/06/28 11:17 +0200, GMT+2, 15.8, 39.37908
2020/06/28 11:37 +0200, GMT+2, 16, 39.44096
2020/06/28 11:57 +0200, GMT+2, 16.1, 39.50312
2020/06/28 12:17 +0200, GMT+2, 16.2, 39.56534
2020/06/28 12:37 +0200, GMT+2, 16.4, 39.62782
