time, timezone, temperature, strength
2020/08/05 09:53 +0200, GMT+2, 17.2, 
2020/08/05 10:13 +0200, GMT+2, 17.2, 
2020/08/05 10:33 +0200, GMT+2, 16.6, 
2020/08/05 10:53 +0200, GMT+2, 16.7, 
2020/08/05 11:13 +0200, GMT+2, 17, 
2020/08/05 11:33 +0200, GMT+2, 17.4, 
2020/08/05 11:53 +0200, GMT+2, 17.6, 
2020/08/05 12:13 +0200, GMT+2, 18.6, 
2020/08/05 12:33 +0200, GMT+2, 19.2, 
2020/08/05 12:53 +0200, GMT+2, 20.1, 
2020/08/05 13:13 +0200, GMT+2, 19.8, 
2020/08/05 13:33 +0200, GMT+2, 20, 
2020/08/05 13:53 +0200, GMT+2, 20.3, 
2020/08/05 14:13 +0200, GMT+2, 20.6, 
2020/08/05 14:33 +0200, GMT+2, 21.1, 
2020/08/05 14:53 +0200, GMT+2, 25.7, 
2020/08/05 15:13 +0200, GMT+2, 26, 0
2020/08/05 15:33 +0200, GMT+2, 26.1, 0
2020/08/05 15:53 +0200, GMT+2, 26.3, 0
2020/08/05 16:13 +0200, GMT+2, 26.6, 0.00028
2020/08/05 16:33 +0200, GMT+2, 27, 0.00377
2020/08/05 16:53 +0200, GMT+2, 27.4, 0.01959
2020/08/05 17:13 +0200, GMT+2, 28, 0.06204
2020/08/05 17:33 +0200, GMT+2, 28.6, 0.14667
2020/08/05 17:53 +0200, GMT+2, 29.4, 0.28714
2020/08/05 18:13 +0200, GMT+2, 30.3, 0.49452
2020/08/05 18:33 +0200, GMT+2, 31.5, 0.77801
2020/08/05 18:53 +0200, GMT+2, 33.1, 1.14777
2020/08/05 19:13 +0200, GMT+2, 34.8, 1.6127
2020/08/05 19:33 +0200, GMT+2, 35.9, 2.16976
2020/08/05 19:53 +0200, GMT+2, 36.6, 2.80385
2020/08/05 20:13 +0200, GMT+2, 37.1, 3.49917
2020/08/05 20:33 +0200, GMT+2, 37.5, 4.24201
2020/08/05 20:53 +0200, GMT+2, 37.8, 5.02015
2020/08/05 21:13 +0200, GMT+2, 38.1, 5.82362
2020/08/05 21:33 +0200, GMT+2, 38.4, 6.64513
2020/08/05 21:53 +0200, GMT+2, 38.6, 7.477
2020/08/05 22:13 +0200, GMT+2, 38.8, 8.31261
2020/08/05 22:33 +0200, GMT+2, 39, 9.14778
2020/08/05 22:53 +0200, GMT+2, 39.1, 9.97768
2020/08/05 23:13 +0200, GMT+2, 39.2, 10.7982
2020/08/05 23:33 +0200, GMT+2, 39.3, 11.6074
2020/08/05 23:53 +0200, GMT+2, 39.2, 12.40092
2020/08/06 00:13 +0200, GMT+2, 39.1, 13.1751
2020/08/06 00:33 +0200, GMT+2, 39, 13.92952
2020/08/06 00:53 +0200, GMT+2, 38.9, 14.66404
2020/08/06 01:13 +0200, GMT+2, 38.7, 15.37744
2020/08/06 01:33 +0200, GMT+2, 38.6, 16.07001
2020/08/06 01:53 +0200, GMT+2, 38.5, 16.74339
2020/08/06 02:13 +0200, GMT+2, 38.3, 17.39677
2020/08/06 02:33 +0200, GMT+2, 38.1, 18.02955
2020/08/06 02:53 +0200, GMT+2, 38, 18.6435
2020/08/06 03:13 +0200, GMT+2, 37.8, 19.23923
2020/08/06 03:33 +0200, GMT+2, 37.7, 19.81732
2020/08/06 03:53 +0200, GMT+2, 37.6, 20.37942
