time, timezone, temperature, strength
2020/08/25 10:04 +0200, GMT+2, 15.5, 
2020/08/25 10:24 +0200, GMT+2, 15.4, 
2020/08/25 10:44 +0200, GMT+2, 15.3, 
2020/08/25 11:04 +0200, GMT+2, 15.7, 
2020/08/25 11:24 +0200, GMT+2, 16, 
2020/08/25 11:44 +0200, GMT+2, 25.5, 
2020/08/25 12:04 +0200, GMT+2, 24.1, 0
2020/08/25 12:24 +0200, GMT+2, 23.5, 0
2020/08/25 12:44 +0200, GMT+2, 23.3, 0
2020/08/25 13:04 +0200, GMT+2, 25.1, 0.00008
2020/08/25 13:24 +0200, GMT+2, 25.5, 0.00159
2020/08/25 13:44 +0200, GMT+2, 25.5, 0.0099
2020/08/25 14:04 +0200, GMT+2, 25.5, 0.03445
2020/08/25 14:24 +0200, GMT+2, 25.5, 0.08555
2020/08/25 14:44 +0200, GMT+2, 25.7, 0.17202
2020/08/25 15:04 +0200, GMT+2, 26, 0.30075
2020/08/25 15:24 +0200, GMT+2, 26.3, 0.47596
2020/08/25 15:44 +0200, GMT+2, 26.8, 0.70038
2020/08/25 16:04 +0200, GMT+2, 27.2, 0.97493
2020/08/25 16:24 +0200, GMT+2, 27.8, 1.2994
2020/08/25 16:44 +0200, GMT+2, 28.4, 1.67372
2020/08/25 17:04 +0200, GMT+2, 29.1, 2.09674
2020/08/25 17:24 +0200, GMT+2, 30.3, 2.5723
2020/08/25 17:44 +0200, GMT+2, 31.6, 3.10562
2020/08/25 18:04 +0200, GMT+2, 32.7, 3.69428
2020/08/25 18:24 +0200, GMT+2, 33.5, 4.3295
2020/08/25 18:44 +0200, GMT+2, 34.3, 5.00356
2020/08/25 19:04 +0200, GMT+2, 35, 5.71091
2020/08/25 19:24 +0200, GMT+2, 35.5, 6.44304
2020/08/25 19:44 +0200, GMT+2, 36.1, 7.19436
2020/08/25 20:04 +0200, GMT+2, 36.5, 7.9596
2020/08/25 20:24 +0200, GMT+2, 36.8, 8.73094
2020/08/25 20:44 +0200, GMT+2, 37.2, 9.5054
2020/08/25 21:04 +0200, GMT+2, 37.6, 10.28191
2020/08/25 21:24 +0200, GMT+2, 37.8, 11.05541
2020/08/25 21:44 +0200, GMT+2, 38, 11.8213
2020/08/25 22:04 +0200, GMT+2, 38.2, 12.57829
2020/08/25 22:24 +0200, GMT+2, 38.3, 13.32396
2020/08/25 22:44 +0200, GMT+2, 38.3, 14.05492
2020/08/25 23:04 +0200, GMT+2, 38.1, 14.76693
2020/08/25 23:24 +0200, GMT+2, 38, 15.45879
2020/08/25 23:44 +0200, GMT+2, 37.8, 16.1308
2020/08/26 00:04 +0200, GMT+2, 37.6, 16.78217
2020/08/26 00:24 +0200, GMT+2, 37.4, 17.41346
2020/08/26 00:44 +0200, GMT+2, 37.1, 18.02411
2020/08/26 01:04 +0200, GMT+2, 36.8, 18.61375
2020/08/26 01:24 +0200, GMT+2, 36.4, 19.1821
2020/08/26 01:44 +0200, GMT+2, 36, 19.72901
2020/08/26 02:04 +0200, GMT+2, 35.5, 20.25441
2020/08/26 02:24 +0200, GMT+2, 35.1, 20.7593
2020/08/26 02:44 +0200, GMT+2, 34.8, 21.2465
2020/08/26 03:04 +0200, GMT+2, 34.5, 21.7177
2020/08/26 03:24 +0200, GMT+2, 34.1, 22.17265
2020/08/26 03:44 +0200, GMT+2, 33.7, 22.61118
2020/08/26 04:04 +0200, GMT+2, 33.3, 23.034
2020/08/26 04:24 +0200, GMT+2, 32.9, 23.4418
2020/08/26 04:44 +0200, GMT+2, 32.5, 23.83525
2020/08/26 05:04 +0200, GMT+2, 32.1, 24.21496
2020/08/26 05:24 +0200, GMT+2, 31.8, 24.58227
2020/08/26 05:44 +0200, GMT+2, 31.5, 24.93844
2020/08/26 06:04 +0200, GMT+2, 31.1, 25.28316
2020/08/26 06:24 +0200, GMT+2, 30.7, 25.6162
2020/08/26 06:44 +0200, GMT+2, 30.4, 25.93872
2020/08/26 07:04 +0200, GMT+2, 30, 26.25113
2020/08/26 07:24 +0200, GMT+2, 29.7, 26.55383
2020/08/26 07:44 +0200, GMT+2, 29.4, 26.84783
2020/08/26 08:04 +0200, GMT+2, 29.1, 27.13344
2020/08/26 08:24 +0200, GMT+2, 28.8, 27.41096
2020/08/26 08:44 +0200, GMT+2, 28.6, 27.68128
2020/08/26 09:04 +0200, GMT+2, 28.3, 27.94465
2020/08/26 09:24 +0200, GMT+2, 28.1, 28.20129
2020/08/26 09:44 +0200, GMT+2, 28, 28.45255
2020/08/26 10:04 +0200, GMT+2, 27.8, 28.69859
2020/08/26 10:24 +0200, GMT+2, 27.6, 28.939
2020/08/26 10:44 +0200, GMT+2, 27.5, 29.1745
2020/08/26 11:04 +0200, GMT+2, 27.1, 29.40417
2020/08/26 11:24 +0200, GMT+2, 26.9, 29.62767
2020/08/26 11:44 +0200, GMT+2, 26.5, 29.84521
2020/08/26 12:04 +0200, GMT+2, 26.3, 30.05698
2020/08/26 12:24 +0200, GMT+2, 26.1, 30.26413
2020/08/26 12:44 +0200, GMT+2, 26, 30.46729
2020/08/26 13:04 +0200, GMT+2, 25.9, 30.66702
2020/08/26 13:24 +0200, GMT+2, 25.6, 30.86248
2020/08/26 13:44 +0200, GMT+2, 25.5, 31.05378
2020/08/26 14:04 +0200, GMT+2, 25.3, 31.24149
2020/08/26 14:24 +0200, GMT+2, 25.2, 31.4257
2020/08/26 14:44 +0200, GMT+2, 25.1, 31.60693
2020/08/26 15:04 +0200, GMT+2, 24.9, 31.78483
2020/08/26 15:24 +0200, GMT+2, 24.7, 31.95904
2020/08/26 15:44 +0200, GMT+2, 24.5, 32.12966
2020/08/26 16:04 +0200, GMT+2, 24.3, 32.2968
2020/08/26 16:24 +0200, GMT+2, 24.2, 32.46093
2020/08/26 16:44 +0200, GMT+2, 24.1, 32.62254
2020/08/26 17:04 +0200, GMT+2, 23.9, 32.78129
2020/08/26 17:24 +0200, GMT+2, 23.7, 32.93685
2020/08/26 17:44 +0200, GMT+2, 23.6, 33.08968
2020/08/26 18:04 +0200, GMT+2, 23.3, 33.23947
2020/08/26 18:24 +0200, GMT+2, 23.1, 33.38592
2020/08/26 18:44 +0200, GMT+2, 23, 33.52986
2020/08/26 19:04 +0200, GMT+2, 22.8, 33.67134
2020/08/26 19:24 +0200, GMT+2, 22.6, 33.81005
2020/08/26 19:44 +0200, GMT+2, 22.5, 33.94642
2020/08/26 20:04 +0200, GMT+2, 22.3, 34.0805
2020/08/26 20:24 +0200, GMT+2, 22.2, 34.21233
2020/08/26 20:44 +0200, GMT+2, 22.1, 34.3423
2020/08/26 21:04 +0200, GMT+2, 22, 34.47045
2020/08/26 21:24 +0200, GMT+2, 21.9, 34.59682
2020/08/26 21:44 +0200, GMT+2, 21.8, 34.72143
2020/08/26 22:04 +0200, GMT+2, 21.8, 34.84465
2020/08/26 22:24 +0200, GMT+2, 21.7, 34.96649
2020/08/26 22:44 +0200, GMT+2, 21.6, 35.08667
2020/08/26 23:04 +0200, GMT+2, 21.6, 35.20552
2020/08/26 23:24 +0200, GMT+2, 21.6, 35.32339
2020/08/26 23:44 +0200, GMT+2, 21.5, 35.43996
2020/08/27 00:04 +0200, GMT+2, 21.5, 35.55527
2020/08/27 00:24 +0200, GMT+2, 21.4, 35.66934
2020/08/27 00:44 +0200, GMT+2, 21.4, 35.78217
2020/08/27 01:04 +0200, GMT+2, 21.3, 35.8938
2020/08/27 01:24 +0200, GMT+2, 21.2, 36.00395
2020/08/27 01:44 +0200, GMT+2, 21.1, 36.11264
2020/08/27 02:04 +0200, GMT+2, 21, 36.2199
2020/08/27 02:24 +0200, GMT+2, 20.9, 36.32575
2020/08/27 02:44 +0200, GMT+2, 20.8, 36.43022
2020/08/27 03:04 +0200, GMT+2, 20.7, 36.53333
2020/08/27 03:24 +0200, GMT+2, 20.6, 36.63511
2020/08/27 03:44 +0200, GMT+2, 20.5, 36.73558
2020/08/27 04:04 +0200, GMT+2, 20.3, 36.83449
2020/08/27 04:24 +0200, GMT+2, 20.3, 36.93214
2020/08/27 04:44 +0200, GMT+2, 20.1, 37.02854
2020/08/27 05:04 +0200, GMT+2, 20.1, 37.12373
2020/08/27 05:24 +0200, GMT+2, 20, 37.21798
2020/08/27 05:44 +0200, GMT+2, 19.9, 37.31104
2020/08/27 06:04 +0200, GMT+2, 19.8, 37.40294
2020/08/27 06:24 +0200, GMT+2, 19.8, 37.49395
2020/08/27 06:44 +0200, GMT+2, 19.7, 37.58408
2020/08/27 07:04 +0200, GMT+2, 19.6, 37.67309
2020/08/27 07:24 +0200, GMT+2, 19.6, 37.76124
2020/08/27 07:44 +0200, GMT+2, 19.5, 37.84856
2020/08/27 08:04 +0200, GMT+2, 19.4, 37.93481
2020/08/27 08:24 +0200, GMT+2, 19.3, 38.02
2020/08/27 08:44 +0200, GMT+2, 19.3, 38.1044
2020/08/27 09:04 +0200, GMT+2, 19.1, 38.18777
2020/08/27 09:24 +0200, GMT+2, 19.1, 38.27012
2020/08/27 09:44 +0200, GMT+2, 19, 38.35172
2020/08/27 10:04 +0200, GMT+2, 19, 38.43257
2020/08/27 10:24 +0200, GMT+2, 19, 38.5129
2020/08/27 10:44 +0200, GMT+2, 19, 38.59273
2020/08/27 11:04 +0200, GMT+2, 19, 38.67205
2020/08/27 11:24 +0200, GMT+2, 18.9, 38.75065
2020/08/27 11:44 +0200, GMT+2, 18.9, 38.82854
2020/08/27 12:04 +0200, GMT+2, 18.8, 38.90572
2020/08/27 12:24 +0200, GMT+2, 18.8, 38.98221
2020/08/27 12:44 +0200, GMT+2, 18.8, 39.05823
2020/08/27 13:04 +0200, GMT+2, 18.7, 39.13357
2020/08/27 13:24 +0200, GMT+2, 18.7, 39.20824
2020/08/27 13:44 +0200, GMT+2, 18.6, 39.28224
2020/08/27 14:04 +0200, GMT+2, 18.6, 39.35559
2020/08/27 14:24 +0200, GMT+2, 18.6, 39.4285
2020/08/27 14:44 +0200, GMT+2, 18.5, 39.50077
2020/08/27 15:04 +0200, GMT+2, 18.5, 39.57241
2020/08/27 15:24 +0200, GMT+2, 18.5, 39.64363
2020/08/27 15:44 +0200, GMT+2, 18.5, 39.71443
2020/08/27 16:04 +0200, GMT+2, 18.4, 39.78461
2020/08/27 16:24 +0200, GMT+2, 18.3, 39.85399
2020/08/27 16:44 +0200, GMT+2, 18.3, 39.92277
2020/08/27 17:04 +0200, GMT+2, 18.3, 39.99115
2020/08/27 17:24 +0200, GMT+2, 18.2, 40.05895
2020/08/27 17:44 +0200, GMT+2, 18.1, 40.12598
2020/08/27 18:04 +0200, GMT+2, 18, 40.19223
2020/08/27 18:24 +0200, GMT+2, 17.8, 40.25755
2020/08/27 18:44 +0200, GMT+2, 17.8, 40.32212
2020/08/27 19:04 +0200, GMT+2, 17.6, 40.38597
2020/08/27 19:24 +0200, GMT+2, 17.5, 40.4489
2020/08/27 19:44 +0200, GMT+2, 17.5, 40.51132
2020/08/27 20:04 +0200, GMT+2, 17.3, 40.57304
2020/08/27 20:24 +0200, GMT+2, 17.2, 40.63388
2020/08/27 20:44 +0200, GMT+2, 17.1, 40.69404
2020/08/27 21:04 +0200, GMT+2, 17, 40.75354
2020/08/27 21:24 +0200, GMT+2, 17, 40.81256
2020/08/27 21:44 +0200, GMT+2, 16.9, 40.87109
2020/08/27 22:04 +0200, GMT+2, 16.8, 40.92899
2020/08/27 22:24 +0200, GMT+2, 16.8, 40.98641
2020/08/27 22:44 +0200, GMT+2, 16.7, 41.04338
2020/08/27 23:04 +0200, GMT+2, 16.6, 41.09972
2020/08/27 23:24 +0200, GMT+2, 16.6, 41.15562
2020/08/27 23:44 +0200, GMT+2, 16.5, 41.21107
2020/08/28 00:04 +0200, GMT+2, 16.5, 41.26609
2020/08/28 00:24 +0200, GMT+2, 16.4, 41.32068
2020/08/28 00:44 +0200, GMT+2, 16.4, 41.37483
2020/08/28 01:04 +0200, GMT+2, 16.3, 41.42857
2020/08/28 01:24 +0200, GMT+2, 16.3, 41.48188
2020/08/28 01:44 +0200, GMT+2, 16.3, 41.53494
2020/08/28 02:04 +0200, GMT+2, 16.2, 41.5876
2020/08/28 02:24 +0200, GMT+2, 16.1, 41.63968
2020/08/28 02:44 +0200, GMT+2, 16.1, 41.69136
2020/08/28 03:04 +0200, GMT+2, 16.1, 41.7428
2020/08/28 03:24 +0200, GMT+2, 16, 41.79385
2020/08/28 03:44 +0200, GMT+2, 16, 41.84451
2020/08/28 04:04 +0200, GMT+2, 16, 41.89494
2020/08/28 04:24 +0200, GMT+2, 16, 41.94514
2020/08/28 04:44 +0200, GMT+2, 15.9, 41.99496
2020/08/28 05:04 +0200, GMT+2, 15.8, 42.04425
2020/08/28 05:24 +0200, GMT+2, 15.8, 42.09316
2020/08/28 05:44 +0200, GMT+2, 15.8, 42.14186
2020/08/28 06:04 +0200, GMT+2, 15.7, 42.19019
2020/08/28 06:24 +0200, GMT+2, 15.7, 42.23815
2020/08/28 06:44 +0200, GMT+2, 15.6, 42.28576
2020/08/28 07:04 +0200, GMT+2, 15.6, 42.33301
2020/08/28 07:24 +0200, GMT+2, 15.6, 42.38006
2020/08/28 07:44 +0200, GMT+2, 15.5, 42.42676
2020/08/28 08:04 +0200, GMT+2, 15.5, 42.47311
2020/08/28 08:24 +0200, GMT+2, 15.5, 42.51927
2020/08/28 08:44 +0200, GMT+2, 15.4, 42.56508
2020/08/28 09:04 +0200, GMT+2, 15.4, 42.61056
2020/08/28 09:24 +0200, GMT+2, 15.3, 42.6557
2020/08/28 09:44 +0200, GMT+2, 15.3, 42.70051
2020/08/28 10:04 +0200, GMT+2, 15.3, 42.74513
2020/08/28 10:24 +0200, GMT+2, 15.3, 42.78957
2020/08/28 10:44 +0200, GMT+2, 15.3, 42.83382
2020/08/28 11:04 +0200, GMT+2, 15.2, 42.87775
2020/08/28 11:24 +0200, GMT+2, 15.2, 42.92136
2020/08/28 11:44 +0200, GMT+2, 15.1, 42.96466
2020/08/28 12:04 +0200, GMT+2, 15.1, 43.00764
2020/08/28 12:24 +0200, GMT+2, 15.1, 43.05045
2020/08/28 12:44 +0200, GMT+2, 15.1, 43.09308
2020/08/28 13:04 +0200, GMT+2, 15, 43.13541
2020/08/28 13:24 +0200, GMT+2, 15, 43.17744
2020/08/28 13:44 +0200, GMT+2, 15, 43.21929
2020/08/28 14:04 +0200, GMT+2, 15, 43.26098
2020/08/28 14:24 +0200, GMT+2, 15, 43.30251
2020/08/28 14:44 +0200, GMT+2, 14.9, 43.34374
2020/08/28 15:04 +0200, GMT+2, 14.8, 43.38454
2020/08/28 15:24 +0200, GMT+2, 14.8, 43.42505
2020/08/28 15:44 +0200, GMT+2, 14.8, 43.46541
2020/08/28 16:04 +0200, GMT+2, 14.7, 43.50548
2020/08/28 16:24 +0200, GMT+2, 14.6, 43.54514
2020/08/28 16:44 +0200, GMT+2, 14.6, 43.58452
2020/08/28 17:04 +0200, GMT+2, 14.5, 43.62362
2020/08/28 17:24 +0200, GMT+2, 14.5, 43.66244
2020/08/28 17:44 +0200, GMT+2, 14.5, 43.70112
2020/08/28 18:04 +0200, GMT+2, 14.4, 43.73953
2020/08/28 18:24 +0200, GMT+2, 14.4, 43.77767
2020/08/28 18:44 +0200, GMT+2, 14.3, 43.81555
2020/08/28 19:04 +0200, GMT+2, 14.3, 43.85316
2020/08/28 19:24 +0200, GMT+2, 14.3, 43.89064
2020/08/28 19:44 +0200, GMT+2, 14.2, 43.92785
2020/08/28 20:04 +0200, GMT+2, 14.1, 43.96469
2020/08/28 20:24 +0200, GMT+2, 14.1, 44.00127
2020/08/28 20:44 +0200, GMT+2, 14, 44.0376
2020/08/28 21:04 +0200, GMT+2, 14, 44.07368
2020/08/28 21:24 +0200, GMT+2, 13.8, 44.10939
2020/08/28 21:44 +0200, GMT+2, 13.8, 44.14474
2020/08/28 22:04 +0200, GMT+2, 13.8, 44.17997
2020/08/28 22:24 +0200, GMT+2, 13.7, 44.21496
2020/08/28 22:44 +0200, GMT+2, 13.6, 44.24959
2020/08/28 23:04 +0200, GMT+2, 13.5, 44.28387
2020/08/28 23:24 +0200, GMT+2, 13.5, 44.31792
2020/08/28 23:44 +0200, GMT+2, 13.4, 44.35174
2020/08/29 00:04 +0200, GMT+2, 13.3, 44.38522
2020/08/29 00:24 +0200, GMT+2, 13.2, 44.41836
2020/08/29 00:44 +0200, GMT+2, 13.1, 44.45116
2020/08/29 01:04 +0200, GMT+2, 13.1, 44.48375
2020/08/29 01:24 +0200, GMT+2, 13, 44.51612
2020/08/29 01:44 +0200, GMT+2, 13, 44.54827
2020/08/29 02:04 +0200, GMT+2, 12.9, 44.58021
2020/08/29 02:24 +0200, GMT+2, 12.8, 44.61183
2020/08/29 02:44 +0200, GMT+2, 12.8, 44.64323
2020/08/29 03:04 +0200, GMT+2, 12.6, 44.67432
2020/08/29 03:24 +0200, GMT+2, 12.6, 44.7051
2020/08/29 03:44 +0200, GMT+2, 12.6, 44.73578
2020/08/29 04:04 +0200, GMT+2, 12.6, 44.76637
2020/08/29 04:24 +0200, GMT+2, 12.5, 44.79676
2020/08/29 04:44 +0200, GMT+2, 12.5, 44.82694
2020/08/29 05:04 +0200, GMT+2, 12.5, 44.85704
2020/08/29 05:24 +0200, GMT+2, 12.4, 44.88693
2020/08/29 05:44 +0200, GMT+2, 12.4, 44.91663
2020/08/29 06:04 +0200, GMT+2, 12.3, 44.94614
2020/08/29 06:24 +0200, GMT+2, 12.3, 44.97545
2020/08/29 06:44 +0200, GMT+2, 12.3, 45.00468
2020/08/29 07:04 +0200, GMT+2, 12.3, 45.03382
2020/08/29 07:24 +0200, GMT+2, 12.2, 45.06277
2020/08/29 07:44 +0200, GMT+2, 12.2, 45.09153
2020/08/29 08:04 +0200, GMT+2, 12.1, 45.1201
2020/08/29 08:24 +0200, GMT+2, 12.1, 45.14849
2020/08/29 08:44 +0200, GMT+2, 12.1, 45.1768
2020/08/29 09:04 +0200, GMT+2, 12.1, 45.20502
2020/08/29 09:24 +0200, GMT+2, 12.1, 45.23316
2020/08/29 09:44 +0200, GMT+2, 12.1, 45.26122
2020/08/29 10:04 +0200, GMT+2, 12, 45.2891
2020/08/29 10:24 +0200, GMT+2, 12, 45.3168
2020/08/29 10:44 +0200, GMT+2, 12, 45.34442
2020/08/29 11:04 +0200, GMT+2, 12, 45.37196
2020/08/29 11:24 +0200, GMT+2, 12, 45.39942
2020/08/29 11:44 +0200, GMT+2, 12, 45.4268
