time, timezone, temperature, strength
2020/08/26 14:35 +0200, GMT+2, 18, 
2020/08/26 14:55 +0200, GMT+2, 24.7, 
2020/08/26 15:15 +0200, GMT+2, 24.7, 
2020/08/26 15:35 +0200, GMT+2, 24.9, 
2020/08/26 15:55 +0200, GMT+2, 25, 
2020/08/26 16:15 +0200, GMT+2, 25.1, 
2020/08/26 16:35 +0200, GMT+2, 25.1, 
2020/08/26 16:55 +0200, GMT+2, 25.3, 0
2020/08/26 17:15 +0200, GMT+2, 25.5, 0
2020/08/26 17:35 +0200, GMT+2, 25.9, 0
2020/08/26 17:55 +0200, GMT+2, 26.3, 0.00022
2020/08/26 18:15 +0200, GMT+2, 26.9, 0.00322
2020/08/26 18:35 +0200, GMT+2, 27.5, 0.01765
2020/08/26 18:55 +0200, GMT+2, 28.3, 0.05817
2020/08/26 19:15 +0200, GMT+2, 29.1, 0.14175
2020/08/26 19:35 +0200, GMT+2, 29.9, 0.28344
2020/08/26 19:55 +0200, GMT+2, 30.8, 0.4947
2020/08/26 20:15 +0200, GMT+2, 32, 0.78503
2020/08/26 20:35 +0200, GMT+2, 33.5, 1.16378
2020/08/26 20:55 +0200, GMT+2, 35.5, 1.64223
2020/08/26 21:15 +0200, GMT+2, 37.5, 2.22944
2020/08/26 21:35 +0200, GMT+2, 38.6, 2.91509
2020/08/26 21:55 +0200, GMT+2, 39.6, 3.67966
2020/08/26 22:15 +0200, GMT+2, 40.4, 4.509
2020/08/26 22:35 +0200, GMT+2, 41.1, 5.38812
2020/08/26 22:55 +0200, GMT+2, 41.8, 6.30546
2020/08/26 23:15 +0200, GMT+2, 42.5, 7.25206
2020/08/26 23:35 +0200, GMT+2, 43.1, 8.21848
2020/08/26 23:55 +0200, GMT+2, 43.6, 9.19475
2020/08/27 00:15 +0200, GMT+2, 44.1, 10.17365
2020/08/27 00:35 +0200, GMT+2, 44.5, 11.14905
2020/08/27 00:55 +0200, GMT+2, 44.8, 12.11421
2020/08/27 01:15 +0200, GMT+2, 45.1, 13.06496
2020/08/27 01:35 +0200, GMT+2, 45.4, 13.9994
2020/08/27 01:55 +0200, GMT+2, 45.6, 14.91471
2020/08/27 02:15 +0200, GMT+2, 45.7, 15.8072
2020/08/27 02:35 +0200, GMT+2, 45.8, 16.67523
2020/08/27 02:55 +0200, GMT+2, 46, 17.52028
2020/08/27 03:15 +0200, GMT+2, 46, 18.34122
2020/08/27 03:35 +0200, GMT+2, 46.1, 19.13726
2020/08/27 03:55 +0200, GMT+2, 46.1, 19.90905
2020/08/27 04:15 +0200, GMT+2, 46.1, 20.65615
2020/08/27 04:35 +0200, GMT+2, 46.1, 21.37941
2020/08/27 04:55 +0200, GMT+2, 46.1, 22.07975
2020/08/27 05:15 +0200, GMT+2, 46.1, 22.75802
2020/08/27 05:35 +0200, GMT+2, 46, 23.41407
2020/08/27 05:55 +0200, GMT+2, 46, 24.04883
2020/08/27 06:15 +0200, GMT+2, 45.9, 24.66323
2020/08/27 06:35 +0200, GMT+2, 45.8, 25.2572
2020/08/27 06:55 +0200, GMT+2, 45.7, 25.83167
2020/08/27 07:15 +0200, GMT+2, 45.6, 26.38752
2020/08/27 07:35 +0200, GMT+2, 45.5, 26.92559
2020/08/27 07:55 +0200, GMT+2, 45.3, 27.44586
2020/08/27 08:15 +0200, GMT+2, 45.2, 27.94914
2020/08/27 08:35 +0200, GMT+2, 45, 28.43622
2020/08/27 08:55 +0200, GMT+2, 44.9, 28.90785
2020/08/27 09:15 +0200, GMT+2, 44.7, 29.36473
