time, timezone, temperature, strength
2020/09/01 10:15 +0200, GMT+2, 17.3, 
2020/09/01 10:35 +0200, GMT+2, 19.5, 
2020/09/01 10:55 +0200, GMT+2, 20.9, 
2020/09/01 11:15 +0200, GMT+2, 21, 
2020/09/01 11:35 +0200, GMT+2, 21.2, 0
2020/09/01 11:55 +0200, GMT+2, 21.5, 0
2020/09/01 12:15 +0200, GMT+2, 21.9, 0
2020/09/01 12:35 +0200, GMT+2, 22.3, 0.00002
2020/09/01 12:55 +0200, GMT+2, 22.8, 0.00057
2020/09/01 13:15 +0200, GMT+2, 23.3, 0.00418
2020/09/01 13:35 +0200, GMT+2, 23.8, 0.01684
2020/09/01 13:55 +0200, GMT+2, 24.5, 0.04749
2020/09/01 14:15 +0200, GMT+2, 25.3, 0.10676
2020/09/01 14:35 +0200, GMT+2, 26.2, 0.20545
2020/09/01 14:55 +0200, GMT+2, 27.1, 0.35328
2020/09/01 15:15 +0200, GMT+2, 28, 0.55771
2020/09/01 15:35 +0200, GMT+2, 28.8, 0.82318
2020/09/01 15:55 +0200, GMT+2, 29.8, 1.15279
2020/09/01 16:15 +0200, GMT+2, 31, 1.55081
2020/09/01 16:35 +0200, GMT+2, 32.4, 2.02156
2020/09/01 16:55 +0200, GMT+2, 34, 2.56946
2020/09/01 17:15 +0200, GMT+2, 35.3, 3.19259
2020/09/01 17:35 +0200, GMT+2, 36.3, 3.88022
2020/09/01 17:55 +0200, GMT+2, 37.1, 4.62007
2020/09/01 18:15 +0200, GMT+2, 37.8, 5.40135
2020/09/01 18:35 +0200, GMT+2, 38.3, 6.21297
2020/09/01 18:55 +0200, GMT+2, 38.8, 7.04563
2020/09/01 19:15 +0200, GMT+2, 39.2, 7.89224
2020/09/01 19:35 +0200, GMT+2, 39.5, 8.7449
2020/09/01 19:55 +0200, GMT+2, 39.7, 9.59656
2020/09/01 20:15 +0200, GMT+2, 39.8, 10.44098
2020/09/01 20:35 +0200, GMT+2, 40, 11.27574
2020/09/01 20:55 +0200, GMT+2, 40, 12.0975
2020/09/01 21:15 +0200, GMT+2, 40.1, 12.90351
2020/09/01 21:35 +0200, GMT+2, 40.1, 13.69293
2020/09/01 21:55 +0200, GMT+2, 40.3, 14.46654
2020/09/01 22:15 +0200, GMT+2, 40.4, 15.22528
2020/09/01 22:35 +0200, GMT+2, 40.5, 15.96751
2020/09/01 22:55 +0200, GMT+2, 40.5, 16.69192
2020/09/01 23:15 +0200, GMT+2, 40.6, 17.39862
2020/09/01 23:35 +0200, GMT+2, 40.6, 18.08786
2020/09/01 23:55 +0200, GMT+2, 40.6, 18.75876
2020/09/02 00:15 +0200, GMT+2, 40.6, 19.41176
2020/09/02 00:35 +0200, GMT+2, 40.6, 20.04733
2020/09/02 00:55 +0200, GMT+2, 40.5, 20.66489
2020/09/02 01:15 +0200, GMT+2, 40.5, 21.26503
2020/09/02 01:35 +0200, GMT+2, 40.5, 21.84935
2020/09/02 01:55 +0200, GMT+2, 40.3, 22.41637
2020/09/02 02:15 +0200, GMT+2, 40.2, 22.96578
