time, timezone, temperature, strength
2020/05/29 16:37 +0200, GMT+02, 25.3, 0
2020/05/29 16:57 +0200, GMT+02, 25.5, 0
2020/05/29 17:39 +0200, GMT+02, 25.6, 0
2020/05/29 17:59 +0200, GMT+02, 25.6, 0
2020/05/29 18:19 +0200, GMT+02, 25.4, 0
2020/05/29 18:39 +0200, GMT+02, 25.3, 0
2020/05/29 18:59 +0200, GMT+02, 25.2, 0
2020/05/29 19:19 +0200, GMT+02, 25, 0
2020/05/29 19:39 +0200, GMT+02, 24.8, 0
2020/05/29 19:59 +0200, GMT+02, 24.7, 0
2020/05/29 20:19 +0200, GMT+02, 24.6, 0
2020/05/29 20:39 +0200, GMT+02, 24.4, 0
2020/05/29 20:59 +0200, GMT+02, 24.3, 0
2020/05/29 21:19 +0200, GMT+02, 24.3, 0
2020/05/29 21:39 +0200, GMT+02, 24.1, 0
2020/05/29 21:59 +0200, GMT+02, 24, 0
2020/05/29 22:19 +0200, GMT+02, 23.9, 0
2020/05/29 22:39 +0200, GMT+02, 23.7, 0
2020/05/29 22:59 +0200, GMT+02, 23.6, 0
2020/05/29 23:19 +0200, GMT+02, 23.5, 0
2020/05/29 23:39 +0200, GMT+02, 23.3, 0
2020/05/29 23:59 +0200, GMT+02, 23, 0
2020/05/30 00:19 +0200, GMT+02, 22.9, 0
2020/05/30 00:39 +0200, GMT+02, 22.7, 0
2020/05/30 00:59 +0200, GMT+02, 22.6, 0
2020/05/30 01:19 +0200, GMT+02, 22.4, 0
2020/05/30 01:39 +0200, GMT+02, 22.2, 0
2020/05/30 01:59 +0200, GMT+02, 22, 0.23502
2020/05/30 02:19 +0200, GMT+02, 21.8, 0.48867
2020/05/30 02:39 +0200, GMT+02, 21.5, 0.74625
2020/05/30 02:59 +0200, GMT+02, 21.3, 1.00697
2020/05/30 03:19 +0200, GMT+02, 21.1, 1.27083
2020/05/30 03:39 +0200, GMT+02, 20.8, 1.53647
2020/05/30 03:59 +0200, GMT+02, 20.6, 1.80329
2020/05/30 04:19 +0200, GMT+02, 20.3, 2.07074
2020/05/30 04:39 +0200, GMT+02, 20, 2.33758
2020/05/30 04:59 +0200, GMT+02, 19.7, 2.60335
2020/05/30 05:19 +0200, GMT+02, 19.5, 2.86838
2020/05/30 05:39 +0200, GMT+02, 19.1, 3.13156
2020/05/30 05:59 +0200, GMT+02, 18.8, 3.39181
2020/05/30 06:19 +0200, GMT+02, 18.5, 3.64959
2020/05/30 06:39 +0200, GMT+02, 18.3, 3.90538
2020/05/30 06:59 +0200, GMT+02, 18, 4.15898
2020/05/30 07:19 +0200, GMT+02, 17.8, 4.41017
2020/05/30 07:39 +0200, GMT+02, 17.5, 4.65878
2020/05/30 07:59 +0200, GMT+02, 17.3, 4.90467
2020/05/30 08:19 +0200, GMT+02, 17.2, 5.14916
2020/05/30 08:39 +0200, GMT+02, 17.1, 5.39288
2020/05/30 08:59 +0200, GMT+02, 17.1, 5.63643
2020/05/30 09:19 +0200, GMT+02, 17.1, 5.88047
2020/05/30 09:39 +0200, GMT+02, 17.2, 6.12562
2020/05/30 09:59 +0200, GMT+02, 17.4, 6.3733
2020/05/30 10:19 +0200, GMT+02, 17.6, 6.62417
2020/05/30 10:39 +0200, GMT+02, 17.8, 6.87818
2020/05/30 10:59 +0200, GMT+02, 18.1, 7.13602
2020/05/30 11:19 +0200, GMT+02, 18.4, 7.3984
2020/05/30 11:39 +0200, GMT+02, 18.8, 7.66605
2020/05/30 11:59 +0200, GMT+02, 19.2, 7.9397
2020/05/30 12:19 +0200, GMT+02, 19.7, 8.22011
2020/05/30 12:39 +0200, GMT+02, 20.2, 8.50807
2020/05/30 12:59 +0200, GMT+02, 20.7, 8.80355
2020/05/30 13:19 +0200, GMT+02, 21.3, 9.10735
2020/05/30 13:39 +0200, GMT+02, 21.8, 9.41945
2020/05/30 13:59 +0200, GMT+02, 22.2, 9.73814
2020/05/30 14:19 +0200, GMT+02, 22.6, 10.0625
2020/05/30 14:39 +0200, GMT+02, 23, 10.39244
2020/05/30 14:59 +0200, GMT+02, 23.5, 10.72873
2020/05/30 15:19 +0200, GMT+02, 24, 11.07211
2020/05/30 15:39 +0200, GMT+02, 24.5, 11.42251
2020/05/30 15:59 +0200, GMT+02, 24.8, 11.77807
2020/05/30 16:19 +0200, GMT+02, 25.2, 12.13779
2020/05/30 16:39 +0200, GMT+02, 25.6, 12.50241
2020/05/30 16:59 +0200, GMT+02, 26, 12.87181
2020/05/30 17:19 +0200, GMT+02, 26.3, 13.24497
2020/05/30 17:39 +0200, GMT+02, 26.6, 13.62087
2020/05/30 17:59 +0200, GMT+02, 26.8, 13.99849
2020/05/30 18:19 +0200, GMT+02, 27, 14.37684
2020/05/30 18:39 +0200, GMT+02, 27, 14.75404
2020/05/30 18:59 +0200, GMT+02, 27.1, 15.12916
2020/05/30 19:19 +0200, GMT+02, 27.1, 15.50214
2020/05/30 19:39 +0200, GMT+02, 27, 15.87122
2020/05/30 19:59 +0200, GMT+02, 26.9, 16.23557
2020/05/30 20:19 +0200, GMT+02, 26.8, 16.59519
2020/05/30 20:39 +0200, GMT+02, 26.6, 16.94931
2020/05/30 20:59 +0200, GMT+02, 26.5, 17.29799
2020/05/30 21:19 +0200, GMT+02, 26.3, 17.64129
2020/05/30 21:39 +0200, GMT+02, 26.1, 17.97849
2020/05/30 21:59 +0200, GMT+02, 26, 18.31046
2020/05/30 22:19 +0200, GMT+02, 25.7, 18.6365
2020/05/30 22:39 +0200, GMT+02, 25.5, 18.95595
2020/05/30 22:59 +0200, GMT+02, 25.2, 19.26894
2020/05/30 23:19 +0200, GMT+02, 24.9, 19.57485
2020/05/30 23:39 +0200, GMT+02, 24.6, 19.87382
2020/05/30 23:59 +0200, GMT+02, 24.3, 20.16602
2020/05/31 00:19 +0200, GMT+02, 24, 20.45159
