time, timezone, temperature, strength
2020/06/26 15:47 +0200, GMT+02, 29.6, 0
2020/06/26 16:07 +0200, GMT+02, 29.5, 0
2020/06/26 16:27 +0200, GMT+02, 29.4, 0
2020/06/26 16:47 +0200, GMT+02, 29.2, 0
2020/06/26 17:07 +0200, GMT+02, 29.1, 0
2020/06/26 17:27 +0200, GMT+02, 29.1, 0
2020/06/26 17:47 +0200, GMT+02, 29, 0
2020/06/26 18:07 +0200, GMT+02, 28.9, 0
2020/06/26 18:27 +0200, GMT+02, 28.8, 0
2020/06/26 18:47 +0200, GMT+02, 28.7, 0
2020/06/26 19:07 +0200, GMT+02, 28.5, 0
2020/06/26 19:27 +0200, GMT+02, 28.4, 0
2020/06/26 19:47 +0200, GMT+02, 28.2, 0
2020/06/26 20:07 +0200, GMT+02, 28, 0
2020/06/26 20:27 +0200, GMT+02, 27.8, 0
2020/06/26 20:47 +0200, GMT+02, 27.6, 0
2020/06/26 21:07 +0200, GMT+02, 27.5, 0
2020/06/26 21:27 +0200, GMT+02, 27.4, 0
2020/06/26 21:47 +0200, GMT+02, 27.3, 0
2020/06/26 22:07 +0200, GMT+02, 27.2, 0
2020/06/26 22:27 +0200, GMT+02, 27.2, 0
2020/06/26 22:47 +0200, GMT+02, 27.2, 0
2020/06/26 23:07 +0200, GMT+02, 27.2, 0
2020/06/26 23:27 +0200, GMT+02, 27.3, 0.19412
2020/06/26 23:47 +0200, GMT+02, 27.3, 0.52507
2020/06/27 00:07 +0200, GMT+02, 27.3, 0.86849
2020/06/27 00:27 +0200, GMT+02, 27.3, 1.22319
2020/06/27 00:47 +0200, GMT+02, 27.3, 1.58799
2020/06/27 01:07 +0200, GMT+02, 27.2, 1.96094
2020/06/27 01:27 +0200, GMT+02, 27.2, 2.34127
2020/06/27 01:47 +0200, GMT+02, 27.2, 2.72825
2020/06/27 02:07 +0200, GMT+02, 27.1, 3.1204
2020/06/27 02:27 +0200, GMT+02, 27.1, 3.51686
2020/06/27 02:47 +0200, GMT+02, 27, 3.91685
2020/06/27 03:07 +0200, GMT+02, 26.9, 4.31869
2020/06/27 03:27 +0200, GMT+02, 26.7, 4.72078
2020/06/27 03:47 +0200, GMT+02, 26.5, 5.12154
2020/06/27 04:07 +0200, GMT+02, 26.3, 5.52044
2020/06/27 04:27 +0200, GMT+02, 26, 5.91603
2020/06/27 04:47 +0200, GMT+02, 25.8, 6.3079
2020/06/27 05:07 +0200, GMT+02, 25.6, 6.69662
2020/06/27 05:27 +0200, GMT+02, 25.4, 7.08187
2020/06/27 05:47 +0200, GMT+02, 25.2, 7.46337
2020/06/27 06:07 +0200, GMT+02, 25, 7.8409
2020/06/27 06:27 +0200, GMT+02, 24.8, 8.21425
2020/06/27 06:47 +0200, GMT+02, 24.6, 8.58325
2020/06/27 07:07 +0200, GMT+02, 24.4, 8.94776
2020/06/27 07:27 +0200, GMT+02, 24.2, 9.30767
2020/06/27 07:47 +0200, GMT+02, 24, 9.66317
2020/06/27 08:07 +0200, GMT+02, 23.8, 10.01359
2020/06/27 08:27 +0200, GMT+02, 23.6, 10.35918
2020/06/27 08:47 +0200, GMT+02, 23.3, 10.69903
2020/06/27 09:07 +0200, GMT+02, 23.1, 11.03314
2020/06/27 09:27 +0200, GMT+02, 22.9, 11.36234
2020/06/27 09:47 +0200, GMT+02, 22.7, 11.68664
2020/06/27 10:07 +0200, GMT+02, 22.5, 12.00604
2020/06/27 10:27 +0200, GMT+02, 22.4, 12.32136
