time, timezone, temperature, strength
2020/06/22 14:47 +0200, GMT+02, 24.1, 0
2020/06/22 15:03 +0200, GMT+02, 24.3, 0
2020/06/22 15:23 +0200, GMT+02, 24.8, 0
2020/06/22 15:43 +0200, GMT+02, 25.5, 0
2020/06/22 16:03 +0200, GMT+02, 26.1, 0
2020/06/22 16:23 +0200, GMT+02, 26.5, 0
2020/06/22 16:43 +0200, GMT+02, 26.7, 0
2020/06/22 17:03 +0200, GMT+02, 27, 0
2020/06/22 17:23 +0200, GMT+02, 27, 0
2020/06/22 17:43 +0200, GMT+02, 26.6, 0
2020/06/22 18:03 +0200, GMT+02, 26.7, 0
2020/06/22 18:23 +0200, GMT+02, 26.6, 0
2020/06/22 18:43 +0200, GMT+02, 26.3, 0
2020/06/22 19:03 +0200, GMT+02, 26, 0
2020/06/22 19:23 +0200, GMT+02, 25.6, 0
2020/06/22 19:43 +0200, GMT+02, 24.9, 0
2020/06/22 20:03 +0200, GMT+02, 24.3, 0
2020/06/22 20:23 +0200, GMT+02, 23.8, 0
