time, timezone, temperature, strength
2020/06/24 17:00 +0200, GMT+02, 30.6, 
2020/06/24 17:16 +0200, GMT+02, 29.6, 
2020/06/24 17:36 +0200, GMT+02, 29.3, 
2020/06/24 17:56 +0200, GMT+02, 29.3, 
2020/06/24 18:16 +0200, GMT+02, 28.9, 
2020/06/24 18:36 +0200, GMT+02, 29.1, 0
2020/06/24 18:52 +0200, GMT+02, 26.3, 0
2020/06/24 19:12 +0200, GMT+02, 26.4, 0
2020/06/24 19:32 +0200, GMT+02, 26, 0
2020/06/24 19:52 +0200, GMT+02, 25.5, 0
2020/06/24 20:12 +0200, GMT+02, 25.3, 0
2020/06/24 20:32 +0200, GMT+02, 25.1, 0
2020/06/24 20:52 +0200, GMT+02, 25, 0
2020/06/24 21:12 +0200, GMT+02, 24.8, 0
2020/06/24 21:32 +0200, GMT+02, 24.5, 0
2020/06/24 21:52 +0200, GMT+02, 24.4, 0
2020/06/24 22:12 +0200, GMT+02, 24.4, 0
2020/06/24 22:32 +0200, GMT+02, 24.2, 0
2020/06/24 22:52 +0200, GMT+02, 24.1, 0
2020/06/24 23:12 +0200, GMT+02, 24, 0
2020/06/24 23:32 +0200, GMT+02, 23.8, 0
2020/06/24 23:52 +0200, GMT+02, 23.8, 0
2020/06/25 00:12 +0200, GMT+02, 23.6, 0
2020/06/25 00:32 +0200, GMT+02, 23.6, 0
2020/06/25 00:52 +0200, GMT+02, 23.7, 0
2020/06/25 01:12 +0200, GMT+02, 23.7, 0
2020/06/25 01:32 +0200, GMT+02, 23.6, 0
2020/06/25 01:52 +0200, GMT+02, 23.6, 0
2020/06/25 02:12 +0200, GMT+02, 23.6, 0
2020/06/25 02:32 +0200, GMT+02, 23.7, 0
2020/06/25 02:52 +0200, GMT+02, 23.9, 0
2020/06/25 03:12 +0200, GMT+02, 24, 0
2020/06/25 03:32 +0200, GMT+02, 24.3, 0
2020/06/25 03:52 +0200, GMT+02, 24.6, 0.27233
2020/06/25 04:12 +0200, GMT+02, 25.1, 0.56904
2020/06/25 04:32 +0200, GMT+02, 25.5, 0.88239
2020/06/25 04:52 +0200, GMT+02, 26, 1.2122
2020/06/25 05:12 +0200, GMT+02, 26.6, 1.55986
2020/06/25 05:32 +0200, GMT+02, 27.1, 1.92523
2020/06/25 05:52 +0200, GMT+02, 27.8, 2.30898
2020/06/25 06:12 +0200, GMT+02, 28.5, 2.71274
2020/06/25 06:32 +0200, GMT+02, 29.1, 3.13545
2020/06/25 06:52 +0200, GMT+02, 29.8, 3.57681
2020/06/25 07:12 +0200, GMT+02, 30.4, 4.0365
2020/06/25 07:32 +0200, GMT+02, 31, 4.51306
2020/06/25 07:52 +0200, GMT+02, 31.3, 5.00287
2020/06/25 08:12 +0200, GMT+02, 31.8, 5.50418
2020/06/25 08:32 +0200, GMT+02, 32.3, 6.01842
2020/06/25 08:52 +0200, GMT+02, 32.8, 6.54493
2020/06/25 09:12 +0200, GMT+02, 33.3, 7.08305
2020/06/25 09:32 +0200, GMT+02, 31.6, 7.60846
2020/06/25 09:52 +0200, GMT+02, 28.3, 8.08004
2020/06/25 10:12 +0200, GMT+02, 27.7, 8.51155
2020/06/25 10:32 +0200, GMT+02, 29.5, 8.9537
2020/06/25 10:52 +0200, GMT+02, 30.4, 9.42136
2020/06/25 11:12 +0200, GMT+02, 31, 9.90227
2020/06/25 11:32 +0200, GMT+02, 31.3, 10.38995
2020/06/25 11:52 +0200, GMT+02, 31.5, 10.87992
2020/06/25 12:12 +0200, GMT+02, 31.6, 11.36978
2020/06/25 12:32 +0200, GMT+02, 31.8, 11.85926
2020/06/25 12:52 +0200, GMT+02, 32.1, 12.3501
2020/06/25 13:12 +0200, GMT+02, 32.5, 12.84408
2020/06/25 13:32 +0200, GMT+02, 32.8, 13.3409
2020/06/25 13:52 +0200, GMT+02, 33.2, 13.84026
2020/06/25 14:12 +0200, GMT+02, 33.3, 14.33986
2020/06/25 14:32 +0200, GMT+02, 33.4, 14.83646
2020/06/25 14:52 +0200, GMT+02, 33.4, 15.32891
2020/06/25 15:12 +0200, GMT+02, 33.1, 15.8132
2020/06/25 15:32 +0200, GMT+02, 32.5, 16.2836
2020/06/25 15:52 +0200, GMT+02, 33.5, 16.75274
2020/06/25 16:12 +0200, GMT+02, 34.6, 17.23667
2020/06/25 16:32 +0200, GMT+02, 35.1, 17.73026
2020/06/25 16:52 +0200, GMT+02, 35, 18.22165
2020/06/25 17:12 +0200, GMT+02, 35.1, 18.7053
2020/06/25 17:32 +0200, GMT+02, 34.9, 19.18355
2020/06/25 17:52 +0200, GMT+02, 34.5, 19.65024
2020/06/25 18:12 +0200, GMT+02, 34.1, 20.10386
2020/06/25 18:32 +0200, GMT+02, 33.8, 20.54602
2020/06/25 18:52 +0200, GMT+02, 33.5, 20.97715
2020/06/25 19:12 +0200, GMT+02, 33.4, 21.3996
2020/06/25 19:32 +0200, GMT+02, 33.1, 21.81355
2020/06/25 19:52 +0200, GMT+02, 32.8, 22.21755
2020/06/25 20:12 +0200, GMT+02, 32.8, 22.61427
2020/06/25 20:32 +0200, GMT+02, 32.5, 23.00386
2020/06/25 20:52 +0200, GMT+02, 32.2, 23.38412
2020/06/25 21:12 +0200, GMT+02, 32.1, 23.75683
2020/06/25 21:32 +0200, GMT+02, 32, 24.12369
2020/06/25 21:52 +0200, GMT+02, 32, 24.48555
