time, timezone, temperature, strength
2020/08/07 15:12 +0200, GMT+02, 30.7, 
2020/08/07 15:32 +0200, GMT+02, 31.1, 0
2020/08/07 15:52 +0200, GMT+02, 31.3, 0
2020/08/07 16:12 +0200, GMT+02, 31.1, 0
2020/08/07 16:32 +0200, GMT+02, 31.2, 0
2020/08/07 16:52 +0200, GMT+02, 31.3, 0
2020/08/07 17:12 +0200, GMT+02, 31.4, 0
2020/08/07 17:32 +0200, GMT+02, 31.5, 0
2020/08/07 17:52 +0200, GMT+02, 31.6, 0
2020/08/07 18:12 +0200, GMT+02, 31.8, 0
2020/08/07 18:32 +0200, GMT+02, 32.1, 0
2020/08/07 18:52 +0200, GMT+02, 32.3, 0
2020/08/07 19:12 +0200, GMT+02, 32.6, 0
2020/08/07 19:32 +0200, GMT+02, 32.9, 0
2020/08/07 19:52 +0200, GMT+02, 33.1, 0
2020/08/07 20:12 +0200, GMT+02, 33.6, 0
2020/08/07 20:32 +0200, GMT+02, 33.7, 0
2020/08/07 20:52 +0200, GMT+02, 33.7, 0
2020/08/07 21:12 +0200, GMT+02, 33.7, 0
2020/08/07 21:32 +0200, GMT+02, 33.6, 0
2020/08/07 21:52 +0200, GMT+02, 33.5, 0.09207
2020/08/07 22:12 +0200, GMT+02, 33.5, 0.52171
2020/08/07 22:32 +0200, GMT+02, 33.4, 0.97176
2020/08/07 22:52 +0200, GMT+02, 33.3, 1.43846
2020/08/07 23:12 +0200, GMT+02, 33.3, 1.92013
2020/08/07 23:32 +0200, GMT+02, 33.2, 2.4144
2020/08/07 23:52 +0200, GMT+02, 33.1, 2.91807
2020/08/08 00:12 +0200, GMT+02, 33, 3.42916
2020/08/08 00:32 +0200, GMT+02, 33, 3.94693
2020/08/08 00:52 +0200, GMT+02, 32.9, 4.46984
2020/08/08 01:12 +0200, GMT+02, 32.8, 4.99539
2020/08/08 01:32 +0200, GMT+02, 32.8, 5.52343
2020/08/08 01:52 +0200, GMT+02, 32.6, 6.05177
