time, timezone, temperature, strength
2020/07/06 14:02 +0200, GMT+02, 19.5, 
2020/07/06 14:03 +0200, GMT+02, 19.6, 
2020/07/06 14:22 +0200, GMT+02, 19, 
2020/07/06 14:42 +0200, GMT+02, 18, 
2020/07/06 15:02 +0200, GMT+02, 19.4, 
2020/07/06 15:22 +0200, GMT+02, 22.4, 
2020/07/06 15:42 +0200, GMT+02, 21.8, 
2020/07/06 16:02 +0200, GMT+02, 21.3, 
2020/07/06 16:22 +0200, GMT+02, 20.9, 
2020/07/06 16:42 +0200, GMT+02, 20.6, 
2020/07/06 17:02 +0200, GMT+02, 20.3, 0
2020/07/06 17:22 +0200, GMT+02, 20.1, 0
2020/07/06 17:42 +0200, GMT+02, 19.8, 0
2020/07/06 18:02 +0200, GMT+02, 19.8, 0
2020/07/06 18:22 +0200, GMT+02, 19.7, 0
2020/07/06 18:42 +0200, GMT+02, 19.7, 0
2020/07/06 19:02 +0200, GMT+02, 19.7, 0
2020/07/06 19:22 +0200, GMT+02, 19.7, 0
2020/07/06 19:42 +0200, GMT+02, 19.7, 0
2020/07/06 20:02 +0200, GMT+02, 19.6, 0
2020/07/06 20:22 +0200, GMT+02, 19.7, 0
2020/07/06 20:42 +0200, GMT+02, 19.7, 0
2020/07/06 21:02 +0200, GMT+02, 19.8, 0
2020/07/06 21:22 +0200, GMT+02, 19.8, 0
2020/07/06 21:42 +0200, GMT+02, 19.8, 0
2020/07/06 22:02 +0200, GMT+02, 19.9, 0
2020/07/06 22:22 +0200, GMT+02, 20, 0
2020/07/06 22:42 +0200, GMT+02, 20, 0
2020/07/06 23:02 +0200, GMT+02, 20, 0
2020/07/06 23:22 +0200, GMT+02, 19.9, 0
2020/07/06 23:42 +0200, GMT+02, 19.9, 0
2020/07/07 00:02 +0200, GMT+02, 19.9, 0
2020/07/07 00:22 +0200, GMT+02, 19.9, 0
2020/07/07 00:42 +0200, GMT+02, 20, 0
2020/07/07 01:02 +0200, GMT+02, 20, 0
2020/07/07 01:22 +0200, GMT+02, 20, 0
2020/07/07 01:42 +0200, GMT+02, 20, 0
2020/07/07 02:02 +0200, GMT+02, 20.1, 0
2020/07/07 02:22 +0200, GMT+02, 20.1, 0
2020/07/07 02:42 +0200, GMT+02, 20.2, 0
2020/07/07 03:02 +0200, GMT+02, 20.2, 0
2020/07/07 03:22 +0200, GMT+02, 20.2, 0
2020/07/07 03:42 +0200, GMT+02, 20.1, 0
2020/07/07 04:02 +0200, GMT+02, 20, 0
2020/07/07 04:22 +0200, GMT+02, 19.9, 0
2020/07/07 04:42 +0200, GMT+02, 19.8, 0.21127
2020/07/07 05:02 +0200, GMT+02, 19.7, 0.43593
2020/07/07 05:22 +0200, GMT+02, 19.6, 0.66524
2020/07/07 05:42 +0200, GMT+02, 19.4, 0.89806
2020/07/07 06:02 +0200, GMT+02, 19.2, 1.13322
2020/07/07 06:22 +0200, GMT+02, 19, 1.37024
2020/07/07 06:42 +0200, GMT+02, 19, 1.61004
2020/07/07 07:02 +0200, GMT+02, 18.8, 1.85247
2020/07/07 07:22 +0200, GMT+02, 18.8, 2.09678
2020/07/07 07:42 +0200, GMT+02, 18.8, 2.34427
2020/07/07 08:02 +0200, GMT+02, 18.7, 2.59396
