time, timezone, temperature, strength
2020/08/11 18:09 +0200, GMT+02, 36.6, 0
2020/08/11 18:29 +0200, GMT+02, 32.3, 0
2020/08/11 18:49 +0200, GMT+02, 32.3, 0
2020/08/11 19:09 +0200, GMT+02, 32.5, 0
2020/08/11 19:29 +0200, GMT+02, 32.6, 0
2020/08/11 19:49 +0200, GMT+02, 32.8, 0
2020/08/11 20:09 +0200, GMT+02, 33, 0
2020/08/11 20:29 +0200, GMT+02, 33.1, 0
2020/08/11 20:49 +0200, GMT+02, 33.1, 0
2020/08/11 21:09 +0200, GMT+02, 33.3, 0
2020/08/11 21:29 +0200, GMT+02, 33.5, 0
2020/08/11 21:49 +0200, GMT+02, 33.6, 0
2020/08/11 22:09 +0200, GMT+02, 33.8, 0
2020/08/11 22:29 +0200, GMT+02, 33.9, 0
2020/08/11 22:49 +0200, GMT+02, 34.1, 0
2020/08/11 23:09 +0200, GMT+02, 34.1, 0
2020/08/11 23:29 +0200, GMT+02, 34.2, 0
2020/08/11 23:49 +0200, GMT+02, 34.2, 0
2020/08/12 00:09 +0200, GMT+02, 34.3, 0.01557
2020/08/12 00:29 +0200, GMT+02, 34.3, 0.45522
2020/08/12 00:49 +0200, GMT+02, 34.3, 0.91808
2020/08/12 01:09 +0200, GMT+02, 34.4, 1.40213
2020/08/12 01:29 +0200, GMT+02, 34.5, 1.9057
2020/08/12 01:49 +0200, GMT+02, 34.6, 2.42636
2020/08/12 02:09 +0200, GMT+02, 34.8, 2.96291
2020/08/12 02:29 +0200, GMT+02, 34.8, 3.51223
2020/08/12 02:49 +0200, GMT+02, 34.9, 4.07129
2020/08/12 03:09 +0200, GMT+02, 34.9, 4.63827
2020/08/12 03:29 +0200, GMT+02, 34.9, 5.21041
2020/08/12 03:49 +0200, GMT+02, 34.9, 5.78622
2020/08/12 04:09 +0200, GMT+02, 34.8, 6.36373
2020/08/12 04:29 +0200, GMT+02, 34.8, 6.94079
2020/08/12 04:49 +0200, GMT+02, 34.8, 7.518
2020/08/12 05:09 +0200, GMT+02, 34.8, 8.09445
2020/08/12 05:29 +0200, GMT+02, 34.8, 8.66936
2020/08/12 05:49 +0200, GMT+02, 34.8, 9.24202
2020/08/12 06:09 +0200, GMT+02, 34.7, 9.81071
2020/08/12 06:29 +0200, GMT+02, 34.6, 10.37383
2020/08/12 06:49 +0200, GMT+02, 34.5, 10.93095
2020/08/12 07:09 +0200, GMT+02, 34.5, 11.48284
2020/08/12 07:29 +0200, GMT+02, 34.4, 12.0292
2020/08/12 07:49 +0200, GMT+02, 34.4, 12.56976
2020/08/12 08:09 +0200, GMT+02, 34.3, 13.10433
2020/08/12 08:29 +0200, GMT+02, 34.3, 13.63274
2020/08/12 08:49 +0200, GMT+02, 34.1, 14.15381
2020/08/12 09:09 +0200, GMT+02, 34, 14.66646
2020/08/12 09:29 +0200, GMT+02, 34, 15.17271
2020/08/12 09:49 +0200, GMT+02, 33.9, 15.67249
2020/08/12 10:09 +0200, GMT+02, 33.6, 16.16284
2020/08/12 10:29 +0200, GMT+02, 33.4, 16.64289
2020/08/12 10:49 +0200, GMT+02, 33.3, 17.1147
2020/08/12 11:09 +0200, GMT+02, 33.2, 17.57928
2020/08/12 11:29 +0200, GMT+02, 33.3, 18.03856
2020/08/12 11:49 +0200, GMT+02, 33.3, 18.49345
2020/08/12 12:09 +0200, GMT+02, 33.5, 18.94484
2020/08/12 12:29 +0200, GMT+02, 33.8, 19.39538
2020/08/12 12:49 +0200, GMT+02, 34.3, 19.84766
2020/08/12 13:09 +0200, GMT+02, 35, 20.30509
2020/08/12 13:29 +0200, GMT+02, 35.7, 20.7692
2020/08/12 13:49 +0200, GMT+02, 36.5, 21.24063
2020/08/12 14:09 +0200, GMT+02, 37, 21.71768
2020/08/12 14:29 +0200, GMT+02, 37.5, 22.1966
2020/08/12 14:49 +0200, GMT+02, 37.9, 22.67669
2020/08/12 15:09 +0200, GMT+02, 38, 23.15422
2020/08/12 15:29 +0200, GMT+02, 38.1, 23.62653
2020/08/12 15:49 +0200, GMT+02, 38.1, 24.09277
2020/08/12 16:09 +0200, GMT+02, 38, 24.55134
2020/08/12 16:29 +0200, GMT+02, 38, 25.00237
2020/08/12 16:49 +0200, GMT+02, 38.1, 25.44764
2020/08/12 17:09 +0200, GMT+02, 38.4, 25.88966
2020/08/12 17:29 +0200, GMT+02, 38.8, 26.3308
2020/08/12 17:49 +0200, GMT+02, 39, 26.77016
2020/08/12 18:09 +0200, GMT+02, 38.8, 27.20298
2020/08/12 18:29 +0200, GMT+02, 38.7, 27.62705
2020/08/12 18:49 +0200, GMT+02, 38.5, 28.0426
2020/08/12 19:09 +0200, GMT+02, 38.1, 28.44763
2020/08/12 19:29 +0200, GMT+02, 37.9, 28.84247
2020/08/12 19:49 +0200, GMT+02, 37.6, 29.22815
2020/08/12 20:09 +0200, GMT+02, 37.5, 29.60563
2020/08/12 20:29 +0200, GMT+02, 37.2, 29.97514
2020/08/12 20:49 +0200, GMT+02, 37, 30.33623
2020/08/12 21:09 +0200, GMT+02, 36.6, 30.68846
2020/08/12 21:29 +0200, GMT+02, 36.3, 31.03147
2020/08/12 21:49 +0200, GMT+02, 36, 31.36618
2020/08/12 22:09 +0200, GMT+02, 35.6, 31.6922
2020/08/12 22:29 +0200, GMT+02, 35.3, 32.00982
2020/08/12 22:49 +0200, GMT+02, 35.1, 32.32049
2020/08/12 23:09 +0200, GMT+02, 34.8, 32.62441
2020/08/12 23:29 +0200, GMT+02, 34.6, 32.92176
2020/08/12 23:49 +0200, GMT+02, 34.3, 33.21271
2020/08/13 00:09 +0200, GMT+02, 34.1, 33.49745
2020/08/13 00:29 +0200, GMT+02, 33.9, 33.7767
2020/08/13 00:49 +0200, GMT+02, 33.6, 34.05004
2020/08/13 01:09 +0200, GMT+02, 33.5, 34.31838
2020/08/13 01:29 +0200, GMT+02, 33.3, 34.58195
2020/08/13 01:49 +0200, GMT+02, 33, 34.84003
2020/08/13 02:09 +0200, GMT+02, 32.8, 35.09275
2020/08/13 02:29 +0200, GMT+02, 32.6, 35.34076
2020/08/13 02:49 +0200, GMT+02, 32.4, 35.58417
2020/08/13 03:09 +0200, GMT+02, 32.2, 35.8231
2020/08/13 03:29 +0200, GMT+02, 32.1, 36.05813
2020/08/13 03:49 +0200, GMT+02, 32, 36.28982
2020/08/13 04:09 +0200, GMT+02, 31.8, 36.51778
2020/08/13 04:29 +0200, GMT+02, 31.6, 36.74161
2020/08/13 04:49 +0200, GMT+02, 31.5, 36.96186
