time, timezone, temperature, strength
2020/07/13 17:19 +0200, GMT+02, 27.8, 
2020/07/13 17:38 +0200, GMT+02, 33.3, 
2020/07/13 17:58 +0200, GMT+02, 31.4, 
2020/07/13 18:18 +0200, GMT+02, 26.8, 
2020/07/13 18:38 +0200, GMT+02, 27.1, 0
2020/07/13 18:58 +0200, GMT+02, 26.9, 0
2020/07/13 19:18 +0200, GMT+02, 26.7, 0
2020/07/13 19:38 +0200, GMT+02, 26.5, 0
2020/07/13 19:58 +0200, GMT+02, 26.2, 0
2020/07/13 20:18 +0200, GMT+02, 26, 0
2020/07/13 20:38 +0200, GMT+02, 25.8, 0
2020/07/13 20:58 +0200, GMT+02, 25.8, 0
2020/07/13 21:18 +0200, GMT+02, 25.7, 0
2020/07/13 21:38 +0200, GMT+02, 25.7, 0
2020/07/13 21:58 +0200, GMT+02, 25.8, 0
2020/07/13 22:18 +0200, GMT+02, 25.8, 0
2020/07/13 22:38 +0200, GMT+02, 25.8, 0
2020/07/13 22:58 +0200, GMT+02, 25.8, 0
2020/07/13 23:18 +0200, GMT+02, 25.8, 0
2020/07/13 23:38 +0200, GMT+02, 25.9, 0
2020/07/13 23:58 +0200, GMT+02, 26.1, 0
2020/07/14 00:18 +0200, GMT+02, 26.2, 0
2020/07/14 00:38 +0200, GMT+02, 26.4, 0
2020/07/14 00:58 +0200, GMT+02, 26.6, 0
2020/07/14 01:18 +0200, GMT+02, 26.7, 0
2020/07/14 01:38 +0200, GMT+02, 26.7, 0
2020/07/14 01:58 +0200, GMT+02, 26.7, 0
2020/07/14 02:18 +0200, GMT+02, 26.6, 0
2020/07/14 02:38 +0200, GMT+02, 26.5, 0
2020/07/14 02:58 +0200, GMT+02, 26.4, 0.11171
2020/07/14 03:18 +0200, GMT+02, 26.3, 0.42478
2020/07/14 03:38 +0200, GMT+02, 26.1, 0.74728
2020/07/14 03:58 +0200, GMT+02, 26, 1.07791
2020/07/14 04:18 +0200, GMT+02, 25.9, 1.41631
2020/07/14 04:38 +0200, GMT+02, 25.6, 1.75976
2020/07/14 04:58 +0200, GMT+02, 25.5, 2.1072
2020/07/14 05:18 +0200, GMT+02, 25.3, 2.45853
2020/07/14 05:38 +0200, GMT+02, 25.1, 2.81203
2020/07/14 05:58 +0200, GMT+02, 25, 3.16778
2020/07/14 06:18 +0200, GMT+02, 24.9, 3.52599
2020/07/14 06:38 +0200, GMT+02, 24.8, 3.88604
2020/07/14 06:58 +0200, GMT+02, 24.7, 4.24739
2020/07/14 07:18 +0200, GMT+02, 24.6, 4.60952
2020/07/14 07:38 +0200, GMT+02, 24.5, 4.97199
2020/07/14 07:58 +0200, GMT+02, 24.4, 5.33438
2020/07/14 08:18 +0200, GMT+02, 24.3, 5.69631
2020/07/14 08:38 +0200, GMT+02, 24.3, 6.05834
2020/07/14 08:58 +0200, GMT+02, 24.1, 6.41926
2020/07/14 09:18 +0200, GMT+02, 24.1, 6.77881
2020/07/14 09:38 +0200, GMT+02, 24.1, 7.13852
2020/07/14 09:58 +0200, GMT+02, 24.1, 7.49816
2020/07/14 10:18 +0200, GMT+02, 24.1, 7.85781
2020/07/14 10:38 +0200, GMT+02, 24.3, 8.21847
2020/07/14 10:58 +0200, GMT+02, 24.4, 8.58115
2020/07/14 11:18 +0200, GMT+02, 24.6, 8.94567
2020/07/14 11:38 +0200, GMT+02, 24.7, 9.31185
2020/07/14 11:58 +0200, GMT+02, 24.8, 9.67863
2020/07/14 12:09 +0200, GMT+02, 24.9, 9.88292
2020/07/14 12:20 +0200, GMT+02, 24.9, 10.07594
2020/07/14 12:29 +0200, GMT+02, 25, 10.24054
2020/07/14 12:35 +0200, GMT+02, 25, 10.36048
2020/07/14 12:41 +0200, GMT+02, 25, 10.46861
2020/07/14 12:46 +0200, GMT+02, 25.1, 10.56369
2020/07/14 12:51 +0200, GMT+02, 25, 10.65131
2020/07/14 14:37 +0200, GMT+02, 25.4, 12.58675
2020/07/14 14:38 +0200, GMT+02, 25.5, 12.59554
2020/07/14 14:54 +0200, GMT+02, 25.5, 12.88445
2020/07/14 15:14 +0200, GMT+02, 25.6, 13.24701
2020/07/14 15:34 +0200, GMT+02, 25.6, 13.60804
2020/07/14 15:54 +0200, GMT+02, 25.6, 13.96662
