time, timezone, temperature, strength
2019/10/19 11:07 +0200, GMT+02, 18.5, 0
2019/10/19 11:27 +0200, GMT+02, 17.6, 0
2019/10/19 11:47 +0200, GMT+02, 17, 0
2019/10/19 12:07 +0200, GMT+02, 16.5, 0
2019/10/19 12:27 +0200, GMT+02, 16.3, 0
2019/10/19 12:47 +0200, GMT+02, 16.1, 0
2019/10/19 13:07 +0200, GMT+02, 16.1, 0
2019/10/19 13:27 +0200, GMT+02, 16, 0
2019/10/19 13:47 +0200, GMT+02, 16, 0
2019/10/19 14:07 +0200, GMT+02, 16, 0
2019/10/19 14:27 +0200, GMT+02, 16, 0
2019/10/19 14:47 +0200, GMT+02, 16, 0
2019/10/19 15:07 +0200, GMT+02, 16.1, 0
2019/10/19 15:27 +0200, GMT+02, 16.2, 0
2019/10/19 15:47 +0200, GMT+02, 16.3, 0
2019/10/19 16:07 +0200, GMT+02, 16.4, 0
2019/10/19 16:27 +0200, GMT+02, 16.5, 0
2019/10/19 16:47 +0200, GMT+02, 16.6, 0
2019/10/19 17:07 +0200, GMT+02, 16.7, 0
2019/10/19 17:27 +0200, GMT+02, 16.8, 0
2019/10/19 17:47 +0200, GMT+02, 16.9, 0
2019/10/19 18:07 +0200, GMT+02, 17, 0
2019/10/19 18:27 +0200, GMT+02, 17, 0
2019/10/19 18:47 +0200, GMT+02, 17.1, 0
2019/10/19 19:07 +0200, GMT+02, 17.1, 0
2019/10/19 19:27 +0200, GMT+02, 17.1, 0
2019/10/19 19:47 +0200, GMT+02, 17.2, 0
2019/10/19 20:07 +0200, GMT+02, 17.3, 0
2019/10/19 20:27 +0200, GMT+02, 17.3, 0
2019/10/19 20:47 +0200, GMT+02, 17.4, 0
2019/10/19 21:07 +0200, GMT+02, 17.4, 0
2019/10/19 21:27 +0200, GMT+02, 17.4, 0
2019/10/19 21:47 +0200, GMT+02, 17.3, 0
2019/10/19 22:07 +0200, GMT+02, 17.3, 0
2019/10/19 22:27 +0200, GMT+02, 17.1, 0
2019/10/19 22:47 +0200, GMT+02, 17.1, 0
2019/10/19 23:07 +0200, GMT+02, 17, 0
2019/10/19 23:27 +0200, GMT+02, 16.8, 0
2019/10/19 23:47 +0200, GMT+02, 16.7, 0
2019/10/20 00:07 +0200, GMT+02, 16.5, 0
2019/10/20 00:27 +0200, GMT+02, 16.4, 0
2019/10/20 00:47 +0200, GMT+02, 16.3, 0.01613
2019/10/20 01:07 +0200, GMT+02, 16.1, 0.19332
2019/10/20 01:27 +0200, GMT+02, 16, 0.373
2019/10/20 01:47 +0200, GMT+02, 15.8, 0.55486
2019/10/20 02:07 +0200, GMT+02, 15.7, 0.73861
2019/10/20 02:27 +0200, GMT+02, 15.6, 0.92456
2019/10/20 02:47 +0200, GMT+02, 15.4, 1.11186
2019/10/20 03:07 +0200, GMT+02, 15.3, 1.30028
2019/10/20 03:27 +0200, GMT+02, 15.1, 1.48956
2019/10/20 03:47 +0200, GMT+02, 15, 1.67951
2019/10/20 04:07 +0200, GMT+02, 14.8, 1.8699
2019/10/20 04:27 +0200, GMT+02, 14.6, 2.05994
2019/10/20 04:47 +0200, GMT+02, 14.5, 2.25004
2019/10/20 05:07 +0200, GMT+02, 14.3, 2.44005
2019/10/20 05:27 +0200, GMT+02, 14.1, 2.62919
2019/10/20 05:47 +0200, GMT+02, 14, 2.81794
2019/10/20 06:07 +0200, GMT+02, 13.8, 3.00616
2019/10/20 06:27 +0200, GMT+02, 13.6, 3.19311
2019/10/20 06:47 +0200, GMT+02, 13.5, 3.3793
2019/10/20 07:07 +0200, GMT+02, 13.4, 3.56527
2019/10/20 07:27 +0200, GMT+02, 13.2, 3.75028
2019/10/20 07:47 +0200, GMT+02, 13, 3.93361
2019/10/20 08:07 +0200, GMT+02, 12.9, 4.11583
2019/10/20 08:27 +0200, GMT+02, 12.7, 4.29685
2019/10/20 08:47 +0200, GMT+02, 12.6, 4.47661
2019/10/20 09:07 +0200, GMT+02, 12.4, 4.65504
2019/10/20 09:27 +0200, GMT+02, 12.2, 4.83147
2019/10/20 09:47 +0200, GMT+02, 12.1, 5.00647
2019/10/20 10:07 +0200, GMT+02, 12, 5.18062
2019/10/20 10:27 +0200, GMT+02, 11.8, 5.35325
2019/10/20 10:47 +0200, GMT+02, 11.8, 5.52493
2019/10/20 11:07 +0200, GMT+02, 11.6, 5.69564
2019/10/20 11:27 +0200, GMT+02, 11.6, 5.86534
2019/10/20 11:47 +0200, GMT+02, 11.6, 6.03523
2019/10/20 12:07 +0200, GMT+02, 11.7, 6.20589
2019/10/20 12:27 +0200, GMT+02, 11.7, 6.3773
2019/10/20 12:47 +0200, GMT+02, 11.8, 6.54943
2019/10/20 13:07 +0200, GMT+02, 11.9, 6.72287
2019/10/20 13:27 +0200, GMT+02, 12, 6.89761
2019/10/20 13:47 +0200, GMT+02, 12.1, 7.07362
2019/10/20 14:07 +0200, GMT+02, 12.1, 7.25025
2019/10/20 14:27 +0200, GMT+02, 12.3, 7.42811
2019/10/20 14:47 +0200, GMT+02, 12.3, 7.60717
2019/10/20 15:07 +0200, GMT+02, 12.4, 7.78678
2019/10/20 15:27 +0200, GMT+02, 12.5, 7.96754
2019/10/20 15:47 +0200, GMT+02, 12.6, 8.14944
2019/10/20 16:07 +0200, GMT+02, 12.6, 8.33181
2019/10/20 16:27 +0200, GMT+02, 12.6, 8.514
2019/10/20 16:47 +0200, GMT+02, 12.7, 8.69661
2019/10/20 17:07 +0200, GMT+02, 12.7, 8.87963
2019/10/20 17:27 +0200, GMT+02, 12.7, 9.0624
2019/10/20 17:47 +0200, GMT+02, 12.7, 9.2449
2019/10/20 18:07 +0200, GMT+02, 12.7, 9.4271
2019/10/20 18:27 +0200, GMT+02, 12.7, 9.609
2019/10/20 18:47 +0200, GMT+02, 12.7, 9.79057
2019/10/20 19:07 +0200, GMT+02, 12.7, 9.97179
2019/10/20 19:27 +0200, GMT+02, 12.6, 10.15203
2019/10/20 19:47 +0200, GMT+02, 12.6, 10.33127
2019/10/20 20:07 +0200, GMT+02, 12.6, 10.51013
2019/10/20 20:27 +0200, GMT+02, 12.6, 10.6886
2019/10/20 20:47 +0200, GMT+02, 12.5, 10.86603
2019/10/20 21:07 +0200, GMT+02, 12.5, 11.04243
2019/10/20 21:27 +0200, GMT+02, 12.5, 11.2184
2019/10/20 21:47 +0200, GMT+02, 12.4, 11.39332
2019/10/20 22:07 +0200, GMT+02, 12.3, 11.56657
2019/10/20 22:27 +0200, GMT+02, 12.3, 11.73876
2019/10/20 22:47 +0200, GMT+02, 12.3, 11.9105
2019/10/20 23:07 +0200, GMT+02, 12.2, 12.08118
2019/10/20 23:27 +0200, GMT+02, 12.1, 12.25019
2019/10/20 23:47 +0200, GMT+02, 12.1, 12.41813
2019/10/21 00:07 +0200, GMT+02, 12, 12.58501
2019/10/21 00:27 +0200, GMT+02, 12, 12.75082
2019/10/21 00:47 +0200, GMT+02, 12, 12.91615
2019/10/21 01:07 +0200, GMT+02, 11.9, 13.08041
2019/10/21 01:27 +0200, GMT+02, 11.9, 13.2436
2019/10/21 01:47 +0200, GMT+02, 11.9, 13.40631
2019/10/21 02:07 +0200, GMT+02, 11.8, 13.56794
2019/10/21 02:27 +0200, GMT+02, 11.8, 13.7285
2019/10/21 02:47 +0200, GMT+02, 11.8, 13.88857
2019/10/21 03:07 +0200, GMT+02, 11.8, 14.04814
2019/10/21 03:27 +0200, GMT+02, 11.8, 14.20721
2019/10/21 03:47 +0200, GMT+02, 11.7, 14.3652
2019/10/21 04:07 +0200, GMT+02, 11.7, 14.52213
