time, timezone, temperature, strength
2019/10/17 17:19 +0200, GMT+02, 14.6, 
2019/10/17 17:39 +0200, GMT+02, 14.6, 
2019/10/17 17:59 +0200, GMT+02, 14.1, 
2019/10/17 18:19 +0200, GMT+02, 18, 0
2019/10/17 18:39 +0200, GMT+02, 18.9, 0
2019/10/17 18:59 +0200, GMT+02, 18.1, 0
2019/10/17 19:19 +0200, GMT+02, 17.5, 0
2019/10/17 19:39 +0200, GMT+02, 17, 0
2019/10/17 19:59 +0200, GMT+02, 16.7, 0
2019/10/17 20:19 +0200, GMT+02, 16.4, 0
2019/10/17 20:39 +0200, GMT+02, 16.1, 0
2019/10/17 20:59 +0200, GMT+02, 16, 0
2019/10/17 21:19 +0200, GMT+02, 15.8, 0
2019/10/17 21:39 +0200, GMT+02, 15.6, 0
2019/10/17 21:59 +0200, GMT+02, 15.6, 0
2019/10/17 22:19 +0200, GMT+02, 15.5, 0
2019/10/17 22:39 +0200, GMT+02, 15.4, 0
2019/10/17 22:59 +0200, GMT+02, 15.3, 0
2019/10/17 23:19 +0200, GMT+02, 15.2, 0
2019/10/17 23:39 +0200, GMT+02, 15.2, 0
2019/10/17 23:59 +0200, GMT+02, 15.1, 0
2019/10/18 00:19 +0200, GMT+02, 15.1, 0
2019/10/18 00:39 +0200, GMT+02, 15.1, 0
2019/10/18 00:59 +0200, GMT+02, 15.1, 0
2019/10/18 01:19 +0200, GMT+02, 15, 0
2019/10/18 01:39 +0200, GMT+02, 15.1, 0
2019/10/18 01:59 +0200, GMT+02, 15.1, 0
2019/10/18 02:19 +0200, GMT+02, 15.1, 0
2019/10/18 02:39 +0200, GMT+02, 15.1, 0
2019/10/18 02:59 +0200, GMT+02, 15.1, 0
2019/10/18 03:19 +0200, GMT+02, 15.2, 0
2019/10/18 03:39 +0200, GMT+02, 15.3, 0
2019/10/18 03:59 +0200, GMT+02, 15.3, 0
2019/10/18 04:19 +0200, GMT+02, 15.4, 0
2019/10/18 04:39 +0200, GMT+02, 15.5, 0
2019/10/18 04:59 +0200, GMT+02, 15.5, 0
2019/10/18 05:19 +0200, GMT+02, 15.5, 0
2019/10/18 05:39 +0200, GMT+02, 15.5, 0
2019/10/18 05:59 +0200, GMT+02, 15.5, 0
2019/10/18 06:19 +0200, GMT+02, 15.4, 0
2019/10/18 06:39 +0200, GMT+02, 15.4, 0
2019/10/18 06:59 +0200, GMT+02, 15.3, 0
2019/10/18 07:19 +0200, GMT+02, 15.3, 0
2019/10/18 07:39 +0200, GMT+02, 15.1, 0
2019/10/18 07:59 +0200, GMT+02, 15.1, 0
2019/10/18 08:19 +0200, GMT+02, 15, 0
2019/10/18 08:39 +0200, GMT+02, 14.9, 0
2019/10/18 08:59 +0200, GMT+02, 14.8, 0.02553
2019/10/18 09:19 +0200, GMT+02, 14.6, 0.18662
2019/10/18 09:39 +0200, GMT+02, 14.5, 0.34957
2019/10/18 09:59 +0200, GMT+02, 14.5, 0.51523
2019/10/18 10:19 +0200, GMT+02, 14.3, 0.68285
2019/10/18 10:39 +0200, GMT+02, 14.2, 0.85167
2019/10/18 10:59 +0200, GMT+02, 14.1, 1.02205
2019/10/18 11:19 +0200, GMT+02, 14, 1.19381
2019/10/18 11:39 +0200, GMT+02, 14, 1.36734
2019/10/18 11:59 +0200, GMT+02, 14, 1.5431
2019/10/18 12:19 +0200, GMT+02, 14, 1.72097
2019/10/18 12:39 +0200, GMT+02, 14.1, 1.90143
2019/10/18 12:59 +0200, GMT+02, 14.1, 2.08439
2019/10/18 13:19 +0200, GMT+02, 14.2, 2.26976
2019/10/18 13:39 +0200, GMT+02, 14.3, 2.45807
2019/10/18 13:59 +0200, GMT+02, 14.5, 2.64988
2019/10/18 14:19 +0200, GMT+02, 14.7, 2.84579
2019/10/18 14:39 +0200, GMT+02, 14.8, 3.04511
2019/10/18 14:59 +0200, GMT+02, 14.9, 3.24713
2019/10/18 15:19 +0200, GMT+02, 15.1, 3.45244
2019/10/18 15:39 +0200, GMT+02, 15.2, 3.66099
2019/10/18 15:59 +0200, GMT+02, 15.3, 3.87203
2019/10/18 16:19 +0200, GMT+02, 15.5, 4.08617
2019/10/18 16:39 +0200, GMT+02, 15.5, 4.30267
2019/10/18 16:59 +0200, GMT+02, 15.6, 4.52076
2019/10/18 17:19 +0200, GMT+02, 15.6, 4.74035
2019/10/18 17:39 +0200, GMT+02, 15.5, 4.95997
2019/10/18 17:59 +0200, GMT+02, 15.5, 5.17952
2019/10/18 18:19 +0200, GMT+02, 15.3, 5.39822
2019/10/18 18:39 +0200, GMT+02, 15.3, 5.616
2019/10/18 18:59 +0200, GMT+02, 15.1, 5.83276
2019/10/18 19:19 +0200, GMT+02, 15, 6.04776
2019/10/18 19:39 +0200, GMT+02, 14.9, 6.26163
