time, timezone, temperature, strength
2020/09/16 18:23 +0200, GMT+02, 24.5, 0
2020/09/16 18:25 +0200, GMT+02, 25.9, 0
2020/09/16 18:44 +0200, GMT+02, 26.4, 0
2020/09/16 18:50 +0200, GMT+02, 24.7, 0
2020/09/16 18:58 +0200, GMT+02, 25.1, 0
2020/09/16 19:18 +0200, GMT+02, 25.4, 0
2020/09/16 19:38 +0200, GMT+02, 25, 0
2020/09/16 19:58 +0200, GMT+02, 24.6, 0
2020/09/16 20:18 +0200, GMT+02, 24.3, 0
2020/09/16 20:38 +0200, GMT+02, 24, 0
2020/09/16 20:58 +0200, GMT+02, 23.8, 0
2020/09/16 21:18 +0200, GMT+02, 23.7, 0
2020/09/16 21:38 +0200, GMT+02, 23.6, 0
2020/09/16 21:58 +0200, GMT+02, 23.6, 0
2020/09/16 22:18 +0200, GMT+02, 23.6, 0
2020/09/16 22:38 +0200, GMT+02, 23.6, 0
2020/09/16 22:58 +0200, GMT+02, 23.6, 0
2020/09/16 23:18 +0200, GMT+02, 23.7, 0
2020/09/16 23:38 +0200, GMT+02, 23.8, 0
2020/09/16 23:58 +0200, GMT+02, 24, 0
2020/09/17 00:18 +0200, GMT+02, 24.1, 0
2020/09/17 00:38 +0200, GMT+02, 24.3, 0
2020/09/17 00:58 +0200, GMT+02, 24.5, 0
2020/09/17 01:18 +0200, GMT+02, 24.6, 0
2020/09/17 01:38 +0200, GMT+02, 24.9, 0
2020/09/17 01:58 +0200, GMT+02, 25.1, 0
2020/09/17 02:18 +0200, GMT+02, 25.3, 0
2020/09/17 02:38 +0200, GMT+02, 25.5, 0
2020/09/17 02:58 +0200, GMT+02, 25.7, 0
2020/09/17 03:18 +0200, GMT+02, 25.8, 0.00075
2020/09/17 03:38 +0200, GMT+02, 26, 0.30261
2020/09/17 03:58 +0200, GMT+02, 26, 0.61766
2020/09/17 04:18 +0200, GMT+02, 25.9, 0.94268
2020/09/17 04:38 +0200, GMT+02, 25.8, 1.27579
2020/09/17 04:58 +0200, GMT+02, 25.7, 1.61592
2020/09/17 05:18 +0200, GMT+02, 25.6, 1.9621
2020/09/17 05:38 +0200, GMT+02, 25.5, 2.31341
2020/09/17 05:58 +0200, GMT+02, 25.3, 2.66814
2020/09/17 06:18 +0200, GMT+02, 25.1, 3.02462
2020/09/17 06:38 +0200, GMT+02, 25, 3.38297
2020/09/17 06:58 +0200, GMT+02, 24.8, 3.74253
2020/09/17 07:18 +0200, GMT+02, 24.6, 4.10183
2020/09/17 07:38 +0200, GMT+02, 24.4, 4.46032
2020/09/17 07:58 +0200, GMT+02, 24.2, 4.8175
2020/09/17 08:18 +0200, GMT+02, 24, 5.17296
2020/09/17 08:38 +0200, GMT+02, 23.8, 5.52631
2020/09/17 08:58 +0200, GMT+02, 23.6, 5.87721
2020/09/17 09:18 +0200, GMT+02, 23.5, 6.22625
2020/09/17 09:38 +0200, GMT+02, 23.3, 6.57317
2020/09/17 09:58 +0200, GMT+02, 23.3, 6.9186
2020/09/17 10:18 +0200, GMT+02, 23.2, 7.26351
2020/09/17 10:38 +0200, GMT+02, 23.1, 7.60624
2020/09/17 10:58 +0200, GMT+02, 23, 7.94692
2020/09/17 11:18 +0200, GMT+02, 23, 8.28625
2020/09/17 11:38 +0200, GMT+02, 23, 8.62495
2020/09/17 11:58 +0200, GMT+02, 23, 8.9629
2020/09/17 12:18 +0200, GMT+02, 23, 9.29995
2020/09/17 12:38 +0200, GMT+02, 23.1, 9.63685
2020/09/17 12:58 +0200, GMT+02, 23.2, 9.97434
2020/09/17 13:18 +0200, GMT+02, 23.4, 10.31317
2020/09/17 13:38 +0200, GMT+02, 23.5, 10.65321
2020/09/17 13:58 +0200, GMT+02, 23.5, 10.99264
2020/09/17 14:18 +0200, GMT+02, 23.4, 11.32966
2020/09/17 14:38 +0200, GMT+02, 23.4, 11.6642
2020/09/17 14:58 +0200, GMT+02, 23.5, 11.9979
2020/09/17 15:18 +0200, GMT+02, 23.8, 12.3332
2020/09/17 15:38 +0200, GMT+02, 24.1, 12.6717
2020/09/17 15:58 +0200, GMT+02, 24.5, 13.01413
2020/09/17 16:18 +0200, GMT+02, 24.6, 13.3587
2020/09/17 16:38 +0200, GMT+02, 24.6, 13.70192
2020/09/17 16:58 +0200, GMT+02, 24.6, 14.0429
2020/09/17 17:18 +0200, GMT+02, 24.5, 14.38076
2020/09/17 17:38 +0200, GMT+02, 24.4, 14.71468
2020/09/17 17:58 +0200, GMT+02, 24.5, 15.04628
