time, timezone, temperature, strength
2019/10/19 12:25 +0200, GMT+02, 16.1, 
2019/10/19 12:45 +0200, GMT+02, 19.2, 
2019/10/19 13:05 +0200, GMT+02, 18.7, 
2019/10/19 13:25 +0200, GMT+02, 18.5, 
2019/10/19 13:45 +0200, GMT+02, 18.3, 
2019/10/19 14:05 +0200, GMT+02, 18.1, 0
2019/10/19 14:25 +0200, GMT+02, 18.1, 0
2019/10/19 14:45 +0200, GMT+02, 18.1, 0
2019/10/19 15:05 +0200, GMT+02, 18.1, 0
2019/10/19 15:25 +0200, GMT+02, 18.1, 0
2019/10/19 15:45 +0200, GMT+02, 18.1, 0
2019/10/19 16:05 +0200, GMT+02, 18.1, 0
2019/10/19 16:25 +0200, GMT+02, 18.1, 0
2019/10/19 16:45 +0200, GMT+02, 18.1, 0
2019/10/19 17:05 +0200, GMT+02, 18.1, 0
2019/10/19 17:25 +0200, GMT+02, 18.1, 0
2019/10/19 17:45 +0200, GMT+02, 18.1, 0
2019/10/19 18:05 +0200, GMT+02, 18.1, 0
2019/10/19 18:25 +0200, GMT+02, 18.1, 0
2019/10/19 18:45 +0200, GMT+02, 18.1, 0
2019/10/19 19:05 +0200, GMT+02, 18, 0
2019/10/19 19:25 +0200, GMT+02, 18, 0
2019/10/19 19:45 +0200, GMT+02, 18, 0
2019/10/19 20:05 +0200, GMT+02, 18, 0
2019/10/19 20:25 +0200, GMT+02, 18.1, 0
2019/10/19 20:45 +0200, GMT+02, 18.1, 0
2019/10/19 21:05 +0200, GMT+02, 18.1, 0
2019/10/19 21:25 +0200, GMT+02, 18.1, 0
2019/10/19 21:45 +0200, GMT+02, 18.1, 0
2019/10/19 22:05 +0200, GMT+02, 18, 0
2019/10/19 22:25 +0200, GMT+02, 18, 0
2019/10/19 22:45 +0200, GMT+02, 17.8, 0
2019/10/19 23:05 +0200, GMT+02, 17.6, 0
2019/10/19 23:25 +0200, GMT+02, 17.5, 0
2019/10/19 23:45 +0200, GMT+02, 17.4, 0
2019/10/20 00:05 +0200, GMT+02, 17.3, 0
2019/10/20 00:25 +0200, GMT+02, 17.1, 0
2019/10/20 00:45 +0200, GMT+02, 17, 0
2019/10/20 01:05 +0200, GMT+02, 16.9, 0
2019/10/20 01:25 +0200, GMT+02, 16.7, 0
2019/10/20 01:45 +0200, GMT+02, 16.5, 0
