time, timezone, temperature, strength
2019/10/28 11:35 +0100, GMT+01, 8.7, 
2019/10/28 11:55 +0100, GMT+01, 8.9, 
2019/10/28 12:15 +0100, GMT+01, 9.4, 
2019/10/28 12:35 +0100, GMT+01, 10.1, 
2019/10/28 12:55 +0100, GMT+01, 18.3, 
2019/10/28 13:15 +0100, GMT+01, 15.8, 0
2019/10/28 13:35 +0100, GMT+01, 14.5, 0
2019/10/28 13:55 +0100, GMT+01, 13.8, 0
2019/10/28 14:15 +0100, GMT+01, 13.3, 0
2019/10/28 14:35 +0100, GMT+01, 13, 0
2019/10/28 14:55 +0100, GMT+01, 12.9, 0
2019/10/28 15:15 +0100, GMT+01, 12.8, 0
2019/10/28 15:35 +0100, GMT+01, 12.6, 0
2019/10/28 15:55 +0100, GMT+01, 12.6, 0
2019/10/28 16:15 +0100, GMT+01, 12.6, 0
2019/10/28 16:35 +0100, GMT+01, 12.5, 0
2019/10/28 16:55 +0100, GMT+01, 12.5, 0
2019/10/28 17:15 +0100, GMT+01, 12.5, 0
2019/10/28 17:35 +0100, GMT+01, 12.5, 0
2019/10/28 17:55 +0100, GMT+01, 12.5, 0
2019/10/28 18:15 +0100, GMT+01, 12.5, 0
2019/10/28 18:35 +0100, GMT+01, 12.5, 0
2019/10/28 18:55 +0100, GMT+01, 12.5, 0
2019/10/28 19:15 +0100, GMT+01, 12.5, 0
2019/10/28 19:35 +0100, GMT+01, 12.5, 0
2019/10/28 19:55 +0100, GMT+01, 12.5, 0
2019/10/28 20:15 +0100, GMT+01, 12.6, 0
2019/10/28 20:35 +0100, GMT+01, 12.5, 0
2019/10/28 20:55 +0100, GMT+01, 12.6, 0
2019/10/28 21:15 +0100, GMT+01, 12.6, 0
2019/10/28 21:35 +0100, GMT+01, 12.6, 0
2019/10/28 21:55 +0100, GMT+01, 12.7, 0
2019/10/28 22:15 +0100, GMT+01, 12.7, 0
2019/10/28 22:35 +0100, GMT+01, 12.8, 0
2019/10/28 22:55 +0100, GMT+01, 12.8, 0
2019/10/28 23:15 +0100, GMT+01, 12.8, 0
2019/10/28 23:35 +0100, GMT+01, 12.9, 0
2019/10/28 23:55 +0100, GMT+01, 13, 0
2019/10/29 00:15 +0100, GMT+01, 13.1, 0
2019/10/29 00:35 +0100, GMT+01, 13.1, 0
2019/10/29 00:55 +0100, GMT+01, 13.2, 0
2019/10/29 01:15 +0100, GMT+01, 13.2, 0
2019/10/29 01:35 +0100, GMT+01, 13.2, 0
2019/10/29 01:55 +0100, GMT+01, 13.2, 0
2019/10/29 02:15 +0100, GMT+01, 13.1, 0
2019/10/29 02:35 +0100, GMT+01, 13, 0
2019/10/29 02:55 +0100, GMT+01, 13, 0
2019/10/29 03:15 +0100, GMT+01, 12.8, 0
2019/10/29 03:35 +0100, GMT+01, 12.7, 0
2019/10/29 03:55 +0100, GMT+01, 12.6, 0
2019/10/29 04:15 +0100, GMT+01, 12.5, 0
2019/10/29 04:35 +0100, GMT+01, 12.4, 0
2019/10/29 04:55 +0100, GMT+01, 12.3, 0
2019/10/29 05:15 +0100, GMT+01, 12.1, 0
2019/10/29 05:35 +0100, GMT+01, 12, 0
2019/10/29 05:55 +0100, GMT+01, 11.9, 0
2019/10/29 06:15 +0100, GMT+01, 11.8, 0
2019/10/29 06:35 +0100, GMT+01, 11.6, 0
2019/10/29 06:55 +0100, GMT+01, 11.5, 0
2019/10/29 07:15 +0100, GMT+01, 11.4, 0.10306
2019/10/29 07:35 +0100, GMT+01, 11.3, 0.23198
2019/10/29 07:55 +0100, GMT+01, 11.2, 0.3621
2019/10/29 08:15 +0100, GMT+01, 11.1, 0.4933
2019/10/29 08:35 +0100, GMT+01, 11, 0.62546
2019/10/29 08:55 +0100, GMT+01, 11, 0.75896
2019/10/29 09:15 +0100, GMT+01, 11, 0.89423
2019/10/29 09:35 +0100, GMT+01, 11, 1.03118
2019/10/29 09:55 +0100, GMT+01, 11, 1.16976
2019/10/29 10:15 +0100, GMT+01, 11, 1.30988
2019/10/29 10:35 +0100, GMT+01, 11, 1.4515
2019/10/29 10:55 +0100, GMT+01, 11, 1.59453
2019/10/29 11:15 +0100, GMT+01, 11.1, 1.73947
2019/10/29 11:35 +0100, GMT+01, 11.1, 1.88625
2019/10/29 11:55 +0100, GMT+01, 11.1, 2.03429
2019/10/29 12:15 +0100, GMT+01, 11.2, 2.18408
2019/10/29 12:35 +0100, GMT+01, 11.3, 2.33614
2019/10/29 12:55 +0100, GMT+01, 11.3, 2.48986
2019/10/29 13:15 +0100, GMT+01, 11.3, 2.64464
2019/10/29 13:35 +0100, GMT+01, 11.3, 2.80042
2019/10/29 13:55 +0100, GMT+01, 11.3, 2.95714
2019/10/29 14:15 +0100, GMT+01, 11.5, 3.11591
2019/10/29 14:35 +0100, GMT+01, 11.5, 3.2767
2019/10/29 14:55 +0100, GMT+01, 11.5, 3.43831
2019/10/29 15:15 +0100, GMT+01, 11.6, 3.60127
2019/10/29 15:41 +0100, GMT+01, 11.6, 3.81057
2019/10/29 16:01 +0100, GMT+01, 11.6, 3.97569
2019/10/29 16:21 +0100, GMT+01, 11.6, 4.14143
2019/10/29 16:41 +0100, GMT+01, 11.5, 4.30714
2019/10/29 17:01 +0100, GMT+01, 11.5, 4.47277
2019/10/29 17:21 +0100, GMT+01, 11.5, 4.63887
2019/10/29 17:41 +0100, GMT+01, 11.4, 4.80481
2019/10/29 18:01 +0100, GMT+01, 11.3, 4.96994
2019/10/29 18:21 +0100, GMT+01, 11.3, 5.13481
2019/10/29 18:41 +0100, GMT+01, 11.2, 5.2994
