time, timezone, temperature, strength
2019/11/05 10:26 +0100, GMT+01, 9.1, 
2019/11/05 10:46 +0100, GMT+01, 9.6, 
2019/11/05 11:06 +0100, GMT+01, 9.9, 
2019/11/05 11:26 +0100, GMT+01, 11, 
2019/11/05 11:46 +0100, GMT+01, 11.5, 
2019/11/05 12:06 +0100, GMT+01, 11.7, 
2019/11/05 12:26 +0100, GMT+01, 11.5, 
2019/11/05 12:46 +0100, GMT+01, 11.7, 
2019/11/05 13:06 +0100, GMT+01, 12, 
2019/11/05 13:26 +0100, GMT+01, 12, 
2019/11/05 13:46 +0100, GMT+01, 12.5, 
2019/11/05 14:06 +0100, GMT+01, 14, 
2019/11/05 14:26 +0100, GMT+01, 13.4, 
2019/11/05 14:46 +0100, GMT+01, 14.4, 
2019/11/05 15:06 +0100, GMT+01, 13.1, 
2019/11/05 15:26 +0100, GMT+01, 12.4, 
2019/11/05 15:46 +0100, GMT+01, 12.3, 
2019/11/05 16:06 +0100, GMT+01, 12.4, 0
2019/11/05 16:26 +0100, GMT+01, 19, 0
2019/11/05 16:46 +0100, GMT+01, 17.5, 0
2019/11/05 17:06 +0100, GMT+01, 16.4, 0
2019/11/05 17:26 +0100, GMT+01, 15.6, 0
2019/11/05 17:46 +0100, GMT+01, 15.1, 0
2019/11/05 18:06 +0100, GMT+01, 14.7, 0
2019/11/05 18:26 +0100, GMT+01, 14.3, 0
2019/11/05 18:46 +0100, GMT+01, 14, 0
2019/11/05 19:06 +0100, GMT+01, 13.8, 0
2019/11/05 19:26 +0100, GMT+01, 13.6, 0
2019/11/05 19:46 +0100, GMT+01, 13.5, 0
2019/11/05 20:06 +0100, GMT+01, 13.4, 0
2019/11/05 20:26 +0100, GMT+01, 13.3, 0
2019/11/05 20:46 +0100, GMT+01, 13.2, 0
2019/11/05 21:06 +0100, GMT+01, 13.1, 0
2019/11/05 21:26 +0100, GMT+01, 13.1, 0
2019/11/05 21:46 +0100, GMT+01, 13, 0
2019/11/05 22:06 +0100, GMT+01, 13, 0
2019/11/05 22:26 +0100, GMT+01, 12.9, 0
2019/11/05 22:46 +0100, GMT+01, 12.8, 0
2019/11/05 23:06 +0100, GMT+01, 12.8, 0
2019/11/05 23:26 +0100, GMT+01, 12.7, 0
2019/11/05 23:46 +0100, GMT+01, 12.6, 0
2019/11/06 00:06 +0100, GMT+01, 12.6, 0
2019/11/06 00:26 +0100, GMT+01, 12.5, 0
2019/11/06 00:46 +0100, GMT+01, 12.5, 0
2019/11/06 01:06 +0100, GMT+01, 12.5, 0
2019/11/06 01:26 +0100, GMT+01, 12.4, 0
2019/11/06 01:46 +0100, GMT+01, 12.3, 0
2019/11/06 02:06 +0100, GMT+01, 12.1, 0
2019/11/06 02:26 +0100, GMT+01, 12.1, 0
2019/11/06 02:46 +0100, GMT+01, 12, 0
2019/11/06 03:06 +0100, GMT+01, 11.8, 0
2019/11/06 03:26 +0100, GMT+01, 11.7, 0
2019/11/06 03:46 +0100, GMT+01, 11.6, 0
2019/11/06 04:06 +0100, GMT+01, 11.4, 0
2019/11/06 04:26 +0100, GMT+01, 11.3, 0
2019/11/06 04:46 +0100, GMT+01, 11.1, 0
2019/11/06 05:06 +0100, GMT+01, 10.9, 0
2019/11/06 05:26 +0100, GMT+01, 10.7, 0
2019/11/06 05:46 +0100, GMT+01, 10.6, 0
2019/11/06 06:06 +0100, GMT+01, 10.3, 0
2019/11/06 06:26 +0100, GMT+01, 10.1, 0
2019/11/06 06:46 +0100, GMT+01, 10, 0
2019/11/06 07:06 +0100, GMT+01, 9.8, 0
2019/11/06 07:26 +0100, GMT+01, 9.6, 0
2019/11/06 07:46 +0100, GMT+01, 9.4, 0
2019/11/06 08:06 +0100, GMT+01, 9.2, 0
2019/11/06 08:26 +0100, GMT+01, 9, 0
2019/11/06 08:46 +0100, GMT+01, 8.9, 0
2019/11/06 09:06 +0100, GMT+01, 8.7, 0
2019/11/06 09:26 +0100, GMT+01, 8.6, 0
2019/11/06 09:46 +0100, GMT+01, 8.5, 0
2019/11/06 10:06 +0100, GMT+01, 8.4, 0
2019/11/06 10:26 +0100, GMT+01, 8.3, 0
2019/11/06 10:46 +0100, GMT+01, 8.3, 0.07154
2019/11/06 11:06 +0100, GMT+01, 8.3, 0.1727
2019/11/06 11:26 +0100, GMT+01, 8.3, 0.27522
2019/11/06 11:46 +0100, GMT+01, 8.2, 0.37865
2019/11/06 12:06 +0100, GMT+01, 8.3, 0.48336
2019/11/06 12:26 +0100, GMT+01, 8.3, 0.58975
2019/11/06 12:46 +0100, GMT+01, 8.4, 0.6978
2019/11/06 13:06 +0100, GMT+01, 8.5, 0.80794
2019/11/06 13:26 +0100, GMT+01, 8.6, 0.92017
2019/11/06 13:46 +0100, GMT+01, 8.8, 1.03493
2019/11/06 14:06 +0100, GMT+01, 9, 1.15273
2019/11/06 14:26 +0100, GMT+01, 9.1, 1.27309
2019/11/06 14:46 +0100, GMT+01, 9.2, 1.39555
2019/11/06 15:06 +0100, GMT+01, 9.3, 1.52008
2019/11/06 15:26 +0100, GMT+01, 9.3, 1.64618
2019/11/06 15:46 +0100, GMT+01, 9.3, 1.77331
2019/11/06 16:06 +0100, GMT+01, 9.3, 1.90144
2019/11/06 16:26 +0100, GMT+01, 9.3, 2.03051
2019/11/06 16:46 +0100, GMT+01, 9.3, 2.16049
2019/11/06 17:06 +0100, GMT+01, 9.2, 2.29082
