time, timezone, temperature, strength
2019/11/14 12:57 +0100, GMT+01, 12.4, 0
2019/11/14 13:17 +0100, GMT+01, 12.5, 0
2019/11/14 13:37 +0100, GMT+01, 12.5, 0
2019/11/14 13:57 +0100, GMT+01, 12.5, 0
2019/11/14 14:17 +0100, GMT+01, 12.5, 0
2019/11/14 14:37 +0100, GMT+01, 12.5, 0
2019/11/14 14:57 +0100, GMT+01, 12.5, 0
2019/11/14 15:17 +0100, GMT+01, 12.5, 0
2019/11/14 15:37 +0100, GMT+01, 12.4, 0
2019/11/14 15:57 +0100, GMT+01, 12.4, 0
2019/11/14 16:17 +0100, GMT+01, 12.3, 0
2019/11/14 16:37 +0100, GMT+01, 12.3, 0
2019/11/14 16:57 +0100, GMT+01, 12.3, 0
2019/11/14 17:17 +0100, GMT+01, 12.1, 0
2019/11/14 17:37 +0100, GMT+01, 12.1, 0
2019/11/14 17:57 +0100, GMT+01, 12.1, 0
2019/11/14 18:17 +0100, GMT+01, 12, 0
2019/11/14 18:37 +0100, GMT+01, 12, 0
2019/11/14 18:57 +0100, GMT+01, 11.9, 0
2019/11/14 19:17 +0100, GMT+01, 11.8, 0
2019/11/14 19:37 +0100, GMT+01, 11.8, 0
2019/11/14 19:57 +0100, GMT+01, 11.7, 0
2019/11/14 20:17 +0100, GMT+01, 11.6, 0
2019/11/14 20:37 +0100, GMT+01, 11.6, 0
2019/11/14 20:57 +0100, GMT+01, 11.5, 0
2019/11/14 21:17 +0100, GMT+01, 11.5, 0
2019/11/14 21:37 +0100, GMT+01, 11.5, 0
2019/11/14 21:57 +0100, GMT+01, 11.4, 0
2019/11/14 22:17 +0100, GMT+01, 11.3, 0
2019/11/14 22:37 +0100, GMT+01, 11.3, 0
2019/11/14 22:57 +0100, GMT+01, 11.3, 0
2019/11/14 23:17 +0100, GMT+01, 11.2, 0
2019/11/14 23:37 +0100, GMT+01, 11.1, 0
2019/11/14 23:57 +0100, GMT+01, 11.1, 0
2019/11/15 00:17 +0100, GMT+01, 11, 0
2019/11/15 00:37 +0100, GMT+01, 11, 0
2019/11/15 00:57 +0100, GMT+01, 10.9, 0
2019/11/15 01:17 +0100, GMT+01, 10.8, 0
2019/11/15 01:37 +0100, GMT+01, 10.7, 0
2019/11/15 01:57 +0100, GMT+01, 10.6, 0
2019/11/15 02:17 +0100, GMT+01, 10.6, 0
2019/11/15 02:37 +0100, GMT+01, 10.6, 0
2019/11/15 02:57 +0100, GMT+01, 10.5, 0
2019/11/15 03:17 +0100, GMT+01, 10.5, 0
2019/11/15 03:37 +0100, GMT+01, 10.4, 0
2019/11/15 03:57 +0100, GMT+01, 10.3, 0
2019/11/15 04:17 +0100, GMT+01, 10.3, 0
2019/11/15 04:37 +0100, GMT+01, 10.1, 0
2019/11/15 04:57 +0100, GMT+01, 10.1, 0
2019/11/15 05:17 +0100, GMT+01, 10, 0
2019/11/15 05:37 +0100, GMT+01, 9.9, 0
2019/11/15 05:57 +0100, GMT+01, 9.8, 0
2019/11/15 06:17 +0100, GMT+01, 9.7, 0
2019/11/15 06:37 +0100, GMT+01, 9.6, 0
2019/11/15 06:57 +0100, GMT+01, 9.5, 0
2019/11/15 07:17 +0100, GMT+01, 9.5, 0
2019/11/15 07:37 +0100, GMT+01, 9.4, 0
2019/11/15 07:57 +0100, GMT+01, 9.3, 0
2019/11/15 08:17 +0100, GMT+01, 9.3, 0
2019/11/15 08:37 +0100, GMT+01, 9.2, 0
2019/11/15 08:57 +0100, GMT+01, 9.1, 0.05086
2019/11/15 09:17 +0100, GMT+01, 9.1, 0.15852
2019/11/15 09:37 +0100, GMT+01, 9.1, 0.26776
2019/11/15 09:57 +0100, GMT+01, 9.1, 0.37851
2019/11/15 10:17 +0100, GMT+01, 9.1, 0.49074
2019/11/15 10:37 +0100, GMT+01, 9, 0.60393
2019/11/15 10:57 +0100, GMT+01, 9, 0.71803
2019/11/15 11:17 +0100, GMT+01, 9, 0.83344
2019/11/15 11:37 +0100, GMT+01, 9, 0.95011
2019/11/15 11:57 +0100, GMT+01, 9, 1.068
2019/11/15 12:17 +0100, GMT+01, 9, 1.18707
2019/11/15 12:37 +0100, GMT+01, 9, 1.30728
2019/11/15 12:57 +0100, GMT+01, 9.1, 1.42906
2019/11/15 13:17 +0100, GMT+01, 9.1, 1.55241
2019/11/15 13:37 +0100, GMT+01, 9.1, 1.67678
2019/11/15 13:57 +0100, GMT+01, 9.2, 1.80264
2019/11/15 14:17 +0100, GMT+01, 9.3, 1.93047
2019/11/15 14:37 +0100, GMT+01, 9.3, 2.05975
2019/11/15 14:57 +0100, GMT+01, 9.3, 2.18993
2019/11/15 15:17 +0100, GMT+01, 9.3, 2.32097
2019/11/15 15:37 +0100, GMT+01, 9.3, 2.45284
2019/11/15 15:57 +0100, GMT+01, 9.3, 2.58549
2019/11/15 16:17 +0100, GMT+01, 9.3, 2.7189
2019/11/15 16:37 +0100, GMT+01, 9.3, 2.85303
2019/11/15 16:57 +0100, GMT+01, 9.3, 2.98783
2019/11/15 17:17 +0100, GMT+01, 9.3, 3.12329
2019/11/15 17:37 +0100, GMT+01, 9.3, 3.25937
2019/11/15 17:57 +0100, GMT+01, 9.3, 3.39603
2019/11/15 18:17 +0100, GMT+01, 9.2, 3.5327
2019/11/15 18:37 +0100, GMT+01, 9.2, 3.66935
2019/11/15 18:57 +0100, GMT+01, 9.1, 3.80594
2019/11/15 19:17 +0100, GMT+01, 9.1, 3.94245
2019/11/15 19:37 +0100, GMT+01, 9.1, 4.07938
2019/11/15 19:57 +0100, GMT+01, 9.1, 4.21672
2019/11/15 20:17 +0100, GMT+01, 9, 4.35388
2019/11/15 20:37 +0100, GMT+01, 9, 4.49084
2019/11/15 20:57 +0100, GMT+01, 9, 4.62813
2019/11/15 21:17 +0100, GMT+01, 9, 4.76571
2019/11/15 21:37 +0100, GMT+01, 8.9, 4.90303
2019/11/15 21:57 +0100, GMT+01, 8.9, 5.04005
2019/11/15 22:17 +0100, GMT+01, 8.8, 5.17675
2019/11/15 22:37 +0100, GMT+01, 8.8, 5.31312
2019/11/15 22:57 +0100, GMT+01, 8.8, 5.44967
2019/11/15 23:17 +0100, GMT+01, 8.7, 5.58585
2019/11/15 23:37 +0100, GMT+01, 8.6, 5.72109
2019/11/15 23:57 +0100, GMT+01, 8.6, 5.85591
2019/11/16 00:17 +0100, GMT+01, 8.6, 5.99085
2019/11/16 00:37 +0100, GMT+01, 8.5, 6.12534
2019/11/16 00:57 +0100, GMT+01, 8.5, 6.25938
2019/11/16 01:17 +0100, GMT+01, 8.5, 6.39349
2019/11/16 01:37 +0100, GMT+01, 8.4, 6.52712
2019/11/16 01:57 +0100, GMT+01, 8.3, 6.65969
2019/11/16 02:17 +0100, GMT+01, 8.3, 6.79176
2019/11/16 02:37 +0100, GMT+01, 8.3, 6.92385
2019/11/16 02:57 +0100, GMT+01, 8.3, 7.05594
2019/11/16 03:17 +0100, GMT+01, 8.3, 7.18803
2019/11/16 03:37 +0100, GMT+01, 8.2, 7.31957
2019/11/16 03:57 +0100, GMT+01, 8.1, 7.45
2019/11/16 04:17 +0100, GMT+01, 8.1, 7.57986
2019/11/16 04:37 +0100, GMT+01, 8.1, 7.70967
2019/11/16 04:57 +0100, GMT+01, 8.1, 7.83943
2019/11/16 05:17 +0100, GMT+01, 8, 7.96859
2019/11/16 05:37 +0100, GMT+01, 8, 8.09715
2019/11/16 05:57 +0100, GMT+01, 8, 8.22562
2019/11/16 06:17 +0100, GMT+01, 8, 8.35401
2019/11/16 06:37 +0100, GMT+01, 8, 8.48231
2019/11/16 06:57 +0100, GMT+01, 7.9, 8.60998
2019/11/16 07:17 +0100, GMT+01, 7.9, 8.737
2019/11/16 07:37 +0100, GMT+01, 7.9, 8.86391
2019/11/16 07:57 +0100, GMT+01, 7.8, 8.99017
2019/11/16 08:17 +0100, GMT+01, 7.8, 9.11577
2019/11/16 08:37 +0100, GMT+01, 7.8, 9.24125
2019/11/16 08:57 +0100, GMT+01, 7.8, 9.36658
2019/11/16 09:17 +0100, GMT+01, 7.8, 9.49178
2019/11/16 09:37 +0100, GMT+01, 7.8, 9.61682
2019/11/16 09:57 +0100, GMT+01, 7.7, 9.74119
2019/11/16 10:17 +0100, GMT+01, 7.8, 9.86539
2019/11/16 10:37 +0100, GMT+01, 7.8, 9.98996
2019/11/16 10:57 +0100, GMT+01, 7.8, 10.11435
2019/11/16 11:17 +0100, GMT+01, 7.8, 10.23857
2019/11/16 11:37 +0100, GMT+01, 7.8, 10.36261
2019/11/16 11:57 +0100, GMT+01, 7.8, 10.48646
2019/11/16 12:17 +0100, GMT+01, 7.8, 10.61013
2019/11/16 12:37 +0100, GMT+01, 7.9, 10.73412
