time, timezone, temperature, strength
2020/05/18 09:28 +0200, GMT+02, 13.1, 
2020/05/18 09:48 +0200, GMT+02, 14, 
2020/05/18 10:08 +0200, GMT+02, 20.7, 
2020/05/18 10:28 +0200, GMT+02, 23.5, 
2020/05/18 10:48 +0200, GMT+02, 19.8, 
2020/05/18 11:08 +0200, GMT+02, 19.6, 0
2020/05/18 11:28 +0200, GMT+02, 19.9, 0
2020/05/18 11:48 +0200, GMT+02, 20.1, 0
2020/05/18 12:08 +0200, GMT+02, 20.4, 0
2020/05/18 12:28 +0200, GMT+02, 20.5, 0
2020/05/18 12:48 +0200, GMT+02, 20.6, 0
2020/05/18 13:08 +0200, GMT+02, 20.5, 0
2020/05/18 13:28 +0200, GMT+02, 20.5, 0
2020/05/18 13:48 +0200, GMT+02, 20.8, 0
2020/05/18 14:08 +0200, GMT+02, 21, 0
2020/05/18 14:28 +0200, GMT+02, 21.2, 0
2020/05/18 14:48 +0200, GMT+02, 21.3, 0
2020/05/18 15:08 +0200, GMT+02, 21.4, 0
2020/05/18 15:28 +0200, GMT+02, 21.5, 0
2020/05/18 15:48 +0200, GMT+02, 21.8, 0
2020/05/18 16:08 +0200, GMT+02, 22, 0
2020/05/18 16:28 +0200, GMT+02, 22.2, 0
2020/05/18 16:48 +0200, GMT+02, 22.5, 0
2020/05/18 17:08 +0200, GMT+02, 22.9, 0
2020/05/18 17:28 +0200, GMT+02, 23.3, 0
2020/05/18 17:48 +0200, GMT+02, 23.7, 0
2020/05/18 18:08 +0200, GMT+02, 24.2, 0
2020/05/18 18:28 +0200, GMT+02, 24.8, 0
2020/05/18 18:48 +0200, GMT+02, 25.4, 0
2020/05/18 19:08 +0200, GMT+02, 26, 0
2020/05/18 19:28 +0200, GMT+02, 26.6, 0
2020/05/18 19:48 +0200, GMT+02, 27.1, 0
2020/05/18 20:08 +0200, GMT+02, 27.6, 0
2020/05/18 20:28 +0200, GMT+02, 28, 0
2020/05/18 20:48 +0200, GMT+02, 28.2, 0
2020/05/18 21:08 +0200, GMT+02, 28.4, 0.33394
2020/05/18 21:28 +0200, GMT+02, 28.5, 0.68883
2020/05/18 21:48 +0200, GMT+02, 28.6, 1.05861
2020/05/18 22:08 +0200, GMT+02, 28.6, 1.44118
2020/05/18 22:28 +0200, GMT+02, 28.6, 1.83438
2020/05/18 22:48 +0200, GMT+02, 28.7, 2.23786
2020/05/18 23:08 +0200, GMT+02, 28.7, 2.65052
2020/05/18 23:28 +0200, GMT+02, 28.8, 3.07129
2020/05/18 23:48 +0200, GMT+02, 28.8, 3.49919
2020/05/19 00:08 +0200, GMT+02, 28.8, 3.93234
2020/05/19 00:28 +0200, GMT+02, 28.8, 4.36984
2020/05/19 00:48 +0200, GMT+02, 28.9, 4.81188
2020/05/19 01:08 +0200, GMT+02, 28.9, 5.25775
2020/05/19 01:28 +0200, GMT+02, 29, 5.70676
2020/05/19 01:48 +0200, GMT+02, 29, 6.1583
2020/05/19 02:08 +0200, GMT+02, 29, 6.61081
2020/05/19 02:28 +0200, GMT+02, 29, 7.06376
2020/05/19 02:48 +0200, GMT+02, 29, 7.51667
2020/05/19 03:08 +0200, GMT+02, 29.1, 7.97012
2020/05/19 03:28 +0200, GMT+02, 29.1, 8.42371
2020/05/19 03:48 +0200, GMT+02, 29.1, 8.87609
2020/05/19 04:08 +0200, GMT+02, 29.1, 9.32693
2020/05/19 04:28 +0200, GMT+02, 29.2, 9.77694
2020/05/19 04:48 +0200, GMT+02, 29.2, 10.22585
2020/05/19 05:08 +0200, GMT+02, 29.2, 10.67242
2020/05/19 05:28 +0200, GMT+02, 29.2, 11.11646
2020/05/19 05:48 +0200, GMT+02, 29.3, 11.55874
2020/05/19 06:08 +0200, GMT+02, 29.3, 11.9991
2020/05/19 06:28 +0200, GMT+02, 29.3, 12.43639
2020/05/19 06:48 +0200, GMT+02, 29.3, 12.87049
2020/05/19 07:08 +0200, GMT+02, 29.3, 13.3013
2020/05/19 07:28 +0200, GMT+02, 29.3, 13.7287
2020/05/19 07:48 +0200, GMT+02, 29.5, 14.15449
2020/05/19 08:08 +0200, GMT+02, 29.5, 14.57855
2020/05/19 08:28 +0200, GMT+02, 29.5, 14.99893
2020/05/19 08:48 +0200, GMT+02, 29.6, 15.4165
2020/05/19 09:08 +0200, GMT+02, 29.8, 15.83299
2020/05/19 09:28 +0200, GMT+02, 30.1, 16.25012
2020/05/19 09:48 +0200, GMT+02, 30.5, 16.66955
2020/05/19 10:08 +0200, GMT+02, 30.8, 17.09113
2020/05/19 10:28 +0200, GMT+02, 31.3, 17.51559
2020/05/19 10:48 +0200, GMT+02, 31.8, 17.94456
2020/05/19 11:08 +0200, GMT+02, 32.3, 18.37783
2020/05/19 11:28 +0200, GMT+02, 32.8, 18.81523
2020/05/19 11:48 +0200, GMT+02, 33.3, 19.25653
2020/05/19 12:08 +0200, GMT+02, 33.8, 19.70154
2020/05/19 12:28 +0200, GMT+02, 34.4, 20.15095
2020/05/19 12:48 +0200, GMT+02, 35, 20.60542
2020/05/19 13:08 +0200, GMT+02, 35.5, 21.06383
2020/05/19 13:28 +0200, GMT+02, 36, 21.52507
2020/05/19 13:48 +0200, GMT+02, 36.5, 21.98892
2020/05/19 14:08 +0200, GMT+02, 36.6, 22.45167
2020/05/19 14:28 +0200, GMT+02, 36.7, 22.90976
2020/05/19 14:48 +0200, GMT+02, 36.8, 23.36318
2020/05/19 15:08 +0200, GMT+02, 36.8, 23.81112
2020/05/19 15:28 +0200, GMT+02, 36.8, 24.2528
2020/05/19 15:48 +0200, GMT+02, 36.7, 24.6875
2020/05/19 16:08 +0200, GMT+02, 36.8, 25.11614
2020/05/19 16:28 +0200, GMT+02, 36.9, 25.54041
2020/05/19 16:48 +0200, GMT+02, 37.1, 25.96114
2020/05/19 17:08 +0200, GMT+02, 37.3, 26.3791
2020/05/19 17:28 +0200, GMT+02, 37.5, 26.79427
2020/05/19 17:48 +0200, GMT+02, 37.6, 27.20586
2020/05/19 18:08 +0200, GMT+02, 37.8, 27.6139
2020/05/19 18:28 +0200, GMT+02, 37.9, 28.01838
2020/05/19 18:48 +0200, GMT+02, 38, 28.41859
2020/05/19 19:08 +0200, GMT+02, 38.1, 28.81457
2020/05/19 19:28 +0200, GMT+02, 38.3, 29.20708
2020/05/19 19:48 +0200, GMT+02, 38.3, 29.59544
2020/05/19 20:08 +0200, GMT+02, 38.4, 29.97898
2020/05/19 20:28 +0200, GMT+02, 38.5, 30.35847
2020/05/19 20:48 +0200, GMT+02, 38.5, 30.73327
2020/05/19 21:08 +0200, GMT+02, 38.5, 31.10279
2020/05/19 21:28 +0200, GMT+02, 38.4, 31.46646
2020/05/19 21:48 +0200, GMT+02, 38.3, 31.82376
2020/05/19 22:08 +0200, GMT+02, 38.3, 32.17548
2020/05/19 22:28 +0200, GMT+02, 38.2, 32.52174
2020/05/19 22:48 +0200, GMT+02, 38.1, 32.86204
2020/05/19 23:08 +0200, GMT+02, 38, 33.19651
2020/05/19 23:28 +0200, GMT+02, 37.8, 33.5247
2020/05/19 23:48 +0200, GMT+02, 37.6, 33.84616
2020/05/20 00:08 +0200, GMT+02, 37.4, 34.16108
2020/05/20 00:28 +0200, GMT+02, 37.2, 34.46964
2020/05/20 00:48 +0200, GMT+02, 37.1, 34.77257
2020/05/20 01:08 +0200, GMT+02, 36.9, 35.07001
2020/05/20 01:28 +0200, GMT+02, 36.8, 35.3621
2020/05/20 01:48 +0200, GMT+02, 36.6, 35.64896
2020/05/20 02:08 +0200, GMT+02, 36.5, 35.93074
2020/05/20 02:28 +0200, GMT+02, 36.3, 36.20754
2020/05/20 02:48 +0200, GMT+02, 36.2, 36.4795
2020/05/20 03:08 +0200, GMT+02, 36.1, 36.74722
2020/05/20 03:28 +0200, GMT+02, 36, 37.01082
2020/05/20 03:48 +0200, GMT+02, 36, 37.27087
2020/05/20 04:08 +0200, GMT+02, 35.9, 37.52745
2020/05/20 04:28 +0200, GMT+02, 35.8, 37.78013
2020/05/20 04:48 +0200, GMT+02, 35.7, 38.029
2020/05/20 05:08 +0200, GMT+02, 35.6, 38.27414
2020/05/20 05:28 +0200, GMT+02, 35.5, 38.51562
2020/05/20 05:48 +0200, GMT+02, 35.4, 38.75354
2020/05/20 06:08 +0200, GMT+02, 35.3, 38.98796
2020/05/20 06:28 +0200, GMT+02, 35.2, 39.21894
2020/05/20 06:48 +0200, GMT+02, 35.1, 39.44658
2020/05/20 07:08 +0200, GMT+02, 35.1, 39.67136
2020/05/20 07:28 +0200, GMT+02, 35, 39.89335
2020/05/20 07:48 +0200, GMT+02, 35, 40.11259
2020/05/20 08:08 +0200, GMT+02, 34.9, 40.32913
2020/05/20 08:28 +0200, GMT+02, 34.9, 40.54302
2020/05/20 08:48 +0200, GMT+02, 35, 40.75514
2020/05/20 09:08 +0200, GMT+02, 35.1, 40.96592
2020/05/20 09:28 +0200, GMT+02, 35.3, 41.17577
2020/05/20 09:48 +0200, GMT+02, 35.4, 41.38469
2020/05/20 10:08 +0200, GMT+02, 35.5, 41.59229
2020/05/20 10:28 +0200, GMT+02, 35.5, 41.79817
2020/05/20 10:48 +0200, GMT+02, 35.5, 42.00196
2020/05/20 11:08 +0200, GMT+02, 35.5, 42.20369
2020/05/20 11:28 +0200, GMT+02, 35.5, 42.4034
2020/05/20 11:48 +0200, GMT+02, 35.5, 42.6011
2020/05/20 12:08 +0200, GMT+02, 35.6, 42.79722
2020/05/20 12:28 +0200, GMT+02, 36, 42.99327
2020/05/20 12:48 +0200, GMT+02, 36.2, 43.18962
2020/05/20 13:08 +0200, GMT+02, 36.5, 43.38585
2020/05/20 13:28 +0200, GMT+02, 36.7, 43.58196
2020/05/20 13:48 +0200, GMT+02, 37, 43.77793
2020/05/20 14:08 +0200, GMT+02, 37.3, 43.9741
2020/05/20 14:28 +0200, GMT+02, 37.6, 44.17045
