time, timezone, temperature, strength
2020/08/04 16:05 +0200, GMT+02, 24.5, 
2020/08/04 16:25 +0200, GMT+02, 23.8, 
2020/08/04 16:33 +0200, GMT+02, 24.2, 
2020/08/04 16:52 +0200, GMT+02, 23.8, 
2020/08/04 17:12 +0200, GMT+02, 23.6, 
2020/08/04 17:32 +0200, GMT+02, 23.5, 
2020/08/04 17:52 +0200, GMT+02, 23.1, 
2020/08/04 18:12 +0200, GMT+02, 17.6, 0
2020/08/04 18:32 +0200, GMT+02, 27.1, 0
2020/08/04 18:52 +0200, GMT+02, 26.5, 0
2020/08/04 19:12 +0200, GMT+02, 25.7, 0
2020/08/04 19:32 +0200, GMT+02, 25, 0
2020/08/04 19:52 +0200, GMT+02, 24.5, 0
2020/08/04 20:12 +0200, GMT+02, 24.1, 0
2020/08/04 20:32 +0200, GMT+02, 23.8, 0
2020/08/04 20:52 +0200, GMT+02, 23.5, 0
2020/08/04 21:12 +0200, GMT+02, 23.3, 0
2020/08/04 21:32 +0200, GMT+02, 23.1, 0
2020/08/04 21:52 +0200, GMT+02, 22.9, 0
2020/08/04 22:12 +0200, GMT+02, 22.8, 0
2020/08/04 22:32 +0200, GMT+02, 22.6, 0
2020/08/04 22:52 +0200, GMT+02, 22.6, 0
2020/08/04 23:12 +0200, GMT+02, 22.5, 0
2020/08/04 23:32 +0200, GMT+02, 22.5, 0
2020/08/04 23:52 +0200, GMT+02, 22.5, 0
2020/08/05 00:12 +0200, GMT+02, 22.5, 0
2020/08/05 00:32 +0200, GMT+02, 22.5, 0
2020/08/05 00:52 +0200, GMT+02, 22.6, 0
2020/08/05 01:12 +0200, GMT+02, 22.7, 0
2020/08/05 01:32 +0200, GMT+02, 22.6, 0
2020/08/05 01:52 +0200, GMT+02, 22.5, 0
2020/08/05 02:12 +0200, GMT+02, 22.4, 0
2020/08/05 02:32 +0200, GMT+02, 22.1, 0
2020/08/05 02:52 +0200, GMT+02, 22, 0
2020/08/05 03:12 +0200, GMT+02, 21.8, 0
2020/08/05 03:32 +0200, GMT+02, 21.6, 0
2020/08/05 03:52 +0200, GMT+02, 21.5, 0.07981
2020/08/05 04:12 +0200, GMT+02, 21.3, 0.32191
2020/08/05 04:32 +0200, GMT+02, 21.1, 0.56868
2020/08/05 04:52 +0200, GMT+02, 20.9, 0.81962
2020/08/05 05:12 +0200, GMT+02, 20.7, 1.07365
2020/08/05 05:32 +0200, GMT+02, 20.6, 1.33107
2020/08/05 05:52 +0200, GMT+02, 20.5, 1.59206
2020/08/05 06:12 +0200, GMT+02, 20.3, 1.85542
2020/08/05 06:32 +0200, GMT+02, 20.3, 2.12144
2020/08/05 06:52 +0200, GMT+02, 20.2, 2.39045
2020/08/05 07:12 +0200, GMT+02, 20.1, 2.66135
2020/08/05 07:32 +0200, GMT+02, 20, 2.93378
2020/08/05 07:52 +0200, GMT+02, 20, 3.20818
2020/08/05 08:12 +0200, GMT+02, 20, 3.48503
2020/08/05 08:32 +0200, GMT+02, 19.9, 3.76329
2020/08/05 08:52 +0200, GMT+02, 19.9, 4.04272
2020/08/05 09:12 +0200, GMT+02, 19.9, 4.32386
2020/08/05 09:32 +0200, GMT+02, 19.9, 4.6065
2020/08/05 09:52 +0200, GMT+02, 20, 4.89123
2020/08/05 10:12 +0200, GMT+02, 20, 5.17786
2020/08/05 10:32 +0200, GMT+02, 20, 5.46543
2020/08/05 10:52 +0200, GMT+02, 20.2, 5.75537
2020/08/05 11:12 +0200, GMT+02, 20.6, 6.05077
2020/08/05 11:33 +0200, GMT+02, 21.2, 6.35509
2020/08/05 11:53 +0200, GMT+02, 22, 6.67114
2020/08/05 12:13 +0200, GMT+02, 22.9, 7.00183
2020/08/05 12:33 +0200, GMT+02, 23.6, 7.34643
2020/08/05 12:53 +0200, GMT+02, 24.6, 7.70593
2020/08/05 13:13 +0200, GMT+02, 25.5, 8.08223
2020/08/05 13:33 +0200, GMT+02, 26.2, 8.47265
2020/08/05 13:53 +0200, GMT+02, 26.8, 8.87431
2020/08/05 14:13 +0200, GMT+02, 27.5, 9.28708
2020/08/05 14:33 +0200, GMT+02, 27.9, 9.70887
2020/08/05 14:53 +0200, GMT+02, 28.4, 10.13753
2020/08/05 15:13 +0200, GMT+02, 28.9, 10.5738
2020/08/05 15:33 +0200, GMT+02, 29.2, 11.01548
2020/08/05 15:53 +0200, GMT+02, 29.4, 11.45937
2020/08/05 16:13 +0200, GMT+02, 29.5, 11.90331
2020/08/05 16:33 +0200, GMT+02, 29.6, 12.34611
2020/08/05 16:53 +0200, GMT+02, 29.5, 12.78568
2020/08/05 17:13 +0200, GMT+02, 29.3, 13.21904
2020/08/05 17:33 +0200, GMT+02, 29, 13.64428
2020/08/05 17:53 +0200, GMT+02, 28.8, 14.06147
2020/08/05 18:13 +0200, GMT+02, 28.6, 14.47157
2020/08/05 18:33 +0200, GMT+02, 28.4, 14.87465
2020/08/05 18:53 +0200, GMT+02, 28.2, 15.27076
2020/08/05 19:13 +0200, GMT+02, 28, 15.6603
2020/08/05 19:33 +0200, GMT+02, 27.8, 16.04268
2020/08/05 19:53 +0200, GMT+02, 27.6, 16.41833
2020/08/05 20:13 +0200, GMT+02, 27.5, 16.78817
2020/08/05 20:33 +0200, GMT+02, 27.3, 17.15226
2020/08/05 20:53 +0200, GMT+02, 27.1, 17.50986
2020/08/05 21:13 +0200, GMT+02, 26.9, 17.86105
2020/08/05 21:33 +0200, GMT+02, 26.7, 18.20595
2020/08/05 21:53 +0200, GMT+02, 26.5, 18.54464
2020/08/05 22:13 +0200, GMT+02, 26.4, 18.87803
2020/08/05 22:33 +0200, GMT+02, 26.2, 19.20618
2020/08/05 22:53 +0200, GMT+02, 26.1, 19.52917
2020/08/05 23:13 +0200, GMT+02, 25.9, 19.84708
2020/08/05 23:33 +0200, GMT+02, 25.8, 20.16
2020/08/05 23:53 +0200, GMT+02, 25.5, 20.46727
2020/08/06 00:13 +0200, GMT+02, 25.4, 20.76899
2020/08/06 00:33 +0200, GMT+02, 25.3, 21.06669
2020/08/06 00:53 +0200, GMT+02, 25.1, 21.35973
2020/08/06 01:13 +0200, GMT+02, 24.9, 21.64748
2020/08/06 01:33 +0200, GMT+02, 24.7, 21.93005
2020/08/06 01:53 +0200, GMT+02, 24.6, 22.20844
