time, timezone, temperature, strength
2019/10/04 16:40 +0200, GMT+02, 20.4, 
2019/10/04 17:00 +0200, GMT+02, 20.2, 
2019/10/04 17:20 +0200, GMT+02, 19.8, 
2019/10/04 17:40 +0200, GMT+02, 19.4, 
2019/10/04 18:00 +0200, GMT+02, 19.1, 
2019/10/04 18:20 +0200, GMT+02, 18.9, 
2019/10/04 18:40 +0200, GMT+02, 18.5, 0
2019/10/04 19:00 +0200, GMT+02, 18.3, 0
2019/10/04 19:20 +0200, GMT+02, 18.1, 0
2019/10/04 19:40 +0200, GMT+02, 17.9, 0
2019/10/04 20:00 +0200, GMT+02, 17.6, 0
2019/10/04 20:20 +0200, GMT+02, 17.4, 0
2019/10/04 20:40 +0200, GMT+02, 17.2, 0
2019/10/04 21:00 +0200, GMT+02, 17.1, 0
2019/10/04 21:20 +0200, GMT+02, 17, 0
2019/10/04 21:40 +0200, GMT+02, 17, 0
2019/10/04 22:00 +0200, GMT+02, 16.9, 0
2019/10/04 22:20 +0200, GMT+02, 16.8, 0
2019/10/04 22:40 +0200, GMT+02, 16.8, 0
2019/10/04 23:00 +0200, GMT+02, 16.8, 0
2019/10/04 23:20 +0200, GMT+02, 17, 0
2019/10/04 23:40 +0200, GMT+02, 17.1, 0
2019/10/05 00:00 +0200, GMT+02, 17.2, 0
2019/10/05 00:20 +0200, GMT+02, 17.3, 0
2019/10/05 00:40 +0200, GMT+02, 17.5, 0
2019/10/05 01:00 +0200, GMT+02, 17.7, 0
2019/10/05 01:20 +0200, GMT+02, 17.9, 0
2019/10/05 01:40 +0200, GMT+02, 18, 0
2019/10/05 02:00 +0200, GMT+02, 18.2, 0
2019/10/05 02:20 +0200, GMT+02, 18.3, 0
2019/10/05 02:40 +0200, GMT+02, 18.4, 0
2019/10/05 03:00 +0200, GMT+02, 18.6, 0
2019/10/05 03:20 +0200, GMT+02, 18.9, 0
2019/10/05 03:40 +0200, GMT+02, 19.2, 0
2019/10/05 04:00 +0200, GMT+02, 19.5, 0
2019/10/05 04:20 +0200, GMT+02, 19.8, 0
2019/10/05 04:40 +0200, GMT+02, 19.9, 0
2019/10/05 05:00 +0200, GMT+02, 20, 0
2019/10/05 05:20 +0200, GMT+02, 20, 0
2019/10/05 05:40 +0200, GMT+02, 19.8, 0
2019/10/05 06:00 +0200, GMT+02, 19.8, 0
2019/10/05 06:20 +0200, GMT+02, 19.6, 0
2019/10/05 06:40 +0200, GMT+02, 19.5, 0
2019/10/05 07:00 +0200, GMT+02, 19.3, 0
2019/10/05 07:20 +0200, GMT+02, 19.1, 0.10612
2019/10/05 07:40 +0200, GMT+02, 19, 0.31909
2019/10/05 08:00 +0200, GMT+02, 18.8, 0.53585
2019/10/05 08:20 +0200, GMT+02, 18.8, 0.75658
2019/10/05 08:40 +0200, GMT+02, 18.6, 0.98086
2019/10/05 09:00 +0200, GMT+02, 18.5, 1.20764
2019/10/05 09:20 +0200, GMT+02, 18.5, 1.43786
2019/10/05 09:40 +0200, GMT+02, 18.4, 1.67121
2019/10/05 10:00 +0200, GMT+02, 18.3, 1.90669
2019/10/05 10:20 +0200, GMT+02, 18.2, 2.14399
2019/10/05 10:40 +0200, GMT+02, 18.1, 2.38283
2019/10/05 11:00 +0200, GMT+02, 18, 2.62293
2019/10/05 11:20 +0200, GMT+02, 18, 2.86475
2019/10/05 11:40 +0200, GMT+02, 18, 3.10879
2019/10/05 12:00 +0200, GMT+02, 18, 3.35485
2019/10/05 12:20 +0200, GMT+02, 18, 3.60276
2019/10/05 12:40 +0200, GMT+02, 18.1, 3.85306
2019/10/05 13:00 +0200, GMT+02, 18.1, 4.10562
2019/10/05 13:20 +0200, GMT+02, 18.2, 4.36027
2019/10/05 13:40 +0200, GMT+02, 18.3, 4.61763
2019/10/05 14:00 +0200, GMT+02, 18.3, 4.87682
2019/10/05 14:20 +0200, GMT+02, 18.3, 5.13693
2019/10/05 14:40 +0200, GMT+02, 18.3, 5.39783
2019/10/05 15:00 +0200, GMT+02, 18.3, 5.6594
2019/10/05 15:20 +0200, GMT+02, 18.3, 5.92151
2019/10/05 15:40 +0200, GMT+02, 18.2, 6.18327
2019/10/05 16:00 +0200, GMT+02, 18.1, 6.44382
2019/10/05 16:20 +0200, GMT+02, 18.1, 6.70381
2019/10/05 16:40 +0200, GMT+02, 18, 6.96315
2019/10/05 17:00 +0200, GMT+02, 18, 7.22175
2019/10/05 17:20 +0200, GMT+02, 18, 7.48028
2019/10/05 17:40 +0200, GMT+02, 17.8, 7.73716
2019/10/05 18:00 +0200, GMT+02, 17.7, 7.99155
2019/10/05 18:20 +0200, GMT+02, 17.6, 8.24417
2019/10/05 18:40 +0200, GMT+02, 17.5, 8.49496
2019/10/05 19:00 +0200, GMT+02, 17.3, 8.74312
2019/10/05 19:20 +0200, GMT+02, 17.1, 8.98789
2019/10/05 19:40 +0200, GMT+02, 17, 9.22999
2019/10/05 20:00 +0200, GMT+02, 16.8, 9.4694
2019/10/05 20:20 +0200, GMT+02, 16.7, 9.70609
2019/10/05 20:40 +0200, GMT+02, 16.5, 9.94006
2019/10/05 21:00 +0200, GMT+02, 16.4, 10.1713
2019/10/05 21:20 +0200, GMT+02, 16.3, 10.4005
2019/10/05 21:40 +0200, GMT+02, 16.1, 10.62696
2019/10/05 22:00 +0200, GMT+02, 16, 10.85068
2019/10/05 22:20 +0200, GMT+02, 15.9, 11.07235
2019/10/05 22:40 +0200, GMT+02, 15.8, 11.29196
2019/10/05 23:00 +0200, GMT+02, 15.7, 11.50951
2019/10/05 23:20 +0200, GMT+02, 15.6, 11.725
2019/10/05 23:40 +0200, GMT+02, 15.6, 11.9391
2019/10/06 00:00 +0200, GMT+02, 15.5, 12.15182
2019/10/06 00:20 +0200, GMT+02, 15.4, 12.36246
2019/10/06 00:40 +0200, GMT+02, 15.3, 12.57103
2019/10/06 01:00 +0200, GMT+02, 15.3, 12.7782
2019/10/06 01:20 +0200, GMT+02, 15.1, 12.98331
2019/10/06 01:40 +0200, GMT+02, 15, 13.18572
2019/10/06 02:00 +0200, GMT+02, 14.9, 13.38609
2019/10/06 02:20 +0200, GMT+02, 14.7, 13.58378
2019/10/06 02:40 +0200, GMT+02, 14.6, 13.77883
2019/10/06 03:00 +0200, GMT+02, 14.5, 13.97188
2019/10/06 03:20 +0200, GMT+02, 14.3, 14.16232
2019/10/06 03:40 +0200, GMT+02, 14.3, 14.3508
2019/10/06 04:00 +0200, GMT+02, 14.2, 14.53794
2019/10/06 04:20 +0200, GMT+02, 14.1, 14.72314
2019/10/06 04:40 +0200, GMT+02, 14, 14.9064
2019/10/06 05:00 +0200, GMT+02, 14, 15.08835
2019/10/06 05:20 +0200, GMT+02, 14, 15.2696
2019/10/06 05:40 +0200, GMT+02, 14, 15.45013
2019/10/06 06:00 +0200, GMT+02, 14, 15.62995
2019/10/06 06:20 +0200, GMT+02, 14, 15.80906
2019/10/06 06:40 +0200, GMT+02, 14, 15.98744
2019/10/06 07:00 +0200, GMT+02, 14, 16.16511
2019/10/06 07:20 +0200, GMT+02, 14, 16.34205
2019/10/06 07:40 +0200, GMT+02, 14, 16.51827
2019/10/06 08:00 +0200, GMT+02, 14.1, 16.69434
2019/10/06 08:20 +0200, GMT+02, 14.1, 16.87027
2019/10/06 08:40 +0200, GMT+02, 14.1, 17.04546
2019/10/06 09:00 +0200, GMT+02, 14.2, 17.22048
2019/10/06 09:20 +0200, GMT+02, 14.3, 17.39592
2019/10/06 09:40 +0200, GMT+02, 14.3, 17.57118
2019/10/06 10:00 +0200, GMT+02, 14.5, 17.74683
2019/10/06 10:20 +0200, GMT+02, 14.6, 17.92343
2019/10/06 10:40 +0200, GMT+02, 14.7, 18.1004
2019/10/06 11:00 +0200, GMT+02, 14.8, 18.27773
2019/10/06 11:20 +0200, GMT+02, 15, 18.45597
2019/10/06 11:40 +0200, GMT+02, 15, 18.63453
2019/10/06 12:00 +0200, GMT+02, 15.1, 18.81284
2019/10/06 12:20 +0200, GMT+02, 15.1, 18.99089
2019/10/06 12:40 +0200, GMT+02, 15.3, 19.16923
2019/10/06 13:00 +0200, GMT+02, 15.4, 19.34844
2019/10/06 13:20 +0200, GMT+02, 15.5, 19.52792
2019/10/06 13:40 +0200, GMT+02, 15.6, 19.70766
2019/10/06 14:00 +0200, GMT+02, 15.6, 19.88709
2019/10/06 14:20 +0200, GMT+02, 15.7, 20.06619
2019/10/06 14:40 +0200, GMT+02, 15.7, 20.24498
2019/10/06 15:00 +0200, GMT+02, 15.8, 20.42343
2019/10/06 15:20 +0200, GMT+02, 16.1, 20.60323
2019/10/06 15:40 +0200, GMT+02, 16.1, 20.78379
2019/10/06 16:00 +0200, GMT+02, 16.1, 20.96343
2019/10/06 16:20 +0200, GMT+02, 16.3, 21.14326
2019/10/06 16:40 +0200, GMT+02, 16.3, 21.32326
