time, timezone, temperature, strength
2020/08/27 19:46 +0200, GMT+02, 14.7, 0
2020/08/27 20:06 +0200, GMT+02, 19.6, 0
2020/08/27 20:26 +0200, GMT+02, 19.3, 0
2020/08/27 20:46 +0200, GMT+02, 19.1, 0
2020/08/27 21:06 +0200, GMT+02, 18.9, 0
2020/08/27 21:26 +0200, GMT+02, 18.7, 0
2020/08/27 21:46 +0200, GMT+02, 18.6, 0
2020/08/27 22:06 +0200, GMT+02, 18.5, 0
2020/08/27 22:26 +0200, GMT+02, 18.4, 0
2020/08/27 22:46 +0200, GMT+02, 18.3, 0
2020/08/27 23:06 +0200, GMT+02, 18.1, 0
2020/08/27 23:26 +0200, GMT+02, 18, 0
2020/08/27 23:46 +0200, GMT+02, 17.8, 0
2020/08/28 00:06 +0200, GMT+02, 17.7, 0
2020/08/28 00:26 +0200, GMT+02, 17.6, 0
2020/08/28 00:46 +0200, GMT+02, 17.5, 0
2020/08/28 01:06 +0200, GMT+02, 17.5, 0
2020/08/28 01:26 +0200, GMT+02, 17.3, 0
2020/08/28 01:46 +0200, GMT+02, 17.3, 0
2020/08/28 02:06 +0200, GMT+02, 17.2, 0
2020/08/28 02:26 +0200, GMT+02, 17.3, 0
2020/08/28 02:46 +0200, GMT+02, 17.4, 0
2020/08/28 03:06 +0200, GMT+02, 17.3, 0
2020/08/28 03:26 +0200, GMT+02, 17.3, 0
2020/08/28 03:46 +0200, GMT+02, 17.5, 0
2020/08/28 04:06 +0200, GMT+02, 17.5, 0
2020/08/28 04:26 +0200, GMT+02, 17.5, 0
2020/08/28 04:46 +0200, GMT+02, 17.5, 0
2020/08/28 05:06 +0200, GMT+02, 17.5, 0
2020/08/28 05:26 +0200, GMT+02, 17.6, 0
2020/08/28 05:46 +0200, GMT+02, 17.6, 0
2020/08/28 06:06 +0200, GMT+02, 17.7, 0
2020/08/28 06:26 +0200, GMT+02, 17.7, 0
2020/08/28 06:46 +0200, GMT+02, 17.9, 0
2020/08/28 07:06 +0200, GMT+02, 18, 0
2020/08/28 07:26 +0200, GMT+02, 18, 0
2020/08/28 07:46 +0200, GMT+02, 18.1, 0
2020/08/28 08:06 +0200, GMT+02, 18.3, 0
2020/08/28 08:26 +0200, GMT+02, 18.5, 0
2020/08/28 08:46 +0200, GMT+02, 18.6, 0.15893
2020/08/28 09:06 +0200, GMT+02, 18.8, 0.36903
2020/08/28 09:26 +0200, GMT+02, 19, 0.58705
2020/08/28 09:46 +0200, GMT+02, 18.9, 0.81088
2020/08/28 10:06 +0200, GMT+02, 18.8, 1.03826
2020/08/28 10:26 +0200, GMT+02, 18.8, 1.26945
2020/08/28 10:46 +0200, GMT+02, 18.7, 1.50432
2020/08/28 11:06 +0200, GMT+02, 18.9, 1.74352
2020/08/28 11:26 +0200, GMT+02, 18.9, 1.98771
2020/08/28 11:46 +0200, GMT+02, 19.1, 2.23667
2020/08/28 12:06 +0200, GMT+02, 19.6, 2.49384
2020/08/28 12:26 +0200, GMT+02, 20.6, 2.76519
2020/08/28 12:46 +0200, GMT+02, 21.3, 3.05259
2020/08/28 13:06 +0200, GMT+02, 21.8, 3.35244
2020/08/28 13:26 +0200, GMT+02, 22.4, 3.66399
2020/08/28 13:46 +0200, GMT+02, 22.5, 3.98392
2020/08/28 14:06 +0200, GMT+02, 22.2, 4.30448
2020/08/28 14:26 +0200, GMT+02, 21.8, 4.62114
2020/08/28 14:46 +0200, GMT+02, 21.4, 4.93272
2020/08/28 15:06 +0200, GMT+02, 21, 5.23898
2020/08/28 15:26 +0200, GMT+02, 21.3, 5.54543
2020/08/28 15:46 +0200, GMT+02, 22.4, 5.8644
2020/08/28 16:06 +0200, GMT+02, 22.3, 6.19254
2020/08/28 16:26 +0200, GMT+02, 21.8, 6.51604
2020/08/28 16:46 +0200, GMT+02, 21.8, 6.83557
2020/08/28 17:06 +0200, GMT+02, 21.9, 7.15605
2020/08/28 17:26 +0200, GMT+02, 21.8, 7.47647
2020/08/28 17:46 +0200, GMT+02, 21.3, 7.79161
2020/08/28 18:06 +0200, GMT+02, 20.8, 8.09809
2020/08/28 18:26 +0200, GMT+02, 20.5, 8.39756
2020/08/28 18:46 +0200, GMT+02, 20.3, 8.69245
2020/08/28 19:06 +0200, GMT+02, 20.3, 8.98513
2020/08/28 19:26 +0200, GMT+02, 20.1, 9.27576
2020/08/28 19:46 +0200, GMT+02, 19.8, 9.56143
2020/08/28 20:06 +0200, GMT+02, 19.6, 9.84236
2020/08/28 20:26 +0200, GMT+02, 19.3, 10.11856
2020/08/28 20:46 +0200, GMT+02, 19.1, 10.39003
2020/08/28 21:06 +0200, GMT+02, 18.9, 10.65756
2020/08/28 21:26 +0200, GMT+02, 18.6, 10.92038
2020/08/28 21:46 +0200, GMT+02, 18.5, 11.17928
2020/08/28 22:06 +0200, GMT+02, 18.2, 11.43427
2020/08/28 22:26 +0200, GMT+02, 17.9, 11.68389
2020/08/28 22:46 +0200, GMT+02, 17.5, 11.9275
2020/08/28 23:06 +0200, GMT+02, 17.1, 12.16446
2020/08/28 23:26 +0200, GMT+02, 16.8, 12.39559
2020/08/28 23:46 +0200, GMT+02, 16.6, 12.62235
2020/08/29 00:06 +0200, GMT+02, 16.5, 12.84617
2020/08/29 00:26 +0200, GMT+02, 16.3, 13.06706
2020/08/29 00:46 +0200, GMT+02, 16.1, 13.28438
2020/08/29 01:06 +0200, GMT+02, 15.8, 13.49749
2020/08/29 01:26 +0200, GMT+02, 15.7, 13.7071
2020/08/29 01:46 +0200, GMT+02, 15.6, 13.91456
2020/08/29 02:06 +0200, GMT+02, 15.4, 14.11924
2020/08/29 02:26 +0200, GMT+02, 15.3, 14.32116
2020/08/29 02:46 +0200, GMT+02, 15.1, 14.52033
2020/08/29 03:06 +0200, GMT+02, 15.1, 14.71743
2020/08/29 03:26 +0200, GMT+02, 15, 14.91309
2020/08/29 03:46 +0200, GMT+02, 14.8, 15.10624
2020/08/29 04:06 +0200, GMT+02, 14.7, 15.29656
2020/08/29 04:26 +0200, GMT+02, 14.6, 15.48488
2020/08/29 04:46 +0200, GMT+02, 14.5, 15.6712
2020/08/29 05:06 +0200, GMT+02, 14.5, 15.85614
2020/08/29 05:26 +0200, GMT+02, 14.5, 16.04031
2020/08/29 05:46 +0200, GMT+02, 14.4, 16.22311
2020/08/29 06:06 +0200, GMT+02, 14.3, 16.40396
2020/08/29 06:26 +0200, GMT+02, 14.3, 16.58345
2020/08/29 06:46 +0200, GMT+02, 14.2, 16.7616
2020/08/29 07:06 +0200, GMT+02, 14.2, 16.93841
2020/08/29 07:26 +0200, GMT+02, 14.1, 17.11389
2020/08/29 07:46 +0200, GMT+02, 14.1, 17.28804
2020/08/29 08:06 +0200, GMT+02, 14.1, 17.46146
2020/08/29 08:26 +0200, GMT+02, 14, 17.63357
2020/08/29 08:46 +0200, GMT+02, 14, 17.80437
2020/08/29 09:06 +0200, GMT+02, 13.9, 17.97387
2020/08/29 09:26 +0200, GMT+02, 14, 18.14265
2020/08/29 09:46 +0200, GMT+02, 14, 18.31127
2020/08/29 10:06 +0200, GMT+02, 14, 18.47915
2020/08/29 10:26 +0200, GMT+02, 13.9, 18.64576
2020/08/29 10:46 +0200, GMT+02, 13.9, 18.81108
2020/08/29 11:06 +0200, GMT+02, 14, 18.97624
2020/08/29 11:26 +0200, GMT+02, 14, 19.14136
2020/08/29 11:46 +0200, GMT+02, 14.1, 19.30617
2020/08/29 12:06 +0200, GMT+02, 14, 19.47024
2020/08/29 12:26 +0200, GMT+02, 14.1, 19.63359
2020/08/29 12:46 +0200, GMT+02, 14.2, 19.7973
2020/08/29 13:06 +0200, GMT+02, 14.5, 19.96244
2020/08/29 13:26 +0200, GMT+02, 14.6, 20.12899
2020/08/29 13:46 +0200, GMT+02, 14.6, 20.29532
2020/08/29 14:06 +0200, GMT+02, 14.6, 20.46087
2020/08/29 14:26 +0200, GMT+02, 14.5, 20.62512
2020/08/29 14:46 +0200, GMT+02, 14.5, 20.78807
2020/08/29 15:06 +0200, GMT+02, 14.5, 20.95027
2020/08/29 15:26 +0200, GMT+02, 14.6, 21.11224
2020/08/29 15:46 +0200, GMT+02, 14.7, 21.27452
2020/08/29 16:06 +0200, GMT+02, 14.8, 21.43708
2020/08/29 16:26 +0200, GMT+02, 14.8, 21.5994
2020/08/29 16:46 +0200, GMT+02, 14.7, 21.76042
2020/08/29 17:06 +0200, GMT+02, 14.6, 21.91964
2020/08/29 17:26 +0200, GMT+02, 14.5, 22.07709
2020/08/29 17:46 +0200, GMT+02, 14.5, 22.23328
2020/08/29 18:06 +0200, GMT+02, 14.5, 22.38874
2020/08/29 18:26 +0200, GMT+02, 14.4, 22.54297
2020/08/29 18:46 +0200, GMT+02, 14.3, 22.69548
2020/08/29 19:06 +0200, GMT+02, 14.2, 22.84628
2020/08/29 19:26 +0200, GMT+02, 14.1, 22.9954
2020/08/29 19:46 +0200, GMT+02, 14, 23.14297
2020/08/29 20:06 +0200, GMT+02, 14, 23.28927
2020/08/29 20:26 +0200, GMT+02, 13.8, 23.43394
2020/08/29 20:46 +0200, GMT+02, 13.8, 23.57699
2020/08/29 21:06 +0200, GMT+02, 13.7, 23.71893
2020/08/29 21:26 +0200, GMT+02, 13.6, 23.85929
2020/08/29 21:46 +0200, GMT+02, 13.5, 23.99809
2020/08/29 22:06 +0200, GMT+02, 13.5, 24.13582
2020/08/29 22:26 +0200, GMT+02, 13.5, 24.27294
2020/08/29 22:46 +0200, GMT+02, 13.4, 24.409
2020/08/29 23:06 +0200, GMT+02, 13.3, 24.54354
2020/08/29 23:26 +0200, GMT+02, 13.3, 24.67705
2020/08/29 23:46 +0200, GMT+02, 13.2, 24.80953
2020/08/30 00:06 +0200, GMT+02, 13.1, 24.94055
2020/08/30 00:26 +0200, GMT+02, 13.1, 25.07055
2020/08/30 00:46 +0200, GMT+02, 13, 25.19956
2020/08/30 01:06 +0200, GMT+02, 13, 25.32759
2020/08/30 01:26 +0200, GMT+02, 12.9, 25.45463
2020/08/30 01:46 +0200, GMT+02, 12.8, 25.58027
2020/08/30 02:06 +0200, GMT+02, 12.8, 25.70495
2020/08/30 02:26 +0200, GMT+02, 12.8, 25.82912
2020/08/30 02:46 +0200, GMT+02, 12.7, 25.95234
2020/08/30 03:06 +0200, GMT+02, 12.6, 26.0742
2020/08/30 03:26 +0200, GMT+02, 12.6, 26.19514
2020/08/30 03:46 +0200, GMT+02, 12.6, 26.31569
2020/08/30 04:06 +0200, GMT+02, 12.6, 26.43564
2020/08/30 04:26 +0200, GMT+02, 12.6, 26.55511
2020/08/30 04:46 +0200, GMT+02, 12.5, 26.67367
2020/08/30 05:06 +0200, GMT+02, 12.5, 26.79134
2020/08/30 05:26 +0200, GMT+02, 12.5, 26.90853
2020/08/30 05:46 +0200, GMT+02, 12.5, 27.02525
2020/08/30 06:06 +0200, GMT+02, 12.5, 27.1415
2020/08/30 06:26 +0200, GMT+02, 12.5, 27.25728
2020/08/30 06:46 +0200, GMT+02, 12.5, 27.3726
2020/08/30 07:06 +0200, GMT+02, 12.4, 27.48705
2020/08/30 07:26 +0200, GMT+02, 12.4, 27.60064
2020/08/30 07:46 +0200, GMT+02, 12.3, 27.71338
2020/08/30 08:06 +0200, GMT+02, 12.2, 27.82489
2020/08/30 08:26 +0200, GMT+02, 12.1, 27.93517
2020/08/30 08:46 +0200, GMT+02, 12.1, 28.04463
2020/08/30 09:06 +0200, GMT+02, 12.1, 28.15367
2020/08/30 09:26 +0200, GMT+02, 12.1, 28.26229
2020/08/30 09:46 +0200, GMT+02, 12.1, 28.37048
2020/08/30 10:06 +0200, GMT+02, 12.1, 28.47825
2020/08/30 10:26 +0200, GMT+02, 12.2, 28.58599
2020/08/30 10:46 +0200, GMT+02, 12.3, 28.69407
2020/08/30 11:06 +0200, GMT+02, 12.3, 28.80212
2020/08/30 11:26 +0200, GMT+02, 12.5, 28.91058
2020/08/30 11:46 +0200, GMT+02, 12.7, 29.02006
2020/08/30 12:06 +0200, GMT+02, 13, 29.13101
2020/08/30 12:26 +0200, GMT+02, 13.8, 29.24575
2020/08/30 12:46 +0200, GMT+02, 14.3, 29.36511
2020/08/30 13:06 +0200, GMT+02, 14.5, 29.48673
2020/08/30 13:26 +0200, GMT+02, 14.5, 29.60859
2020/08/30 13:46 +0200, GMT+02, 14.5, 29.72991
2020/08/30 14:06 +0200, GMT+02, 14.5, 29.85068
2020/08/30 14:26 +0200, GMT+02, 14.4, 29.97052
2020/08/30 14:46 +0200, GMT+02, 14.3, 30.08904
2020/08/30 15:06 +0200, GMT+02, 14.4, 30.20704
2020/08/30 15:26 +0200, GMT+02, 14.4, 30.3249
2020/08/30 15:46 +0200, GMT+02, 14.4, 30.44223
2020/08/30 16:06 +0200, GMT+02, 14.6, 30.55982
2020/08/30 16:26 +0200, GMT+02, 14.7, 30.67803
2020/08/30 16:46 +0200, GMT+02, 14.8, 30.79649
2020/08/30 17:06 +0200, GMT+02, 14.8, 30.91479
2020/08/30 17:26 +0200, GMT+02, 14.7, 31.03217
2020/08/30 17:46 +0200, GMT+02, 14.8, 31.14903
2020/08/30 18:06 +0200, GMT+02, 14.7, 31.26537
2020/08/30 18:26 +0200, GMT+02, 14.7, 31.38081
2020/08/30 18:46 +0200, GMT+02, 14.6, 31.49536
2020/08/30 19:06 +0200, GMT+02, 14.6, 31.60903
2020/08/30 19:26 +0200, GMT+02, 14.6, 31.7222
2020/08/30 19:46 +0200, GMT+02, 14.5, 31.8345
2020/08/30 20:06 +0200, GMT+02, 14.3, 31.94531
2020/08/30 20:26 +0200, GMT+02, 14.2, 32.05447
2020/08/30 20:46 +0200, GMT+02, 14.1, 32.16244
2020/08/30 21:06 +0200, GMT+02, 14, 32.26924
2020/08/30 21:26 +0200, GMT+02, 13.9, 32.37489
2020/08/30 21:46 +0200, GMT+02, 13.8, 32.4794
2020/08/30 22:06 +0200, GMT+02, 13.8, 32.58312
2020/08/30 22:26 +0200, GMT+02, 13.6, 32.68573
2020/08/30 22:46 +0200, GMT+02, 13.6, 32.78723
2020/08/30 23:06 +0200, GMT+02, 13.5, 32.88798
2020/08/30 23:26 +0200, GMT+02, 13.4, 32.98765
2020/08/30 23:46 +0200, GMT+02, 13.3, 33.08625
