time, timezone, temperature, strength
2019/10/07 16:52 +0200, GMT+02, 17, 
2019/10/07 17:12 +0200, GMT+02, 15.8, 
2019/10/07 17:32 +0200, GMT+02, 15.3, 
2019/10/07 17:52 +0200, GMT+02, 16.8, 
2019/10/07 18:12 +0200, GMT+02, 16.6, 
2019/10/07 18:32 +0200, GMT+02, 16.5, 
2019/10/07 18:52 +0200, GMT+02, 16.3, 
2019/10/07 19:12 +0200, GMT+02, 16.1, 0
2019/10/07 19:32 +0200, GMT+02, 16, 0
2019/10/07 19:52 +0200, GMT+02, 16, 0
2019/10/07 20:12 +0200, GMT+02, 15.9, 0
2019/10/07 20:32 +0200, GMT+02, 15.9, 0
2019/10/07 20:52 +0200, GMT+02, 15.8, 0
2019/10/07 21:12 +0200, GMT+02, 15.7, 0
2019/10/07 21:32 +0200, GMT+02, 15.6, 0
2019/10/07 21:52 +0200, GMT+02, 15.6, 0
2019/10/07 22:12 +0200, GMT+02, 15.6, 0
2019/10/07 22:32 +0200, GMT+02, 15.6, 0
2019/10/07 22:52 +0200, GMT+02, 15.6, 0
2019/10/07 23:12 +0200, GMT+02, 15.6, 0
2019/10/07 23:32 +0200, GMT+02, 15.6, 0
2019/10/07 23:52 +0200, GMT+02, 15.6, 0
2019/10/08 00:12 +0200, GMT+02, 15.6, 0
2019/10/08 00:32 +0200, GMT+02, 15.7, 0
2019/10/08 00:52 +0200, GMT+02, 15.7, 0
2019/10/08 01:12 +0200, GMT+02, 15.8, 0
2019/10/08 01:32 +0200, GMT+02, 15.8, 0
2019/10/08 01:52 +0200, GMT+02, 15.9, 0
2019/10/08 02:12 +0200, GMT+02, 16, 0
2019/10/08 02:32 +0200, GMT+02, 16.1, 0
2019/10/08 02:52 +0200, GMT+02, 16.1, 0
2019/10/08 03:12 +0200, GMT+02, 16.2, 0
2019/10/08 03:32 +0200, GMT+02, 16.3, 0
2019/10/08 03:52 +0200, GMT+02, 16.3, 0
2019/10/08 04:12 +0200, GMT+02, 16.5, 0
2019/10/08 04:32 +0200, GMT+02, 16.5, 0
2019/10/08 04:52 +0200, GMT+02, 16.6, 0
2019/10/08 05:12 +0200, GMT+02, 16.7, 0
2019/10/08 05:32 +0200, GMT+02, 16.8, 0
2019/10/08 05:52 +0200, GMT+02, 16.9, 0
2019/10/08 06:12 +0200, GMT+02, 17, 0
2019/10/08 06:32 +0200, GMT+02, 17.1, 0
2019/10/08 06:52 +0200, GMT+02, 17.2, 0
2019/10/08 07:12 +0200, GMT+02, 17.3, 0
2019/10/08 07:32 +0200, GMT+02, 17.4, 0
2019/10/08 07:52 +0200, GMT+02, 17.5, 0
2019/10/08 08:12 +0200, GMT+02, 17.5, 0
2019/10/08 08:32 +0200, GMT+02, 17.6, 0
2019/10/08 08:52 +0200, GMT+02, 17.6, 0
2019/10/08 09:12 +0200, GMT+02, 17.6, 0
2019/10/08 09:32 +0200, GMT+02, 17.6, 0.17795
2019/10/08 09:52 +0200, GMT+02, 17.6, 0.37526
2019/10/08 10:12 +0200, GMT+02, 17.6, 0.5773
