time, timezone, temperature, strength
2020/07/15 09:38 +0200, GMT+2, 16.3, 
2020/07/15 09:54 +0200, GMT+2, 17, 
2020/07/15 10:14 +0200, GMT+2, 17.2, 
2020/07/15 10:34 +0200, GMT+2, 17.6, 
2020/07/15 10:54 +0200, GMT+2, 18.3, 
2020/07/15 11:14 +0200, GMT+2, 18.5, 
2020/07/15 11:34 +0200, GMT+2, 18.6, 
2020/07/15 11:54 +0200, GMT+2, 19.1, 
2020/07/15 12:14 +0200, GMT+2, 18.5, 
2020/07/15 12:34 +0200, GMT+2, 18.3, 
2020/07/15 12:54 +0200, GMT+2, 18.8, 
2020/07/15 13:14 +0200, GMT+2, 19.3, 
2020/07/15 13:34 +0200, GMT+2, 19.1, 
2020/07/15 13:54 +0200, GMT+2, 18.8, 
2020/07/15 14:14 +0200, GMT+2, 18.5, 
2020/07/15 14:34 +0200, GMT+2, 18.4, 
2020/07/15 14:54 +0200, GMT+2, 18.5, 
2020/07/15 15:14 +0200, GMT+2, 17.8, 
2020/07/15 15:34 +0200, GMT+2, 17.5, 
2020/07/15 15:54 +0200, GMT+2, 18.5, 
2020/07/15 16:14 +0200, GMT+2, 18.8, 
2020/07/15 16:34 +0200, GMT+2, 23.3, 
2020/07/15 16:54 +0200, GMT+2, 23.4, 
2020/07/15 17:14 +0200, GMT+2, 23.5, 
2020/07/15 17:34 +0200, GMT+2, 23.5, 0
2020/07/15 17:54 +0200, GMT+2, 23.6, 0
2020/07/15 18:14 +0200, GMT+2, 23.8, 0.00001
2020/07/15 18:34 +0200, GMT+2, 24, 0.00021
2020/07/15 18:54 +0200, GMT+2, 24.1, 0.00172
2020/07/15 19:14 +0200, GMT+2, 24.4, 0.00704
2020/07/15 19:34 +0200, GMT+2, 24.8, 0.01969
2020/07/15 19:54 +0200, GMT+2, 25.1, 0.04338
2020/07/15 20:14 +0200, GMT+2, 25.6, 0.08157
2020/07/15 20:34 +0200, GMT+2, 26.1, 0.13741
2020/07/15 20:54 +0200, GMT+2, 26.8, 0.21372
2020/07/15 21:14 +0200, GMT+2, 27.5, 0.31305
2020/07/15 21:34 +0200, GMT+2, 28.2, 0.43716
2020/07/15 21:54 +0200, GMT+2, 29.1, 0.588
2020/07/15 22:14 +0200, GMT+2, 30.4, 0.76915
2020/07/15 22:34 +0200, GMT+2, 31.7, 0.98407
2020/07/15 22:54 +0200, GMT+2, 32.8, 1.23347
2020/07/15 23:14 +0200, GMT+2, 33.5, 1.51475
2020/07/15 23:34 +0200, GMT+2, 34.3, 1.82561
2020/07/15 23:54 +0200, GMT+2, 34.9, 2.16435
2020/07/16 00:14 +0200, GMT+2, 35.5, 2.52821
2020/07/16 00:34 +0200, GMT+2, 36.1, 2.9156
2020/07/16 00:54 +0200, GMT+2, 36.7, 3.32491
2020/07/16 01:14 +0200, GMT+2, 37.3, 3.75492
2020/07/16 01:34 +0200, GMT+2, 37.9, 4.20337
2020/07/16 01:54 +0200, GMT+2, 38.4, 4.66824
2020/07/16 02:14 +0200, GMT+2, 39, 5.14805
2020/07/16 02:34 +0200, GMT+2, 39.5, 5.64139
2020/07/16 02:54 +0200, GMT+2, 39.9, 6.14513
2020/07/16 03:14 +0200, GMT+2, 40.4, 6.65799
2020/07/16 03:34 +0200, GMT+2, 40.8, 7.1788
2020/07/16 03:54 +0200, GMT+2, 41.2, 7.70555
2020/07/16 04:14 +0200, GMT+2, 41.6, 8.23726
2020/07/16 04:34 +0200, GMT+2, 42, 8.77302
2020/07/16 04:54 +0200, GMT+2, 42.3, 9.31112
2020/07/16 05:14 +0200, GMT+2, 42.7, 9.85082
2020/07/16 05:34 +0200, GMT+2, 43, 10.39148
2020/07/16 05:54 +0200, GMT+2, 43.3, 10.93161
2020/07/16 06:14 +0200, GMT+2, 43.6, 11.47073
2020/07/16 06:34 +0200, GMT+2, 43.9, 12.00838
2020/07/16 06:54 +0200, GMT+2, 44.1, 12.5433
2020/07/16 07:14 +0200, GMT+2, 44.4, 13.07519
2020/07/16 07:34 +0200, GMT+2, 44.6, 13.60377
2020/07/16 07:54 +0200, GMT+2, 44.9, 14.12881
2020/07/16 08:14 +0200, GMT+2, 45.1, 14.65013
2020/07/16 08:34 +0200, GMT+2, 45.3, 15.1667
2020/07/16 08:54 +0200, GMT+2, 45.5, 15.67886
2020/07/16 09:14 +0200, GMT+2, 45.6, 16.18485
2020/07/16 09:34 +0200, GMT+2, 45.8, 16.68507
2020/07/16 09:54 +0200, GMT+2, 46, 17.18029
