time, timezone, temperature, strength
2020/11/12 15:41 +0100, GMT+2, 14.107895, 
2020/11/12 16:01 +0100, GMT+2, 13.123474, 
2020/11/12 16:21 +0100, GMT+2, 12.964859, 
2020/11/12 16:41 +0100, GMT+2, 12.473907, 
2020/11/12 17:01 +0100, GMT+2, 12.043381, 
2020/11/12 17:21 +0100, GMT+2, 11.884766, 
2020/11/12 17:41 +0100, GMT+2, 11.479416, 
2020/11/12 18:01 +0100, GMT+2, 10.847473, 
2020/11/12 18:21 +0100, GMT+2, 10.578079, 
2020/11/12 18:41 +0100, GMT+2, 10.530243, 
2020/11/12 19:01 +0100, GMT+2, 10.195389, 
2020/11/12 19:21 +0100, GMT+2, 9.98642, 
2020/11/12 19:41 +0100, GMT+2, 10.029221, 
2020/11/12 20:01 +0100, GMT+2, 9.558411, 
2020/11/12 20:21 +0100, GMT+2, 9.475327, 
2020/11/12 20:41 +0100, GMT+2, 9.704437, 
2020/11/12 21:01 +0100, GMT+2, 9.691849, 
2020/11/12 21:21 +0100, GMT+2, 9.674225, 
2020/11/12 21:41 +0100, GMT+2, 9.71199, 
2020/11/12 22:01 +0100, GMT+2, 9.513092, 
2020/11/12 22:21 +0100, GMT+2, 9.727097, 
2020/11/12 22:41 +0100, GMT+2, 9.925995, 
2020/11/12 23:01 +0100, GMT+2, 9.948654, 
2020/11/12 23:21 +0100, GMT+2, 9.709473, 
2020/11/12 23:41 +0100, GMT+2, 9.802628, 
2020/11/13 00:01 +0100, GMT+2, 9.850464, 
2020/11/13 00:21 +0100, GMT+2, 9.893265, 
2020/11/13 00:41 +0100, GMT+2, 9.810181, 
2020/11/13 01:01 +0100, GMT+2, 9.606247, 
2020/11/13 01:21 +0100, GMT+2, 9.895782, 
2020/11/13 01:41 +0100, GMT+2, 9.636459, 
2020/11/13 02:01 +0100, GMT+2, 9.467773, 
2020/11/13 02:21 +0100, GMT+2, 9.641495, 
2020/11/13 02:41 +0100, GMT+2, 9.724579, 
2020/11/13 03:01 +0100, GMT+2, 9.792557, 
2020/11/13 03:21 +0100, GMT+2, 9.785004, 
2020/11/13 03:41 +0100, GMT+2, 9.354477, 
2020/11/13 04:01 +0100, GMT+2, 9.185791, 
2020/11/13 04:21 +0100, GMT+2, 9.535751, 
2020/11/13 04:41 +0100, GMT+2, 9.432526, 
2020/11/13 05:01 +0100, GMT+2, 10.08461, 
2020/11/13 05:21 +0100, GMT+2, 9.543304, 
2020/11/13 05:41 +0100, GMT+2, 9.525681, 
2020/11/13 06:01 +0100, GMT+2, 10.263367, 
2020/11/13 06:21 +0100, GMT+2, 10.683823, 
2020/11/13 06:41 +0100, GMT+2, 10.877686, 
2020/11/13 07:01 +0100, GMT+2, 11.288071, 
2020/11/13 07:21 +0100, GMT+2, 11.824341, 
2020/11/13 07:41 +0100, GMT+2, 11.947708, 
2020/11/13 08:01 +0100, GMT+2, 11.824341, 
2020/11/13 08:21 +0100, GMT+2, 11.615372, 
2020/11/13 08:41 +0100, GMT+2, 11.285553, 
2020/11/13 09:01 +0100, GMT+2, 11.91246, 
2020/11/13 09:21 +0100, GMT+2, 12.44873, 
2020/11/13 09:41 +0100, GMT+2, 12.692947, 
2020/11/13 10:01 +0100, GMT+2, 13.440704, 
2020/11/13 10:21 +0100, GMT+2, 13.86116, 
2020/11/13 10:41 +0100, GMT+2, 12.106323, 
2020/11/13 11:01 +0100, GMT+2, 12.118912, 
2020/11/13 11:21 +0100, GMT+2, 12.297668, 
2020/11/13 11:41 +0100, GMT+2, 12.144089, 
2020/11/13 12:01 +0100, GMT+2, 12.584686, 
2020/11/13 12:21 +0100, GMT+2, 12.214584, 
2020/11/13 12:41 +0100, GMT+2, 13.229218, 
2020/11/13 13:01 +0100, GMT+2, 13.906479, 
2020/11/13 13:21 +0100, GMT+2, 13.214111, 
2020/11/13 13:41 +0100, GMT+2, 16.80687, 
2020/11/13 14:01 +0100, GMT+2, 15.016785, 
2020/11/13 14:21 +0100, GMT+2, 13.54393, 
2020/11/13 14:41 +0100, GMT+2, 13.898926, 
2020/11/13 15:01 +0100, GMT+2, 13.639603, 
2020/11/13 15:21 +0100, GMT+2, 13.44574, 
2020/11/13 15:41 +0100, GMT+2, 12.808762, 
2020/11/13 16:01 +0100, GMT+2, 11.904907, 
2020/11/13 16:21 +0100, GMT+2, 11.242752, 
2020/11/13 16:41 +0100, GMT+2, 10.721588, 
2020/11/13 17:01 +0100, GMT+2, 10.638504, 
2020/11/13 17:21 +0100, GMT+2, 10.696411, 
2020/11/13 17:41 +0100, GMT+2, 10.603256, 
2020/11/13 18:01 +0100, GMT+2, 10.414429, 
2020/11/13 18:21 +0100, GMT+2, 9.933548, 
2020/11/13 18:41 +0100, GMT+2, 9.774933, 
2020/11/13 19:01 +0100, GMT+2, 9.873123, 
2020/11/13 19:21 +0100, GMT+2, 9.533234, 
2020/11/13 19:41 +0100, GMT+2, 9.837875, 
2020/11/13 20:01 +0100, GMT+2, 9.774933, 
2020/11/13 20:21 +0100, GMT+2, 9.742203, 
2020/11/13 20:41 +0100, GMT+2, 9.568481, 
2020/11/13 21:01 +0100, GMT+2, 9.706955, 
2020/11/13 21:21 +0100, GMT+2, 9.785004, 
2020/11/13 21:41 +0100, GMT+2, 9.797592, 
2020/11/13 22:01 +0100, GMT+2, 9.649048, 
2020/11/13 22:21 +0100, GMT+2, 9.596176, 
2020/11/13 22:41 +0100, GMT+2, 9.593658, 
2020/11/13 23:01 +0100, GMT+2, 9.626389, 
2020/11/13 23:21 +0100, GMT+2, 9.644012, 
2020/11/13 23:41 +0100, GMT+2, 9.686813, 
2020/11/14 00:01 +0100, GMT+2, 9.759827, 
2020/11/14 00:21 +0100, GMT+2, 9.560928, 
2020/11/14 00:41 +0100, GMT+2, 9.518127, 
2020/11/14 01:01 +0100, GMT+2, 9.807663, 
2020/11/14 01:21 +0100, GMT+2, 9.98642, 
2020/11/14 01:41 +0100, GMT+2, 10.139999, 
2020/11/14 02:01 +0100, GMT+2, 10.2734375, 
2020/11/14 02:21 +0100, GMT+2, 10.275955, 
2020/11/14 02:41 +0100, GMT+2, 10.354004, 
2020/11/14 03:01 +0100, GMT+2, 10.45723, 
2020/11/14 03:21 +0100, GMT+2, 10.4748535, 
2020/11/14 03:41 +0100, GMT+2, 9.812698, 
2020/11/14 04:01 +0100, GMT+2, 9.326782, 
2020/11/14 04:21 +0100, GMT+2, 9.238663, 
2020/11/14 04:41 +0100, GMT+2, 9.271393, 
2020/11/14 05:01 +0100, GMT+2, 9.39476, 
2020/11/14 05:21 +0100, GMT+2, 9.523163, 
2020/11/14 05:41 +0100, GMT+2, 9.696884, 
2020/11/14 06:01 +0100, GMT+2, 9.93103, 
2020/11/14 06:21 +0100, GMT+2, 10.321274, 
2020/11/14 06:41 +0100, GMT+2, 10.67627, 
2020/11/14 07:01 +0100, GMT+2, 11.162186, 
2020/11/14 07:21 +0100, GMT+2, 11.799164, 
2020/11/14 07:41 +0100, GMT+2, 12.431107, 
2020/11/14 08:01 +0100, GMT+2, 12.836456, 
2020/11/14 08:21 +0100, GMT+2, 13.125992, 
2020/11/14 08:41 +0100, GMT+2, 13.375244, 
2020/11/14 09:01 +0100, GMT+2, 13.453293, 
2020/11/14 09:21 +0100, GMT+2, 13.450775, 
2020/11/14 09:41 +0100, GMT+2, 13.468399, 
2020/11/14 10:01 +0100, GMT+2, 13.5112, 
2020/11/14 10:21 +0100, GMT+2, 13.614426, 
2020/11/14 10:41 +0100, GMT+2, 13.808289, 
2020/11/14 11:01 +0100, GMT+2, 13.966904, 
2020/11/14 11:21 +0100, GMT+2, 13.919067, 
2020/11/14 11:41 +0100, GMT+2, 14.274063, 
2020/11/14 12:01 +0100, GMT+2, 13.919067, 
2020/11/14 12:21 +0100, GMT+2, 13.644638, 
2020/11/14 12:41 +0100, GMT+2, 13.858643, 
2020/11/14 13:01 +0100, GMT+2, 14.3546295, 
2020/11/14 13:21 +0100, GMT+2, 13.707581, 
2020/11/14 13:41 +0100, GMT+2, 13.639603, 
2020/11/14 14:01 +0100, GMT+2, 13.803253, 
2020/11/14 14:21 +0100, GMT+2, 13.574142, 
2020/11/14 14:41 +0100, GMT+2, 13.249359, 
2020/11/14 15:01 +0100, GMT+2, 13.554001, 
2020/11/14 15:21 +0100, GMT+2, 13.848572, 
2020/11/14 15:41 +0100, GMT+2, 13.966904, 
2020/11/14 16:01 +0100, GMT+2, 14.155731, 
2020/11/14 16:21 +0100, GMT+2, 14.2539215, 
2020/11/14 16:41 +0100, GMT+2, 14.231262, 
2020/11/14 17:01 +0100, GMT+2, 14.314346, 
2020/11/14 17:21 +0100, GMT+2, 14.190979, 
2020/11/14 17:41 +0100, GMT+2, 13.594284, 
2020/11/14 18:01 +0100, GMT+2, 13.803253, 
2020/11/14 18:21 +0100, GMT+2, 14.087753, 
2020/11/14 18:41 +0100, GMT+2, 14.291687, 
2020/11/14 19:01 +0100, GMT+2, 14.460373, 
2020/11/14 19:21 +0100, GMT+2, 14.367218, 
2020/11/14 19:41 +0100, GMT+2, 13.780594, 
