time, timezone, temperature, strength
2020/11/23 09:26 +0100, GMT+2, 6.1846924, 
2020/11/23 09:46 +0100, GMT+2, 6.247635, 
2020/11/23 10:06 +0100, GMT+2, 10.263367, 
2020/11/23 10:26 +0100, GMT+2, 15.835037, 
2020/11/23 10:46 +0100, GMT+2, 17.030945, 
2020/11/23 11:06 +0100, GMT+2, 17.667923, 
2020/11/23 11:26 +0100, GMT+2, 16.935272, 
2020/11/23 11:46 +0100, GMT+2, 14.878311, 
2020/11/23 12:06 +0100, GMT+2, 13.395386, 
2020/11/23 12:26 +0100, GMT+2, 12.72316, 
2020/11/23 12:46 +0100, GMT+2, 11.844482, 
2020/11/23 13:06 +0100, GMT+2, 11.504593, 
2020/11/23 13:26 +0100, GMT+2, 11.773987, 
2020/11/23 13:46 +0100, GMT+2, 11.366119, 
2020/11/23 14:06 +0100, GMT+2, 11.109314, 
2020/11/23 14:26 +0100, GMT+2, 10.68634, 
2020/11/23 14:46 +0100, GMT+2, 10.688858, 
2020/11/23 15:06 +0100, GMT+2, 10.671234, 
2020/11/23 15:26 +0100, GMT+2, 10.530243, 
2020/11/23 15:46 +0100, GMT+2, 10.27092, 
2020/11/23 16:06 +0100, GMT+2, 9.749756, 
2020/11/23 16:26 +0100, GMT+2, 8.765335, 
2020/11/23 16:46 +0100, GMT+2, 8.54126, 
2020/11/23 17:06 +0100, GMT+2, 8.689804, 
2020/11/23 17:26 +0100, GMT+2, 8.54126, 
2020/11/23 17:46 +0100, GMT+2, 8.936539, 
2020/11/23 18:06 +0100, GMT+2, 9.457703, 
2020/11/23 18:26 +0100, GMT+2, 9.58107, 
2020/11/23 18:46 +0100, GMT+2, 9.669189, 
2020/11/23 19:06 +0100, GMT+2, 9.742203, 
2020/11/23 19:26 +0100, GMT+2, 9.764862, 
2020/11/23 19:46 +0100, GMT+2, 9.268875, 
2020/11/23 20:06 +0100, GMT+2, 9.724579, 
2020/11/23 20:26 +0100, GMT+2, 9.747238, 
2020/11/23 20:46 +0100, GMT+2, 9.216003, 
2020/11/23 21:06 +0100, GMT+2, 8.493423, 
2020/11/23 21:26 +0100, GMT+2, 8.193817, 
2020/11/23 21:46 +0100, GMT+2, 7.894211, 
2020/11/23 22:06 +0100, GMT+2, 7.8564453, 
2020/11/23 22:26 +0100, GMT+2, 7.7532196, 
2020/11/23 22:46 +0100, GMT+2, 7.5694275, 
2020/11/23 23:06 +0100, GMT+2, 7.420883, 
2020/11/23 23:26 +0100, GMT+2, 7.4183655, 
2020/11/23 23:46 +0100, GMT+2, 7.355423, 
2020/11/24 00:06 +0100, GMT+2, 8.067932, 
2020/11/24 00:26 +0100, GMT+2, 8.040237, 
2020/11/24 00:46 +0100, GMT+2, 8.490906, 
2020/11/24 01:06 +0100, GMT+2, 9.158096, 
2020/11/24 01:26 +0100, GMT+2, 9.689331, 
2020/11/24 01:46 +0100, GMT+2, 10.014114, 
2020/11/24 02:06 +0100, GMT+2, 10.218048, 
2020/11/24 02:26 +0100, GMT+2, 10.210495, 
2020/11/24 02:46 +0100, GMT+2, 10.36911, 
2020/11/24 03:06 +0100, GMT+2, 10.386734, 
2020/11/24 03:26 +0100, GMT+2, 10.404358, 
2020/11/24 03:46 +0100, GMT+2, 10.406876, 
2020/11/24 04:06 +0100, GMT+2, 10.4244995, 
2020/11/24 04:26 +0100, GMT+2, 10.552902, 
2020/11/24 04:46 +0100, GMT+2, 10.545349, 
2020/11/24 05:06 +0100, GMT+2, 10.583115, 
2020/11/24 05:26 +0100, GMT+2, 10.900345, 
2020/11/24 05:46 +0100, GMT+2, 10.794601, 
2020/11/24 06:06 +0100, GMT+2, 10.9935, 
2020/11/24 06:26 +0100, GMT+2, 10.706482, 
2020/11/24 06:46 +0100, GMT+2, 10.532761, 
2020/11/24 07:06 +0100, GMT+2, 10.766907, 
2020/11/24 07:26 +0100, GMT+2, 10.45723, 
2020/11/24 07:46 +0100, GMT+2, 10.5503845, 
2020/11/24 08:06 +0100, GMT+2, 10.598221, 
2020/11/24 08:26 +0100, GMT+2, 10.618362, 
2020/11/24 08:46 +0100, GMT+2, 10.943146, 
2020/11/24 09:06 +0100, GMT+2, 11.086655, 
2020/11/24 09:26 +0100, GMT+2, 10.935593, 
2020/11/24 09:46 +0100, GMT+2, 11.607819, 
2020/11/24 10:06 +0100, GMT+2, 12.038345, 
2020/11/24 10:26 +0100, GMT+2, 12.071075, 
2020/11/24 10:46 +0100, GMT+2, 12.431107, 
2020/11/24 11:06 +0100, GMT+2, 12.9422, 
2020/11/24 11:26 +0100, GMT+2, 13.030319, 
2020/11/24 11:46 +0100, GMT+2, 12.337952, 
2020/11/24 12:06 +0100, GMT+2, 12.128983, 
2020/11/24 12:26 +0100, GMT+2, 12.9522705, 
2020/11/24 12:46 +0100, GMT+2, 12.697983, 
2020/11/24 13:06 +0100, GMT+2, 12.710571, 
2020/11/24 13:26 +0100, GMT+2, 13.04039, 
2020/11/24 13:46 +0100, GMT+2, 12.760925, 
2020/11/24 14:06 +0100, GMT+2, 12.884293, 
2020/11/24 14:26 +0100, GMT+2, 12.781067, 
2020/11/24 14:46 +0100, GMT+2, 12.677841, 
2020/11/24 15:06 +0100, GMT+2, 12.156677, 
2020/11/24 15:26 +0100, GMT+2, 11.680832, 
2020/11/24 15:46 +0100, GMT+2, 11.182327, 
2020/11/24 16:06 +0100, GMT+2, 10.865097, 
2020/11/24 16:26 +0100, GMT+2, 10.641022, 
2020/11/24 16:46 +0100, GMT+2, 10.492477, 
2020/11/24 17:06 +0100, GMT+2, 10.384216, 
2020/11/24 17:26 +0100, GMT+2, 10.165176, 
2020/11/24 17:46 +0100, GMT+2, 9.86557, 
2020/11/24 18:06 +0100, GMT+2, 9.757309, 
2020/11/24 18:26 +0100, GMT+2, 9.67926, 
2020/11/24 18:46 +0100, GMT+2, 9.656601, 
2020/11/24 19:06 +0100, GMT+2, 9.6138, 
2020/11/24 19:26 +0100, GMT+2, 14.1028595, 
2020/11/24 19:46 +0100, GMT+2, 13.662262, 0
2020/11/24 20:06 +0100, GMT+2, 13.110886, 0
2020/11/24 20:26 +0100, GMT+2, 12.735748, 0
2020/11/24 20:46 +0100, GMT+2, 12.612381, 0
2020/11/24 21:06 +0100, GMT+2, 12.38327, 0.00001
2020/11/24 21:26 +0100, GMT+2, 12.15416, 0.00007
2020/11/24 21:46 +0100, GMT+2, 12.015686, 0.00028
2020/11/24 22:06 +0100, GMT+2, 11.91246, 0.00083
2020/11/24 22:26 +0100, GMT+2, 11.849518, 0.00199
2020/11/24 22:46 +0100, GMT+2, 11.6506195, 0.00406
2020/11/24 23:06 +0100, GMT+2, 11.572571, 0.00734
2020/11/24 23:26 +0100, GMT+2, 11.554947, 0.01219
2020/11/24 23:46 +0100, GMT+2, 11.5499115, 0.01894
2020/11/25 00:06 +0100, GMT+2, 11.4240265, 0.02786
2020/11/25 00:26 +0100, GMT+2, 11.4492035, 0.03919
