time, timezone, temperature, strength
2020/11/23 08:50 +0100, GMT+2, 8.2, 
2020/11/23 09:10 +0100, GMT+2, 5.3, 
2020/11/23 09:30 +0100, GMT+2, 5.2, 
2020/11/23 09:50 +0100, GMT+2, 5, 
2020/11/23 10:10 +0100, GMT+2, 5.1, 
2020/11/23 10:30 +0100, GMT+2, 5.9, 
2020/11/23 10:50 +0100, GMT+2, 6.5, 
2020/11/23 11:10 +0100, GMT+2, 15.3, 
2020/11/23 11:30 +0100, GMT+2, 15.4, 
2020/11/23 11:50 +0100, GMT+2, 15.5, 
2020/11/23 12:10 +0100, GMT+2, 15.5, 0
2020/11/23 12:30 +0100, GMT+2, 15.6, 0
2020/11/23 12:50 +0100, GMT+2, 15.6, 0
2020/11/23 13:10 +0100, GMT+2, 15.7, 0
2020/11/23 13:30 +0100, GMT+2, 15.8, 0.00005
2020/11/23 13:50 +0100, GMT+2, 16, 0.00033
2020/11/23 14:10 +0100, GMT+2, 16, 0.00125
2020/11/23 14:30 +0100, GMT+2, 16.1, 0.00348
2020/11/23 14:50 +0100, GMT+2, 16.3, 0.00786
2020/11/23 15:10 +0100, GMT+2, 16.5, 0.01537
2020/11/23 15:30 +0100, GMT+2, 16.7, 0.02699
2020/11/23 15:50 +0100, GMT+2, 16.9, 0.04369
2020/11/23 16:10 +0100, GMT+2, 17.1, 0.06632
2020/11/23 16:30 +0100, GMT+2, 17.4, 0.09577
2020/11/23 16:50 +0100, GMT+2, 17.7, 0.13287
2020/11/23 17:10 +0100, GMT+2, 18, 0.17829
2020/11/23 17:30 +0100, GMT+2, 18.4, 0.23277
2020/11/23 17:50 +0100, GMT+2, 18.8, 0.29705
2020/11/23 18:10 +0100, GMT+2, 19.2, 0.37165
2020/11/23 18:30 +0100, GMT+2, 19.6, 0.45701
2020/11/23 18:50 +0100, GMT+2, 20.1, 0.55375
2020/11/23 19:10 +0100, GMT+2, 20.7, 0.66284
2020/11/23 19:30 +0100, GMT+2, 21.3, 0.78516
2020/11/23 19:50 +0100, GMT+2, 22, 0.92133
2020/11/23 20:10 +0100, GMT+2, 22.5, 1.07148
2020/11/23 20:30 +0100, GMT+2, 23, 1.23504
2020/11/23 20:50 +0100, GMT+2, 23.3, 1.41111
2020/11/23 21:10 +0100, GMT+2, 23.7, 1.59904
2020/11/23 21:30 +0100, GMT+2, 24.1, 1.79906
2020/11/23 21:50 +0100, GMT+2, 24.4, 2.01038
2020/11/23 22:10 +0100, GMT+2, 24.8, 2.23268
2020/11/23 22:30 +0100, GMT+2, 25.1, 2.46559
2020/11/23 22:50 +0100, GMT+2, 25.4, 2.70816
2020/11/23 23:10 +0100, GMT+2, 25.8, 2.96056
2020/11/23 23:30 +0100, GMT+2, 26.1, 3.22241
2020/11/23 23:50 +0100, GMT+2, 26.4, 3.4927
2020/11/24 00:10 +0100, GMT+2, 26.7, 3.77099
2020/11/24 00:30 +0100, GMT+2, 27, 4.05688
2020/11/24 00:50 +0100, GMT+2, 27.3, 4.3502
2020/11/24 01:10 +0100, GMT+2, 27.6, 4.65008
2020/11/24 01:30 +0100, GMT+2, 28, 4.95709
2020/11/24 01:50 +0100, GMT+2, 28.3, 5.27086
2020/11/24 02:10 +0100, GMT+2, 28.6, 5.59035
2020/11/24 02:30 +0100, GMT+2, 28.9, 5.9152
2020/11/24 02:50 +0100, GMT+2, 29.2, 6.24507
2020/11/24 03:10 +0100, GMT+2, 29.5, 6.57964
2020/11/24 03:30 +0100, GMT+2, 29.8, 6.91859
2020/11/24 03:50 +0100, GMT+2, 30.1, 7.26163
2020/11/24 04:10 +0100, GMT+2, 30.4, 7.60846
2020/11/24 04:30 +0100, GMT+2, 30.6, 7.95806
2020/11/24 04:50 +0100, GMT+2, 30.9, 8.31016
