time, timezone, temperature, strength
2020/11/14 11:57 +0100, GMT+2, 15.3, 
2020/11/14 12:17 +0100, GMT+2, 14, 
2020/11/14 12:37 +0100, GMT+2, 13.9, 
2020/11/14 12:57 +0100, GMT+2, 14, 
2020/11/14 13:17 +0100, GMT+2, 14, 
2020/11/14 13:37 +0100, GMT+2, 13.2, 
2020/11/14 13:57 +0100, GMT+2, 13.4, 
2020/11/14 14:17 +0100, GMT+2, 13.4, 
2020/11/14 14:37 +0100, GMT+2, 13, 
2020/11/14 14:57 +0100, GMT+2, 12.6, 
2020/11/14 15:17 +0100, GMT+2, 12.6, 
2020/11/14 15:37 +0100, GMT+2, 12.8, 
2020/11/14 15:57 +0100, GMT+2, 13, 
2020/11/14 16:17 +0100, GMT+2, 13.2, 
2020/11/14 16:37 +0100, GMT+2, 13.6, 
2020/11/14 16:57 +0100, GMT+2, 13.6, 
2020/11/14 17:17 +0100, GMT+2, 13.8, 
2020/11/14 17:37 +0100, GMT+2, 13.7, 
2020/11/14 17:57 +0100, GMT+2, 13.3, 
2020/11/14 18:17 +0100, GMT+2, 13.5, 
2020/11/14 18:37 +0100, GMT+2, 13.6, 
2020/11/14 18:57 +0100, GMT+2, 14, 
2020/11/14 19:17 +0100, GMT+2, 14.1, 
2020/11/14 19:37 +0100, GMT+2, 14, 
2020/11/14 19:57 +0100, GMT+2, 13.4, 
2020/11/14 20:17 +0100, GMT+2, 13.2, 
2020/11/14 20:37 +0100, GMT+2, 13.5, 
2020/11/14 20:57 +0100, GMT+2, 13.5, 
2020/11/14 21:17 +0100, GMT+2, 13.6, 
2020/11/14 21:37 +0100, GMT+2, 13.6, 
2020/11/14 21:57 +0100, GMT+2, 13.6, 
2020/11/14 22:17 +0100, GMT+2, 13.3, 
2020/11/14 22:37 +0100, GMT+2, 13.1, 
2020/11/14 22:57 +0100, GMT+2, 13.1, 
2020/11/14 23:17 +0100, GMT+2, 13.1, 
2020/11/14 23:37 +0100, GMT+2, 13.1, 
2020/11/14 23:57 +0100, GMT+2, 13, 
2020/11/15 00:17 +0100, GMT+2, 12.9, 
2020/11/15 00:37 +0100, GMT+2, 12.9, 
2020/11/15 00:57 +0100, GMT+2, 13, 
2020/11/15 01:17 +0100, GMT+2, 13.1, 
2020/11/15 01:37 +0100, GMT+2, 12.6, 
2020/11/15 01:57 +0100, GMT+2, 12.3, 
2020/11/15 02:17 +0100, GMT+2, 12.1, 
2020/11/15 02:37 +0100, GMT+2, 12.1, 
2020/11/15 02:57 +0100, GMT+2, 12.6, 
2020/11/15 03:17 +0100, GMT+2, 13, 
2020/11/15 03:37 +0100, GMT+2, 13.5, 
2020/11/15 03:57 +0100, GMT+2, 13.8, 
2020/11/15 04:17 +0100, GMT+2, 13.9, 
2020/11/15 04:37 +0100, GMT+2, 13.8, 
2020/11/15 04:57 +0100, GMT+2, 13.5, 
2020/11/15 05:17 +0100, GMT+2, 13.2, 
2020/11/15 05:37 +0100, GMT+2, 13.1, 
2020/11/15 05:57 +0100, GMT+2, 13, 
2020/11/15 06:17 +0100, GMT+2, 13.2, 
2020/11/15 06:37 +0100, GMT+2, 13.2, 
