time, timezone, temperature, strength
2020/10/14 09:17 +0200, GMT+2, 8.3, 
2020/10/14 09:34 +0200, GMT+2, 8.7, 
2020/10/14 09:54 +0200, GMT+2, 9.1, 
2020/10/14 10:14 +0200, GMT+2, 9.6, 
2020/10/14 10:34 +0200, GMT+2, 10.2, 
2020/10/14 10:54 +0200, GMT+2, 10.5, 
2020/10/14 11:14 +0200, GMT+2, 11.1, 
2020/10/14 11:34 +0200, GMT+2, 11.6, 
2020/10/14 11:54 +0200, GMT+2, 12.1, 
2020/10/14 12:14 +0200, GMT+2, 12, 
2020/10/14 12:34 +0200, GMT+2, 12.5, 
2020/10/14 12:54 +0200, GMT+2, 12.8, 
2020/10/14 13:14 +0200, GMT+2, 13.6, 
2020/10/14 13:34 +0200, GMT+2, 13.7, 
2020/10/14 13:54 +0200, GMT+2, 13.5, 
2020/10/14 14:14 +0200, GMT+2, 13.5, 
2020/10/14 14:34 +0200, GMT+2, 13.6, 
2020/10/14 14:54 +0200, GMT+2, 13.8, 
2020/10/14 15:14 +0200, GMT+2, 13.8, 
2020/10/14 15:34 +0200, GMT+2, 14, 
2020/10/14 15:54 +0200, GMT+2, 14, 0
2020/10/14 16:14 +0200, GMT+2, 16.8, 0
2020/10/14 16:34 +0200, GMT+2, 17.6, 0
2020/10/14 16:54 +0200, GMT+2, 18.7, 0.00001
2020/10/14 17:14 +0200, GMT+2, 18.5, 0.00013
2020/10/14 17:34 +0200, GMT+2, 18.5, 0.00077
2020/10/14 17:54 +0200, GMT+2, 18.6, 0.00281
2020/10/14 18:14 +0200, GMT+2, 18.7, 0.00746
2020/10/14 18:34 +0200, GMT+2, 18.8, 0.01614
2020/10/14 18:54 +0200, GMT+2, 19, 0.03026
2020/10/14 19:14 +0200, GMT+2, 19.1, 0.05115
2020/10/14 19:34 +0200, GMT+2, 19.3, 0.07994
2020/10/14 19:54 +0200, GMT+2, 19.5, 0.11765
2020/10/14 20:14 +0200, GMT+2, 19.7, 0.16507
2020/10/14 20:34 +0200, GMT+2, 20, 0.22296
2020/10/14 20:54 +0200, GMT+2, 20.3, 0.292
2020/10/14 21:14 +0200, GMT+2, 20.6, 0.37262
2020/10/14 21:34 +0200, GMT+2, 21, 0.46537
2020/10/14 21:54 +0200, GMT+2, 21.3, 0.5705
2020/10/14 22:14 +0200, GMT+2, 21.8, 0.68847
2020/10/14 22:34 +0200, GMT+2, 22.2, 0.81978
2020/10/14 22:54 +0200, GMT+2, 22.7, 0.96456
2020/10/14 23:14 +0200, GMT+2, 23.3, 1.1237
2020/10/14 23:34 +0200, GMT+2, 23.9, 1.29781
