time, timezone, temperature, strength
2020/09/12 11:12 +0200, GMT+2, 19.387512, 
2020/09/12 11:32 +0200, GMT+2, 27.255325, 
2020/09/12 11:52 +0200, GMT+2, 25.908356, 
2020/09/12 12:12 +0200, GMT+2, 24.390182, 
2020/09/12 12:32 +0200, GMT+2, 22.992859, 
2020/09/12 12:52 +0200, GMT+2, 22.79396, 
2020/09/12 13:12 +0200, GMT+2, 22.650452, 
2020/09/12 13:32 +0200, GMT+2, 22.441483, 
2020/09/12 13:52 +0200, GMT+2, 22.428894, 
2020/09/12 14:12 +0200, GMT+2, 22.562332, 0
2020/09/12 14:32 +0200, GMT+2, 22.584991, 0
2020/09/12 14:52 +0200, GMT+2, 22.582474, 0
2020/09/12 15:12 +0200, GMT+2, 22.902222, 0.00013
2020/09/12 15:32 +0200, GMT+2, 23.403244, 0.0012
2020/09/12 15:52 +0200, GMT+2, 23.783417, 0.00529
2020/09/12 16:12 +0200, GMT+2, 24.365005, 0.01559
2020/09/12 16:32 +0200, GMT+2, 24.84085, 0.0358
2020/09/12 16:52 +0200, GMT+2, 25.185776, 0.06937
2020/09/12 17:12 +0200, GMT+2, 25.394745, 0.11888
2020/09/12 17:32 +0200, GMT+2, 25.452652, 0.18574
2020/09/12 17:52 +0200, GMT+2, 25.505524, 0.2705
2020/09/12 18:12 +0200, GMT+2, 25.558395, 0.37324
2020/09/12 18:32 +0200, GMT+2, 25.898285, 0.49439
2020/09/12 18:52 +0200, GMT+2, 26.24321, 0.63489
2020/09/12 19:12 +0200, GMT+2, 26.22055, 0.793
2020/09/12 19:32 +0200, GMT+2, 26.006546, 0.96554
2020/09/12 19:52 +0200, GMT+2, 25.666656, 1.1496
2020/09/12 20:12 +0200, GMT+2, 25.286484, 1.34272
2020/09/12 20:32 +0200, GMT+2, 25.007019, 1.54356
2020/09/12 20:52 +0200, GMT+2, 24.803085, 1.75158
2020/09/12 21:12 +0200, GMT+2, 24.599152, 1.96598
2020/09/12 21:32 +0200, GMT+2, 24.299545, 2.18518
2020/09/12 21:52 +0200, GMT+2, 23.884125, 2.40701
2020/09/12 22:12 +0200, GMT+2, 23.508987, 2.63008
2020/09/12 22:32 +0200, GMT+2, 23.093567, 2.85355
2020/09/12 22:52 +0200, GMT+2, 22.71843, 3.07668
2020/09/12 23:12 +0200, GMT+2, 22.343292, 3.29889
2020/09/12 23:32 +0200, GMT+2, 22.008438, 3.52025
2020/09/12 23:52 +0200, GMT+2, 21.683655, 3.7404
2020/09/13 00:12 +0200, GMT+2, 21.399155, 3.95926
2020/09/13 00:32 +0200, GMT+2, 21.104584, 4.17665
2020/09/13 00:52 +0200, GMT+2, 20.84526, 4.39243
2020/09/13 01:12 +0200, GMT+2, 20.55069, 4.60636
2020/09/13 01:32 +0200, GMT+2, 20.27626, 4.81812
2020/09/13 01:52 +0200, GMT+2, 20.006866, 5.02767
2020/09/13 02:12 +0200, GMT+2, 19.732437, 5.23485
2020/09/13 02:32 +0200, GMT+2, 19.452972, 5.43947
2020/09/13 02:52 +0200, GMT+2, 19.188614, 5.64145
2020/09/13 03:12 +0200, GMT+2, 18.979645, 5.84111
2020/09/13 03:32 +0200, GMT+2, 18.770676, 6.03867
2020/09/13 03:52 +0200, GMT+2, 18.581848, 6.234
2020/09/13 04:12 +0200, GMT+2, 18.39302, 6.42747
2020/09/13 04:32 +0200, GMT+2, 18.189087, 6.61878
2020/09/13 04:52 +0200, GMT+2, 17.975082, 6.80773
2020/09/13 05:12 +0200, GMT+2, 17.776184, 6.99432
2020/09/13 05:32 +0200, GMT+2, 17.57225, 7.17856
2020/09/13 05:52 +0200, GMT+2, 17.348175, 7.36029
2020/09/13 06:12 +0200, GMT+2, 17.144241, 7.53949
2020/09/13 06:32 +0200, GMT+2, 16.945343, 7.71628
2020/09/13 06:52 +0200, GMT+2, 16.771622, 7.89082
2020/09/13 07:12 +0200, GMT+2, 16.582794, 8.06314
2020/09/13 07:32 +0200, GMT+2, 16.439285, 8.2334
2020/09/13 07:52 +0200, GMT+2, 16.331024, 8.402
2020/09/13 08:12 +0200, GMT+2, 16.273117, 8.56939
2020/09/13 08:32 +0200, GMT+2, 16.250458, 8.73584
2020/09/13 08:52 +0200, GMT+2, 16.323471, 8.9023
2020/09/13 09:12 +0200, GMT+2, 16.547546, 9.06987
2020/09/13 09:32 +0200, GMT+2, 16.8824, 9.23989
2020/09/13 09:52 +0200, GMT+2, 17.348175, 9.4136
2020/09/13 10:12 +0200, GMT+2, 17.995224, 9.59266
2020/09/13 10:32 +0200, GMT+2, 18.692627, 9.77833
2020/09/13 10:52 +0200, GMT+2, 19.470596, 9.97138
2020/09/13 11:12 +0200, GMT+2, 20.248566, 10.17232
2020/09/13 11:32 +0200, GMT+2, 21.081924, 10.38155
2020/09/13 11:52 +0200, GMT+2, 21.905212, 10.59937
