time, timezone, temperature, strength
2020/11/02 09:34 +0100, GMT+2, 19.57634, 
2020/11/02 09:54 +0100, GMT+2, 17.494202, 
2020/11/02 10:14 +0100, GMT+2, 17.365799, 
2020/11/02 10:34 +0100, GMT+2, 17.106476, 
2020/11/02 10:54 +0100, GMT+2, 16.529922, 
2020/11/02 11:14 +0100, GMT+2, 16.054077, 
2020/11/02 11:34 +0100, GMT+2, 15.799789, 
2020/11/02 11:54 +0100, GMT+2, 15.540466, 
2020/11/02 12:14 +0100, GMT+2, 15.401993, 
2020/11/02 12:34 +0100, GMT+2, 15.4599, 
2020/11/02 12:54 +0100, GMT+2, 15.422134, 
2020/11/02 13:14 +0100, GMT+2, 15.469971, 
2020/11/02 13:34 +0100, GMT+2, 15.42717, 
2020/11/02 13:54 +0100, GMT+2, 15.419617, 
2020/11/02 14:14 +0100, GMT+2, 15.351639, 
2020/11/02 14:34 +0100, GMT+2, 15.434723, 
2020/11/02 14:54 +0100, GMT+2, 15.230789, 
2020/11/02 15:14 +0100, GMT+2, 15.072174, 
2020/11/02 15:34 +0100, GMT+2, 14.853134, 
2020/11/02 15:54 +0100, GMT+2, 14.805298, 
2020/11/02 16:14 +0100, GMT+2, 14.943771, 
2020/11/02 16:34 +0100, GMT+2, 14.880829, 
2020/11/02 16:54 +0100, GMT+2, 14.535904, 
2020/11/02 17:14 +0100, GMT+2, 14.140625, 
2020/11/02 17:34 +0100, GMT+2, 13.770523, 
2020/11/02 17:54 +0100, GMT+2, 13.405457, 
2020/11/02 18:14 +0100, GMT+2, 13.070602, 
2020/11/02 18:34 +0100, GMT+2, 12.745819, 
2020/11/02 18:54 +0100, GMT+2, 12.426071, 
2020/11/02 19:14 +0100, GMT+2, 12.151642, 
2020/11/02 19:34 +0100, GMT+2, 11.887283, 
2020/11/02 19:54 +0100, GMT+2, 11.648102, 
2020/11/02 20:14 +0100, GMT+2, 11.4492035, 
2020/11/02 20:34 +0100, GMT+2, 11.255341, 
2020/11/02 20:54 +0100, GMT+2, 11.066513, 
2020/11/02 21:14 +0100, GMT+2, 10.892792, 
2020/11/02 21:34 +0100, GMT+2, 10.71907, 
2020/11/02 21:54 +0100, GMT+2, 10.585632, 
2020/11/02 22:14 +0100, GMT+2, 10.406876, 
2020/11/02 22:34 +0100, GMT+2, 10.263367, 
2020/11/02 22:54 +0100, GMT+2, 10.124893, 
2020/11/02 23:14 +0100, GMT+2, 9.976349, 
2020/11/02 23:34 +0100, GMT+2, 9.812698, 
2020/11/02 23:54 +0100, GMT+2, 9.664154, 
2020/11/03 00:14 +0100, GMT+2, 9.51561, 
2020/11/03 00:34 +0100, GMT+2, 9.336853, 
2020/11/03 00:54 +0100, GMT+2, 9.188309, 
2020/11/03 01:14 +0100, GMT+2, 9.029694, 
2020/11/03 01:34 +0100, GMT+2, 8.936539, 
2020/11/03 01:54 +0100, GMT+2, 8.79303, 
2020/11/03 02:14 +0100, GMT+2, 8.659592, 
2020/11/03 02:34 +0100, GMT+2, 8.54126, 
2020/11/03 02:54 +0100, GMT+2, 8.438034, 
2020/11/03 03:14 +0100, GMT+2, 8.344879, 
2020/11/03 03:34 +0100, GMT+2, 8.292007, 
2020/11/03 03:54 +0100, GMT+2, 8.2341, 
2020/11/03 04:14 +0100, GMT+2, 8.161087, 
2020/11/03 04:34 +0100, GMT+2, 7.992401, 
2020/11/03 04:54 +0100, GMT+2, 7.9143524, 
2020/11/03 05:14 +0100, GMT+2, 7.866516, 
2020/11/03 05:34 +0100, GMT+2, 7.869034, 
2020/11/03 05:54 +0100, GMT+2, 7.8363037, 
2020/11/03 06:14 +0100, GMT+2, 7.9294586, 
2020/11/03 06:34 +0100, GMT+2, 8.007507, 
2020/11/03 06:54 +0100, GMT+2, 8.120804, 
2020/11/03 07:14 +0100, GMT+2, 8.188782, 
2020/11/03 07:34 +0100, GMT+2, 8.231583, 
2020/11/03 07:54 +0100, GMT+2, 8.193817, 
2020/11/03 08:14 +0100, GMT+2, 8.216476, 
2020/11/03 08:34 +0100, GMT+2, 8.299561, 
2020/11/03 08:54 +0100, GMT+2, 8.513565, 
2020/11/03 09:14 +0100, GMT+2, 8.636932, 
2020/11/03 09:34 +0100, GMT+2, 8.740158, 
2020/11/03 09:54 +0100, GMT+2, 8.717499, 
2020/11/03 10:14 +0100, GMT+2, 8.63945, 
2020/11/03 10:34 +0100, GMT+2, 8.551331, 
2020/11/03 10:54 +0100, GMT+2, 8.538742, 
2020/11/03 11:14 +0100, GMT+2, 8.667145, 
2020/11/03 11:34 +0100, GMT+2, 8.785477, 
2020/11/03 11:54 +0100, GMT+2, 8.944092, 
2020/11/03 12:14 +0100, GMT+2, 9.163132, 
2020/11/03 12:34 +0100, GMT+2, 9.291534, 
2020/11/03 12:54 +0100, GMT+2, 9.278946, 
2020/11/03 13:14 +0100, GMT+2, 9.236145, 
2020/11/03 13:34 +0100, GMT+2, 9.359512, 
2020/11/03 13:54 +0100, GMT+2, 9.518127, 
2020/11/03 14:14 +0100, GMT+2, 9.621353, 
2020/11/03 14:34 +0100, GMT+2, 9.694366, 
2020/11/03 14:54 +0100, GMT+2, 9.782486, 
2020/11/03 15:14 +0100, GMT+2, 15.172882, 
2020/11/03 15:34 +0100, GMT+2, 14.515762, 0
2020/11/03 15:54 +0100, GMT+2, 14.165802, 0
2020/11/03 16:14 +0100, GMT+2, 13.614426, 0
2020/11/03 16:34 +0100, GMT+2, 13.314819, 0
2020/11/03 16:54 +0100, GMT+2, 13.151169, 0.00002
2020/11/03 17:14 +0100, GMT+2, 12.685394, 0.00011
2020/11/03 17:34 +0100, GMT+2, 12.320328, 0.00042
2020/11/03 17:54 +0100, GMT+2, 11.955261, 0.00116
2020/11/03 18:14 +0100, GMT+2, 11.690903, 0.00259
2020/11/03 18:34 +0100, GMT+2, 11.421509, 0.00502
2020/11/03 18:54 +0100, GMT+2, 11.283035, 0.00871
2020/11/03 19:14 +0100, GMT+2, 11.084137, 0.01397
2020/11/03 19:34 +0100, GMT+2, 10.844955, 0.02098
2020/11/03 19:54 +0100, GMT+2, 10.615845, 0.02992
2020/11/03 20:14 +0100, GMT+2, 10.497513, 0.04095
2020/11/03 20:34 +0100, GMT+2, 10.3741455, 0.05424
2020/11/03 20:54 +0100, GMT+2, 10.291061, 0.06989
2020/11/03 21:14 +0100, GMT+2, 10.243225, 0.08804
2020/11/03 21:34 +0100, GMT+2, 10.175247, 0.10875
2020/11/03 21:54 +0100, GMT+2, 10.092163, 0.13202
2020/11/03 22:14 +0100, GMT+2, 10.044327, 0.15792
2020/11/03 22:34 +0100, GMT+2, 9.9964905, 0.18647
2020/11/03 22:54 +0100, GMT+2, 9.908371, 0.21759
2020/11/03 23:14 +0100, GMT+2, 9.815216, 0.2512
2020/11/03 23:34 +0100, GMT+2, 9.812698, 0.28736
2020/11/03 23:54 +0100, GMT+2, 9.774933, 0.32611
2020/11/04 00:14 +0100, GMT+2, 9.83284, 0.3675
2020/11/04 00:34 +0100, GMT+2, 9.835358, 0.41159
2020/11/04 00:54 +0100, GMT+2, 9.842911, 0.45826
2020/11/04 01:14 +0100, GMT+2, 9.890747, 0.50754
2020/11/04 01:34 +0100, GMT+2, 9.978867, 0.55958
2020/11/04 01:54 +0100, GMT+2, 10.011597, 0.61433
2020/11/04 02:14 +0100, GMT+2, 10.114822, 0.67174
2020/11/04 02:34 +0100, GMT+2, 10.233154, 0.73208
2020/11/04 02:54 +0100, GMT+2, 10.165176, 0.79489
2020/11/04 03:14 +0100, GMT+2, 10.11734, 0.8597
2020/11/04 03:34 +0100, GMT+2, 10.104752, 0.92654
2020/11/04 03:54 +0100, GMT+2, 10.031738, 0.99527
2020/11/04 04:14 +0100, GMT+2, 10.01915, 1.0658
2020/11/04 04:34 +0100, GMT+2, 10.0216675, 1.13825
2020/11/04 04:54 +0100, GMT+2, 9.968796, 1.21244
2020/11/04 05:14 +0100, GMT+2, 9.98642, 1.28834
2020/11/04 05:34 +0100, GMT+2, 10.069504, 1.36629
2020/11/04 05:54 +0100, GMT+2, 10.031738, 1.44606
2020/11/04 06:14 +0100, GMT+2, 9.993973, 1.52724
2020/11/04 06:34 +0100, GMT+2, 9.910889, 1.60958
2020/11/04 06:54 +0100, GMT+2, 9.908371, 1.69307
2020/11/04 07:14 +0100, GMT+2, 9.885712, 1.77796
2020/11/04 07:34 +0100, GMT+2, 9.817734, 1.8639
2020/11/04 07:54 +0100, GMT+2, 9.709473, 1.95054
2020/11/04 08:14 +0100, GMT+2, 9.742203, 2.03815
2020/11/04 08:34 +0100, GMT+2, 9.674225, 2.12681
2020/11/04 08:54 +0100, GMT+2, 9.596176, 2.21606
2020/11/04 09:14 +0100, GMT+2, 9.638977, 2.30625
2020/11/04 09:34 +0100, GMT+2, 9.968796, 2.39879
2020/11/04 09:54 +0100, GMT+2, 10.364075, 2.49498
2020/11/04 10:14 +0100, GMT+2, 10.819778, 2.59537
2020/11/04 10:34 +0100, GMT+2, 11.325836, 2.7005
2020/11/04 10:54 +0100, GMT+2, 11.771469, 2.81045
2020/11/04 11:14 +0100, GMT+2, 12.146606, 2.92479
2020/11/04 11:34 +0100, GMT+2, 12.446213, 3.0429
2020/11/04 11:54 +0100, GMT+2, 12.740784, 3.16468
2020/11/04 12:14 +0100, GMT+2, 13.317337, 3.29126
2020/11/04 12:34 +0100, GMT+2, 13.737793, 3.42328
2020/11/04 12:54 +0100, GMT+2, 13.9769745, 3.55932
2020/11/04 13:14 +0100, GMT+2, 14.085236, 3.69793
2020/11/04 13:34 +0100, GMT+2, 14.012222, 3.83764
2020/11/04 13:54 +0100, GMT+2, 13.969421, 3.97766
2020/11/04 14:14 +0100, GMT+2, 13.941727, 4.11813
2020/11/04 14:34 +0100, GMT+2, 14.029846, 4.2596
2020/11/04 14:54 +0100, GMT+2, 14.294205, 4.40341
2020/11/04 15:14 +0100, GMT+2, 14.432678, 4.54977
2020/11/04 15:34 +0100, GMT+2, 14.571152, 4.69804
2020/11/04 15:54 +0100, GMT+2, 14.714661, 4.84821
2020/11/04 16:14 +0100, GMT+2, 14.792709, 4.99982
2020/11/04 16:34 +0100, GMT+2, 14.77005, 5.15225
2020/11/04 16:54 +0100, GMT+2, 14.621506, 5.30421
2020/11/04 17:14 +0100, GMT+2, 14.578705, 5.45553
2020/11/04 17:34 +0100, GMT+2, 14.520798, 5.60662
2020/11/04 17:54 +0100, GMT+2, 14.563599, 5.75786
2020/11/04 18:14 +0100, GMT+2, 14.455338, 5.90895
2020/11/04 18:34 +0100, GMT+2, 14.291687, 6.05884
2020/11/04 18:54 +0100, GMT+2, 14.208603, 6.20761
2020/11/04 19:14 +0100, GMT+2, 14.095306, 6.35548
2020/11/04 19:34 +0100, GMT+2, 13.9517975, 6.50213
2020/11/04 19:54 +0100, GMT+2, 13.833466, 6.64751
2020/11/04 20:14 +0100, GMT+2, 13.735275, 6.79181
