time, timezone, temperature, strength
2020/09/08 15:33 +0200, GMT+2, 27, 
2020/09/08 15:53 +0200, GMT+2, 26.1, 
2020/09/08 16:13 +0200, GMT+2, 27.2, 
2020/09/08 16:33 +0200, GMT+2, 27.5, 
2020/09/08 16:53 +0200, GMT+2, 25.8, 
2020/09/08 17:13 +0200, GMT+2, 26, 
2020/09/08 17:33 +0200, GMT+2, 24.5, 
2020/09/08 17:53 +0200, GMT+2, 24.1, 
2020/09/08 18:13 +0200, GMT+2, 23.8, 
2020/09/08 18:33 +0200, GMT+2, 23.5, 
2020/09/08 18:53 +0200, GMT+2, 23.7, 
2020/09/08 19:13 +0200, GMT+2, 23.8, 
2020/09/08 19:33 +0200, GMT+2, 23.6, 
2020/09/08 19:53 +0200, GMT+2, 23.6, 
2020/09/08 20:13 +0200, GMT+2, 23.3, 
2020/09/08 20:33 +0200, GMT+2, 22.7, 
2020/09/08 20:53 +0200, GMT+2, 22.3, 
2020/09/08 21:13 +0200, GMT+2, 22.1, 
2020/09/08 21:33 +0200, GMT+2, 21.8, 
2020/09/08 21:53 +0200, GMT+2, 21.3, 
2020/09/08 22:13 +0200, GMT+2, 21, 
2020/09/08 22:33 +0200, GMT+2, 20.6, 
2020/09/08 22:53 +0200, GMT+2, 20.4, 
2020/09/08 23:13 +0200, GMT+2, 20, 
2020/09/08 23:33 +0200, GMT+2, 19.8, 
2020/09/08 23:53 +0200, GMT+2, 19.6, 
2020/09/09 00:13 +0200, GMT+2, 19.5, 
2020/09/09 00:33 +0200, GMT+2, 19.2, 
2020/09/09 00:53 +0200, GMT+2, 19, 
2020/09/09 01:13 +0200, GMT+2, 18.8, 
2020/09/09 01:33 +0200, GMT+2, 18.7, 
2020/09/09 01:53 +0200, GMT+2, 18.5, 
2020/09/09 02:13 +0200, GMT+2, 18.5, 
2020/09/09 02:33 +0200, GMT+2, 18.3, 
2020/09/09 02:53 +0200, GMT+2, 18, 
2020/09/09 03:13 +0200, GMT+2, 17.9, 
2020/09/09 03:33 +0200, GMT+2, 17.6, 
2020/09/09 03:53 +0200, GMT+2, 17.4, 
2020/09/09 04:13 +0200, GMT+2, 17.1, 
2020/09/09 04:33 +0200, GMT+2, 16.9, 
2020/09/09 04:53 +0200, GMT+2, 16.7, 
2020/09/09 05:13 +0200, GMT+2, 16.5, 
2020/09/09 05:33 +0200, GMT+2, 16.2, 
2020/09/09 05:53 +0200, GMT+2, 16.1, 
2020/09/09 06:13 +0200, GMT+2, 16, 
2020/09/09 06:33 +0200, GMT+2, 15.9, 
2020/09/09 06:53 +0200, GMT+2, 15.8, 
2020/09/09 07:13 +0200, GMT+2, 16, 
2020/09/09 07:33 +0200, GMT+2, 16, 
2020/09/09 07:53 +0200, GMT+2, 15.9, 
2020/09/09 08:13 +0200, GMT+2, 15.9, 
2020/09/09 08:33 +0200, GMT+2, 16, 
2020/09/09 08:53 +0200, GMT+2, 16.2, 
2020/09/09 09:13 +0200, GMT+2, 16.2, 
2020/09/09 09:33 +0200, GMT+2, 16.5, 
2020/09/09 09:53 +0200, GMT+2, 17, 
2020/09/09 10:13 +0200, GMT+2, 17.5, 
2020/09/09 10:33 +0200, GMT+2, 17.8, 
2020/09/09 10:53 +0200, GMT+2, 18.1, 
2020/09/09 11:13 +0200, GMT+2, 18.3, 
2020/09/09 11:33 +0200, GMT+2, 18.2, 
2020/09/09 11:53 +0200, GMT+2, 18.6, 
2020/09/09 12:13 +0200, GMT+2, 19.3, 
2020/09/09 12:33 +0200, GMT+2, 19.6, 
2020/09/09 12:53 +0200, GMT+2, 19.9, 
2020/09/09 13:13 +0200, GMT+2, 20.6, 
2020/09/09 13:33 +0200, GMT+2, 20.3, 
2020/09/09 13:53 +0200, GMT+2, 20.1, 
2020/09/09 14:13 +0200, GMT+2, 20.5, 
2020/09/09 14:33 +0200, GMT+2, 21.1, 
2020/09/09 14:53 +0200, GMT+2, 22.8, 
2020/09/09 15:13 +0200, GMT+2, 24.3, 
2020/09/09 15:33 +0200, GMT+2, 22.3, 
2020/09/09 15:53 +0200, GMT+2, 21.8, 
2020/09/09 16:13 +0200, GMT+2, 21.5, 
2020/09/09 16:33 +0200, GMT+2, 21.6, 
2020/09/09 16:53 +0200, GMT+2, 22.7, 
2020/09/09 17:13 +0200, GMT+2, 22.4, 
2020/09/09 17:33 +0200, GMT+2, 22.1, 
2020/09/09 17:53 +0200, GMT+2, 22.8, 
2020/09/09 18:13 +0200, GMT+2, 22.5, 
2020/09/09 18:33 +0200, GMT+2, 21.9, 
2020/09/09 18:53 +0200, GMT+2, 21.3, 
2020/09/09 19:13 +0200, GMT+2, 21, 
2020/09/09 19:33 +0200, GMT+2, 20.7, 
2020/09/09 19:53 +0200, GMT+2, 20.6, 
2020/09/09 20:13 +0200, GMT+2, 20, 
2020/09/09 20:33 +0200, GMT+2, 19.5, 
2020/09/09 20:53 +0200, GMT+2, 18.9, 
2020/09/09 21:13 +0200, GMT+2, 18.4, 
2020/09/09 21:33 +0200, GMT+2, 18, 
2020/09/09 21:53 +0200, GMT+2, 17.4, 
2020/09/09 22:13 +0200, GMT+2, 16.8, 
2020/09/09 22:33 +0200, GMT+2, 16.5, 
2020/09/09 22:53 +0200, GMT+2, 16.2, 
2020/09/09 23:13 +0200, GMT+2, 15.7, 
2020/09/09 23:33 +0200, GMT+2, 15.4, 
2020/09/09 23:53 +0200, GMT+2, 15.1, 
2020/09/10 00:13 +0200, GMT+2, 14.7, 
2020/09/10 00:33 +0200, GMT+2, 14.4, 
2020/09/10 00:53 +0200, GMT+2, 14.1, 
2020/09/10 01:13 +0200, GMT+2, 13.9, 
2020/09/10 01:33 +0200, GMT+2, 13.6, 
2020/09/10 01:53 +0200, GMT+2, 13.3, 
2020/09/10 02:13 +0200, GMT+2, 13, 
2020/09/10 02:33 +0200, GMT+2, 12.8, 
2020/09/10 02:53 +0200, GMT+2, 12.5, 
2020/09/10 03:13 +0200, GMT+2, 12.4, 
2020/09/10 03:33 +0200, GMT+2, 12.2, 
2020/09/10 03:53 +0200, GMT+2, 12.1, 
2020/09/10 04:13 +0200, GMT+2, 11.9, 
2020/09/10 04:33 +0200, GMT+2, 11.7, 
2020/09/10 04:53 +0200, GMT+2, 11.5, 
2020/09/10 05:13 +0200, GMT+2, 11.3, 
2020/09/10 05:33 +0200, GMT+2, 11.1, 
2020/09/10 05:53 +0200, GMT+2, 10.8, 
2020/09/10 06:13 +0200, GMT+2, 10.6, 
2020/09/10 06:33 +0200, GMT+2, 10.5, 
2020/09/10 06:53 +0200, GMT+2, 10.3, 
2020/09/10 07:13 +0200, GMT+2, 10.2, 
2020/09/10 07:33 +0200, GMT+2, 10, 
2020/09/10 07:53 +0200, GMT+2, 10, 
2020/09/10 08:13 +0200, GMT+2, 10.1, 
2020/09/10 08:33 +0200, GMT+2, 10.2, 
2020/09/10 08:53 +0200, GMT+2, 10.6, 
2020/09/10 09:13 +0200, GMT+2, 10.9, 
2020/09/10 09:33 +0200, GMT+2, 11.3, 
2020/09/10 09:53 +0200, GMT+2, 11.8, 
2020/09/10 10:13 +0200, GMT+2, 13.6, 
2020/09/10 10:33 +0200, GMT+2, 12.8, 
2020/09/10 10:53 +0200, GMT+2, 13.1, 
2020/09/10 11:13 +0200, GMT+2, 13.5, 
2020/09/10 11:33 +0200, GMT+2, 14, 
2020/09/10 11:53 +0200, GMT+2, 14.6, 
2020/09/10 12:13 +0200, GMT+2, 15.2, 
2020/09/10 12:33 +0200, GMT+2, 15.8, 
2020/09/10 12:53 +0200, GMT+2, 16.5, 
2020/09/10 13:13 +0200, GMT+2, 17.1, 
2020/09/10 13:33 +0200, GMT+2, 17.3, 
2020/09/10 13:53 +0200, GMT+2, 21, 
2020/09/10 14:13 +0200, GMT+2, 21.5, 
2020/09/10 14:33 +0200, GMT+2, 18.2, 
2020/09/10 14:53 +0200, GMT+2, 18.7, 
2020/09/10 15:13 +0200, GMT+2, 19.5, 
2020/09/10 15:33 +0200, GMT+2, 22.7, 
2020/09/10 15:53 +0200, GMT+2, 23.3, 
2020/09/10 16:13 +0200, GMT+2, 22.7, 
2020/09/10 16:33 +0200, GMT+2, 25.3, 
2020/09/10 16:53 +0200, GMT+2, 23.7, 
2020/09/10 17:13 +0200, GMT+2, 23, 
2020/09/10 17:33 +0200, GMT+2, 20.3, 
2020/09/10 17:53 +0200, GMT+2, 20.8, 
2020/09/10 18:13 +0200, GMT+2, 20.4, 
2020/09/10 18:33 +0200, GMT+2, 19.2, 
2020/09/10 18:53 +0200, GMT+2, 18.9, 
2020/09/10 19:13 +0200, GMT+2, 18.2, 
2020/09/10 19:33 +0200, GMT+2, 17.5, 
2020/09/10 19:53 +0200, GMT+2, 17.7, 
2020/09/10 20:13 +0200, GMT+2, 17.1, 
2020/09/10 20:33 +0200, GMT+2, 16.6, 
2020/09/10 20:53 +0200, GMT+2, 16.3, 
2020/09/10 21:13 +0200, GMT+2, 16.1, 
2020/09/10 21:33 +0200, GMT+2, 15.9, 
2020/09/10 21:53 +0200, GMT+2, 15.9, 
2020/09/10 22:13 +0200, GMT+2, 15.6, 
