time, timezone, temperature, strength
2020/09/29 10:14 +0200, GMT+2, 16.1, 
2020/09/29 10:34 +0200, GMT+2, 15, 
2020/09/29 10:54 +0200, GMT+2, 14.8, 
2020/09/29 11:14 +0200, GMT+2, 14.8, 
2020/09/29 11:34 +0200, GMT+2, 14.8, 
2020/09/29 11:54 +0200, GMT+2, 15, 
2020/09/29 12:14 +0200, GMT+2, 15, 
2020/09/29 12:34 +0200, GMT+2, 15.2, 
2020/09/29 12:54 +0200, GMT+2, 15.3, 
2020/09/29 13:14 +0200, GMT+2, 15.3, 
2020/09/29 13:34 +0200, GMT+2, 15.6, 
2020/09/29 13:54 +0200, GMT+2, 16.3, 
2020/09/29 14:14 +0200, GMT+2, 16.5, 
2020/09/29 14:34 +0200, GMT+2, 21.7, 
2020/09/29 14:54 +0200, GMT+2, 15, 
2020/09/29 15:14 +0200, GMT+2, 14.4, 
2020/09/29 15:34 +0200, GMT+2, 14.3, 
2020/09/29 15:54 +0200, GMT+2, 14.6, 
2020/09/29 16:14 +0200, GMT+2, 16.8, 
2020/09/29 16:34 +0200, GMT+2, 22.6, 
2020/09/29 16:54 +0200, GMT+2, 22.7, 
2020/09/29 17:14 +0200, GMT+2, 22.8, 0
2020/09/29 17:34 +0200, GMT+2, 23, 0
2020/09/29 17:54 +0200, GMT+2, 23.1, 0
2020/09/29 18:14 +0200, GMT+2, 23.2, 0.00016
2020/09/29 18:34 +0200, GMT+2, 23.3, 0.00135
2020/09/29 18:54 +0200, GMT+2, 23.5, 0.00566
2020/09/29 19:14 +0200, GMT+2, 23.6, 0.01598
2020/09/29 19:34 +0200, GMT+2, 23.9, 0.03541
2020/09/29 19:54 +0200, GMT+2, 24.2, 0.0669
2020/09/29 20:14 +0200, GMT+2, 24.5, 0.11288
2020/09/29 20:34 +0200, GMT+2, 24.9, 0.17538
2020/09/29 20:54 +0200, GMT+2, 25.3, 0.25601
2020/09/29 21:14 +0200, GMT+2, 25.8, 0.35608
2020/09/29 21:34 +0200, GMT+2, 26.3, 0.47663
2020/09/29 21:54 +0200, GMT+2, 26.9, 0.61854
2020/09/29 22:14 +0200, GMT+2, 27.6, 0.78293
2020/09/29 22:34 +0200, GMT+2, 28.5, 0.97146
2020/09/29 22:54 +0200, GMT+2, 29.3, 1.18526
2020/09/29 23:14 +0200, GMT+2, 29.8, 1.42218
2020/09/29 23:34 +0200, GMT+2, 30.4, 1.68085
2020/09/29 23:54 +0200, GMT+2, 30.9, 1.96055
2020/09/30 00:14 +0200, GMT+2, 31.3, 2.25917
2020/09/30 00:34 +0200, GMT+2, 31.8, 2.57565
2020/09/30 00:54 +0200, GMT+2, 32.1, 2.90824
2020/09/30 01:14 +0200, GMT+2, 32.6, 3.25581
2020/09/30 01:34 +0200, GMT+2, 33, 3.61804
2020/09/30 01:54 +0200, GMT+2, 33.4, 3.99315
2020/09/30 02:14 +0200, GMT+2, 33.8, 4.38015
2020/09/30 02:34 +0200, GMT+2, 34.1, 4.77727
2020/09/30 02:54 +0200, GMT+2, 34.5, 5.18358
2020/09/30 03:14 +0200, GMT+2, 34.8, 5.59819
2020/09/30 03:34 +0200, GMT+2, 35.1, 6.01946
2020/09/30 03:54 +0200, GMT+2, 35.5, 6.44742
2020/09/30 04:14 +0200, GMT+2, 35.8, 6.88138
2020/09/30 04:34 +0200, GMT+2, 36.1, 7.31982
2020/09/30 04:54 +0200, GMT+2, 36.3, 7.76128
2020/09/30 05:14 +0200, GMT+2, 36.6, 8.20555
2020/09/30 05:34 +0200, GMT+2, 36.9, 8.65224
2020/09/30 05:54 +0200, GMT+2, 37.1, 9.10038
2020/09/30 06:14 +0200, GMT+2, 37.3, 9.54872
2020/09/30 06:34 +0200, GMT+2, 37.6, 9.99769
2020/09/30 06:54 +0200, GMT+2, 37.8, 10.44697
2020/09/30 07:14 +0200, GMT+2, 38, 10.89539
2020/09/30 07:34 +0200, GMT+2, 38.1, 11.34186
2020/09/30 07:54 +0200, GMT+2, 38.3, 11.78616
2020/09/30 08:14 +0200, GMT+2, 38.5, 12.2289
2020/09/30 08:34 +0200, GMT+2, 38.7, 12.66989
2020/09/30 08:54 +0200, GMT+2, 38.8, 13.10817
2020/09/30 09:14 +0200, GMT+2, 39, 13.54359
2020/09/30 09:34 +0200, GMT+2, 39.1, 13.97606
2020/09/30 09:54 +0200, GMT+2, 39.3, 14.40547
2020/09/30 10:14 +0200, GMT+2, 39.5, 14.83252
2020/09/30 10:34 +0200, GMT+2, 39.6, 15.25635
2020/09/30 10:54 +0200, GMT+2, 39.7, 15.67615
2020/09/30 11:14 +0200, GMT+2, 39.9, 16.09265
2020/09/30 11:34 +0200, GMT+2, 40, 16.50616
2020/09/30 11:54 +0200, GMT+2, 40.1, 16.91522
2020/09/30 12:14 +0200, GMT+2, 40.2, 17.3202
2020/09/30 12:34 +0200, GMT+2, 40.3, 17.7211
2020/09/30 12:54 +0200, GMT+2, 40.4, 18.11794
2020/09/30 13:14 +0200, GMT+2, 40.5, 18.51074
2020/09/30 13:34 +0200, GMT+2, 40.6, 18.89953
2020/09/30 13:54 +0200, GMT+2, 40.7, 19.28434
2020/09/30 14:14 +0200, GMT+2, 40.8, 19.66519
2020/09/30 14:34 +0200, GMT+2, 40.9, 20.04213
2020/09/30 14:54 +0200, GMT+2, 41, 20.41519
2020/09/30 15:14 +0200, GMT+2, 41, 20.78376
2020/09/30 15:34 +0200, GMT+2, 41, 21.14729
2020/09/30 15:54 +0200, GMT+2, 41.1, 21.50648
2020/09/30 16:14 +0200, GMT+2, 41.1, 21.8614
2020/09/30 16:34 +0200, GMT+2, 41.1, 22.2115
2020/09/30 16:54 +0200, GMT+2, 41.1, 22.55689
2020/09/30 17:14 +0200, GMT+2, 41, 22.89705
2020/09/30 17:34 +0200, GMT+2, 41, 23.23209
2020/09/30 17:54 +0200, GMT+2, 41, 23.56271
2020/09/30 18:14 +0200, GMT+2, 41, 23.88925
2020/09/30 18:34 +0200, GMT+2, 40.9, 24.2107
2020/09/30 18:54 +0200, GMT+2, 40.9, 24.52743
2020/09/30 19:14 +0200, GMT+2, 40.8, 24.83954
2020/09/30 19:34 +0200, GMT+2, 40.8, 25.14713
