time, timezone, temperature, strength
2020/09/29 10:20 +0200, GMT+2, 15.8, 
2020/09/29 10:40 +0200, GMT+2, 15.2, 
2020/09/29 11:00 +0200, GMT+2, 15.2, 
2020/09/29 11:20 +0200, GMT+2, 15.3, 
2020/09/29 11:40 +0200, GMT+2, 15.1, 
2020/09/29 12:00 +0200, GMT+2, 15.1, 
2020/09/29 12:20 +0200, GMT+2, 15.1, 
2020/09/29 12:40 +0200, GMT+2, 15.3, 
2020/09/29 13:00 +0200, GMT+2, 15.3, 
2020/09/29 13:20 +0200, GMT+2, 15.8, 
2020/09/29 13:40 +0200, GMT+2, 15.7, 
2020/09/29 14:00 +0200, GMT+2, 16.1, 
2020/09/29 14:20 +0200, GMT+2, 16.1, 
2020/09/29 14:40 +0200, GMT+2, 16.3, 
2020/09/29 15:00 +0200, GMT+2, 16.4, 
2020/09/29 15:20 +0200, GMT+2, 16.9, 
2020/09/29 15:40 +0200, GMT+2, 16.6, 
2020/09/29 16:00 +0200, GMT+2, 17.5, 
2020/09/29 16:20 +0200, GMT+2, 18, 
2020/09/29 16:40 +0200, GMT+2, 21.5, 
2020/09/29 17:00 +0200, GMT+2, 21.5, 
2020/09/29 17:20 +0200, GMT+2, 21.6, 
2020/09/29 17:40 +0200, GMT+2, 21.6, 
2020/09/29 18:00 +0200, GMT+2, 21.7, 
2020/09/29 18:20 +0200, GMT+2, 21.8, 
2020/09/29 18:40 +0200, GMT+2, 22, 
2020/09/29 19:00 +0200, GMT+2, 22.1, 
2020/09/29 19:20 +0200, GMT+2, 22.3, 
2020/09/29 19:40 +0200, GMT+2, 22.5, 
2020/09/29 20:00 +0200, GMT+2, 22.8, 
2020/09/29 20:20 +0200, GMT+2, 23.1, 
2020/09/29 20:40 +0200, GMT+2, 23.5, 
2020/09/29 21:00 +0200, GMT+2, 23.8, 
2020/09/29 21:20 +0200, GMT+2, 24.3, 
2020/09/29 21:40 +0200, GMT+2, 24.8, 
2020/09/29 22:00 +0200, GMT+2, 25.4, 
2020/09/29 22:20 +0200, GMT+2, 26, 
2020/09/29 22:40 +0200, GMT+2, 26.7, 
2020/09/29 23:00 +0200, GMT+2, 27.6, 
2020/09/29 23:20 +0200, GMT+2, 28.6, 
2020/09/29 23:40 +0200, GMT+2, 29.6, 
2020/09/30 00:00 +0200, GMT+2, 30.4, 
2020/09/30 00:20 +0200, GMT+2, 31, 
2020/09/30 00:40 +0200, GMT+2, 31.6, 
2020/09/30 01:00 +0200, GMT+2, 32.2, 
2020/09/30 01:20 +0200, GMT+2, 32.8, 
2020/09/30 01:40 +0200, GMT+2, 33.3, 
2020/09/30 02:00 +0200, GMT+2, 33.9, 
2020/09/30 02:20 +0200, GMT+2, 34.4, 
2020/09/30 02:40 +0200, GMT+2, 34.9, 
2020/09/30 03:00 +0200, GMT+2, 35.5, 
2020/09/30 03:20 +0200, GMT+2, 36, 
2020/09/30 03:40 +0200, GMT+2, 36.5, 
2020/09/30 04:00 +0200, GMT+2, 37, 
2020/09/30 04:20 +0200, GMT+2, 37.4, 
2020/09/30 04:40 +0200, GMT+2, 37.8, 
2020/09/30 05:00 +0200, GMT+2, 38.3, 
2020/09/30 05:20 +0200, GMT+2, 38.7, 
2020/09/30 05:40 +0200, GMT+2, 39.1, 
2020/09/30 06:00 +0200, GMT+2, 39.5, 
2020/09/30 06:20 +0200, GMT+2, 39.9, 
2020/09/30 06:40 +0200, GMT+2, 40.3, 
2020/09/30 07:00 +0200, GMT+2, 40.6, 
2020/09/30 07:20 +0200, GMT+2, 41, 
2020/09/30 07:40 +0200, GMT+2, 41.3, 
2020/09/30 08:00 +0200, GMT+2, 41.7, 
2020/09/30 08:20 +0200, GMT+2, 42, 
2020/09/30 08:40 +0200, GMT+2, 42.3, 
2020/09/30 09:00 +0200, GMT+2, 42.6, 
2020/09/30 09:20 +0200, GMT+2, 42.9, 
2020/09/30 09:40 +0200, GMT+2, 43.2, 
2020/09/30 10:00 +0200, GMT+2, 43.5, 
2020/09/30 10:20 +0200, GMT+2, 43.8, 
2020/09/30 10:40 +0200, GMT+2, 44, 
2020/09/30 11:00 +0200, GMT+2, 44.3, 
2020/09/30 11:20 +0200, GMT+2, 44.6, 
2020/09/30 11:40 +0200, GMT+2, 44.8, 
2020/09/30 12:00 +0200, GMT+2, 45, 
2020/09/30 12:20 +0200, GMT+2, 45.3, 
2020/09/30 12:40 +0200, GMT+2, 45.5, 
2020/09/30 13:00 +0200, GMT+2, 45.6, 
2020/09/30 13:20 +0200, GMT+2, 45.9, 
2020/09/30 13:40 +0200, GMT+2, 46, 
2020/09/30 14:00 +0200, GMT+2, 46.2, 
2020/09/30 14:20 +0200, GMT+2, 46.4, 
2020/09/30 14:40 +0200, GMT+2, 46.6, 
2020/09/30 15:00 +0200, GMT+2, 46.7, 
2020/09/30 15:20 +0200, GMT+2, 46.8, 
2020/09/30 15:40 +0200, GMT+2, 47, 
2020/09/30 16:00 +0200, GMT+2, 47.1, 
2020/09/30 16:20 +0200, GMT+2, 47.2, 
2020/09/30 16:40 +0200, GMT+2, 47.3, 
2020/09/30 17:00 +0200, GMT+2, 47.4, 
2020/09/30 17:20 +0200, GMT+2, 47.5, 0
2020/09/30 17:40 +0200, GMT+2, 47.6, 0.00005
2020/09/30 18:00 +0200, GMT+2, 47.6, 0.00772
2020/09/30 18:20 +0200, GMT+2, 47.7, 0.06053
2020/09/30 18:40 +0200, GMT+2, 47.8, 0.19756
2020/09/30 19:00 +0200, GMT+2, 47.8, 0.43319
2020/09/30 19:20 +0200, GMT+2, 47.8, 0.76245
2020/09/30 19:40 +0200, GMT+2, 47.8, 1.17315
2020/09/30 20:00 +0200, GMT+2, 47.9, 1.65171
2020/09/30 20:20 +0200, GMT+2, 47.9, 2.18467
2020/09/30 20:40 +0200, GMT+2, 47.9, 2.7592
2020/09/30 21:00 +0200, GMT+2, 47.9, 3.36508
2020/09/30 21:20 +0200, GMT+2, 47.9, 3.9939
2020/09/30 21:40 +0200, GMT+2, 47.9, 4.6388
2020/09/30 22:00 +0200, GMT+2, 47.9, 5.29423
2020/09/30 22:20 +0200, GMT+2, 47.8, 5.95471
2020/09/30 22:40 +0200, GMT+2, 47.8, 6.61666
2020/09/30 23:00 +0200, GMT+2, 47.8, 7.27829
2020/09/30 23:20 +0200, GMT+2, 47.8, 7.93736
2020/09/30 23:40 +0200, GMT+2, 47.7, 8.59106
2020/10/01 00:00 +0200, GMT+2, 47.6, 9.23701
2020/10/01 00:20 +0200, GMT+2, 47.6, 9.87518
2020/10/01 00:40 +0200, GMT+2, 47.6, 10.50629
2020/10/01 01:00 +0200, GMT+2, 47.5, 11.12766
2020/10/01 01:20 +0200, GMT+2, 47.5, 11.7394
2020/10/01 01:40 +0200, GMT+2, 47.4, 12.34119
2020/10/01 02:00 +0200, GMT+2, 47.3, 12.93193
2020/10/01 02:20 +0200, GMT+2, 47.3, 13.51245
2020/10/01 02:40 +0200, GMT+2, 47.2, 14.08272
2020/10/01 03:00 +0200, GMT+2, 47.1, 14.64188
2020/10/01 03:20 +0200, GMT+2, 47.1, 15.1909
2020/10/01 03:40 +0200, GMT+2, 47, 15.72986
2020/10/01 04:00 +0200, GMT+2, 47, 16.2589
