time, timezone, temperature, strength
2020/10/27 08:55 +0100, GMT+2, 10.5, 
2020/10/27 09:15 +0100, GMT+2, 8.4, 
2020/10/27 09:35 +0100, GMT+2, 8.5, 
2020/10/27 09:48 +0100, GMT+2, 8.6, 
2020/10/27 09:49 +0100, GMT+2, 8.6, 
2020/10/27 10:09 +0100, GMT+2, 8.8, 
2020/10/27 10:29 +0100, GMT+2, 8.9, 
2020/10/27 10:49 +0100, GMT+2, 9, 
2020/10/27 11:09 +0100, GMT+2, 9.1, 
2020/10/27 11:29 +0100, GMT+2, 9.5, 
2020/10/27 11:49 +0100, GMT+2, 9.6, 
2020/10/27 12:09 +0100, GMT+2, 10, 
2020/10/27 12:29 +0100, GMT+2, 10.3, 
2020/10/27 12:49 +0100, GMT+2, 10.5, 
2020/10/27 13:09 +0100, GMT+2, 10.8, 
2020/10/27 13:29 +0100, GMT+2, 11, 
2020/10/27 13:49 +0100, GMT+2, 11, 
2020/10/27 14:09 +0100, GMT+2, 11.1, 
2020/10/27 14:29 +0100, GMT+2, 13.5, 
2020/10/27 14:49 +0100, GMT+2, 12, 
2020/10/27 15:09 +0100, GMT+2, 11.9, 
2020/10/27 15:29 +0100, GMT+2, 17.1, 
2020/10/27 15:49 +0100, GMT+2, 16.8, 
2020/10/27 16:09 +0100, GMT+2, 16.9, 
2020/10/27 16:29 +0100, GMT+2, 17, 
2020/10/27 16:49 +0100, GMT+2, 17.1, 
2020/10/27 17:09 +0100, GMT+2, 17.3, 
2020/10/27 17:29 +0100, GMT+2, 17.4, 0
2020/10/27 17:49 +0100, GMT+2, 17.5, 0
2020/10/27 18:09 +0100, GMT+2, 17.6, 0
2020/10/27 18:29 +0100, GMT+2, 17.8, 0.00001
2020/10/27 18:49 +0100, GMT+2, 18, 0.00014
2020/10/27 19:09 +0100, GMT+2, 18.1, 0.00082
2020/10/27 19:29 +0100, GMT+2, 18.3, 0.00287
2020/10/27 19:49 +0100, GMT+2, 18.5, 0.00749
2020/10/27 20:09 +0100, GMT+2, 18.8, 0.01612
2020/10/27 20:29 +0100, GMT+2, 19, 0.03023
2020/10/27 20:49 +0100, GMT+2, 19.3, 0.05125
2020/10/27 21:10 +0100, GMT+2, 19.6, 0.08056
2020/10/27 21:30 +0100, GMT+2, 19.9, 0.11929
2020/10/27 21:50 +0100, GMT+2, 20.2, 0.16841
2020/10/27 22:10 +0100, GMT+2, 20.6, 0.22889
2020/10/27 22:30 +0100, GMT+2, 21, 0.3016
2020/10/27 22:50 +0100, GMT+2, 21.5, 0.38741
2020/10/27 23:10 +0100, GMT+2, 21.9, 0.48686
2020/10/27 23:30 +0100, GMT+2, 22.3, 0.60005
2020/10/27 23:50 +0100, GMT+2, 22.7, 0.72716
2020/10/28 00:10 +0100, GMT+2, 23.1, 0.86825
2020/10/28 00:30 +0100, GMT+2, 23.5, 1.02332
2020/10/28 00:50 +0100, GMT+2, 23.8, 1.1918
2020/10/28 01:10 +0100, GMT+2, 24.2, 1.37343
2020/10/28 01:30 +0100, GMT+2, 24.5, 1.5679
2020/10/28 01:50 +0100, GMT+2, 24.8, 1.77434
2020/10/28 02:10 +0100, GMT+2, 25.1, 1.99229
2020/10/28 02:30 +0100, GMT+2, 25.5, 2.22185
2020/10/28 02:50 +0100, GMT+2, 25.7, 2.462
2020/10/28 03:10 +0100, GMT+2, 26.1, 2.71227
2020/10/28 03:30 +0100, GMT+2, 26.4, 2.97302
2020/10/28 03:50 +0100, GMT+2, 26.6, 3.24209
2020/10/28 04:10 +0100, GMT+2, 27, 3.51984
2020/10/28 04:30 +0100, GMT+2, 27.2, 3.80581
2020/10/28 04:50 +0100, GMT+2, 27.5, 4.09887
2020/10/28 05:10 +0100, GMT+2, 27.8, 4.39924
2020/10/28 05:30 +0100, GMT+2, 28.1, 4.7065
2020/10/28 05:50 +0100, GMT+2, 28.4, 5.02023
2020/10/28 06:10 +0100, GMT+2, 28.6, 5.33934
2020/10/28 06:30 +0100, GMT+2, 29, 5.66415
2020/10/28 06:50 +0100, GMT+2, 29.2, 5.99428
2020/10/28 07:10 +0100, GMT+2, 29.5, 6.32867
2020/10/28 07:30 +0100, GMT+2, 29.8, 6.6677
2020/10/28 07:50 +0100, GMT+2, 30, 7.0103
2020/10/28 08:10 +0100, GMT+2, 30.2, 7.35542
2020/10/28 08:30 +0100, GMT+2, 30.5, 7.70351
2020/10/28 08:50 +0100, GMT+2, 30.7, 8.0543
2020/10/28 09:10 +0100, GMT+2, 31, 8.40751
2020/10/28 09:30 +0100, GMT+2, 31.2, 8.76291
2020/10/28 09:50 +0100, GMT+2, 31.4, 9.11979
2020/10/28 10:10 +0100, GMT+2, 31.6, 9.47736
2020/10/28 10:30 +0100, GMT+2, 31.8, 9.83571
2020/10/28 10:50 +0100, GMT+2, 32.1, 10.19539
2020/10/28 11:10 +0100, GMT+2, 32.3, 10.55622
2020/10/28 11:30 +0100, GMT+2, 32.5, 10.91729
2020/10/28 11:50 +0100, GMT+2, 32.6, 11.2777
2020/10/28 12:10 +0100, GMT+2, 32.9, 11.63805
2020/10/28 12:30 +0100, GMT+2, 33, 11.99822
2020/10/28 12:48 +0100, GMT+2, 33.3, 12.3312
2020/10/28 13:08 +0100, GMT+2, 33.4, 12.69089
2020/10/28 13:28 +0100, GMT+2, 33.6, 13.04932
2020/10/28 13:48 +0100, GMT+2, 33.8, 13.40714
2020/10/28 14:08 +0100, GMT+2, 33.9, 13.76354
2020/10/28 14:28 +0100, GMT+2, 34.1, 14.11844
2020/10/28 14:48 +0100, GMT+2, 34.3, 14.47249
2020/10/28 15:08 +0100, GMT+2, 34.4, 14.82492
2020/10/28 15:28 +0100, GMT+2, 34.5, 15.17498
