time, timezone, temperature, strength
2020/08/08 09:17 +0200, GMT+2, 23.6, 
2020/08/08 09:37 +0200, GMT+2, 22.8, 
2020/08/08 09:57 +0200, GMT+2, 23.5, 
2020/08/08 10:17 +0200, GMT+2, 23.8, 
2020/08/08 10:37 +0200, GMT+2, 24.2, 
2020/08/08 10:57 +0200, GMT+2, 24.1, 
2020/08/08 11:17 +0200, GMT+2, 24.3, 
2020/08/08 11:37 +0200, GMT+2, 24.6, 
2020/08/08 11:57 +0200, GMT+2, 25, 
2020/08/08 12:17 +0200, GMT+2, 26, 
2020/08/08 12:37 +0200, GMT+2, 26.2, 
2020/08/08 12:57 +0200, GMT+2, 23.1, 
2020/08/08 13:17 +0200, GMT+2, 25.8, 
2020/08/08 13:37 +0200, GMT+2, 26.5, 
2020/08/08 13:57 +0200, GMT+2, 28.3, 
2020/08/08 14:17 +0200, GMT+2, 28.5, 
2020/08/08 14:37 +0200, GMT+2, 28.6, 
2020/08/08 14:57 +0200, GMT+2, 29, 
2020/08/08 15:17 +0200, GMT+2, 29.3, 0
2020/08/08 15:37 +0200, GMT+2, 29.8, 0
2020/08/08 15:57 +0200, GMT+2, 30.4, 0.00008
2020/08/08 16:17 +0200, GMT+2, 31.1, 0.00181
2020/08/08 16:37 +0200, GMT+2, 32, 0.01127
2020/08/08 16:57 +0200, GMT+2, 33, 0.03853
2020/08/08 17:17 +0200, GMT+2, 34.1, 0.09467
2020/08/08 17:37 +0200, GMT+2, 35.6, 0.19045
2020/08/08 17:57 +0200, GMT+2, 36.8, 0.33462
2020/08/08 18:17 +0200, GMT+2, 37.7, 0.53091
2020/08/08 18:37 +0200, GMT+2, 38.5, 0.77951
2020/08/08 18:57 +0200, GMT+2, 39.3, 1.07915
2020/08/08 19:17 +0200, GMT+2, 40.1, 1.42769
2020/08/08 19:37 +0200, GMT+2, 41, 1.82296
2020/08/08 19:57 +0200, GMT+2, 41.7, 2.26105
2020/08/08 20:17 +0200, GMT+2, 42.5, 2.73761
2020/08/08 20:37 +0200, GMT+2, 43.2, 3.249
2020/08/08 20:57 +0200, GMT+2, 43.9, 3.79073
2020/08/08 21:17 +0200, GMT+2, 44.6, 4.35937
2020/08/08 21:37 +0200, GMT+2, 45.3, 4.95172
2020/08/08 21:57 +0200, GMT+2, 46, 5.5648
2020/08/08 22:10 +0200, GMT+2, 46.6, 5.98355
2020/08/08 22:30 +0200, GMT+2, 47.2, 6.62699
2020/08/08 22:50 +0200, GMT+2, 47.8, 7.2824
2020/08/08 23:10 +0200, GMT+2, 48.3, 7.94661
2020/08/08 23:30 +0200, GMT+2, 48.9, 8.61771
2020/08/08 23:50 +0200, GMT+2, 49.4, 9.29403
2020/08/09 00:10 +0200, GMT+2, 49.9, 9.97306
2020/08/09 00:30 +0200, GMT+2, 50.3, 10.6525
2020/08/09 00:50 +0200, GMT+2, 50.7, 11.33027
2020/08/09 01:10 +0200, GMT+2, 51.1, 12.00546
2020/08/09 01:30 +0200, GMT+2, 51.5, 12.67787
2020/08/09 01:50 +0200, GMT+2, 51.8, 13.34477
2020/08/09 02:10 +0200, GMT+2, 52, 14.00429
2020/08/09 02:30 +0200, GMT+2, 52.3, 14.65611
2020/08/09 02:50 +0200, GMT+2, 52.5, 15.3
2020/08/09 03:10 +0200, GMT+2, 52.6, 15.93395
2020/08/09 03:30 +0200, GMT+2, 52.8, 16.55794
2020/08/09 03:50 +0200, GMT+2, 53, 17.17288
2020/08/09 04:10 +0200, GMT+2, 53.1, 17.77791
2020/08/09 04:30 +0200, GMT+2, 53.1, 18.37143
2020/08/09 04:50 +0200, GMT+2, 53.2, 18.95365
2020/08/09 05:10 +0200, GMT+2, 53.3, 19.5256
2020/08/09 05:30 +0200, GMT+2, 53.3, 20.08669
2020/08/09 05:50 +0200, GMT+2, 53.3, 20.63635
2020/08/09 06:10 +0200, GMT+2, 53.3, 21.17491
2020/08/09 06:30 +0200, GMT+2, 53.3, 21.70264
2020/08/09 06:50 +0200, GMT+2, 53.3, 22.21984
2020/08/09 07:10 +0200, GMT+2, 53.2, 22.72607
2020/08/09 07:30 +0200, GMT+2, 53.2, 23.22208
2020/08/09 07:50 +0200, GMT+2, 53.1, 23.70734
2020/08/09 08:10 +0200, GMT+2, 53.1, 24.1826
2020/08/09 08:30 +0200, GMT+2, 53, 24.64814
2020/08/09 08:50 +0200, GMT+2, 53, 25.10426
2020/08/09 09:10 +0200, GMT+2, 52.9, 25.55124
2020/08/09 09:30 +0200, GMT+2, 52.8, 25.98873
2020/08/09 09:50 +0200, GMT+2, 52.8, 26.41764
2020/08/09 10:10 +0200, GMT+2, 52.7, 26.83823
2020/08/09 10:30 +0200, GMT+2, 52.6, 27.25013
2020/08/09 10:50 +0200, GMT+2, 52.5, 27.65364
2020/08/09 11:10 +0200, GMT+2, 52.5, 28.04956
2020/08/09 11:30 +0200, GMT+2, 52.5, 28.43869
2020/08/09 11:50 +0200, GMT+2, 52.4, 28.82066
2020/08/09 12:10 +0200, GMT+2, 52.3, 29.19512
2020/08/09 12:30 +0200, GMT+2, 52.3, 29.56283
2020/08/09 12:50 +0200, GMT+2, 52.3, 29.92451
2020/08/09 13:10 +0200, GMT+2, 52.3, 30.28031
2020/08/09 13:30 +0200, GMT+2, 52.4, 30.63118
2020/08/09 13:50 +0200, GMT+2, 52.5, 30.97716
2020/08/09 14:10 +0200, GMT+2, 52.5, 31.31815
2020/08/09 14:30 +0200, GMT+2, 52.6, 31.65427
2020/08/09 14:50 +0200, GMT+2, 52.6, 31.98562
2020/08/09 15:10 +0200, GMT+2, 52.7, 32.31231
2020/08/09 15:30 +0200, GMT+2, 52.7, 32.63446
2020/08/09 15:50 +0200, GMT+2, 52.6, 32.95124
2020/08/09 16:10 +0200, GMT+2, 52.6, 33.26279
2020/08/09 16:30 +0200, GMT+2, 52.6, 33.56971
2020/08/09 16:50 +0200, GMT+2, 52.5, 33.87166
2020/08/09 17:10 +0200, GMT+2, 52.4, 34.16833
2020/08/09 17:30 +0200, GMT+2, 52.3, 34.45988
2020/08/09 17:50 +0200, GMT+2, 52.2, 34.74643
2020/08/09 18:10 +0200, GMT+2, 52.1, 35.02813
2020/08/09 18:30 +0200, GMT+2, 52.1, 35.3055
2020/08/09 18:50 +0200, GMT+2, 52, 35.57864
2020/08/09 19:10 +0200, GMT+2, 51.9, 35.84728
2020/08/09 19:30 +0200, GMT+2, 51.8, 36.11151
2020/08/09 19:50 +0200, GMT+2, 51.6, 36.37108
2020/08/09 20:10 +0200, GMT+2, 51.6, 36.62648
2020/08/09 20:30 +0200, GMT+2, 51.5, 36.87818
2020/08/09 20:50 +0200, GMT+2, 51.5, 37.12649
2020/08/09 21:10 +0200, GMT+2, 51.5, 37.37142
2020/08/09 21:30 +0200, GMT+2, 51.4, 37.61289
2020/08/09 21:50 +0200, GMT+2, 51.3, 37.85063
2020/08/09 22:10 +0200, GMT+2, 51.3, 38.08508
2020/08/09 22:30 +0200, GMT+2, 51.1, 38.31596
2020/08/09 22:50 +0200, GMT+2, 51.1, 38.54337
2020/08/09 23:10 +0200, GMT+2, 51, 38.76771
2020/08/09 23:30 +0200, GMT+2, 51, 38.98904
2020/08/09 23:50 +0200, GMT+2, 50.8, 39.20712
2020/08/10 00:10 +0200, GMT+2, 50.8, 39.42201
2020/08/10 00:30 +0200, GMT+2, 50.7, 39.63411
2020/08/10 00:50 +0200, GMT+2, 50.6, 39.84314
2020/08/10 01:10 +0200, GMT+2, 50.5, 40.0492
2020/08/10 01:30 +0200, GMT+2, 50.5, 40.25264
2020/08/10 01:50 +0200, GMT+2, 50.3, 40.45321
2020/08/10 02:10 +0200, GMT+2, 50.2, 40.65069
2020/08/10 02:30 +0200, GMT+2, 50.1, 40.84544
2020/08/10 02:50 +0200, GMT+2, 50, 41.0375
2020/08/10 03:10 +0200, GMT+2, 49.9, 41.22711
2020/08/10 03:30 +0200, GMT+2, 49.8, 41.41399
2020/08/10 03:50 +0200, GMT+2, 49.6, 41.59808
2020/08/10 04:10 +0200, GMT+2, 49.6, 41.77972
2020/08/10 04:30 +0200, GMT+2, 49.5, 41.95923
2020/08/10 04:50 +0200, GMT+2, 49.3, 42.1361
2020/08/10 05:10 +0200, GMT+2, 49.2, 42.31041
2020/08/10 05:30 +0200, GMT+2, 49.1, 42.48245
2020/08/10 05:50 +0200, GMT+2, 49, 42.65229
2020/08/10 06:10 +0200, GMT+2, 48.8, 42.8197
2020/08/10 06:30 +0200, GMT+2, 48.6, 42.98448
2020/08/10 06:50 +0200, GMT+2, 48.5, 43.14694
2020/08/10 07:10 +0200, GMT+2, 48.4, 43.30737
2020/08/10 07:30 +0200, GMT+2, 48.2, 43.46558
2020/08/10 07:50 +0200, GMT+2, 48.1, 43.6216
2020/08/10 08:10 +0200, GMT+2, 48, 43.77571
2020/08/10 08:30 +0200, GMT+2, 47.8, 43.92772
2020/08/10 08:50 +0200, GMT+2, 47.6, 44.07743
2020/08/10 09:10 +0200, GMT+2, 47.5, 44.22524
2020/08/10 09:30 +0200, GMT+2, 47.4, 44.37118
2020/08/10 09:50 +0200, GMT+2, 47.3, 44.5154
2020/08/10 10:10 +0200, GMT+2, 47.1, 44.65771
2020/08/10 10:30 +0200, GMT+2, 47.1, 44.79836
2020/08/10 10:50 +0200, GMT+2, 47, 44.9376
2020/08/10 11:10 +0200, GMT+2, 46.9, 45.07525
2020/08/10 11:30 +0200, GMT+2, 46.8, 45.21131
2020/08/10 11:50 +0200, GMT+2, 46.8, 45.34605
2020/08/10 12:10 +0200, GMT+2, 46.7, 45.47947
2020/08/10 12:30 +0200, GMT+2, 46.6, 45.61139
2020/08/10 12:50 +0200, GMT+2, 46.6, 45.74204
2020/08/10 13:10 +0200, GMT+2, 46.6, 45.87164
2020/08/10 13:30 +0200, GMT+2, 46.7, 46.00042
2020/08/10 13:50 +0200, GMT+2, 46.7, 46.12838
2020/08/10 14:10 +0200, GMT+2, 46.7, 46.25533
2020/08/10 14:30 +0200, GMT+2, 46.7, 46.38128
2020/08/10 14:50 +0200, GMT+2, 46.7, 46.50625
2020/08/10 15:10 +0200, GMT+2, 46.6, 46.63005
2020/08/10 15:30 +0200, GMT+2, 46.6, 46.7527
2020/08/10 15:50 +0200, GMT+2, 46.6, 46.8744
2020/08/10 16:10 +0200, GMT+2, 46.5, 46.99509
2020/08/10 16:30 +0200, GMT+2, 46.4, 47.11438
2020/08/10 16:50 +0200, GMT+2, 46.3, 47.2324
2020/08/10 17:10 +0200, GMT+2, 46.3, 47.34935
2020/08/10 17:30 +0200, GMT+2, 46.1, 47.46506
2020/08/10 17:50 +0200, GMT+2, 46.1, 47.57955
2020/08/10 18:10 +0200, GMT+2, 46, 47.69303
2020/08/10 18:30 +0200, GMT+2, 46, 47.8055
2020/08/10 18:50 +0200, GMT+2, 45.8, 47.91681
2020/08/10 19:10 +0200, GMT+2, 45.7, 48.02678
2020/08/10 19:30 +0200, GMT+2, 45.6, 48.13563
2020/08/10 19:50 +0200, GMT+2, 45.5, 48.24336
2020/08/10 20:10 +0200, GMT+2, 45.5, 48.35017
2020/08/10 20:30 +0200, GMT+2, 45.3, 48.4559
2020/08/10 20:50 +0200, GMT+2, 45.3, 48.56056
2020/08/10 21:10 +0200, GMT+2, 45.1, 48.66416
2020/08/10 21:30 +0200, GMT+2, 45, 48.76657
2020/08/10 21:50 +0200, GMT+2, 44.9, 48.86796
2020/08/10 22:10 +0200, GMT+2, 44.8, 48.96834
2020/08/10 22:30 +0200, GMT+2, 44.6, 49.06757
2020/08/10 22:50 +0200, GMT+2, 44.6, 49.16583
2020/08/10 23:10 +0200, GMT+2, 44.5, 49.26338
2020/08/10 23:30 +0200, GMT+2, 44.3, 49.35973
2020/08/10 23:50 +0200, GMT+2, 44.2, 49.455
2020/08/11 00:10 +0200, GMT+2, 44.1, 49.54935
2020/08/11 00:30 +0200, GMT+2, 44, 49.64279
2020/08/11 00:50 +0200, GMT+2, 43.8, 49.73519
2020/08/11 01:10 +0200, GMT+2, 43.6, 49.82641
2020/08/11 01:30 +0200, GMT+2, 43.5, 49.91662
2020/08/11 01:50 +0200, GMT+2, 43.4, 50.00598
2020/08/11 02:10 +0200, GMT+2, 43.3, 50.09451
2020/08/11 02:30 +0200, GMT+2, 43.2, 50.18221
2020/08/11 02:50 +0200, GMT+2, 43.1, 50.2691
2020/08/11 03:10 +0200, GMT+2, 43, 50.35518
2020/08/11 03:30 +0200, GMT+2, 42.9, 50.44047
2020/08/11 03:50 +0200, GMT+2, 42.8, 50.52499
2020/08/11 04:10 +0200, GMT+2, 42.6, 50.60858
2020/08/11 04:30 +0200, GMT+2, 42.6, 50.69142
2020/08/11 04:50 +0200, GMT+2, 42.5, 50.77365
2020/08/11 05:10 +0200, GMT+2, 42.3, 50.85507
2020/08/11 05:30 +0200, GMT+2, 42.2, 50.93554
2020/08/11 05:50 +0200, GMT+2, 42.1, 51.0153
2020/08/11 06:10 +0200, GMT+2, 42, 51.09435
2020/08/11 06:30 +0200, GMT+2, 41.9, 51.1727
2020/08/11 06:50 +0200, GMT+2, 41.8, 51.25035
2020/08/11 07:10 +0200, GMT+2, 41.7, 51.32732
2020/08/11 07:30 +0200, GMT+2, 41.6, 51.40361
2020/08/11 07:50 +0200, GMT+2, 41.5, 51.47924
2020/08/11 08:10 +0200, GMT+2, 41.4, 51.5542
2020/08/11 08:30 +0200, GMT+2, 41.3, 51.62851
2020/08/11 08:50 +0200, GMT+2, 41.1, 51.70206
2020/08/11 09:10 +0200, GMT+2, 41, 51.77484
2020/08/11 09:30 +0200, GMT+2, 40.9, 51.84699
2020/08/11 09:50 +0200, GMT+2, 40.8, 51.91853
2020/08/11 10:10 +0200, GMT+2, 40.6, 51.98933
2020/08/11 10:30 +0200, GMT+2, 40.6, 52.05953
2020/08/11 10:50 +0200, GMT+2, 40.5, 52.12926
2020/08/11 11:10 +0200, GMT+2, 40.3, 52.19833
2020/08/11 11:30 +0200, GMT+2, 40.3, 52.26677
2020/08/11 11:50 +0200, GMT+2, 40.2, 52.33475
