time, timezone, temperature, strength
2021/01/08 09:23 +0100, GMT+2, 1.18, 
2021/01/08 09:43 +0100, GMT+2, 0.1, 
2021/01/08 10:03 +0100, GMT+2, 0.1, 
2021/01/08 10:23 +0100, GMT+2, 1.5, 
2021/01/08 10:43 +0100, GMT+2, 2.2, 
2021/01/08 11:03 +0100, GMT+2, 2.3, 
2021/01/08 11:23 +0100, GMT+2, 1.8, 
2021/01/08 11:43 +0100, GMT+2, 1.9, 
2021/01/08 12:03 +0100, GMT+2, 8.7, 
2021/01/08 12:23 +0100, GMT+2, 8.8, 
2021/01/08 12:43 +0100, GMT+2, 9.7, 
2021/01/08 13:03 +0100, GMT+2, 10.1, 
2021/01/08 13:23 +0100, GMT+2, 10.3, 
2021/01/08 13:43 +0100, GMT+2, 10.5, 
2021/01/08 14:03 +0100, GMT+2, 10.6, 
2021/01/08 14:23 +0100, GMT+2, 10.6, 
2021/01/08 14:43 +0100, GMT+2, 10.7, 
2021/01/08 15:03 +0100, GMT+2, 10.8, 
2021/01/08 15:23 +0100, GMT+2, 10.9, 
2021/01/08 15:43 +0100, GMT+2, 10.9, 
2021/01/08 16:03 +0100, GMT+2, 11, 
2021/01/08 16:23 +0100, GMT+2, 11.1, 
2021/01/08 16:43 +0100, GMT+2, 11.1, 
2021/01/08 17:03 +0100, GMT+2, 11.2, 0
2021/01/08 17:23 +0100, GMT+2, 11.3, 0
2021/01/08 17:43 +0100, GMT+2, 11.3, 0
2021/01/08 18:03 +0100, GMT+2, 11.4, 0
2021/01/08 18:23 +0100, GMT+2, 11.5, 0
2021/01/08 18:43 +0100, GMT+2, 11.5, 0.00003
2021/01/08 19:03 +0100, GMT+2, 11.6, 0.00014
2021/01/08 19:23 +0100, GMT+2, 11.7, 0.00047
2021/01/08 19:43 +0100, GMT+2, 11.8, 0.00124
2021/01/08 20:03 +0100, GMT+2, 11.9, 0.00276
2021/01/08 20:23 +0100, GMT+2, 12, 0.00537
2021/01/08 20:43 +0100, GMT+2, 12.1, 0.00948
2021/01/08 21:03 +0100, GMT+2, 12.2, 0.01551
2021/01/08 21:23 +0100, GMT+2, 12.3, 0.02386
2021/01/08 21:43 +0100, GMT+2, 12.5, 0.03497
2021/01/08 22:03 +0100, GMT+2, 12.6, 0.04925
2021/01/08 22:23 +0100, GMT+2, 12.7, 0.06701
2021/01/08 22:43 +0100, GMT+2, 12.8, 0.08852
2021/01/08 23:03 +0100, GMT+2, 13, 0.11414
2021/01/08 23:23 +0100, GMT+2, 13.1, 0.14414
2021/01/08 23:43 +0100, GMT+2, 13.2, 0.1786
2021/01/09 00:03 +0100, GMT+2, 13.4, 0.21783
