time, timezone, temperature, strength
2020/10/13 09:06 +0200, GMT+2, 11.3, 
2020/10/13 09:26 +0200, GMT+2, 9.6, 
2020/10/13 09:46 +0200, GMT+2, 8.8, 
2020/10/13 10:06 +0200, GMT+2, 8.4, 
2020/10/13 10:26 +0200, GMT+2, 8.2, 
2020/10/13 10:46 +0200, GMT+2, 8.3, 
2020/10/13 11:06 +0200, GMT+2, 8.7, 
2020/10/13 11:26 +0200, GMT+2, 8.92, 
2020/10/13 11:46 +0200, GMT+2, 9.1, 
2020/10/13 12:06 +0200, GMT+2, 9.3, 
2020/10/13 12:26 +0200, GMT+2, 9.5, 0
2020/10/13 12:46 +0200, GMT+2, 9.6, 0
2020/10/13 13:06 +0200, GMT+2, 9.7, 0
2020/10/13 13:26 +0200, GMT+2, 9.8, 0
2020/10/13 13:46 +0200, GMT+2, 9.6, 0
2020/10/13 14:06 +0200, GMT+2, 9.5, 0.00001
2020/10/13 14:26 +0200, GMT+2, 9.5, 0.00004
2020/10/13 14:46 +0200, GMT+2, 9.5, 0.00016
2020/10/13 15:06 +0200, GMT+2, 9.5, 0.00045
2020/10/13 15:25 +0200, GMT+2, 10.1, 0.00104
2020/10/13 15:45 +0200, GMT+2, 17.2, 0.00263
2020/10/13 16:05 +0200, GMT+2, 17.8, 0.00669
2020/10/13 16:25 +0200, GMT+2, 17.9, 0.01426
2020/10/13 16:45 +0200, GMT+2, 18, 0.02649
2020/10/13 17:05 +0200, GMT+2, 17.9, 0.04438
2020/10/13 17:25 +0200, GMT+2, 17.9, 0.06868
2020/10/13 17:45 +0200, GMT+2, 17.9, 0.10006
2020/10/13 18:05 +0200, GMT+2, 17.8, 0.13884
2020/10/13 18:25 +0200, GMT+2, 17.8, 0.18522
2020/10/13 18:45 +0200, GMT+2, 17.8, 0.23943
2020/10/13 19:05 +0200, GMT+2, 17.8, 0.30149
2020/10/13 19:25 +0200, GMT+2, 17.9, 0.37152
2020/10/13 19:45 +0200, GMT+2, 18, 0.44968
2020/10/13 20:05 +0200, GMT+2, 18, 0.53563
2020/10/13 20:25 +0200, GMT+2, 18.1, 0.62915
2020/10/13 20:45 +0200, GMT+2, 18.2, 0.73032
2020/10/13 21:05 +0200, GMT+2, 18.3, 0.83895
2020/10/13 21:25 +0200, GMT+2, 18.5, 0.95514
2020/10/13 21:45 +0200, GMT+2, 18.6, 1.07872
2020/10/13 22:05 +0200, GMT+2, 18.8, 1.20948
2020/10/13 22:25 +0200, GMT+2, 19, 1.34762
2020/10/13 22:45 +0200, GMT+2, 19.3, 1.49337
2020/10/13 23:05 +0200, GMT+2, 19.5, 1.64661
2020/10/13 23:25 +0200, GMT+2, 19.7, 1.80673
2020/10/13 23:45 +0200, GMT+2, 20, 1.974
2020/10/14 00:05 +0200, GMT+2, 20.3, 2.14873
2020/10/14 00:25 +0200, GMT+2, 20.6, 2.3308
2020/10/14 00:45 +0200, GMT+2, 21, 2.52058
2020/10/14 01:05 +0200, GMT+2, 21.3, 2.71797
2020/10/14 01:25 +0200, GMT+2, 21.5, 2.92174
2020/10/14 01:45 +0200, GMT+2, 21.7, 3.13112
2020/10/14 02:05 +0200, GMT+2, 21.9, 3.34588
2020/10/14 02:25 +0200, GMT+2, 22.1, 3.56578
2020/10/14 02:45 +0200, GMT+2, 22.2, 3.7902
2020/10/14 03:05 +0200, GMT+2, 22.3, 4.01791
2020/10/14 03:25 +0200, GMT+2, 22.5, 4.24946
2020/10/14 03:45 +0200, GMT+2, 22.6, 4.48463
2020/10/14 04:05 +0200, GMT+2, 22.7, 4.72257
2020/10/14 04:25 +0200, GMT+2, 22.8, 4.96307
2020/10/14 04:45 +0200, GMT+2, 22.9, 5.20592
2020/10/14 05:05 +0200, GMT+2, 23, 5.45092
2020/10/14 05:25 +0200, GMT+2, 23.1, 5.69789
2020/10/14 05:45 +0200, GMT+2, 23.2, 5.94666
2020/10/14 06:05 +0200, GMT+2, 23.3, 6.19706
2020/10/14 06:25 +0200, GMT+2, 23.3, 6.44829
2020/10/14 06:45 +0200, GMT+2, 23.4, 6.7002
2020/10/14 07:05 +0200, GMT+2, 23.5, 6.95329
2020/10/14 07:25 +0200, GMT+2, 23.5, 7.2068
2020/10/14 07:45 +0200, GMT+2, 23.5, 7.45996
2020/10/14 08:05 +0200, GMT+2, 23.6, 7.7133
2020/10/14 08:25 +0200, GMT+2, 23.6, 7.96671
2020/10/14 08:45 +0200, GMT+2, 23.6, 8.21946
2020/10/14 09:05 +0200, GMT+2, 23.7, 8.47211
2020/10/14 09:25 +0200, GMT+2, 23.7, 8.72456
2020/10/14 09:45 +0200, GMT+2, 23.7, 8.97611
2020/10/14 10:05 +0200, GMT+2, 23.7, 9.22669
2020/10/14 10:25 +0200, GMT+2, 23.8, 9.47688
2020/10/14 10:45 +0200, GMT+2, 23.8, 9.7266
2020/10/14 11:05 +0200, GMT+2, 23.8, 9.97519
2020/10/14 11:25 +0200, GMT+2, 23.8, 10.22259
2020/10/14 11:45 +0200, GMT+2, 23.8, 10.46877
2020/10/14 12:05 +0200, GMT+2, 23.8, 10.71369
2020/10/14 12:25 +0200, GMT+2, 23.9, 10.95793
2020/10/14 12:45 +0200, GMT+2, 23.9, 11.20146
2020/10/14 13:05 +0200, GMT+2, 24, 11.44423
2020/10/14 13:25 +0200, GMT+2, 24.1, 11.68682
2020/10/14 13:45 +0200, GMT+2, 24.1, 11.92859
2020/10/14 14:05 +0200, GMT+2, 24.2, 12.16951
2020/10/14 14:25 +0200, GMT+2, 24.3, 12.41016
2020/10/14 14:45 +0200, GMT+2, 24.4, 12.6505
2020/10/14 15:05 +0200, GMT+2, 24.5, 12.89049
2020/10/14 15:25 +0200, GMT+2, 24.5, 13.12953
2020/10/14 15:45 +0200, GMT+2, 24.4, 13.36642
2020/10/14 16:05 +0200, GMT+2, 24.3, 13.6006
2020/10/14 16:25 +0200, GMT+2, 24.3, 13.83285
2020/10/14 16:45 +0200, GMT+2, 24.1, 14.06222
2020/10/14 17:05 +0200, GMT+2, 24, 14.28838
2020/10/14 17:25 +0200, GMT+2, 24, 14.51247
2020/10/14 17:45 +0200, GMT+2, 23.8, 14.73396
2020/10/14 18:05 +0200, GMT+2, 23.6, 14.95178
2020/10/14 18:25 +0200, GMT+2, 23.5, 15.16652
2020/10/14 18:45 +0200, GMT+2, 23.4, 15.37877
2020/10/14 19:05 +0200, GMT+2, 23.3, 15.58856
2020/10/14 19:25 +0200, GMT+2, 23.1, 15.79538
2020/10/14 19:45 +0200, GMT+2, 23, 15.99928
2020/10/14 20:05 +0200, GMT+2, 22.8, 16.2003
2020/10/14 20:25 +0200, GMT+2, 22.6, 16.39797
2020/10/14 20:45 +0200, GMT+2, 22.5, 16.59286
2020/10/14 21:05 +0200, GMT+2, 22.3, 16.785
2020/10/14 21:25 +0200, GMT+2, 22.2, 16.97444
2020/10/14 21:45 +0200, GMT+2, 22, 17.16121
2020/10/14 22:05 +0200, GMT+2, 21.9, 17.34536
2020/10/14 22:25 +0200, GMT+2, 21.7, 17.52693
2020/10/14 22:45 +0200, GMT+2, 21.5, 17.70547
2020/10/14 23:05 +0200, GMT+2, 21.3, 17.88105
2020/10/14 23:25 +0200, GMT+2, 21.1, 18.05371
2020/10/14 23:45 +0200, GMT+2, 21, 18.22397
2020/10/15 00:05 +0200, GMT+2, 20.8, 18.39185
2020/10/15 00:25 +0200, GMT+2, 20.6, 18.55695
2020/10/15 00:45 +0200, GMT+2, 20.5, 18.71975
2020/10/15 01:05 +0200, GMT+2, 20.3, 18.88029
2020/10/15 01:25 +0200, GMT+2, 20.1, 19.03817
2020/10/15 01:45 +0200, GMT+2, 20, 19.19387
2020/10/15 02:05 +0200, GMT+2, 19.8, 19.34742
2020/10/15 02:25 +0200, GMT+2, 19.6, 19.49842
2020/10/15 02:45 +0200, GMT+2, 19.5, 19.64734
2020/10/15 03:05 +0200, GMT+2, 19.3, 19.79421
2020/10/15 03:25 +0200, GMT+2, 19.1, 19.93866
2020/10/15 03:45 +0200, GMT+2, 19, 20.08112
2020/10/15 04:05 +0200, GMT+2, 18.8, 20.22162
2020/10/15 04:25 +0200, GMT+2, 18.6, 20.3598
2020/10/15 04:45 +0200, GMT+2, 18.5, 20.49609
2020/10/15 05:05 +0200, GMT+2, 18.5, 20.6313
2020/10/15 05:25 +0200, GMT+2, 18.3, 20.76516
2020/10/15 05:45 +0200, GMT+2, 18.2, 20.89708
2020/10/15 06:05 +0200, GMT+2, 18.1, 21.02759
2020/10/15 06:25 +0200, GMT+2, 17.9, 21.15631
2020/10/15 06:45 +0200, GMT+2, 17.8, 21.28329
2020/10/15 07:05 +0200, GMT+2, 17.6, 21.40853
2020/10/15 07:25 +0200, GMT+2, 17.5, 21.53207
2020/10/15 07:45 +0200, GMT+2, 17.4, 21.6543
2020/10/15 08:05 +0200, GMT+2, 17.3, 21.77523
2020/10/15 08:25 +0200, GMT+2, 17.1, 21.89452
2020/10/15 08:45 +0200, GMT+2, 17, 22.0122
2020/10/15 09:05 +0200, GMT+2, 16.8, 22.12828
2020/10/15 09:25 +0200, GMT+2, 16.6, 22.24244
2020/10/15 09:45 +0200, GMT+2, 16.5, 22.35505
2020/10/15 10:05 +0200, GMT+2, 16.4, 22.46648
2020/10/15 10:25 +0200, GMT+2, 16.3, 22.57675
2020/10/15 10:45 +0200, GMT+2, 16.1, 22.68552
2020/10/15 11:05 +0200, GMT+2, 16.1, 22.79316
2020/10/15 11:25 +0200, GMT+2, 16, 22.90001
2020/10/15 11:45 +0200, GMT+2, 16, 23.00608
2020/10/15 12:05 +0200, GMT+2, 15.9, 23.11137
2020/10/15 12:25 +0200, GMT+2, 15.8, 23.21557
2020/10/15 12:45 +0200, GMT+2, 15.8, 23.31902
2020/10/15 13:05 +0200, GMT+2, 15.8, 23.42203
2020/10/15 13:25 +0200, GMT+2, 15.8, 23.52462
2020/10/15 13:45 +0200, GMT+2, 15.8, 23.62679
2020/10/15 14:05 +0200, GMT+2, 15.9, 23.72886
