time, timezone, temperature, strength
2020/11/09 09:05 +0100, GMT+2, 12.4, 
2020/11/09 09:24 +0100, GMT+2, 12.3, 
2020/11/09 09:44 +0100, GMT+2, 12.4, 
2020/11/09 10:04 +0100, GMT+2, 12.5, 
2020/11/09 10:24 +0100, GMT+2, 12.5, 
2020/11/09 10:44 +0100, GMT+2, 12.6, 
2020/11/09 11:04 +0100, GMT+2, 12.7, 
2020/11/09 11:24 +0100, GMT+2, 12.8, 
2020/11/09 11:44 +0100, GMT+2, 13, 
2020/11/09 12:04 +0100, GMT+2, 13.3, 
2020/11/09 12:24 +0100, GMT+2, 13.5, 
2020/11/09 12:44 +0100, GMT+2, 13.7, 
2020/11/09 13:04 +0100, GMT+2, 14, 
2020/11/09 13:24 +0100, GMT+2, 14.5, 
2020/11/09 13:44 +0100, GMT+2, 14.6, 
2020/11/09 14:04 +0100, GMT+2, 14.9, 
2020/11/09 14:24 +0100, GMT+2, 15, 
2020/11/09 14:44 +0100, GMT+2, 15, 
2020/11/09 15:04 +0100, GMT+2, 15.1, 
2020/11/09 15:24 +0100, GMT+2, 15.3, 
2020/11/09 15:44 +0100, GMT+2, 15.5, 
2020/11/09 16:04 +0100, GMT+2, 15.6, 
2020/11/09 16:24 +0100, GMT+2, 15.5, 
2020/11/09 16:44 +0100, GMT+2, 18.3, 
2020/11/09 17:04 +0100, GMT+2, 18.5, 0
2020/11/09 17:24 +0100, GMT+2, 18.6, 0
2020/11/09 17:44 +0100, GMT+2, 18.8, 0
2020/11/09 18:04 +0100, GMT+2, 18.8, 0.00002
2020/11/09 18:24 +0100, GMT+2, 19, 0.00024
2020/11/09 18:44 +0100, GMT+2, 19.1, 0.00127
2020/11/09 19:04 +0100, GMT+2, 19.1, 0.00418
2020/11/09 19:24 +0100, GMT+2, 19.3, 0.01042
2020/11/09 19:44 +0100, GMT+2, 19.4, 0.02156
2020/11/09 20:04 +0100, GMT+2, 19.5, 0.03906
2020/11/09 20:24 +0100, GMT+2, 19.7, 0.06428
2020/11/09 20:44 +0100, GMT+2, 19.9, 0.09843
2020/11/09 21:04 +0100, GMT+2, 20.1, 0.14245
2020/11/09 21:24 +0100, GMT+2, 20.3, 0.19707
2020/11/09 21:44 +0100, GMT+2, 20.6, 0.26298
2020/11/09 22:05 +0100, GMT+2, 20.8, 0.34065
2020/11/09 22:25 +0100, GMT+2, 21.1, 0.43021
2020/11/09 22:45 +0100, GMT+2, 21.5, 0.5324
2020/11/09 23:05 +0100, GMT+2, 21.8, 0.6474
2020/11/09 23:25 +0100, GMT+2, 22.2, 0.77527
2020/11/09 23:45 +0100, GMT+2, 22.6, 0.91637
2020/11/10 00:05 +0100, GMT+2, 23.1, 1.07109
2020/11/10 00:25 +0100, GMT+2, 23.6, 1.23987
2020/11/10 00:45 +0100, GMT+2, 24, 1.42224
2020/11/10 01:05 +0100, GMT+2, 24.4, 1.61757
2020/11/10 01:25 +0100, GMT+2, 24.7, 1.82507
2020/11/10 01:45 +0100, GMT+2, 25, 2.04381
2020/11/10 02:05 +0100, GMT+2, 25.2, 2.27278
2020/11/10 02:25 +0100, GMT+2, 25.5, 2.51146
2020/11/10 02:45 +0100, GMT+2, 25.8, 2.75995
2020/11/10 03:05 +0100, GMT+2, 26, 3.01715
2020/11/10 03:25 +0100, GMT+2, 26.3, 3.2826
2020/11/10 03:45 +0100, GMT+2, 26.6, 3.55644
2020/11/10 04:05 +0100, GMT+2, 26.8, 3.83759
2020/11/10 04:25 +0100, GMT+2, 27.1, 4.12585
2020/11/10 04:45 +0100, GMT+2, 27.4, 4.42097
2020/11/10 05:05 +0100, GMT+2, 27.6, 4.72212
2020/11/10 05:25 +0100, GMT+2, 27.9, 5.02889
2020/11/10 05:45 +0100, GMT+2, 28.1, 5.34089
2020/11/10 06:05 +0100, GMT+2, 28.4, 5.65776
2020/11/10 06:25 +0100, GMT+2, 28.6, 5.97915
2020/11/10 06:45 +0100, GMT+2, 28.9, 6.30472
2020/11/10 07:05 +0100, GMT+2, 29.1, 6.63416
2020/11/10 07:25 +0100, GMT+2, 29.4, 6.96716
2020/11/10 07:45 +0100, GMT+2, 29.6, 7.30344
2020/11/10 08:05 +0100, GMT+2, 29.9, 7.64272
2020/11/10 08:25 +0100, GMT+2, 30.1, 7.98474
2020/11/10 08:45 +0100, GMT+2, 30.4, 8.32926
2020/11/10 09:05 +0100, GMT+2, 30.6, 8.67604
2020/11/10 09:25 +0100, GMT+2, 30.8, 9.02412
2020/11/10 09:45 +0100, GMT+2, 31.1, 9.37403
2020/11/10 10:05 +0100, GMT+2, 31.3, 9.72557
2020/11/10 10:25 +0100, GMT+2, 31.5, 10.07782
2020/11/10 10:45 +0100, GMT+2, 31.7, 10.4306
2020/11/10 11:05 +0100, GMT+2, 31.9, 10.78405
2020/11/10 11:25 +0100, GMT+2, 32.1, 11.13742
2020/11/10 11:45 +0100, GMT+2, 32.3, 11.49088
2020/11/10 12:05 +0100, GMT+2, 32.5, 11.8443
2020/11/10 12:25 +0100, GMT+2, 32.6, 12.19683
2020/11/10 12:45 +0100, GMT+2, 32.8, 12.54837
2020/11/10 13:05 +0100, GMT+2, 33, 12.89954
2020/11/10 13:25 +0100, GMT+2, 33.1, 13.24954
2020/11/10 13:45 +0100, GMT+2, 33.3, 13.59829
2020/11/10 14:05 +0100, GMT+2, 33.5, 13.94641
2020/11/10 14:25 +0100, GMT+2, 33.6, 14.29315
2020/11/10 14:45 +0100, GMT+2, 33.8, 14.63843
2020/11/10 15:05 +0100, GMT+2, 34, 14.98288
2020/11/10 15:25 +0100, GMT+2, 34.1, 15.32578
2020/11/10 15:45 +0100, GMT+2, 34.3, 15.66706
2020/11/10 16:05 +0100, GMT+2, 34.4, 16.00669
2020/11/10 16:25 +0100, GMT+2, 34.5, 16.34398
2020/11/10 16:45 +0100, GMT+2, 34.7, 16.67956
2020/11/10 17:05 +0100, GMT+2, 34.8, 17.01341
2020/11/10 17:25 +0100, GMT+2, 35, 17.34578
