time, timezone, temperature, strength
2020/09/21 10:21 +0200, GMT+2, 15.5, 
2020/09/21 10:40 +0200, GMT+2, 14.6, 
2020/09/21 11:00 +0200, GMT+2, 14.5, 
2020/09/21 11:20 +0200, GMT+2, 14.7, 
2020/09/21 11:40 +0200, GMT+2, 15, 
2020/09/21 12:00 +0200, GMT+2, 15.2, 
2020/09/21 12:20 +0200, GMT+2, 15.5, 
2020/09/21 12:40 +0200, GMT+2, 16, 
2020/09/21 13:00 +0200, GMT+2, 16.1, 
2020/09/21 13:20 +0200, GMT+2, 16.8, 
2020/09/21 13:40 +0200, GMT+2, 17.3, 
2020/09/21 14:00 +0200, GMT+2, 18, 
2020/09/21 14:20 +0200, GMT+2, 18.3, 
2020/09/21 14:40 +0200, GMT+2, 19.1, 
2020/09/21 15:00 +0200, GMT+2, 19.7, 
2020/09/21 15:20 +0200, GMT+2, 19.8, 
2020/09/21 15:40 +0200, GMT+2, 21, 
2020/09/21 16:00 +0200, GMT+2, 24.6, 
2020/09/21 16:20 +0200, GMT+2, 24.7, 
2020/09/21 16:40 +0200, GMT+2, 24.8, 
2020/09/21 17:00 +0200, GMT+2, 25, 
2020/09/21 17:20 +0200, GMT+2, 25.1, 
2020/09/21 17:40 +0200, GMT+2, 25.4, 
2020/09/21 18:00 +0200, GMT+2, 25.6, 
2020/09/21 18:20 +0200, GMT+2, 26, 
2020/09/21 18:40 +0200, GMT+2, 26.4, 
2020/09/21 19:00 +0200, GMT+2, 27, 
2020/09/21 19:20 +0200, GMT+2, 27.5, 0
2020/09/21 19:40 +0200, GMT+2, 28.2, 0
2020/09/21 20:00 +0200, GMT+2, 28.9, 0.00004
2020/09/21 20:20 +0200, GMT+2, 29.8, 0.00114
2020/09/21 20:40 +0200, GMT+2, 30.8, 0.00785
2020/09/21 21:00 +0200, GMT+2, 32, 0.02876
2020/09/21 21:20 +0200, GMT+2, 33.1, 0.07426
2020/09/21 21:40 +0200, GMT+2, 34, 0.15362
2020/09/21 22:00 +0200, GMT+2, 34.7, 0.27301
2020/09/21 22:20 +0200, GMT+2, 35.4, 0.43566
2020/09/21 22:40 +0200, GMT+2, 36.1, 0.64294
