time, timezone, temperature, strength
2020/08/07 10:04 +0200, GMT+2, 24.6, 
2020/08/07 10:24 +0200, GMT+2, 22.9, 
2020/08/07 10:44 +0200, GMT+2, 23.5, 
2020/08/07 11:04 +0200, GMT+2, 24.1, 
2020/08/07 11:24 +0200, GMT+2, 24.3, 
2020/08/07 11:44 +0200, GMT+2, 24.6, 
2020/08/07 12:04 +0200, GMT+2, 24.5, 
2020/08/07 12:24 +0200, GMT+2, 25.4, 
2020/08/07 12:44 +0200, GMT+2, 26.2, 
2020/08/07 13:04 +0200, GMT+2, 29.4, 0
2020/08/07 13:24 +0200, GMT+2, 29.7, 0
2020/08/07 13:44 +0200, GMT+2, 29.8, 0.00007
2020/08/07 14:04 +0200, GMT+2, 30, 0.00161
2020/08/07 14:24 +0200, GMT+2, 30.2, 0.00959
2020/08/07 14:44 +0200, GMT+2, 30.5, 0.03149
2020/08/07 15:04 +0200, GMT+2, 31, 0.07482
2020/08/07 15:24 +0200, GMT+2, 31.6, 0.146
2020/08/07 15:44 +0200, GMT+2, 32.3, 0.24994
2020/08/07 16:04 +0200, GMT+2, 33.1, 0.39031
2020/08/07 16:24 +0200, GMT+2, 34.1, 0.5702
2020/08/07 16:44 +0200, GMT+2, 35.6, 0.79426
2020/08/07 17:04 +0200, GMT+2, 36.9, 1.06593
2020/08/07 17:22 +0200, GMT+2, 37.9, 1.35722
2020/08/07 17:42 +0200, GMT+2, 38.8, 1.71525
2020/08/07 18:02 +0200, GMT+2, 39.6, 2.11303
2020/08/07 18:22 +0200, GMT+2, 40.5, 2.54817
2020/08/07 18:42 +0200, GMT+2, 41.3, 3.01808
2020/08/07 19:02 +0200, GMT+2, 42.1, 3.51967
2020/08/07 19:22 +0200, GMT+2, 43, 4.05032
2020/08/07 19:42 +0200, GMT+2, 43.7, 4.60691
2020/08/07 20:02 +0200, GMT+2, 44.5, 5.18595
2020/08/07 20:22 +0200, GMT+2, 45.3, 5.78597
2020/08/07 20:42 +0200, GMT+2, 46, 6.4037
2020/08/07 21:02 +0200, GMT+2, 46.6, 7.03497
2020/08/07 21:22 +0200, GMT+2, 47.3, 7.67777
2020/08/07 21:42 +0200, GMT+2, 48, 8.33132
2020/08/07 22:02 +0200, GMT+2, 48.6, 8.99294
2020/08/07 22:22 +0200, GMT+2, 49.3, 9.66113
2020/08/07 22:42 +0200, GMT+2, 49.8, 10.33351
2020/08/07 23:02 +0200, GMT+2, 50.5, 11.00889
2020/08/07 23:22 +0200, GMT+2, 51, 11.68621
2020/08/07 23:42 +0200, GMT+2, 51.5, 12.36251
2020/08/08 00:02 +0200, GMT+2, 52, 13.03702
2020/08/08 00:22 +0200, GMT+2, 52.5, 13.70905
2020/08/08 00:42 +0200, GMT+2, 53, 14.37802
2020/08/08 01:02 +0200, GMT+2, 53.4, 15.04246
2020/08/08 01:22 +0200, GMT+2, 53.8, 15.70105
2020/08/08 01:42 +0200, GMT+2, 54.1, 16.35256
2020/08/08 02:02 +0200, GMT+2, 54.5, 16.99682
2020/08/08 02:22 +0200, GMT+2, 54.8, 17.63367
2020/08/08 02:42 +0200, GMT+2, 55.1, 18.26216
2020/08/08 03:02 +0200, GMT+2, 55.4, 18.88276
2020/08/08 03:22 +0200, GMT+2, 55.6, 19.49362
2020/08/08 03:42 +0200, GMT+2, 55.8, 20.0945
2020/08/08 04:02 +0200, GMT+2, 56, 20.68556
2020/08/08 04:22 +0200, GMT+2, 56.2, 21.26695
2020/08/08 04:42 +0200, GMT+2, 56.4, 21.83885
2020/08/08 05:02 +0200, GMT+2, 56.5, 22.40066
2020/08/08 05:22 +0200, GMT+2, 56.7, 22.95261
2020/08/08 05:42 +0200, GMT+2, 56.8, 23.49492
2020/08/08 06:02 +0200, GMT+2, 56.9, 24.02711
2020/08/08 06:22 +0200, GMT+2, 57, 24.54943
2020/08/08 06:42 +0200, GMT+2, 57.1, 25.06216
2020/08/08 07:02 +0200, GMT+2, 57.1, 25.56487
2020/08/08 07:22 +0200, GMT+2, 57.2, 26.05784
2020/08/08 07:42 +0200, GMT+2, 57.3, 26.54203
2020/08/08 08:02 +0200, GMT+2, 57.3, 27.01702
2020/08/08 08:22 +0200, GMT+2, 57.3, 27.48245
2020/08/08 08:42 +0200, GMT+2, 57.4, 27.93924
2020/08/08 09:02 +0200, GMT+2, 57.4, 28.38763
2020/08/08 09:22 +0200, GMT+2, 57.4, 28.82727
2020/08/08 09:42 +0200, GMT+2, 57.4, 29.25842
2020/08/08 10:02 +0200, GMT+2, 57.4, 29.68135
2020/08/08 10:22 +0200, GMT+2, 57.4, 30.09631
2020/08/08 10:42 +0200, GMT+2, 57.3, 30.50296
2020/08/08 11:02 +0200, GMT+2, 57.3, 30.90192
2020/08/08 11:22 +0200, GMT+2, 57.3, 31.29329
2020/08/08 11:42 +0200, GMT+2, 57.3, 31.67761
2020/08/08 12:02 +0200, GMT+2, 57.3, 32.05508
2020/08/08 12:22 +0200, GMT+2, 57.2, 32.42541
2020/08/08 12:42 +0200, GMT+2, 57.2, 32.7888
2020/08/08 13:02 +0200, GMT+2, 57.1, 33.14546
2020/08/08 13:22 +0200, GMT+2, 57.1, 33.49559
2020/08/08 13:42 +0200, GMT+2, 57.1, 33.83984
2020/08/08 14:02 +0200, GMT+2, 57, 34.17791
2020/08/08 14:22 +0200, GMT+2, 57, 34.50999
2020/08/08 14:42 +0200, GMT+2, 57, 34.83667
2020/08/08 15:02 +0200, GMT+2, 56.9, 35.15767
2020/08/08 15:22 +0200, GMT+2, 56.8, 35.47272
2020/08/08 15:42 +0200, GMT+2, 56.8, 35.78241
2020/08/08 16:02 +0200, GMT+2, 56.8, 36.08729
2020/08/08 16:22 +0200, GMT+2, 56.7, 36.38709
2020/08/08 16:42 +0200, GMT+2, 56.6, 36.68154
2020/08/08 17:02 +0200, GMT+2, 56.6, 36.97117
2020/08/08 17:22 +0200, GMT+2, 56.6, 37.25651
2020/08/08 17:42 +0200, GMT+2, 56.5, 37.53728
2020/08/08 18:02 +0200, GMT+2, 56.5, 37.81359
2020/08/08 18:22 +0200, GMT+2, 56.5, 38.08592
2020/08/08 18:42 +0200, GMT+2, 56.4, 38.35401
2020/08/08 19:02 +0200, GMT+2, 56.3, 38.6176
2020/08/08 19:22 +0200, GMT+2, 56.3, 38.87717
2020/08/08 19:42 +0200, GMT+2, 56.2, 39.1328
2020/08/08 20:02 +0200, GMT+2, 56.1, 39.38425
2020/08/08 20:23 +0200, GMT+2, 56, 39.63184
2020/08/08 20:43 +0200, GMT+2, 55.9, 39.87525
2020/08/08 21:03 +0200, GMT+2, 55.8, 40.11478
2020/08/08 21:23 +0200, GMT+2, 55.8, 40.35087
2020/08/08 21:43 +0200, GMT+2, 55.6, 40.58327
2020/08/08 22:03 +0200, GMT+2, 55.6, 40.81207
2020/08/08 22:23 +0200, GMT+2, 55.5, 41.03766
2020/08/08 22:43 +0200, GMT+2, 55.4, 41.25982
2020/08/08 23:03 +0200, GMT+2, 55.3, 41.47862
2020/08/08 23:23 +0200, GMT+2, 55.1, 41.69384
2020/08/08 23:43 +0200, GMT+2, 55.1, 41.90587
2020/08/09 00:03 +0200, GMT+2, 55, 42.11508
2020/08/09 00:23 +0200, GMT+2, 54.9, 42.32122
2020/08/09 00:43 +0200, GMT+2, 54.8, 42.52438
2020/08/09 01:03 +0200, GMT+2, 54.7, 42.72462
2020/08/09 01:23 +0200, GMT+2, 54.5, 42.92172
2020/08/09 01:43 +0200, GMT+2, 54.5, 43.11605
2020/08/09 02:03 +0200, GMT+2, 54.3, 43.30764
2020/08/09 02:23 +0200, GMT+2, 54.2, 43.49631
2020/08/09 02:43 +0200, GMT+2, 54.1, 43.68237
2020/08/09 03:03 +0200, GMT+2, 53.9, 43.86563
2020/08/09 03:23 +0200, GMT+2, 53.8, 44.04614
2020/08/09 03:43 +0200, GMT+2, 53.6, 44.22398
2020/08/09 04:03 +0200, GMT+2, 53.5, 44.39933
2020/08/09 04:23 +0200, GMT+2, 53.3, 44.57197
2020/08/09 04:43 +0200, GMT+2, 53.2, 44.7421
2020/08/09 05:03 +0200, GMT+2, 53, 44.90978
2020/08/09 05:23 +0200, GMT+2, 52.9, 45.07505
2020/08/09 05:43 +0200, GMT+2, 52.7, 45.23797
2020/08/09 06:03 +0200, GMT+2, 52.6, 45.39858
2020/08/09 06:23 +0200, GMT+2, 52.4, 45.55694
2020/08/09 06:43 +0200, GMT+2, 52.3, 45.71309
2020/08/09 07:03 +0200, GMT+2, 52.1, 45.86708
2020/08/09 07:23 +0200, GMT+2, 51.9, 46.01873
2020/08/09 07:43 +0200, GMT+2, 51.8, 46.1683
2020/08/09 08:03 +0200, GMT+2, 51.6, 46.31584
2020/08/09 08:23 +0200, GMT+2, 51.4, 46.46118
2020/08/09 08:43 +0200, GMT+2, 51.3, 46.60457
2020/08/09 09:03 +0200, GMT+2, 51.1, 46.74605
2020/08/09 09:23 +0200, GMT+2, 51, 46.88565
2020/08/09 09:43 +0200, GMT+2, 50.8, 47.02342
2020/08/09 10:03 +0200, GMT+2, 50.6, 47.15919
2020/08/09 10:23 +0200, GMT+2, 50.5, 47.29319
2020/08/09 10:43 +0200, GMT+2, 50.3, 47.42546
2020/08/09 11:03 +0200, GMT+2, 50.1, 47.55594
2020/08/09 11:23 +0200, GMT+2, 50, 47.68465
2020/08/09 11:43 +0200, GMT+2, 49.8, 47.81173
2020/08/09 12:03 +0200, GMT+2, 49.6, 47.93701
2020/08/09 12:23 +0200, GMT+2, 49.5, 48.06072
2020/08/09 12:43 +0200, GMT+2, 49.4, 48.18307
2020/08/09 13:03 +0200, GMT+2, 49.2, 48.30391
2020/08/09 13:23 +0200, GMT+2, 49.1, 48.42325
2020/08/09 13:43 +0200, GMT+2, 49, 48.54131
2020/08/09 14:03 +0200, GMT+2, 48.9, 48.6581
2020/08/09 14:23 +0200, GMT+2, 48.8, 48.77365
2020/08/09 14:43 +0200, GMT+2, 48.6, 48.88779
2020/08/09 15:03 +0200, GMT+2, 48.5, 49.00056
2020/08/09 15:23 +0200, GMT+2, 48.5, 49.11232
2020/08/09 15:43 +0200, GMT+2, 48.3, 49.22292
2020/08/09 16:03 +0200, GMT+2, 48.3, 49.33236
2020/08/09 16:23 +0200, GMT+2, 48.2, 49.44085
2020/08/09 16:43 +0200, GMT+2, 48.1, 49.54822
2020/08/09 17:03 +0200, GMT+2, 48, 49.65449
2020/08/09 17:23 +0200, GMT+2, 48, 49.75984
2020/08/09 17:43 +0200, GMT+2, 47.8, 49.86413
2020/08/09 18:03 +0200, GMT+2, 47.7, 49.9672
2020/08/09 18:23 +0200, GMT+2, 47.6, 50.06924
2020/08/09 18:43 +0200, GMT+2, 47.5, 50.17026
2020/08/09 19:03 +0200, GMT+2, 47.4, 50.27028
2020/08/09 19:23 +0200, GMT+2, 47.3, 50.36931
2020/08/09 19:43 +0200, GMT+2, 47.2, 50.46736
2020/08/09 20:03 +0200, GMT+2, 47.1, 50.56445
2020/08/09 20:23 +0200, GMT+2, 47, 50.66067
2020/08/09 20:43 +0200, GMT+2, 46.9, 50.75588
2020/08/09 21:03 +0200, GMT+2, 46.8, 50.85017
2020/08/09 21:23 +0200, GMT+2, 46.7, 50.94356
2020/08/09 21:43 +0200, GMT+2, 46.6, 51.03605
2020/08/09 22:03 +0200, GMT+2, 46.5, 51.12765
2020/08/09 22:23 +0200, GMT+2, 46.4, 51.21839
2020/08/09 22:43 +0200, GMT+2, 46.3, 51.30827
2020/08/09 23:03 +0200, GMT+2, 46.3, 51.39744
2020/08/09 23:23 +0200, GMT+2, 46.1, 51.48578
2020/08/09 23:43 +0200, GMT+2, 46, 51.57315
2020/08/10 00:03 +0200, GMT+2, 46, 51.65985
2020/08/10 00:23 +0200, GMT+2, 45.8, 51.74575
2020/08/10 00:43 +0200, GMT+2, 45.8, 51.83085
2020/08/10 01:03 +0200, GMT+2, 45.6, 51.91517
2020/08/10 01:23 +0200, GMT+2, 45.5, 51.99859
2020/08/10 01:43 +0200, GMT+2, 45.5, 52.08138
2020/08/10 02:03 +0200, GMT+2, 45.3, 52.16342
2020/08/10 02:23 +0200, GMT+2, 45.2, 52.24458
2020/08/10 02:43 +0200, GMT+2, 45.1, 52.32501
2020/08/10 03:03 +0200, GMT+2, 45, 52.40473
2020/08/10 03:23 +0200, GMT+2, 44.9, 52.48373
2020/08/10 03:43 +0200, GMT+2, 44.8, 52.56202
2020/08/10 04:03 +0200, GMT+2, 44.7, 52.63969
2020/08/10 04:23 +0200, GMT+2, 44.6, 52.71661
2020/08/10 04:43 +0200, GMT+2, 44.5, 52.79285
2020/08/10 05:03 +0200, GMT+2, 44.4, 52.86842
2020/08/10 05:23 +0200, GMT+2, 44.3, 52.94334
2020/08/10 05:43 +0200, GMT+2, 44.1, 53.01747
2020/08/10 06:03 +0200, GMT+2, 44, 53.09085
2020/08/10 06:23 +0200, GMT+2, 43.9, 53.16359
2020/08/10 06:43 +0200, GMT+2, 43.8, 53.23571
2020/08/10 07:03 +0200, GMT+2, 43.7, 53.30721
