time, timezone, temperature, strength
2020/10/03 09:25 +0200, GMT+2, 13.8, 
2020/10/03 09:27 +0200, GMT+2, 13.8, 
2020/10/03 09:47 +0200, GMT+2, 13.8, 
2020/10/03 10:07 +0200, GMT+2, 14, 
2020/10/03 10:27 +0200, GMT+2, 13.7, 
2020/10/03 10:47 +0200, GMT+2, 13.4, 
2020/10/03 11:07 +0200, GMT+2, 13.2, 
2020/10/03 11:27 +0200, GMT+2, 13.6, 
2020/10/03 11:47 +0200, GMT+2, 13.3, 
2020/10/03 12:07 +0200, GMT+2, 13, 
2020/10/03 12:27 +0200, GMT+2, 13, 
2020/10/03 12:47 +0200, GMT+2, 13.1, 0
2020/10/03 13:07 +0200, GMT+2, 20.8, 0
2020/10/03 13:27 +0200, GMT+2, 20.8, 0
2020/10/03 13:47 +0200, GMT+2, 20.8, 0.00003
2020/10/03 14:07 +0200, GMT+2, 20.8, 0.00039
2020/10/03 14:27 +0200, GMT+2, 20.8, 0.00202
2020/10/03 14:47 +0200, GMT+2, 20.9, 0.00652
2020/10/03 15:07 +0200, GMT+2, 21, 0.01588
2020/10/03 15:27 +0200, GMT+2, 21, 0.03204
2020/10/03 15:47 +0200, GMT+2, 21.2, 0.05676
2020/10/03 16:07 +0200, GMT+2, 21.3, 0.09157
2020/10/03 16:27 +0200, GMT+2, 21.5, 0.13762
2020/10/03 16:47 +0200, GMT+2, 21.8, 0.19606
2020/10/03 17:07 +0200, GMT+2, 22.1, 0.2678
2020/10/03 17:27 +0200, GMT+2, 22.4, 0.35338
2020/10/03 17:47 +0200, GMT+2, 22.7, 0.45314
2020/10/03 18:07 +0200, GMT+2, 23.1, 0.56763
2020/10/03 18:27 +0200, GMT+2, 23.5, 0.69711
2020/10/03 18:47 +0200, GMT+2, 24, 0.84208
2020/10/03 19:07 +0200, GMT+2, 24.5, 1.003
2020/10/03 19:27 +0200, GMT+2, 25.1, 1.18035
2020/10/03 19:47 +0200, GMT+2, 25.8, 1.37509
2020/10/03 20:07 +0200, GMT+2, 26.5, 1.58784
2020/10/03 20:27 +0200, GMT+2, 27, 1.8176
2020/10/03 20:47 +0200, GMT+2, 27.5, 2.06301
2020/10/03 21:07 +0200, GMT+2, 27.8, 2.32246
2020/10/03 21:27 +0200, GMT+2, 28.2, 2.59473
2020/10/03 21:47 +0200, GMT+2, 28.6, 2.8798
2020/10/03 22:07 +0200, GMT+2, 29, 3.17706
2020/10/03 22:27 +0200, GMT+2, 29.3, 3.48522
2020/10/03 22:47 +0200, GMT+2, 29.6, 3.80292
2020/10/03 23:07 +0200, GMT+2, 30, 4.13022
2020/10/03 23:27 +0200, GMT+2, 30.3, 4.46651
2020/10/03 23:47 +0200, GMT+2, 30.7, 4.8112
2020/10/04 00:07 +0200, GMT+2, 31.1, 5.1645
2020/10/04 00:27 +0200, GMT+2, 31.4, 5.52541
2020/10/04 00:47 +0200, GMT+2, 31.7, 5.89204
2020/10/04 01:07 +0200, GMT+2, 32.1, 6.26497
2020/10/04 01:27 +0200, GMT+2, 32.4, 6.6437
2020/10/04 01:47 +0200, GMT+2, 32.7, 7.02701
2020/10/04 02:07 +0200, GMT+2, 33, 7.41445
2020/10/04 02:27 +0200, GMT+2, 33.3, 7.80561
2020/10/04 02:47 +0200, GMT+2, 33.6, 8.20012
2020/10/04 03:07 +0200, GMT+2, 33.8, 8.5968
2020/10/04 03:27 +0200, GMT+2, 34.1, 8.99532
2020/10/04 03:47 +0200, GMT+2, 34.3, 9.39537
2020/10/04 04:07 +0200, GMT+2, 34.6, 9.79666
2020/10/04 04:27 +0200, GMT+2, 34.8, 10.19892
2020/10/04 04:47 +0200, GMT+2, 35.1, 10.60089
2020/10/04 05:07 +0200, GMT+2, 35.3, 11.00436
2020/10/04 05:27 +0200, GMT+2, 35.5, 11.40732
2020/10/04 05:47 +0200, GMT+2, 35.6, 11.80881
2020/10/04 06:07 +0200, GMT+2, 35.8, 12.20869
2020/10/04 06:27 +0200, GMT+2, 36, 12.60757
2020/10/04 06:47 +0200, GMT+2, 36.1, 13.00457
2020/10/04 07:07 +0200, GMT+2, 36.3, 13.39958
2020/10/04 07:27 +0200, GMT+2, 36.5, 13.79324
2020/10/04 07:47 +0200, GMT+2, 36.6, 14.18472
2020/10/04 08:07 +0200, GMT+2, 36.7, 14.57321
2020/10/04 08:27 +0200, GMT+2, 36.8, 14.95866
2020/10/04 08:47 +0200, GMT+2, 36.9, 15.34104
2020/10/04 09:07 +0200, GMT+2, 37, 15.72033
2020/10/04 09:27 +0200, GMT+2, 37.1, 16.0965
2020/10/04 09:47 +0200, GMT+2, 37.2, 16.46954
2020/10/04 10:07 +0200, GMT+2, 37.3, 16.83975
2020/10/04 10:27 +0200, GMT+2, 37.3, 17.20583
2020/10/04 10:47 +0200, GMT+2, 37.4, 17.56811
2020/10/04 11:07 +0200, GMT+2, 37.5, 17.92728
2020/10/04 11:27 +0200, GMT+2, 37.6, 18.28336
2020/10/04 11:47 +0200, GMT+2, 37.6, 18.6357
2020/10/04 12:07 +0200, GMT+2, 37.6, 18.98368
2020/10/04 12:27 +0200, GMT+2, 37.7, 19.32802
2020/10/04 12:47 +0200, GMT+2, 37.7, 19.66874
2020/10/04 13:07 +0200, GMT+2, 37.8, 20.0059
2020/10/04 13:27 +0200, GMT+2, 37.8, 20.33952
2020/10/04 13:47 +0200, GMT+2, 37.8, 20.66905
2020/10/04 14:07 +0200, GMT+2, 37.8, 20.99455
2020/10/04 14:27 +0200, GMT+2, 37.8, 21.31608
2020/10/04 14:47 +0200, GMT+2, 37.8, 21.6337
2020/10/04 15:07 +0200, GMT+2, 37.9, 21.94807
2020/10/04 15:27 +0200, GMT+2, 37.9, 22.25922
2020/10/04 15:47 +0200, GMT+2, 37.9, 22.56663
2020/10/04 16:07 +0200, GMT+2, 37.9, 22.87037
2020/10/04 16:27 +0200, GMT+2, 37.9, 23.17049
2020/10/04 16:47 +0200, GMT+2, 37.9, 23.4673
2020/10/04 17:07 +0200, GMT+2, 37.9, 23.76037
2020/10/04 17:27 +0200, GMT+2, 37.8, 24.04947
2020/10/04 17:47 +0200, GMT+2, 37.8, 24.33469
2020/10/04 18:07 +0200, GMT+2, 37.8, 24.61661
2020/10/04 18:27 +0200, GMT+2, 37.8, 24.8953
2020/10/04 18:47 +0200, GMT+2, 37.8, 25.1708
2020/10/04 19:07 +0200, GMT+2, 37.7, 25.44267
2020/10/04 19:27 +0200, GMT+2, 37.7, 25.71099
2020/10/04 19:47 +0200, GMT+2, 37.6, 25.97581
2020/10/04 20:07 +0200, GMT+2, 37.6, 26.23721
2020/10/04 20:27 +0200, GMT+2, 37.6, 26.49574
2020/10/04 20:47 +0200, GMT+2, 37.5, 26.75054
2020/10/04 21:07 +0200, GMT+2, 37.5, 27.00252
