time, timezone, temperature, strength
2020/11/12 09:28 +0100, GMT+2, 31.5, 0
2020/11/12 09:46 +0100, GMT+2, 31.6, 0
2020/11/12 10:06 +0100, GMT+2, 31.8, 0.00009
2020/11/12 10:26 +0100, GMT+2, 32, 0.00222
2020/11/12 10:46 +0100, GMT+2, 32.1, 0.01315
2020/11/12 11:06 +0100, GMT+2, 32.3, 0.04228
2020/11/12 11:26 +0100, GMT+2, 32.4, 0.09775
2020/11/12 11:46 +0100, GMT+2, 32.5, 0.18447
2020/11/12 12:06 +0100, GMT+2, 32.6, 0.30469
2020/11/12 12:26 +0100, GMT+2, 32.8, 0.45887
2020/11/12 12:46 +0100, GMT+2, 32.9, 0.64596
2020/11/12 13:06 +0100, GMT+2, 33, 0.86356
2020/11/12 13:26 +0100, GMT+2, 33.1, 1.10914
2020/11/12 13:46 +0100, GMT+2, 33.2, 1.38002
2020/11/12 14:06 +0100, GMT+2, 33.3, 1.6735
2020/11/12 14:26 +0100, GMT+2, 33.4, 1.987
2020/11/12 14:46 +0100, GMT+2, 33.5, 2.3181
2020/11/12 15:06 +0100, GMT+2, 33.4, 2.66314
2020/11/12 15:26 +0100, GMT+2, 33.3, 3.01848
2020/11/12 15:46 +0100, GMT+2, 33.1, 3.38132
2020/11/12 16:06 +0100, GMT+2, 33, 3.74985
2020/11/12 16:26 +0100, GMT+2, 32.8, 4.12248
2020/11/12 16:46 +0100, GMT+2, 32.6, 4.49708
2020/11/12 17:06 +0100, GMT+2, 32.4, 4.87248
2020/11/12 17:26 +0100, GMT+2, 32.2, 5.24766
2020/11/12 17:46 +0100, GMT+2, 32, 5.62179
2020/11/12 18:06 +0100, GMT+2, 31.8, 5.99413
2020/11/12 18:26 +0100, GMT+2, 31.7, 6.36486
2020/11/12 18:46 +0100, GMT+2, 31.6, 6.73424
2020/11/12 19:06 +0100, GMT+2, 31.4, 7.10106
2020/11/12 19:26 +0100, GMT+2, 31.3, 7.46494
2020/11/12 19:46 +0100, GMT+2, 31.1, 7.82558
2020/11/12 20:06 +0100, GMT+2, 31, 8.18272
2020/11/12 20:26 +0100, GMT+2, 30.9, 8.53689
2020/11/12 20:46 +0100, GMT+2, 30.8, 8.88791
2020/11/12 21:06 +0100, GMT+2, 30.6, 9.23486
2020/11/12 21:26 +0100, GMT+2, 30.5, 9.57765
2020/11/12 21:46 +0100, GMT+2, 30.4, 9.91689
2020/11/12 22:06 +0100, GMT+2, 30.3, 10.25252
2020/11/12 22:26 +0100, GMT+2, 30.1, 10.58374
2020/11/12 22:46 +0100, GMT+2, 30, 10.91052
2020/11/12 23:06 +0100, GMT+2, 29.9, 11.23355
