time, timezone, temperature, strength
2020/09/10 11:33 +0200, GMT+2, 15.8, 
2020/09/10 11:51 +0200, GMT+2, 16.5, 
2020/09/10 12:11 +0200, GMT+2, 16.5, 
2020/09/10 12:31 +0200, GMT+2, 17.4, 
2020/09/10 12:51 +0200, GMT+2, 17.1, 
2020/09/10 13:11 +0200, GMT+2, 17.6, 
2020/09/10 13:31 +0200, GMT+2, 17.7, 
2020/09/10 13:51 +0200, GMT+2, 18.2, 
2020/09/10 14:11 +0200, GMT+2, 18.5, 
2020/09/10 14:31 +0200, GMT+2, 18.8, 
2020/09/10 14:51 +0200, GMT+2, 18.9, 
2020/09/10 15:11 +0200, GMT+2, 19.3, 
2020/09/10 15:31 +0200, GMT+2, 19.5, 
2020/09/10 15:51 +0200, GMT+2, 19.7, 
2020/09/10 16:11 +0200, GMT+2, 19.8, 
2020/09/10 16:31 +0200, GMT+2, 20.1, 
2020/09/10 16:51 +0200, GMT+2, 20.3, 
2020/09/10 17:11 +0200, GMT+2, 20.4, 
2020/09/10 17:31 +0200, GMT+2, 19.8, 
2020/09/10 17:51 +0200, GMT+2, 19.6, 
2020/09/10 18:11 +0200, GMT+2, 19.6, 
2020/09/10 18:31 +0200, GMT+2, 19.2, 
2020/09/10 18:51 +0200, GMT+2, 18.8, 
2020/09/10 19:11 +0200, GMT+2, 18.6, 
2020/09/10 19:31 +0200, GMT+2, 18.5, 
2020/09/10 19:51 +0200, GMT+2, 18.2, 
2020/09/10 20:11 +0200, GMT+2, 17.9, 
2020/09/10 20:31 +0200, GMT+2, 17.5, 
2020/09/10 20:51 +0200, GMT+2, 17.3, 
2020/09/10 21:11 +0200, GMT+2, 16.9, 
2020/09/10 21:31 +0200, GMT+2, 17, 
2020/09/10 21:51 +0200, GMT+2, 16.8, 
2020/09/10 22:11 +0200, GMT+2, 16.5, 
2020/09/10 22:31 +0200, GMT+2, 16.4, 
2020/09/10 22:51 +0200, GMT+2, 16.3, 
2020/09/10 23:11 +0200, GMT+2, 16.4, 
2020/09/10 23:31 +0200, GMT+2, 16.5, 
2020/09/10 23:51 +0200, GMT+2, 16.3, 
2020/09/11 00:11 +0200, GMT+2, 16.3, 
2020/09/11 00:31 +0200, GMT+2, 16.2, 
2020/09/11 00:51 +0200, GMT+2, 16, 
2020/09/11 01:11 +0200, GMT+2, 16, 
2020/09/11 01:31 +0200, GMT+2, 15.8, 
2020/09/11 01:51 +0200, GMT+2, 15.7, 
2020/09/11 02:11 +0200, GMT+2, 15.6, 
2020/09/11 02:31 +0200, GMT+2, 15.4, 
2020/09/11 02:51 +0200, GMT+2, 15.2, 
2020/09/11 03:11 +0200, GMT+2, 15, 
2020/09/11 03:31 +0200, GMT+2, 14.8, 
2020/09/11 03:51 +0200, GMT+2, 14.6, 
2020/09/11 04:11 +0200, GMT+2, 14.3, 
2020/09/11 04:31 +0200, GMT+2, 14.2, 
2020/09/11 04:51 +0200, GMT+2, 14.1, 
2020/09/11 05:11 +0200, GMT+2, 13.9, 
2020/09/11 05:31 +0200, GMT+2, 13.7, 
2020/09/11 05:51 +0200, GMT+2, 13.7, 
2020/09/11 06:11 +0200, GMT+2, 13.6, 
2020/09/11 06:31 +0200, GMT+2, 13.1, 
2020/09/11 06:51 +0200, GMT+2, 13.3, 
2020/09/11 07:11 +0200, GMT+2, 13.1, 
2020/09/11 07:31 +0200, GMT+2, 13.1, 
2020/09/11 07:51 +0200, GMT+2, 13.1, 
2020/09/11 08:11 +0200, GMT+2, 13, 
2020/09/11 08:31 +0200, GMT+2, 13, 
2020/09/11 08:51 +0200, GMT+2, 13.1, 
2020/09/11 09:11 +0200, GMT+2, 13.2, 
2020/09/11 09:31 +0200, GMT+2, 13.3, 
2020/09/11 09:51 +0200, GMT+2, 13.5, 
2020/09/11 10:11 +0200, GMT+2, 13.8, 
2020/09/11 10:31 +0200, GMT+2, 13.8, 
2020/09/11 10:51 +0200, GMT+2, 14.1, 
2020/09/11 11:11 +0200, GMT+2, 15.1, 
2020/09/11 11:31 +0200, GMT+2, 15.5, 
2020/09/11 11:51 +0200, GMT+2, 16, 
2020/09/11 12:11 +0200, GMT+2, 16.1, 
2020/09/11 12:31 +0200, GMT+2, 16.6, 
2020/09/11 12:51 +0200, GMT+2, 16.8, 
2020/09/11 13:11 +0200, GMT+2, 17, 
2020/09/11 13:31 +0200, GMT+2, 22.6, 
2020/09/11 13:51 +0200, GMT+2, 22.5, 
2020/09/11 14:11 +0200, GMT+2, 22.5, 
2020/09/11 14:31 +0200, GMT+2, 22.5, 
2020/09/11 14:51 +0200, GMT+2, 22.5, 0
2020/09/11 15:11 +0200, GMT+2, 22.6, 0
2020/09/11 15:31 +0200, GMT+2, 22.6, 0
2020/09/11 15:51 +0200, GMT+2, 22.8, 0.00013
2020/09/11 16:11 +0200, GMT+2, 22.9, 0.00117
2020/09/11 16:31 +0200, GMT+2, 23.1, 0.00499
2020/09/11 16:51 +0200, GMT+2, 23.3, 0.01433
2020/09/11 17:11 +0200, GMT+2, 23.6, 0.0322
2020/09/11 17:31 +0200, GMT+2, 23.9, 0.0615
2020/09/11 17:51 +0200, GMT+2, 24.3, 0.10473
2020/09/11 18:11 +0200, GMT+2, 24.6, 0.16391
2020/09/11 18:31 +0200, GMT+2, 25.1, 0.24072
2020/09/11 18:51 +0200, GMT+2, 25.5, 0.33649
2020/09/11 19:11 +0200, GMT+2, 26, 0.45204
2020/09/11 19:31 +0200, GMT+2, 26.6, 0.5885
2020/09/11 19:51 +0200, GMT+2, 27.3, 0.74705
2020/09/11 20:11 +0200, GMT+2, 28, 0.9285
2020/09/11 20:31 +0200, GMT+2, 28.7, 1.13312
