time, timezone, temperature, strength
2020/07/02 10:44 +0200, GMT+2, 17.1, 
2020/07/02 10:58 +0200, GMT+2, 17.3, 
2020/07/02 11:18 +0200, GMT+2, 16.9, 
2020/07/02 11:38 +0200, GMT+2, 17.1, 
2020/07/02 11:58 +0200, GMT+2, 17.6, 
2020/07/02 12:18 +0200, GMT+2, 18, 
2020/07/02 12:38 +0200, GMT+2, 16.6, 
2020/07/02 12:58 +0200, GMT+2, 15.1, 
2020/07/02 13:18 +0200, GMT+2, 17.4, 
2020/07/02 13:38 +0200, GMT+2, 16.5, 
2020/07/02 13:58 +0200, GMT+2, 15.7, 
2020/07/02 14:18 +0200, GMT+2, 23.1, 
2020/07/02 14:38 +0200, GMT+2, 23.2, 
2020/07/02 14:58 +0200, GMT+2, 23.3, 
2020/07/02 15:18 +0200, GMT+2, 23.3, 
2020/07/02 15:38 +0200, GMT+2, 23.4, 
2020/07/02 15:58 +0200, GMT+2, 23.5, 
2020/07/02 16:18 +0200, GMT+2, 23.6, 0
2020/07/02 16:38 +0200, GMT+2, 23.8, 0
2020/07/02 16:58 +0200, GMT+2, 24, 0.00001
2020/07/02 17:18 +0200, GMT+2, 24.3, 0.00022
2020/07/02 17:38 +0200, GMT+2, 24.6, 0.00187
2020/07/02 17:58 +0200, GMT+2, 25, 0.00771
2020/07/02 18:18 +0200, GMT+2, 25.4, 0.0216
2020/07/02 18:38 +0200, GMT+2, 25.9, 0.04769
2020/07/02 18:58 +0200, GMT+2, 26.5, 0.09
2020/07/02 19:18 +0200, GMT+2, 27.1, 0.15206
2020/07/02 19:38 +0200, GMT+2, 27.8, 0.23684
2020/07/02 19:58 +0200, GMT+2, 28.6, 0.34708
2020/07/02 20:18 +0200, GMT+2, 29.6, 0.48562
2020/07/02 20:38 +0200, GMT+2, 30.8, 0.65576
2020/07/02 20:58 +0200, GMT+2, 31.6, 0.85844
2020/07/02 21:18 +0200, GMT+2, 32.3, 1.09206
2020/07/02 21:38 +0200, GMT+2, 32.9, 1.35518
2020/07/02 21:58 +0200, GMT+2, 33.5, 1.64627
2020/07/02 22:18 +0200, GMT+2, 34.1, 1.96407
2020/07/02 22:38 +0200, GMT+2, 34.7, 2.30719
2020/07/02 22:58 +0200, GMT+2, 35.2, 2.67375
2020/07/02 23:18 +0200, GMT+2, 35.8, 3.06157
2020/07/02 23:38 +0200, GMT+2, 36.3, 3.46939
2020/07/02 23:58 +0200, GMT+2, 36.8, 3.89484
2020/07/03 00:18 +0200, GMT+2, 37.3, 4.33642
2020/07/03 00:38 +0200, GMT+2, 37.8, 4.79266
2020/07/03 00:58 +0200, GMT+2, 38.3, 5.2622
2020/07/03 01:18 +0200, GMT+2, 38.7, 5.74285
2020/07/03 01:38 +0200, GMT+2, 39.1, 6.2325
2020/07/03 01:58 +0200, GMT+2, 39.5, 6.72998
2020/07/03 02:18 +0200, GMT+2, 39.9, 7.23425
2020/07/03 02:38 +0200, GMT+2, 40.3, 7.74432
2020/07/03 02:58 +0200, GMT+2, 40.7, 8.25933
2020/07/03 03:18 +0200, GMT+2, 41, 8.77754
2020/07/03 03:38 +0200, GMT+2, 41.4, 9.29823
2020/07/03 03:58 +0200, GMT+2, 41.7, 9.82074
2020/07/03 04:18 +0200, GMT+2, 42, 10.34359
2020/07/03 04:38 +0200, GMT+2, 42.3, 10.86625
2020/07/03 04:58 +0200, GMT+2, 42.6, 11.38826
2020/07/03 05:19 +0200, GMT+2, 42.9, 11.90965
2020/07/03 05:39 +0200, GMT+2, 43.1, 12.42831
2020/07/03 05:59 +0200, GMT+2, 43.3, 12.94351
2020/07/03 06:19 +0200, GMT+2, 43.6, 13.45589
2020/07/03 06:39 +0200, GMT+2, 43.8, 13.96522
2020/07/03 06:59 +0200, GMT+2, 44, 14.47046
2020/07/03 07:19 +0200, GMT+2, 44.1, 14.97066
2020/07/03 07:39 +0200, GMT+2, 44.3, 15.46574
2020/07/03 07:59 +0200, GMT+2, 44.5, 15.95645
2020/07/03 08:19 +0200, GMT+2, 44.6, 16.44192
2020/07/03 08:39 +0200, GMT+2, 44.8, 16.92213
2020/07/03 08:59 +0200, GMT+2, 44.9, 17.39706
2020/07/03 09:19 +0200, GMT+2, 45, 17.86597
2020/07/03 09:39 +0200, GMT+2, 45.1, 18.32889
2020/07/03 09:59 +0200, GMT+2, 45.3, 18.78664
2020/07/03 10:19 +0200, GMT+2, 45.3, 19.23849
2020/07/03 10:39 +0200, GMT+2, 45.5, 19.68453
2020/07/03 10:59 +0200, GMT+2, 45.5, 20.12482
2020/07/03 11:19 +0200, GMT+2, 45.6, 20.55875
2020/07/03 11:39 +0200, GMT+2, 45.8, 20.9878
2020/07/03 11:59 +0200, GMT+2, 45.8, 21.41134
2020/07/03 12:19 +0200, GMT+2, 45.9, 21.82913
2020/07/03 12:39 +0200, GMT+2, 46, 22.24126
2020/07/03 12:59 +0200, GMT+2, 46, 22.64751
2020/07/03 13:19 +0200, GMT+2, 46, 23.04734
2020/07/03 13:39 +0200, GMT+2, 46.1, 23.44154
2020/07/03 13:59 +0200, GMT+2, 46.1, 23.83022
2020/07/03 14:19 +0200, GMT+2, 46.1, 24.21287
2020/07/03 14:39 +0200, GMT+2, 46.1, 24.58964
2020/07/03 14:59 +0200, GMT+2, 46.1, 24.96065
2020/07/03 15:19 +0200, GMT+2, 46.1, 25.32603
2020/07/03 15:39 +0200, GMT+2, 46.1, 25.68592
2020/07/03 15:59 +0200, GMT+2, 46.1, 26.04044
2020/07/03 16:19 +0200, GMT+2, 46.1, 26.3897
2020/07/03 16:39 +0200, GMT+2, 46.1, 26.73383
2020/07/03 16:59 +0200, GMT+2, 46.1, 27.07295
2020/07/03 17:19 +0200, GMT+2, 46, 27.40662
2020/07/03 17:39 +0200, GMT+2, 46, 27.73499
2020/07/03 17:59 +0200, GMT+2, 46, 28.0587
2020/07/03 18:19 +0200, GMT+2, 46, 28.37786
2020/07/03 18:39 +0200, GMT+2, 45.9, 28.69205
2020/07/03 18:59 +0200, GMT+2, 45.8, 29.0009
2020/07/03 19:19 +0200, GMT+2, 45.8, 29.30504
2020/07/03 19:39 +0200, GMT+2, 45.8, 29.60531
2020/07/03 19:59 +0200, GMT+2, 45.7, 29.90082
2020/07/03 20:19 +0200, GMT+2, 45.6, 30.19146
2020/07/03 20:39 +0200, GMT+2, 45.6, 30.47781
2020/07/03 20:59 +0200, GMT+2, 45.6, 30.76042
2020/07/03 21:19 +0200, GMT+2, 45.5, 31.03893
2020/07/03 21:39 +0200, GMT+2, 45.5, 31.31343
2020/07/03 21:59 +0200, GMT+2, 45.4, 31.584
2020/07/03 22:19 +0200, GMT+2, 45.3, 31.8503
2020/07/03 22:39 +0200, GMT+2, 45.3, 32.11287
