time, timezone, temperature, strength
2020/07/24 11:47 +0200, GMT+2, 21.3, 
2020/07/24 11:58 +0200, GMT+2, 21.6, 
2020/07/24 12:00 +0200, GMT+2, 21.5, 
2020/07/24 12:18 +0200, GMT+2, 21.7, 
2020/07/24 12:38 +0200, GMT+2, 22.1, 
2020/07/24 12:58 +0200, GMT+2, 22, 
2020/07/24 13:18 +0200, GMT+2, 22.5, 
2020/07/24 13:38 +0200, GMT+2, 22.6, 
2020/07/24 13:58 +0200, GMT+2, 23.4, 
2020/07/24 14:18 +0200, GMT+2, 23.9, 
2020/07/24 14:38 +0200, GMT+2, 23.8, 
2020/07/24 14:58 +0200, GMT+2, 25.5, 
2020/07/24 15:18 +0200, GMT+2, 24.6, 
2020/07/24 15:38 +0200, GMT+2, 25.1, 
2020/07/24 15:58 +0200, GMT+2, 25.8, 
2020/07/24 16:18 +0200, GMT+2, 26.2, 0
2020/07/24 16:38 +0200, GMT+2, 26.6, 0
2020/07/24 16:58 +0200, GMT+2, 26.9, 0.00002
2020/07/24 17:18 +0200, GMT+2, 27.3, 0.00063
2020/07/24 17:38 +0200, GMT+2, 27.7, 0.0045
2020/07/24 17:58 +0200, GMT+2, 28.1, 0.01668
2020/07/24 18:18 +0200, GMT+2, 28.7, 0.04324
2020/07/24 18:38 +0200, GMT+2, 29.3, 0.09015
2020/07/24 18:58 +0200, GMT+2, 30, 0.16235
2020/07/24 19:18 +0200, GMT+2, 30.8, 0.26408
2020/07/24 19:38 +0200, GMT+2, 31.8, 0.39913
2020/07/24 19:58 +0200, GMT+2, 32.6, 0.56986
2020/07/24 20:18 +0200, GMT+2, 33.4, 0.77674
2020/07/24 20:38 +0200, GMT+2, 34.1, 1.01947
2020/07/24 20:58 +0200, GMT+2, 34.8, 1.29686
2020/07/24 21:18 +0200, GMT+2, 35.4, 1.60709
2020/07/24 21:38 +0200, GMT+2, 36, 1.9478
2020/07/24 21:58 +0200, GMT+2, 36.6, 2.31708
2020/07/24 22:18 +0200, GMT+2, 37.2, 2.71292
2020/07/24 22:38 +0200, GMT+2, 37.8, 3.13332
2020/07/24 22:58 +0200, GMT+2, 38.5, 3.57714
2020/07/24 23:18 +0200, GMT+2, 39, 4.04169
2020/07/24 23:38 +0200, GMT+2, 39.6, 4.52425
2020/07/24 23:58 +0200, GMT+2, 40.1, 5.02303
2020/07/25 00:18 +0200, GMT+2, 40.6, 5.53542
2020/07/25 00:38 +0200, GMT+2, 41.2, 6.06075
2020/07/25 00:58 +0200, GMT+2, 41.7, 6.59757
2020/07/25 01:18 +0200, GMT+2, 42.2, 7.14405
2020/07/25 01:38 +0200, GMT+2, 42.6, 7.69707
2020/07/25 01:58 +0200, GMT+2, 43.1, 8.25595
2020/07/25 02:18 +0200, GMT+2, 43.5, 8.81964
2020/07/25 02:38 +0200, GMT+2, 44, 9.3872
2020/07/25 02:58 +0200, GMT+2, 44.4, 9.95778
2020/07/25 03:18 +0200, GMT+2, 44.8, 10.52967
2020/07/25 03:38 +0200, GMT+2, 45.1, 11.10126
2020/07/25 03:58 +0200, GMT+2, 45.5, 11.67198
2020/07/25 04:18 +0200, GMT+2, 45.8, 12.24131
2020/07/25 04:38 +0200, GMT+2, 46.2, 12.8088
2020/07/25 04:58 +0200, GMT+2, 46.5, 13.37406
2020/07/25 05:18 +0200, GMT+2, 46.8, 13.93586
2020/07/25 05:38 +0200, GMT+2, 47.1, 14.49391
2020/07/25 05:58 +0200, GMT+2, 47.4, 15.04799
2020/07/25 06:18 +0200, GMT+2, 47.6, 15.59705
2020/07/25 06:38 +0200, GMT+2, 47.9, 16.14094
2020/07/25 06:58 +0200, GMT+2, 48.1, 16.67958
2020/07/25 07:18 +0200, GMT+2, 48.3, 17.21206
2020/07/25 07:38 +0200, GMT+2, 48.5, 17.73836
2020/07/25 07:58 +0200, GMT+2, 48.7, 18.2589
2020/07/25 08:18 +0200, GMT+2, 48.8, 18.77205
2020/07/25 08:38 +0200, GMT+2, 49, 19.27831
2020/07/25 08:58 +0200, GMT+2, 49.1, 19.77774
2020/07/25 09:18 +0200, GMT+2, 49.2, 20.26968
2020/07/25 09:38 +0200, GMT+2, 49.3, 20.75425
2020/07/25 09:58 +0200, GMT+2, 49.5, 21.23231
2020/07/25 10:18 +0200, GMT+2, 49.5, 21.70323
2020/07/25 10:38 +0200, GMT+2, 49.6, 22.16644
2020/07/25 10:58 +0200, GMT+2, 49.6, 22.62213
2020/07/25 11:18 +0200, GMT+2, 49.7, 23.07044
2020/07/25 11:38 +0200, GMT+2, 49.8, 23.51223
2020/07/25 11:58 +0200, GMT+2, 49.8, 23.94695
2020/07/25 12:18 +0200, GMT+2, 49.9, 24.37478
2020/07/25 12:38 +0200, GMT+2, 49.9, 24.79586
2020/07/25 12:58 +0200, GMT+2, 49.9, 25.20974
2020/07/25 13:18 +0200, GMT+2, 50, 25.61721
2020/07/25 13:38 +0200, GMT+2, 50, 26.01842
2020/07/25 13:58 +0200, GMT+2, 50, 26.41292
2020/07/25 14:18 +0200, GMT+2, 50, 26.80088
2020/07/25 14:38 +0200, GMT+2, 50, 27.18279
2020/07/25 14:58 +0200, GMT+2, 50, 27.55816
2020/07/25 15:18 +0200, GMT+2, 49.9, 27.92692
2020/07/25 15:38 +0200, GMT+2, 49.9, 28.28924
2020/07/25 15:58 +0200, GMT+2, 49.9, 28.64585
2020/07/25 16:18 +0200, GMT+2, 49.8, 28.99634
2020/07/25 16:38 +0200, GMT+2, 49.8, 29.34088
2020/07/25 16:58 +0200, GMT+2, 49.7, 29.67963
2020/07/25 17:18 +0200, GMT+2, 49.7, 30.01273
2020/07/25 17:38 +0200, GMT+2, 49.6, 30.34035
2020/07/25 17:58 +0200, GMT+2, 49.6, 30.6626
2020/07/25 18:18 +0200, GMT+2, 49.5, 30.97964
2020/07/25 18:38 +0200, GMT+2, 49.4, 31.29112
2020/07/25 18:58 +0200, GMT+2, 49.3, 31.59719
2020/07/25 19:18 +0200, GMT+2, 49.3, 31.89845
2020/07/25 19:38 +0200, GMT+2, 49.1, 32.19458
2020/07/25 19:58 +0200, GMT+2, 49.1, 32.48569
2020/07/25 20:18 +0200, GMT+2, 49, 32.77237
2020/07/25 20:38 +0200, GMT+2, 48.9, 33.05428
2020/07/25 20:58 +0200, GMT+2, 48.8, 33.33155
2020/07/25 21:18 +0200, GMT+2, 48.7, 33.60453
2020/07/25 21:38 +0200, GMT+2, 48.6, 33.87286
2020/07/25 21:58 +0200, GMT+2, 48.5, 34.13689
2020/07/25 22:18 +0200, GMT+2, 48.3, 34.39632
2020/07/25 22:38 +0200, GMT+2, 48.3, 34.65167
2020/07/25 22:58 +0200, GMT+2, 48.1, 34.90303
2020/07/25 23:18 +0200, GMT+2, 48, 35.15012
2020/07/25 23:38 +0200, GMT+2, 47.9, 35.39343
2020/07/25 23:58 +0200, GMT+2, 47.8, 35.63304
2020/07/26 00:18 +0200, GMT+2, 47.6, 35.86866
2020/07/26 00:38 +0200, GMT+2, 47.5, 36.10041
2020/07/26 00:58 +0200, GMT+2, 47.4, 36.32872
2020/07/26 01:18 +0200, GMT+2, 47.3, 36.55368
2020/07/26 01:38 +0200, GMT+2, 47.1, 36.77502
2020/07/26 01:58 +0200, GMT+2, 47, 36.99282
