time, timezone, temperature, strength
2020/10/17 09:56 +0200, GMT+2, 19.085388, 
2020/10/17 10:16 +0200, GMT+2, 10.160141, 
2020/10/17 10:36 +0200, GMT+2, 9.910889, 
2020/10/17 10:56 +0200, GMT+2, 9.968796, 
2020/10/17 11:16 +0200, GMT+2, 9.885712, 
2020/10/17 11:36 +0200, GMT+2, 9.993973, 
2020/10/17 11:56 +0200, GMT+2, 15.6311035, 
2020/10/17 12:16 +0200, GMT+2, 16.308365, 
2020/10/17 12:36 +0200, GMT+2, 16.134644, 0
2020/10/17 12:56 +0200, GMT+2, 16.046524, 0
2020/10/17 13:16 +0200, GMT+2, 16.059113, 0
2020/10/17 13:36 +0200, GMT+2, 15.986099, 0
2020/10/17 13:56 +0200, GMT+2, 15.923157, 0.00006
2020/10/17 14:16 +0200, GMT+2, 15.86525, 0.00038
2020/10/17 14:36 +0200, GMT+2, 15.83252, 0.00138
2020/10/17 14:56 +0200, GMT+2, 15.855179, 0.00372
2020/10/17 15:16 +0200, GMT+2, 15.938263, 0.00818
2020/10/17 15:36 +0200, GMT+2, 16.00624, 0.01562
2020/10/17 15:56 +0200, GMT+2, 16.089325, 0.02689
2020/10/17 16:16 +0200, GMT+2, 16.046524, 0.0427
2020/10/17 16:36 +0200, GMT+2, 15.89798, 0.06349
2020/10/17 16:56 +0200, GMT+2, 15.804825, 0.08957
2020/10/17 17:16 +0200, GMT+2, 15.77713, 0.12131
2020/10/17 17:36 +0200, GMT+2, 15.830002, 0.15903
2020/10/17 17:56 +0200, GMT+2, 15.882874, 0.20301
2020/10/17 18:16 +0200, GMT+2, 15.940781, 0.25332
2020/10/17 18:36 +0200, GMT+2, 15.943298, 0.31001
2020/10/17 18:56 +0200, GMT+2, 15.991135, 0.37298
2020/10/17 19:16 +0200, GMT+2, 16.08429, 0.44235
2020/10/17 19:36 +0200, GMT+2, 16.232834, 0.51828
2020/10/17 19:56 +0200, GMT+2, 16.331024, 0.60076
2020/10/17 20:16 +0200, GMT+2, 16.42418, 0.68953
2020/10/17 20:36 +0200, GMT+2, 16.52237, 0.78447
2020/10/17 20:56 +0200, GMT+2, 16.63063, 0.88549
2020/10/17 21:16 +0200, GMT+2, 16.72882, 0.99243
2020/10/17 21:36 +0200, GMT+2, 16.92772, 1.10544
2020/10/17 21:56 +0200, GMT+2, 17.046051, 1.22447
2020/10/17 22:16 +0200, GMT+2, 17.119064, 1.3489
2020/10/17 22:36 +0200, GMT+2, 17.171936, 1.47829
2020/10/17 22:56 +0200, GMT+2, 17.300339, 1.61251
2020/10/17 23:16 +0200, GMT+2, 17.48413, 1.75216
2020/10/17 23:36 +0200, GMT+2, 17.622604, 1.89702
2020/10/17 23:56 +0200, GMT+2, 17.610016, 2.04607
2020/10/18 00:16 +0200, GMT+2, 17.552109, 2.19818
2020/10/18 00:36 +0200, GMT+2, 17.494202, 2.35289
2020/10/18 00:56 +0200, GMT+2, 17.4514, 2.51002
2020/10/18 01:16 +0200, GMT+2, 17.403564, 2.66937
2020/10/18 01:36 +0200, GMT+2, 17.436295, 2.83109
2020/10/18 01:56 +0200, GMT+2, 17.504272, 2.99557
2020/10/18 02:16 +0200, GMT+2, 17.607498, 3.16298
2020/10/18 02:36 +0200, GMT+2, 17.685547, 3.33325
2020/10/18 02:56 +0200, GMT+2, 17.82402, 3.50641
2020/10/18 03:16 +0200, GMT+2, 17.891998, 3.6823
2020/10/18 03:36 +0200, GMT+2, 17.919693, 3.86005
2020/10/18 03:56 +0200, GMT+2, 18.03299, 4.04007
2020/10/18 04:16 +0200, GMT+2, 18.100967, 4.2223
2020/10/18 04:36 +0200, GMT+2, 18.03299, 4.40565
2020/10/18 04:56 +0200, GMT+2, 17.94487, 4.58915
2020/10/18 05:16 +0200, GMT+2, 17.85675, 4.77256
2020/10/18 05:36 +0200, GMT+2, 17.793808, 4.9559
2020/10/18 05:56 +0200, GMT+2, 17.72583, 5.13917
