time, timezone, temperature, strength
2021/06/30 16:30 +0200, GMT+02, 18.1, 0
2021/06/30 16:50 +0200, GMT+02, 20.7, 0
2021/06/30 17:10 +0200, GMT+02, 20.7, 0
2021/06/30 17:30 +0200, GMT+02, 20.6, 0
2021/06/30 17:50 +0200, GMT+02, 20.6, 0
2021/06/30 18:10 +0200, GMT+02, 20.6, 0
2021/06/30 18:30 +0200, GMT+02, 20.6, 0
2021/06/30 18:50 +0200, GMT+02, 20.7, 0
2021/06/30 19:10 +0200, GMT+02, 20.8, 0
2021/06/30 19:30 +0200, GMT+02, 21, 0
2021/06/30 19:50 +0200, GMT+02, 21.1, 0
2021/06/30 20:10 +0200, GMT+02, 21.2, 0
2021/06/30 20:30 +0200, GMT+02, 21.4, 0
2021/06/30 20:50 +0200, GMT+02, 21.5, 0
2021/06/30 21:10 +0200, GMT+02, 21.8, 0
2021/06/30 21:30 +0200, GMT+02, 22, 0
2021/06/30 21:50 +0200, GMT+02, 22.2, 0
2021/06/30 22:10 +0200, GMT+02, 22.5, 0
2021/06/30 22:30 +0200, GMT+02, 22.7, 0
2021/06/30 22:50 +0200, GMT+02, 23, 0
2021/06/30 23:10 +0200, GMT+02, 23.3, 0
2021/06/30 23:30 +0200, GMT+02, 23.6, 0
2021/06/30 23:50 +0200, GMT+02, 23.9, 0
2021/07/01 00:10 +0200, GMT+02, 24.2, 0
2021/07/01 00:30 +0200, GMT+02, 24.5, 0
2021/07/01 00:50 +0200, GMT+02, 24.9, 0
2021/07/01 01:10 +0200, GMT+02, 25.3, 0
2021/07/01 01:30 +0200, GMT+02, 25.7, 0
2021/07/01 01:50 +0200, GMT+02, 26.1, 0
2021/07/01 02:10 +0200, GMT+02, 26.6, 0
2021/07/01 02:30 +0200, GMT+02, 27, 0
2021/07/01 02:50 +0200, GMT+02, 27.4, 0
2021/07/01 03:10 +0200, GMT+02, 27.7, 0
2021/07/01 03:30 +0200, GMT+02, 27.9, 0
2021/07/01 03:50 +0200, GMT+02, 28, 0
2021/07/01 04:10 +0200, GMT+02, 28.1, 0
2021/07/01 04:30 +0200, GMT+02, 28.2, 0
2021/07/01 04:50 +0200, GMT+02, 28.3, 0.26896
2021/07/01 05:10 +0200, GMT+02, 28.3, 0.87944
2021/07/01 05:30 +0200, GMT+02, 28.3, 1.47031
2021/07/01 05:50 +0200, GMT+02, 28.2, 2.04151
2021/07/01 06:10 +0200, GMT+02, 28.1, 2.59304
2021/07/01 06:30 +0200, GMT+02, 28, 3.12613
2021/07/01 06:50 +0200, GMT+02, 28, 3.64304
2021/07/01 07:10 +0200, GMT+02, 27.8, 4.14357
2021/07/01 07:30 +0200, GMT+02, 27.6, 4.62647
2021/07/01 07:50 +0200, GMT+02, 27.5, 5.09383
2021/07/01 08:10 +0200, GMT+02, 27.3, 5.54651
2021/07/01 08:30 +0200, GMT+02, 27.1, 5.9843
2021/07/01 08:51 +0200, GMT+02, 27, 6.40933
2021/07/01 09:11 +0200, GMT+02, 26.8, 6.82156
2021/07/01 09:31 +0200, GMT+02, 26.6, 7.22105
2021/07/01 09:51 +0200, GMT+02, 26.4, 7.60843
2021/07/01 10:11 +0200, GMT+02, 26.2, 7.98429
2021/07/01 10:31 +0200, GMT+02, 26.1, 8.28003
