time, timezone, temperature, strength
2021/10/07 17:46 +0200, GMT+02, 19, 0
2021/10/07 18:05 +0200, GMT+02, 16.9, 0
2021/10/07 18:25 +0200, GMT+02, 17, 0
2021/10/07 18:45 +0200, GMT+02, 20.5, 0
2021/10/07 19:05 +0200, GMT+02, 20.6, 0
2021/10/07 19:25 +0200, GMT+02, 20.4, 0
2021/10/07 19:45 +0200, GMT+02, 20.2, 0
2021/10/07 20:05 +0200, GMT+02, 20.1, 0
2021/10/07 20:25 +0200, GMT+02, 20, 0
2021/10/07 20:45 +0200, GMT+02, 20, 0
2021/10/07 21:05 +0200, GMT+02, 19.9, 0
2021/10/07 21:25 +0200, GMT+02, 19.8, 0
2021/10/07 21:45 +0200, GMT+02, 19.8, 0
2021/10/07 22:05 +0200, GMT+02, 19.8, 0
2021/10/07 22:25 +0200, GMT+02, 19.7, 0
2021/10/07 22:45 +0200, GMT+02, 19.7, 0
2021/10/07 23:05 +0200, GMT+02, 19.7, 0
2021/10/07 23:25 +0200, GMT+02, 19.7, 0
2021/10/07 23:45 +0200, GMT+02, 19.7, 0
2021/10/08 00:05 +0200, GMT+02, 19.8, 0
2021/10/08 00:25 +0200, GMT+02, 20, 0
2021/10/08 00:45 +0200, GMT+02, 20.1, 0
2021/10/08 01:05 +0200, GMT+02, 20.3, 0
2021/10/08 01:25 +0200, GMT+02, 20.5, 0
2021/10/08 01:45 +0200, GMT+02, 20.6, 0
2021/10/08 02:05 +0200, GMT+02, 20.8, 0
2021/10/08 02:25 +0200, GMT+02, 21.1, 0
2021/10/08 02:45 +0200, GMT+02, 21.3, 0
2021/10/08 03:05 +0200, GMT+02, 21.5, 0
2021/10/08 03:25 +0200, GMT+02, 21.7, 0
2021/10/08 03:45 +0200, GMT+02, 22, 0
2021/10/08 04:05 +0200, GMT+02, 22.2, 0
2021/10/08 04:25 +0200, GMT+02, 22.5, 0
2021/10/08 04:45 +0200, GMT+02, 22.8, 0
2021/10/08 05:05 +0200, GMT+02, 23.1, 0
2021/10/08 05:25 +0200, GMT+02, 23.5, 0
2021/10/08 05:45 +0200, GMT+02, 23.8, 0
2021/10/08 06:05 +0200, GMT+02, 24, 0
2021/10/08 06:25 +0200, GMT+02, 24.2, 0
2021/10/08 06:45 +0200, GMT+02, 24.3, 0
2021/10/08 07:05 +0200, GMT+02, 24.3, 0
2021/10/08 07:25 +0200, GMT+02, 24.4, 0
2021/10/08 07:45 +0200, GMT+02, 24.5, 0.13695
2021/10/08 08:05 +0200, GMT+02, 24.5, 0.65221
2021/10/08 08:25 +0200, GMT+02, 24.5, 1.15342
2021/10/08 08:45 +0200, GMT+02, 24.5, 1.64174
2021/10/08 09:05 +0200, GMT+02, 24.5, 2.11703
2021/10/08 09:25 +0200, GMT+02, 24.5, 2.58035
2021/10/08 09:45 +0200, GMT+02, 24.6, 3.0334
2021/10/08 10:05 +0200, GMT+02, 24.6, 3.47662
2021/10/08 10:25 +0200, GMT+02, 24.7, 3.91047
2021/10/08 10:45 +0200, GMT+02, 24.7, 4.33536
2021/10/08 11:05 +0200, GMT+02, 24.7, 4.75065
2021/10/08 11:25 +0200, GMT+02, 24.7, 5.15677
2021/10/08 11:45 +0200, GMT+02, 24.8, 5.55508
2021/10/08 12:05 +0200, GMT+02, 24.8, 5.9459
2021/10/08 12:25 +0200, GMT+02, 25, 6.33045
2021/10/08 12:45 +0200, GMT+02, 25.1, 6.70985
2021/10/08 13:05 +0200, GMT+02, 25.1, 7.08249
2021/10/08 13:25 +0200, GMT+02, 25.1, 7.44773
2021/10/08 13:45 +0200, GMT+02, 25.1, 7.80585
2021/10/08 14:05 +0200, GMT+02, 25.1, 8.12571
2021/10/08 14:25 +0200, GMT+02, 25, 8.40081
2021/10/08 14:45 +0200, GMT+02, 25, 8.67021
2021/10/08 15:05 +0200, GMT+02, 24.9, 8.93412
2021/10/08 15:25 +0200, GMT+02, 24.8, 9.19213
2021/10/08 15:45 +0200, GMT+02, 24.7, 9.44447
2021/10/08 16:05 +0200, GMT+02, 24.6, 9.69134
2021/10/08 16:25 +0200, GMT+02, 24.5, 9.93296
2021/10/08 16:45 +0200, GMT+02, 24.4, 10.16951
2021/10/08 17:05 +0200, GMT+02, 24.3, 10.40137
2021/10/08 17:25 +0200, GMT+02, 24.3, 10.62888
2021/10/08 17:45 +0200, GMT+02, 24.2, 10.85238
2021/10/08 18:05 +0200, GMT+02, 24.1, 11.07145
2021/10/08 18:25 +0200, GMT+02, 24, 11.28624
2021/10/08 18:45 +0200, GMT+02, 23.8, 11.49637
2021/10/08 19:05 +0200, GMT+02, 23.7, 11.702
2021/10/08 19:25 +0200, GMT+02, 23.6, 11.90378
2021/10/08 19:45 +0200, GMT+02, 23.5, 12.10183
2021/10/08 20:05 +0200, GMT+02, 23.3, 12.29578
2021/10/08 20:25 +0200, GMT+02, 23.2, 12.48577
2021/10/08 20:45 +0200, GMT+02, 23.1, 12.67238
2021/10/08 21:05 +0200, GMT+02, 23, 12.85573
2021/10/08 21:25 +0200, GMT+02, 22.8, 13.03543
2021/10/08 21:45 +0200, GMT+02, 22.6, 13.21116
2021/10/08 22:05 +0200, GMT+02, 22.5, 13.38348
2021/10/08 22:25 +0200, GMT+02, 22.3, 13.55249
2021/10/08 22:45 +0200, GMT+02, 22.1, 13.71785
2021/10/08 23:05 +0200, GMT+02, 21.9, 13.87968
2021/10/08 23:25 +0200, GMT+02, 21.6, 14.03766
2021/10/08 23:45 +0200, GMT+02, 21.3, 14.1915
2021/10/09 00:05 +0200, GMT+02, 21.1, 14.34173
2021/10/09 00:25 +0200, GMT+02, 20.8, 14.48846
2021/10/09 00:45 +0200, GMT+02, 20.6, 14.63179
2021/10/09 01:05 +0200, GMT+02, 20.3, 14.77194
2021/10/09 01:25 +0200, GMT+02, 20.1, 14.90876
2021/10/09 01:45 +0200, GMT+02, 19.9, 15.04284
2021/10/09 02:05 +0200, GMT+02, 19.7, 15.17424
2021/10/09 02:25 +0200, GMT+02, 19.5, 15.30303
2021/10/09 02:45 +0200, GMT+02, 19.3, 15.42928
2021/10/09 03:05 +0200, GMT+02, 19.1, 15.55305
2021/10/09 03:25 +0200, GMT+02, 18.9, 15.67441
2021/10/09 03:45 +0200, GMT+02, 18.7, 15.7934
2021/10/09 04:05 +0200, GMT+02, 18.5, 15.91009
2021/10/09 04:25 +0200, GMT+02, 18.3, 16.02454
2021/10/09 04:45 +0200, GMT+02, 18, 16.13646
2021/10/09 05:05 +0200, GMT+02, 17.8, 16.24593
2021/10/09 05:25 +0200, GMT+02, 17.6, 16.35331
2021/10/09 05:45 +0200, GMT+02, 17.5, 16.45897
2021/10/09 06:05 +0200, GMT+02, 17.3, 16.56294
2021/10/09 06:25 +0200, GMT+02, 17.1, 16.66496
2021/10/09 06:45 +0200, GMT+02, 16.9, 16.76506
2021/10/09 07:05 +0200, GMT+02, 16.7, 16.86329
2021/10/09 07:25 +0200, GMT+02, 16.5, 16.95968
2021/10/09 07:45 +0200, GMT+02, 16.3, 17.05428
2021/10/09 08:05 +0200, GMT+02, 16.2, 17.14741
2021/10/09 08:25 +0200, GMT+02, 16, 17.2391
2021/10/09 08:45 +0200, GMT+02, 15.8, 17.32916
2021/10/09 09:05 +0200, GMT+02, 15.7, 17.41777
2021/10/09 09:25 +0200, GMT+02, 15.5, 17.50502
2021/10/09 09:45 +0200, GMT+02, 15.5, 17.59121
2021/10/09 10:05 +0200, GMT+02, 15.4, 17.67662
2021/10/09 10:25 +0200, GMT+02, 15.4, 17.76127
2021/10/09 10:45 +0200, GMT+02, 15.5, 17.84571
2021/10/09 11:05 +0200, GMT+02, 15.5, 17.92993
2021/10/09 11:25 +0200, GMT+02, 15.7, 18.0142
2021/10/09 11:45 +0200, GMT+02, 16, 18.09932
2021/10/09 12:05 +0200, GMT+02, 16.3, 18.18555
2021/10/09 12:25 +0200, GMT+02, 16.6, 18.27288
2021/10/09 12:45 +0200, GMT+02, 16.9, 18.3613
2021/10/09 13:05 +0200, GMT+02, 17.1, 18.45053
2021/10/09 13:25 +0200, GMT+02, 17.3, 18.5403
2021/10/09 13:45 +0200, GMT+02, 17.4, 18.63034
2021/10/09 14:05 +0200, GMT+02, 17.5, 18.72036
2021/10/09 14:25 +0200, GMT+02, 17.8, 18.8109
2021/10/09 14:45 +0200, GMT+02, 18.1, 18.9025
2021/10/09 15:05 +0200, GMT+02, 18.4, 18.99514
2021/10/09 15:25 +0200, GMT+02, 18.6, 19.08855
2021/10/09 15:45 +0200, GMT+02, 18.9, 19.18271
2021/10/09 16:05 +0200, GMT+02, 19.2, 19.27789
2021/10/09 16:25 +0200, GMT+02, 19.6, 19.37435
2021/10/09 16:45 +0200, GMT+02, 19.9, 19.47208
2021/10/09 17:05 +0200, GMT+02, 20.1, 19.57061
2021/10/09 17:25 +0200, GMT+02, 20, 19.66867
2021/10/09 17:45 +0200, GMT+02, 19.9, 19.76554
2021/10/09 18:05 +0200, GMT+02, 19.8, 19.86125
2021/10/09 18:25 +0200, GMT+02, 19.7, 19.95581
2021/10/09 18:45 +0200, GMT+02, 19.6, 20.04924
2021/10/09 19:05 +0200, GMT+02, 19.5, 20.14157
2021/10/09 19:25 +0200, GMT+02, 19.3, 20.23255
2021/10/09 19:45 +0200, GMT+02, 19.2, 20.3222
2021/10/09 20:05 +0200, GMT+02, 19.1, 20.41082
2021/10/09 20:25 +0200, GMT+02, 19, 20.4984
2021/10/09 20:45 +0200, GMT+02, 18.8, 20.58472
2021/10/09 21:05 +0200, GMT+02, 18.7, 20.6698
2021/10/09 21:25 +0200, GMT+02, 18.6, 20.75392
2021/10/09 21:45 +0200, GMT+02, 18.4, 20.83683
2021/10/09 22:05 +0200, GMT+02, 18.3, 20.91856
2021/10/09 22:25 +0200, GMT+02, 18.1, 20.99914
2021/10/09 22:45 +0200, GMT+02, 18, 21.07858
2021/10/09 23:05 +0200, GMT+02, 17.8, 21.1569
2021/10/09 23:25 +0200, GMT+02, 17.6, 21.23389
2021/10/09 23:45 +0200, GMT+02, 17.5, 21.3098
2021/10/10 00:05 +0200, GMT+02, 17.3, 21.38465
2021/10/10 00:25 +0200, GMT+02, 17.1, 21.45823
2021/10/10 00:45 +0200, GMT+02, 17, 21.53079
2021/10/10 01:05 +0200, GMT+02, 16.8, 21.6024
2021/10/10 01:25 +0200, GMT+02, 16.7, 21.67296
2021/10/10 01:45 +0200, GMT+02, 16.6, 21.74275
2021/10/10 02:05 +0200, GMT+02, 16.5, 21.81179
2021/10/10 02:25 +0200, GMT+02, 16.4, 21.88009
2021/10/10 02:45 +0200, GMT+02, 16.3, 21.94765
2021/10/10 03:05 +0200, GMT+02, 16.1, 22.01429
2021/10/10 03:25 +0200, GMT+02, 16, 22.08001
2021/10/10 03:45 +0200, GMT+02, 15.9, 22.14503
2021/10/10 04:05 +0200, GMT+02, 15.8, 22.20936
2021/10/10 04:25 +0200, GMT+02, 15.6, 22.27281
2021/10/10 04:45 +0200, GMT+02, 15.5, 22.33539
2021/10/10 05:05 +0200, GMT+02, 15.3, 22.39711
2021/10/10 05:25 +0200, GMT+02, 15.2, 22.458
2021/10/10 05:45 +0200, GMT+02, 15.1, 22.51825
2021/10/10 06:05 +0200, GMT+02, 14.9, 22.57767
2021/10/10 06:25 +0200, GMT+02, 14.9, 22.63648
2021/10/10 06:45 +0200, GMT+02, 14.8, 22.69486
2021/10/10 07:05 +0200, GMT+02, 14.8, 22.75283
2021/10/10 07:25 +0200, GMT+02, 14.8, 22.81057
2021/10/10 07:45 +0200, GMT+02, 14.7, 22.86789
2021/10/10 08:05 +0200, GMT+02, 14.7, 22.92481
2021/10/10 08:25 +0200, GMT+02, 14.6, 22.98132
2021/10/10 08:45 +0200, GMT+02, 14.6, 23.03748
2021/10/10 09:05 +0200, GMT+02, 14.6, 23.09339
2021/10/10 09:25 +0200, GMT+02, 14.6, 23.14908
2021/10/10 09:45 +0200, GMT+02, 14.6, 23.20456
2021/10/10 10:05 +0200, GMT+02, 14.6, 23.25983
2021/10/10 10:25 +0200, GMT+02, 14.6, 23.31489
2021/10/10 10:45 +0200, GMT+02, 14.6, 23.36975
2021/10/10 11:05 +0200, GMT+02, 14.7, 23.42459
2021/10/10 11:25 +0200, GMT+02, 14.8, 23.47957
2021/10/10 11:45 +0200, GMT+02, 14.9, 23.53471
2021/10/10 12:05 +0200, GMT+02, 15, 23.59
2021/10/10 12:25 +0200, GMT+02, 15.1, 23.64544
2021/10/10 12:45 +0200, GMT+02, 15.3, 23.7012
2021/10/10 13:05 +0200, GMT+02, 15.5, 23.75747
2021/10/10 13:25 +0200, GMT+02, 15.5, 23.81387
2021/10/10 13:45 +0200, GMT+02, 15.7, 23.87042
2021/10/10 14:05 +0200, GMT+02, 15.9, 23.92747
2021/10/10 14:25 +0200, GMT+02, 16.1, 23.98501
2021/10/10 14:45 +0200, GMT+02, 16.3, 24.04305
2021/10/10 15:05 +0200, GMT+02, 16.5, 24.10158
2021/10/10 15:25 +0200, GMT+02, 16.6, 24.16041
2021/10/10 15:45 +0200, GMT+02, 17, 24.21991
2021/10/10 16:05 +0200, GMT+02, 17.3, 24.28044
2021/10/10 16:25 +0200, GMT+02, 17.4, 24.34146
2021/10/10 16:45 +0200, GMT+02, 17.6, 24.40276
2021/10/10 17:05 +0200, GMT+02, 17.8, 24.4646
2021/10/10 17:25 +0200, GMT+02, 17.8, 24.52648
2021/10/10 17:45 +0200, GMT+02, 17.6, 24.58775
2021/10/10 18:05 +0200, GMT+02, 17.5, 24.64822
2021/10/10 18:25 +0200, GMT+02, 17.5, 24.70826
2021/10/10 18:45 +0200, GMT+02, 17.4, 24.76788
2021/10/10 19:05 +0200, GMT+02, 17.3, 24.82691
2021/10/10 19:25 +0200, GMT+02, 17.3, 24.88553
2021/10/10 19:45 +0200, GMT+02, 17.1, 24.94356
2021/10/10 20:05 +0200, GMT+02, 17.1, 25.00102
2021/10/10 20:25 +0200, GMT+02, 17, 25.05808
2021/10/10 20:45 +0200, GMT+02, 16.8, 25.11441
2021/10/10 21:05 +0200, GMT+02, 16.7, 25.17002
2021/10/10 21:25 +0200, GMT+02, 16.6, 25.22507
2021/10/10 21:45 +0200, GMT+02, 16.5, 25.27959
2021/10/10 22:05 +0200, GMT+02, 16.3, 25.33341
2021/10/10 22:25 +0200, GMT+02, 16.1, 25.38637
2021/10/10 22:45 +0200, GMT+02, 16, 25.43865
2021/10/10 23:05 +0200, GMT+02, 15.8, 25.49027
2021/10/10 23:25 +0200, GMT+02, 15.6, 25.54106
2021/10/10 23:45 +0200, GMT+02, 15.5, 25.5912
2021/10/11 00:05 +0200, GMT+02, 15.3, 25.64069
2021/10/11 00:25 +0200, GMT+02, 15.1, 25.6894
2021/10/11 00:45 +0200, GMT+02, 15, 25.73747
2021/10/11 01:05 +0200, GMT+02, 14.8, 25.78497
2021/10/11 01:25 +0200, GMT+02, 14.6, 25.83167
2021/10/11 01:45 +0200, GMT+02, 14.5, 25.87777
2021/10/11 02:05 +0200, GMT+02, 14.3, 25.92327
2021/10/11 02:25 +0200, GMT+02, 14.1, 25.96804
2021/10/11 02:45 +0200, GMT+02, 14, 26.01224
2021/10/11 03:05 +0200, GMT+02, 13.8, 26.05586
2021/10/11 03:25 +0200, GMT+02, 13.6, 26.09877
2021/10/11 03:45 +0200, GMT+02, 13.5, 26.14113
2021/10/11 04:05 +0200, GMT+02, 13.3, 26.18294
2021/10/11 04:25 +0200, GMT+02, 13.1, 26.22407
2021/10/11 04:45 +0200, GMT+02, 13, 26.26466
2021/10/11 05:05 +0200, GMT+02, 12.8, 26.30472
2021/10/11 05:25 +0200, GMT+02, 12.7, 26.34427
2021/10/11 05:45 +0200, GMT+02, 12.5, 26.38329
2021/10/11 06:05 +0200, GMT+02, 12.4, 26.42181
2021/10/11 06:25 +0200, GMT+02, 12.3, 26.45996
2021/10/11 06:45 +0200, GMT+02, 12.1, 26.49761
2021/10/11 07:05 +0200, GMT+02, 12, 26.53476
2021/10/11 07:25 +0200, GMT+02, 11.8, 26.57142
2021/10/11 07:45 +0200, GMT+02, 11.7, 26.60761
2021/10/11 08:05 +0200, GMT+02, 11.6, 26.64344
2021/10/11 08:25 +0200, GMT+02, 11.5, 26.67893
2021/10/11 08:45 +0200, GMT+02, 11.3, 26.71398
2021/10/11 09:05 +0200, GMT+02, 11.3, 26.74866
2021/10/11 09:25 +0200, GMT+02, 11.1, 26.78301
2021/10/11 09:45 +0200, GMT+02, 11.1, 26.81703
2021/10/11 10:05 +0200, GMT+02, 11.1, 26.85096
2021/10/11 10:25 +0200, GMT+02, 11.1, 26.88482
2021/10/11 10:45 +0200, GMT+02, 11.2, 26.91873
2021/10/11 11:05 +0200, GMT+02, 11.4, 26.95293
2021/10/11 11:25 +0200, GMT+02, 11.5, 26.98743
2021/10/11 11:45 +0200, GMT+02, 11.6, 27.0221
2021/10/11 12:05 +0200, GMT+02, 11.8, 27.05707
2021/10/11 12:25 +0200, GMT+02, 11.9, 27.09233
2021/10/11 12:45 +0200, GMT+02, 12, 27.12776
2021/10/11 13:05 +0200, GMT+02, 12.1, 27.16336
2021/10/11 13:25 +0200, GMT+02, 12.3, 27.19925
2021/10/11 13:45 +0200, GMT+02, 12.4, 27.23544
2021/10/11 14:05 +0200, GMT+02, 12.6, 27.27192
2021/10/11 14:25 +0200, GMT+02, 13, 27.30908
2021/10/11 14:45 +0200, GMT+02, 13.3, 27.34705
2021/10/11 15:05 +0200, GMT+02, 13.7, 27.38583
2021/10/11 15:25 +0200, GMT+02, 14, 27.42544
2021/10/11 15:45 +0200, GMT+02, 14.1, 27.46547
2021/10/11 16:05 +0200, GMT+02, 14.3, 27.50579
2021/10/11 16:25 +0200, GMT+02, 14.5, 27.54657
2021/10/11 16:45 +0200, GMT+02, 14.8, 27.58787
2021/10/11 17:05 +0200, GMT+02, 14.9, 27.6296
2021/10/11 17:25 +0200, GMT+02, 14.8, 27.67121
2021/10/11 17:45 +0200, GMT+02, 14.8, 27.71256
2021/10/11 18:05 +0200, GMT+02, 14.8, 27.7538
2021/10/11 18:25 +0200, GMT+02, 14.7, 27.79479
2021/10/11 18:45 +0200, GMT+02, 14.7, 27.83554
2021/10/11 19:05 +0200, GMT+02, 14.7, 27.87617
2021/10/11 19:25 +0200, GMT+02, 14.6, 27.91656
2021/10/11 19:45 +0200, GMT+02, 14.6, 27.9567
2021/10/11 20:05 +0200, GMT+02, 14.6, 27.99674
2021/10/11 20:25 +0200, GMT+02, 14.6, 28.03667
2021/10/11 20:45 +0200, GMT+02, 14.5, 28.07636
2021/10/11 21:05 +0200, GMT+02, 14.5, 28.11582
2021/10/11 21:25 +0200, GMT+02, 14.4, 28.15504
2021/10/11 21:45 +0200, GMT+02, 14.3, 28.1939
2021/10/11 22:05 +0200, GMT+02, 14.3, 28.23253
2021/10/11 22:25 +0200, GMT+02, 14.2, 28.27093
2021/10/11 22:45 +0200, GMT+02, 14.1, 28.30898
